monotonic_seconds,engine_seconds,connection,in_total_bytes,out_total_bytes,packet_overhead
16889433.357633200,83.841996200,127.0.0.1:49542,50560,1126889,28
16889433.357633200,83.841996200,127.0.0.1:49554,41125,1093533,28
16889433.385263901,83.869626902,127.0.0.1:49542,50636,1126927,28
16889433.385263901,83.869626902,127.0.0.1:49554,41163,1093571,28
16889433.397922698,83.882285699,127.0.0.1:49542,50757,1128831,28
16889433.397922698,83.882285699,127.0.0.1:49554,41163,1095432,28
16889433.413525999,83.897888999,127.0.0.1:49542,50757,1128895,28
16889433.413525999,83.897888999,127.0.0.1:49554,41201,1095481,28
16889433.446985301,83.931348301,127.0.0.1:49542,50795,1130743,28
16889433.446985301,83.931348301,127.0.0.1:49554,41239,1097348,28
16889433.459262900,83.943625901,127.0.0.1:49542,50871,1134957,28
16889433.459262900,83.943625901,127.0.0.1:49554,41399,1101575,28
16889433.473618399,83.957981400,127.0.0.1:49542,50909,1138739,28
16889433.473618399,83.957981400,127.0.0.1:49554,41437,1101860,28
16889433.492954899,83.977317899,127.0.0.1:49542,51030,1140706,28
16889433.492954899,83.977317899,127.0.0.1:49554,41475,1103823,28
16889433.508056201,83.992419202,127.0.0.1:49542,51068,1140761,28
16889433.508056201,83.992419202,127.0.0.1:49554,41513,1103874,28
16889433.526481699,84.010844700,127.0.0.1:49542,51144,1142800,28
16889433.526481699,84.010844700,127.0.0.1:49554,41673,1105904,28
16889433.550454300,84.034817301,127.0.0.1:49542,51182,1142859,28
16889433.550454300,84.034817301,127.0.0.1:49554,41711,1105957,28
16889433.561795399,84.046158399,127.0.0.1:49542,51220,1147033,28
16889433.561795399,84.046158399,127.0.0.1:49554,41749,1110144,28
16889433.575529400,84.059892401,127.0.0.1:49542,51258,1147071,28
16889433.575529400,84.059892401,127.0.0.1:49554,41825,1113644,28
16889433.598988101,84.083351102,127.0.0.1:49542,51379,1149088,28
16889433.598988101,84.083351102,127.0.0.1:49554,41863,1115674,28
16889433.609433901,84.093796901,127.0.0.1:49542,51455,1149126,28
16889433.609433901,84.093796901,127.0.0.1:49554,41901,1115712,28
16889433.632663399,84.117026400,127.0.0.1:49542,51493,1151108,28
16889433.632663399,84.117026400,127.0.0.1:49554,42061,1117708,28
16889433.651767898,84.136130899,127.0.0.1:49542,51493,1151108,28
16889433.651767898,84.136130899,127.0.0.1:49554,42099,1117746,28
16889433.664711300,84.149074301,127.0.0.1:49542,51531,1158933,28
16889433.664711300,84.149074301,127.0.0.1:49554,42137,1122087,28
16889433.675815701,84.160178702,127.0.0.1:49542,51569,1158971,28
16889433.675815701,84.160178702,127.0.0.1:49554,42175,1122125,28
16889433.698146801,84.182509802,127.0.0.1:49542,51690,1161097,28
16889433.698146801,84.182509802,127.0.0.1:49554,42251,1124264,28
16889433.712770902,84.197133902,127.0.0.1:49542,51766,1161417,28
16889433.712770902,84.197133902,127.0.0.1:49554,42251,1124585,28
16889433.733730301,84.218093302,127.0.0.1:49542,51804,1163555,28
16889433.733730301,84.218093302,127.0.0.1:49554,42289,1126826,28
16889433.755636498,84.239999499,127.0.0.1:49542,51842,1163610,28
16889433.755636498,84.239999499,127.0.0.1:49554,42449,1126877,28
16889433.766687099,84.251050100,127.0.0.1:49542,51880,1165699,28
16889433.766687099,84.251050100,127.0.0.1:49554,42487,1128979,28
16889433.778480001,84.262843002,127.0.0.1:49542,51918,1165765,28
16889433.778480001,84.262843002,127.0.0.1:49554,42487,1129032,28
16889433.799592000,84.283955000,127.0.0.1:49542,52039,1165803,28
16889433.799592000,84.283955000,127.0.0.1:49554,42563,1129070,28
16889433.811874699,84.296237700,127.0.0.1:49542,52077,1167854,28
16889433.811874699,84.296237700,127.0.0.1:49554,42563,1131135,28
16889433.831462398,84.315825399,127.0.0.1:49542,52153,1167892,28
16889433.831462398,84.315825399,127.0.0.1:49554,42601,1131173,28
16889433.857630700,84.341993701,127.0.0.1:49542,52153,1170004,28
16889433.857630700,84.341993701,127.0.0.1:49554,42761,1133298,28
16889433.872139901,84.356502902,127.0.0.1:49542,52229,1174227,28
16889433.872139901,84.356502902,127.0.0.1:49554,42799,1137534,28
16889433.886545502,84.370908502,127.0.0.1:49542,52267,1174265,28
16889433.886545502,84.370908502,127.0.0.1:49554,42837,1141034,28
16889433.900087900,84.384450901,127.0.0.1:49542,52388,1176365,28
16889433.900087900,84.384450901,127.0.0.1:49554,42875,1143147,28
16889433.920396600,84.404759601,127.0.0.1:49542,52464,1176413,28
16889433.920396600,84.404759601,127.0.0.1:49554,42913,1143196,28
16889433.941771399,84.426134400,127.0.0.1:49542,52464,1176413,28
16889433.941771399,84.426134400,127.0.0.1:49554,43035,1143234,28
16889433.952291500,84.436654501,127.0.0.1:49542,52502,1178481,28
16889433.952291500,84.436654501,127.0.0.1:49554,43073,1145315,28
16889433.971866999,84.456230000,127.0.0.1:49542,52502,1186638,28
16889433.971866999,84.456230000,127.0.0.1:49554,43111,1149988,28
16889433.986809999,84.471173000,127.0.0.1:49542,52578,1186685,28
16889433.986809999,84.471173000,127.0.0.1:49554,43149,1150026,28
16889434.000199702,84.484562702,127.0.0.1:49542,52699,1188905,28
16889434.000199702,84.484562702,127.0.0.1:49554,43187,1152292,28
16889434.021034900,84.505397901,127.0.0.1:49542,52737,1188968,28
16889434.021034900,84.505397901,127.0.0.1:49554,43225,1152356,28
16889434.040409401,84.524772402,127.0.0.1:49542,52775,1189019,28
16889434.040409401,84.524772402,127.0.0.1:49554,43347,1152394,28
16889434.051654302,84.536017302,127.0.0.1:49542,52813,1191232,28
16889434.051654302,84.536017302,127.0.0.1:49554,43385,1158118,28
16889434.067628000,84.551991001,127.0.0.1:49542,52851,1195607,28
16889434.067628000,84.551991001,127.0.0.1:49554,43423,1162505,28
16889434.082274102,84.566637103,127.0.0.1:49542,53010,1195645,28
16889434.082274102,84.566637103,127.0.0.1:49554,43461,1162543,28
16889434.099361800,84.583724800,127.0.0.1:49542,53010,1197903,28
16889434.099361800,84.583724800,127.0.0.1:49554,43537,1164814,28
16889434.115828998,84.600191999,127.0.0.1:49542,53048,1197951,28
16889434.115828998,84.600191999,127.0.0.1:49554,43575,1164863,28
16889434.142719500,84.627082501,127.0.0.1:49542,53124,1200183,28
16889434.142719500,84.627082501,127.0.0.1:49554,43697,1167109,28
16889434.153180499,84.637543499,127.0.0.1:49542,53162,1202384,28
16889434.153180499,84.637543499,127.0.0.1:49554,43773,1169323,28
16889434.168327201,84.652690202,127.0.0.1:49542,53238,1202422,28
16889434.168327201,84.652690202,127.0.0.1:49554,43811,1169361,28
16889434.186511301,84.670874301,127.0.0.1:49542,53359,1204566,28
16889434.186511301,84.670874301,127.0.0.1:49554,43849,1171556,28
16889434.200986799,84.685349800,127.0.0.1:49542,53397,1204667,28
16889434.200986799,84.685349800,127.0.0.1:49554,43925,1171675,28
16889434.224227700,84.708590701,127.0.0.1:49542,53435,1207159,28
16889434.224227700,84.708590701,127.0.0.1:49554,43925,1174341,28
16889434.244157702,84.728520703,127.0.0.1:49542,53511,1207197,28
16889434.244157702,84.728520703,127.0.0.1:49554,44047,1174379,28
16889434.258033600,84.742396601,127.0.0.1:49542,53549,1211602,28
16889434.258033600,84.742396601,127.0.0.1:49554,44085,1178793,28
16889434.269341201,84.753704201,127.0.0.1:49542,53587,1215125,28
16889434.269341201,84.753704201,127.0.0.1:49554,44123,1178855,28
16889434.290495701,84.774858702,127.0.0.1:49542,53746,1215176,28
16889434.290495701,84.774858702,127.0.0.1:49554,44161,1178893,28
16889434.302935999,84.787299000,127.0.0.1:49542,53746,1217430,28
16889434.302935999,84.787299000,127.0.0.1:49554,44199,1181160,28
16889434.321673699,84.806036700,127.0.0.1:49542,53784,1217478,28
16889434.321673699,84.806036700,127.0.0.1:49554,44237,1181209,28
16889434.344317999,84.828681000,127.0.0.1:49542,53822,1219775,28
16889434.344317999,84.828681000,127.0.0.1:49554,44359,1183519,28
16889434.354344800,84.838707801,127.0.0.1:49542,53898,1221992,28
16889434.354344800,84.838707801,127.0.0.1:49554,44397,1185786,28
16889434.367780499,84.852143500,127.0.0.1:49542,53936,1222045,28
16889434.367780499,84.852143500,127.0.0.1:49554,44473,1185839,28
16889434.387721501,84.872084502,127.0.0.1:49542,53974,1222083,28
16889434.387721501,84.872084502,127.0.0.1:49554,44511,1185877,28
16889434.403084900,84.887447901,127.0.0.1:49542,54133,1224299,28
16889434.403084900,84.887447901,127.0.0.1:49554,44511,1188143,28
16889434.422520399,84.906883400,127.0.0.1:49542,54171,1226535,28
16889434.422520399,84.906883400,127.0.0.1:49554,44587,1190558,28
16889434.447338000,84.931701001,127.0.0.1:49542,54209,1226573,28
16889434.447338000,84.931701001,127.0.0.1:49554,44709,1190596,28
16889434.460020602,84.944383603,127.0.0.1:49542,54247,1230919,28
16889434.460020602,84.944383603,127.0.0.1:49554,44747,1194992,28
16889434.475640599,84.960003600,127.0.0.1:49542,54285,1231229,28
16889434.475640599,84.960003600,127.0.0.1:49554,44747,1198800,28
16889434.491313700,84.975676700,127.0.0.1:49542,54323,1233574,28
16889434.491313700,84.975676700,127.0.0.1:49554,44785,1201079,28
16889434.506454099,84.990817100,127.0.0.1:49542,54482,1233621,28
16889434.506454099,84.990817100,127.0.0.1:49554,44823,1201124,28
16889434.527438100,85.011801101,127.0.0.1:49542,54482,1236009,28
16889434.527438100,85.011801101,127.0.0.1:49554,44899,1203501,28
16889434.551907901,85.036270902,127.0.0.1:49542,54520,1236070,28
16889434.551907901,85.036270902,127.0.0.1:49554,45021,1203539,28
16889434.566601001,85.050964002,127.0.0.1:49542,54558,1240617,28
16889434.566601001,85.050964002,127.0.0.1:49554,45059,1208093,28
16889434.576722901,85.061085902,127.0.0.1:49542,54596,1244116,28
16889434.576722901,85.061085902,127.0.0.1:49554,45097,1208131,28
16889434.597278301,85.081641302,127.0.0.1:49542,54755,1246497,28
16889434.597278301,85.081641302,127.0.0.1:49554,45135,1210525,28
16889434.609156400,85.093519401,127.0.0.1:49542,54793,1246550,28
16889434.609156400,85.093519401,127.0.0.1:49554,45173,1210578,28
16889434.633591399,85.117954399,127.0.0.1:49542,54831,1248915,28
16889434.633591399,85.117954399,127.0.0.1:49554,45333,1212957,28
16889434.650355998,85.134718999,127.0.0.1:49542,54907,1248953,28
16889434.650355998,85.134718999,127.0.0.1:49554,45371,1212995,28
16889434.664660100,85.149023101,127.0.0.1:49542,54945,1251257,28
16889434.664660100,85.149023101,127.0.0.1:49554,45409,1215312,28
16889434.675258301,85.159621302,127.0.0.1:49542,54983,1251295,28
16889434.675258301,85.159621302,127.0.0.1:49554,45447,1215350,28
16889434.697046999,85.181410000,127.0.0.1:49542,55104,1251333,28
16889434.697046999,85.181410000,127.0.0.1:49554,45485,1215388,28
16889434.709057499,85.193420500,127.0.0.1:49542,55142,1253649,28
16889434.709057499,85.193420500,127.0.0.1:49554,45485,1217717,28
16889434.732205302,85.216568302,127.0.0.1:49542,55180,1254008,28
16889434.732205302,85.216568302,127.0.0.1:49554,45645,1218077,28
16889434.752158701,85.236521702,127.0.0.1:49542,55218,1256328,28
16889434.752158701,85.236521702,127.0.0.1:49554,45645,1220410,28
16889434.766543400,85.250906400,127.0.0.1:49542,55256,1260843,28
16889434.766543400,85.250906400,127.0.0.1:49554,45683,1228432,28
16889434.775220402,85.259583402,127.0.0.1:49542,55294,1260881,28
16889434.775220402,85.259583402,127.0.0.1:49554,45683,1228432,28
16889434.799194500,85.283557501,127.0.0.1:49542,55415,1263217,28
16889434.799194500,85.283557501,127.0.0.1:49554,45759,1230768,28
16889434.810664199,85.295027200,127.0.0.1:49542,55491,1263265,28
16889434.810664199,85.295027200,127.0.0.1:49554,45759,1230817,28
16889434.831274800,85.315637801,127.0.0.1:49542,55529,1265628,28
16889434.831274800,85.315637801,127.0.0.1:49554,45919,1233193,28
16889434.857051902,85.341414902,127.0.0.1:49542,55605,1265681,28
16889434.857051902,85.341414902,127.0.0.1:49554,45957,1233246,28
16889434.870726898,85.355089899,127.0.0.1:49542,55605,1273790,28
16889434.870726898,85.355089899,127.0.0.1:49554,45995,1237872,28
16889434.881328400,85.365691401,127.0.0.1:49542,55643,1273828,28
16889434.881328400,85.365691401,127.0.0.1:49554,46033,1237910,28
16889434.898723599,85.383086599,127.0.0.1:49542,55802,1276281,28
16889434.898723599,85.383086599,127.0.0.1:49554,46071,1240376,28
16889434.917545501,85.401908502,127.0.0.1:49542,55840,1276329,28
16889434.917545501,85.401908502,127.0.0.1:49554,46109,1240425,28
16889434.943489399,85.427852400,127.0.0.1:49542,55840,1278805,28
16889434.943489399,85.427852400,127.0.0.1:49554,46269,1242914,28
16889434.955970801,85.440333802,127.0.0.1:49542,55916,1281144,28
16889434.955970801,85.440333802,127.0.0.1:49554,46307,1245266,28
16889434.968587399,85.452950399,127.0.0.1:49542,55954,1281444,28
16889434.968587399,85.452950399,127.0.0.1:49554,46383,1245566,28
16889434.988356799,85.472719800,127.0.0.1:49542,55992,1283975,28
16889434.988356799,85.472719800,127.0.0.1:49554,46421,1247968,28
16889435.001805499,85.486168500,127.0.0.1:49542,56151,1284055,28
16889435.001805499,85.486168500,127.0.0.1:49554,46459,1248044,28
16889435.021152701,85.505515702,127.0.0.1:49542,56151,1286433,28
16889435.021152701,85.505515702,127.0.0.1:49554,46497,1250589,28
16889435.045835800,85.530198801,127.0.0.1:49542,56189,1286478,28
16889435.045835800,85.530198801,127.0.0.1:49554,46657,1250627,28
16889435.059744898,85.544107899,127.0.0.1:49542,56227,1291016,28
16889435.059744898,85.544107899,127.0.0.1:49554,46695,1258670,28
16889435.067830201,85.552193202,127.0.0.1:49542,56265,1291095,28
16889435.067830201,85.552193202,127.0.0.1:49554,46733,1258749,28
16889435.090713602,85.575076602,127.0.0.1:49542,56303,1293594,28
16889435.090713602,85.575076602,127.0.0.1:49554,46809,1261135,28
16889435.101618201,85.585981201,127.0.0.1:49542,56462,1293632,28
16889435.101618201,85.585981201,127.0.0.1:49554,46809,1261135,28
16889435.124753300,85.609116301,127.0.0.1:49542,56500,1296039,28
16889435.124753300,85.609116301,127.0.0.1:49554,46847,1263569,28
16889435.145624999,85.629988000,127.0.0.1:49542,56500,1296039,28
16889435.145624999,85.629988000,127.0.0.1:49554,46969,1263607,28
16889435.157516401,85.641879402,127.0.0.1:49542,56538,1298459,28
16889435.157516401,85.641879402,127.0.0.1:49554,47007,1266023,28
16889435.170224600,85.654587600,127.0.0.1:49542,56576,1298497,28
16889435.170224600,85.654587600,127.0.0.1:49554,47083,1266061,28
16889435.191715200,85.676078200,127.0.0.1:49542,56614,1300947,28
16889435.191715200,85.676078200,127.0.0.1:49554,47121,1268413,28
16889435.202029500,85.686392501,127.0.0.1:49542,56773,1300985,28
16889435.202029500,85.686392501,127.0.0.1:49554,47121,1268413,28
16889435.224964399,85.709327400,127.0.0.1:49542,56811,1301280,28
16889435.224964399,85.709327400,127.0.0.1:49554,47159,1268709,28
16889435.248507001,85.732870001,127.0.0.1:49542,56811,1303629,28
16889435.248507001,85.732870001,127.0.0.1:49554,47281,1271066,28
16889435.259496901,85.743859902,127.0.0.1:49542,56887,1305932,28
16889435.259496901,85.743859902,127.0.0.1:49554,47319,1273378,28
16889435.269930199,85.754293200,127.0.0.1:49542,56925,1305970,28
16889435.269930199,85.754293200,127.0.0.1:49554,47357,1273416,28
16889435.291655201,85.776018202,127.0.0.1:49542,56963,1306021,28
16889435.291655201,85.776018202,127.0.0.1:49554,47433,1273454,28
16889435.305311501,85.789674502,127.0.0.1:49542,57122,1308315,28
16889435.305311501,85.789674502,127.0.0.1:49554,47433,1275761,28
16889435.326277200,85.810640201,127.0.0.1:49542,57160,1310650,28
