EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/HandleRPC,Exclusive/GameThread/EventWait/PrePhysics,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCombatEffectReplicationComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,GuLiCommanderPoseDispatch/AttemptedChunks,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Ticks/GuLiBuildingShieldComponent,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/EndOfFrameUpdates,Exclusive/GameThread/GarbageCollection,GC/Count,Exclusive/GameThread/DeleteLinkers,Exclusive/GameThread/LogFlush,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/EventWait
,0.1382,0.083200,0.075300,0.014500,0.2798,0.018500,0.081500,0.002700,0.007600,1.7211,1.7406,0.001400,0.008400,0.036700,0.6798,0.2674,0.2633,0.014800,0.003600,0.2346,0.015300,0.001000,0.003000,0.1137,0.3307,0.001300,0.001100,0.002100,0.015700,0.048800,0.4003,0.1092,0.001900,0.032900,0.005100,0.002300,0.3727,0.039600,0.000200,0,0,0,0,10.0248,0,0,55,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.1060,0,29,0,0,0.3464,0.4524,0,1,2,2,12,1,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9018,10588.8164,5544.6055,6281.3789,0,16133.4219,32.8235,0.4375,32.0039,0.005859,0.3762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.3269,0.070700,0.081900,0.015200,0.1047,0.015100,0.1205,0.002400,0.008500,1.8638,1.8903,0.002100,0.011400,0.042100,0.8241,0.3114,0.2476,0.017200,0.003300,0.2791,0.013800,0.000800,0.002100,0.2637,0.4687,0.001600,0.001100,0.002600,0.015400,0.039200,0.2646,0.1748,0.001400,0.020600,0.001400,0.001500,0.1050,0.014200,0.000300,0.099600,2.0544,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,2,2,0,0,14,0,14,0,0,1,2,0,0,0,0,0,0,0,0.078604,0,21,0,0,0.2022,0.2808,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1140,10592.5781,5544.6133,6281.4453,0,16137.1914,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1638,0.066500,0.056200,0.009900,0.1068,0.014100,0.099900,0.002600,0.008500,1.7385,1.7623,0.001400,0.007700,0.037100,0.6140,0.2515,0.2500,0.015500,0.003900,0.2710,0.014300,0.000600,0.002100,0.2652,0.4498,0.001200,0.001100,0.002600,0.013200,0.049100,0.4604,0.1052,0.001900,0.024300,0.001500,0.002100,0.1340,0.015000,0.000100,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1064,0,26,0,0,0.3982,0.5046,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0756,10588.0430,5544.6133,6281.4453,0,16132.6562,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.4561,0.077800,0.1037,0.013400,0.1220,0.018000,0.075100,0.002300,0.007000,1.6833,1.7047,0.002000,0.009400,0.038900,0.8499,0.3221,0.2722,0.013900,0.003900,0.3314,0.018200,0.000800,0.065500,1.4417,1.5618,0.001700,0.001100,0.003200,0.018600,0.064100,0.4371,0.2535,0.002600,0.028900,0.001900,0.002300,0.1437,0.016700,0.000200,0,2.0853,0,0,0,0,0,55,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,3,3,0,0,13,0,13,1,0,2,3,0,0,0,0,0,0,0,0.1011,0,24,0,0,0.3594,0.4605,0,1,2,2,12,1,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1176,10587.2930,5544.6836,6281.4453,0,16131.9766,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0.1127,0,0,81233,40354,0,1.9438,0,0,0,0,0,0,0,0,0,0,0
,0.1596,0.071900,0.047300,0.012400,0.1480,0.017300,0.061500,0.003300,0.007900,1.6958,1.7195,0.001500,0.006100,0.034400,0.6087,0.2444,0.2267,0.013400,0.002600,0.2448,0.012000,0.000900,0.002000,7.1628,7.3764,0.001800,0.000800,0.005000,0.019900,0.051700,0.3414,0.098200,0.001900,0.024300,0.001400,0.002000,0.6590,0.013000,0.000100,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.097495,0,24,0,0,0.2799,0.3774,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2411,10586.6680,5544.6836,6281.4453,0,16131.3516,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,7.0762,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5.4770,0.066900,0.1288,0.014100,0.097200,0.015700,0.073800,0.002400,0.006800,1.6840,1.7048,0.002500,0.007900,0.041300,1.7703,0.3300,0.2744,0.014100,0.003100,0.3195,0.014000,0.000600,0.001700,0.2631,0.4659,0.001500,0.001100,0.001500,0.014100,0.042200,0.6331,0.2603,0.001300,0.018900,0.001200,0.001600,0.1089,0.014200,0.000200,0,3.1129,0,0,0,0,0,54,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,6,6,0,2,313,0,13,0,0,2,6,0,0,0,0,0,0,0,0.091396,0,24,2.6748,0,0.7354,0.8268,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0486,10586.4102,5544.6836,6281.4453,0,16131.0938,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0,0,0,1110,267,0,0.1610,0,0,0,0,0,0,0,0,0,0,0
,0.1700,0.076400,0.1055,0.013200,0.098200,0.015300,0.071800,0.002400,0.008600,1.9308,1.9538,0.001400,0.007800,0.038600,0.6061,0.2908,0.2271,0.017200,0.003600,0.2038,0.013800,0.000500,0.002000,0.2773,0.4608,0.001300,0.001200,0.001800,0.013200,0.038900,0.7511,0.1329,0.001300,0.019500,0.001400,0.001400,0.1138,0.014900,0.000200,0,0,0,0,0,0,0,55,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,4,4,0,0,400,0,0,0,0,1,4,0,0,0,0,0,0,0,0.1016,0,28,2.9082,0,0.8591,0.9607,0,1,2,2,12,1,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7849,10586.2852,5544.6836,6281.4453,0,16130.9688,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.3751,0.067400,0.045500,0.013300,0.1115,0.016400,0.1131,0.002400,0.007600,1.8801,1.9029,0.001900,0.008700,0.038100,0.4557,0.2789,0.2710,0.014200,0.003800,0.3098,0.013200,0.000600,0.002400,1.3560,1.4358,0.001600,0.001300,0.003100,0.017200,0.050800,0.3170,0.1072,0.001300,0.022800,0.001400,0.001900,0.1080,0.015600,0.000200,0.071000,3.5826,0,0,0,0,0,54,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,1,1,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0.093997,0,24,0,0,0.2572,0.3512,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9654,10585.8945,5544.7461,6281.4453,0,16130.6406,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0.1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1732,0.069200,0.094800,0.012500,0.1202,0.015400,0.034400,0.002400,0.010200,1.9579,1.9860,0.001800,0.009300,0.037900,0.7405,0.3279,0.2385,0.014900,0.004000,0.2782,0.018200,0.000900,0.002400,0.1733,1.2702,0.001400,0.001000,0.002000,0.014400,0.045300,0.4427,0.1753,0.002000,0.018800,0.001300,0.001800,0.1030,0.013500,0.000100,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,1,0,0,44,4,47,0,3,3,3,0,4,13,0,13,0,0,0,3,0,0,0,0,0,0,0,0.1011,0,35,0,0,0.3779,0.4790,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7616,10585.7227,5544.8711,6281.4453,0,16130.5938,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.6871,0.074200,0.2737,0.016300,0.1114,0.017300,0.083700,0.002800,0.009400,1.9445,1.9698,0.002200,0.009100,0.046600,0.7719,0.2964,0.3081,0.016300,0.005400,0.3029,0.015900,0.000600,0.067100,0.2544,0.4746,0.001700,0.001400,0.002500,0.016800,0.050500,0.5189,0.1020,0.004700,0.022700,0.001600,0.001700,0.1188,0.015200,0.000200,0,3.8695,0,0,0,0,0,57,0,0,0,0,0,0,1,1,2,2,46,2,49,0,3,1,1,0,34,4,0,0,1,0,2,1,0,0,0,0,0,0,0,0.1304,0,21,0,0,0.6232,0.7536,0,1,2,2,12,1,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3371,10589.3750,5544.8711,6281.4453,0,16134.2461,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,4956,449,0,0.3645,2,0,0,0,0,0,0,0,0,0,0
