seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.017514,17.51380,0,0.00000,0.00000,1200,1200,0,0,0,3403,58782,0.000
0.036915,19.40090,0,0.00000,0.00000,1200,1200,0,0,0,3403,58782,0.000
0.051982,15.06680,0,0.00000,0.00000,1200,1200,0,0,0,3403,58782,0.000
0.073073,21.09130,0,0.00000,0.00000,1200,1200,0,0,0,3403,58782,0.000
0.092788,19.71550,1,7.07250,1.34140,1200,1200,0,0,0,3403,58782,0.000
0.108398,15.60950,0,0.00000,0.00000,1200,1200,0,0,0,3403,58782,0.000
0.120175,11.77730,0,0.00000,0.00000,1200,1200,0,0,0,3403,58782,0.000
0.141144,20.96920,0,0.00000,0.00000,1200,1200,0,0,0,3403,58782,0.000
0.153912,12.76760,0,0.00000,0.00000,1200,1200,0,0,0,3403,58782,0.000
0.174236,20.32410,0,0.00000,0.00000,1200,1200,0,0,0,3403,58782,0.000
0.194443,20.20670,1,7.16540,1.27760,1200,1200,0,0,0,3403,58782,0.000
0.207821,13.37790,0,0.00000,0.00000,1200,1200,0,0,0,3403,58782,0.000
0.221258,13.43700,0,0.00000,0.00000,1200,1200,0,0,0,3403,58782,0.000
0.239473,18.21560,0,0.00000,0.00000,1200,1200,0,0,0,3388,64708,0.000
0.255277,15.80380,0,0.00000,0.00000,1200,1200,0,0,0,3388,64708,0.000
0.274688,19.41080,0,0.00000,0.00000,1200,1200,0,0,0,3388,64708,0.000
0.295552,20.86370,1,7.37630,1.58290,1200,1200,0,0,0,3388,64708,0.000
0.309836,14.28440,0,0.00000,0.00000,1200,1200,0,0,0,3388,64708,0.000
0.324344,14.50780,0,0.00000,0.00000,1200,1200,0,0,0,3388,64708,0.000
0.342354,18.00980,0,0.00000,0.00000,1200,1200,0,0,0,3388,64708,0.000
0.357096,14.74260,0,0.00000,0.00000,1200,1200,0,0,0,3388,64708,0.000
0.377926,20.82990,0,0.00000,0.00000,1200,1200,0,0,0,3388,64708,0.000
0.397028,19.10200,1,7.06240,1.53100,1200,1200,0,0,0,3388,64708,0.000
0.412586,15.55760,0,0.00000,0.00000,1200,1200,0,0,0,3388,64708,0.000
0.427649,15.06300,0,0.00000,0.00000,1200,1200,0,0,0,3388,64708,0.000
0.441597,13.94860,0,0.00000,0.00000,1200,1200,0,0,0,3388,64708,0.000
0.463101,21.50380,0,0.00000,0.00000,1200,1200,0,0,0,3388,64708,0.000
0.480847,17.74590,1,5.76440,1.27770,1200,1200,0,0,0,3388,64708,0.000
0.494884,14.03720,0,0.00000,0.00000,1200,1200,0,0,0,3388,64708,0.000
0.509349,14.46460,0,0.00000,0.00000,1200,1200,0,0,0,3388,64708,0.000
0.528943,19.59420,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
0.542261,13.31760,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
0.562818,20.55750,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
0.587322,24.50390,1,9.31690,1.54890,1200,1200,1200,0,0,3388,64708,0.000
0.598031,10.70860,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
0.611266,13.23560,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
0.630410,19.14380,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
0.643947,13.53740,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
0.664053,20.10620,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
0.683801,19.74760,1,7.11760,1.33870,1200,1200,1200,0,0,3388,64708,0.000
0.698267,14.46560,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
0.710611,12.34460,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
0.731802,21.19080,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
0.744933,13.13050,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
0.766372,21.43900,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
0.787167,20.79510,1,8.27740,2.12860,1200,1200,1200,0,0,3388,64708,0.000
0.797445,10.27800,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
0.812428,14.98300,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
0.831385,18.95770,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
0.844615,13.22950,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
0.864696,20.08100,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
0.890306,25.60970,1,9.42430,2.23950,1200,1200,1200,0,0,3388,64708,0.000
0.902011,11.70580,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
0.914879,12.86740,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
0.932286,17.40760,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
0.946073,13.78670,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
0.967136,21.06320,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
0.987104,19.96810,1,7.54940,1.30410,1200,1200,1200,0,0,3388,64708,0.000
1.000397,13.29300,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
1.012462,12.06460,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
1.033883,21.42060,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
1.047749,13.86680,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
1.067831,20.08190,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
1.085591,17.76000,1,6.08260,1.29240,1200,1200,1200,0,0,3388,64708,0.000
1.098196,12.60510,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
1.114989,16.79290,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
1.133267,18.27770,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
1.147935,14.66770,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
1.168946,21.01120,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
1.192687,23.74120,1,10.14090,1.48150,1200,1200,1200,0,0,3388,64708,0.000
1.203281,10.59410,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
1.216672,13.39060,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
1.235313,18.64150,0,0.00000,0.00000,1200,1200,1200,0,0,3388,64708,0.000
1.248046,12.73240,0,0.00000,0.00000,1200,1200,1200,0,0,3271,98296,0.000
1.268854,20.80810,0,0.00000,0.00000,1200,1200,1200,0,0,3271,98296,0.000
1.291585,22.73120,1,9.91870,2.15190,1200,1200,1200,0,0,3271,98296,0.000
1.300583,8.99840,0,0.00000,0.00000,1200,1200,1200,0,0,3271,98296,0.000
1.314470,13.88610,0,0.00000,0.00000,1200,1200,1200,0,0,3271,98296,0.000
1.333319,18.84990,0,0.00000,0.00000,1200,1200,1200,0,0,3271,98296,0.000
1.348540,15.22080,0,0.00000,0.00000,1200,1200,1200,0,0,3271,98296,0.000
1.369587,21.04710,0,0.00000,0.00000,1200,1200,1200,0,0,3271,98296,0.000
1.390660,21.07310,1,6.51290,1.36350,1200,1200,1200,0,0,3271,98296,0.000
1.403458,12.79760,0,0.00000,0.00000,1200,1200,1200,0,0,3271,98296,0.000
1.417836,14.37770,0,0.00000,0.00000,1200,1200,1200,0,0,3271,98296,0.000
1.436241,18.40540,0,0.00000,0.00000,1200,1200,1200,0,0,3271,98296,0.000
1.449549,13.30750,0,0.00000,0.00000,1200,1200,1200,0,0,3271,98296,0.000
1.469177,19.62800,0,0.00000,0.00000,1200,1200,1200,0,0,3271,98296,0.000
1.490363,21.18680,1,7.60280,1.29760,1200,1200,1200,0,0,3271,98296,0.000
1.503155,12.79130,0,0.00000,0.00000,1200,1200,1200,0,0,3271,98296,0.000
1.517231,14.07630,0,0.00000,0.00000,1200,1200,1200,0,0,3271,98296,0.000
