monotonic_seconds,engine_seconds,connection,in_total_bytes,out_total_bytes,packet_overhead
16888503.810070101,39.875817001,127.0.0.1:17951,1060376,38302,28
16888503.829944301,39.895691201,127.0.0.1:17951,1068021,38423,28
16888503.847744700,39.913491599,127.0.0.1:17951,1070162,38461,28
16888503.870759699,39.936506599,127.0.0.1:17951,1070404,38499,28
16888503.884874400,39.950621299,127.0.0.1:17951,1072370,38537,28
16888503.910578500,39.976325400,127.0.0.1:17951,1072370,38537,28
16888503.929279901,39.995026801,127.0.0.1:17951,1076558,38658,28
16888503.951259598,40.017006498,127.0.0.1:17951,1076558,38658,28
16888503.963923998,40.029670898,127.0.0.1:17951,1078685,38696,28
16888503.993235499,40.058982398,127.0.0.1:17951,1078685,38696,28
16888504.012709301,40.078456201,127.0.0.1:17951,1081821,38734,28
16888504.035468899,40.101215798,127.0.0.1:17951,1085050,38855,28
16888504.058609400,40.124356300,127.0.0.1:17951,1088559,38893,28
16888504.075049002,40.140795901,127.0.0.1:17951,1090704,38931,28
16888504.091433600,40.157180499,127.0.0.1:17951,1092843,38969,28
16888504.110743299,40.176490199,127.0.0.1:17951,1093153,39007,28
16888504.131586000,40.197332900,127.0.0.1:17951,1095274,39128,28
16888504.149972200,40.215719100,127.0.0.1:17951,1096573,39166,28
16888504.170730699,40.236477599,127.0.0.1:17951,1097447,39204,28
16888504.192641102,40.258388001,127.0.0.1:17951,1099577,39242,28
16888504.208369799,40.274116699,127.0.0.1:17951,1099615,39280,28
16888504.229955800,40.295702700,127.0.0.1:17951,1103832,39401,28
16888504.246282399,40.312029298,127.0.0.1:17951,1103895,39439,28
16888504.265409999,40.331156898,127.0.0.1:17951,1105992,39477,28
16888504.287213501,40.352960400,127.0.0.1:17951,1107255,39515,28
16888504.305511501,40.371258400,127.0.0.1:17951,1108168,39553,28
16888504.323701300,40.389448199,127.0.0.1:17951,1112623,39674,28
16888504.343687300,40.409434199,127.0.0.1:17951,1116122,39712,28
16888504.364671100,40.430418000,127.0.0.1:17951,1118649,39750,28
16888504.386116400,40.451863300,127.0.0.1:17951,1119918,39788,28
16888504.403816901,40.469563801,127.0.0.1:17951,1120965,39826,28
16888504.419461999,40.485208899,127.0.0.1:17951,1122345,39947,28
16888504.441205900,40.506952800,127.0.0.1:17951,1125504,39985,28
16888504.460640900,40.526387800,127.0.0.1:17951,1125552,40023,28
16888504.483217500,40.548964400,127.0.0.1:17951,1127798,40061,28
16888504.502377700,40.568124600,127.0.0.1:17951,1128999,40099,28
16888504.519020800,40.584767699,127.0.0.1:17951,1131558,40220,28
16888504.540151000,40.605897900,127.0.0.1:17951,1132394,40258,28
16888504.562628601,40.628375500,127.0.0.1:17951,1134625,40296,28
16888504.584404800,40.650151700,127.0.0.1:17951,1134663,40334,28
