EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,Exclusive/GameThread/HandleRPC,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCombatEffectReplicationComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,GuLiCommanderPoseDispatch/AttemptedChunks,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,Ticks/GameplayDebuggerPlayerManager,Ticks/GuLiBuildingShieldComponent,Exclusive/GameThread/LogFlush,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,PackageMap/NetGuidExports,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/EventWait
,3.9066,0.072000,0.1272,0.015900,0.1408,0.018300,0.1417,0.094500,0.002300,0.007800,1.7947,1.8162,0.001800,0.008200,0.042000,0.9788,0.2590,0.3255,0.018400,0.006100,3.0262,0.2782,0.016100,0.000800,0.081300,0.1154,0.3276,0.001200,0.000800,0.002600,0.017400,0.049600,0.5551,0.097600,0.001500,0.033900,0.003900,0.001900,0.3639,0.035800,0.000100,0,0,20.4377,0,0,62,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,0,1,0,1,1,0,2,2,0,0,0,0,0,0,0,0.1476,0,29.5000,0,0,0.4667,0.6143,0,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2718,5189.3320,5513.2656,6227.7422,0,10702.5977,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1595,0.075300,0.1415,0.017300,0.1042,0.017500,0.074800,0,0.002800,0.008100,1.9706,1.9962,0.002200,0.009900,0.043400,1.0892,0.2868,0.3114,0.018900,0.007800,0,0.3802,0.015000,0.000700,0.002300,0.2754,0.4851,0.001600,0.001100,0.002900,0.016600,0.047100,0.3623,0.2233,0.001400,0.021200,0.001500,0.001800,0.1024,0.014800,0.000100,0,0,0,0,0,61,0,0,0,0,0,0,2,2,0,1,48,4,96,0,6,2,3,0,0,26,0,26,0,0,1,5,0,0,0,0,0,0,0,0.094902,0,16,0,0,0.3054,0.4003,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5688,5187.9570,5513.2656,6227.7422,0,10701.2227,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.8762,0.064400,0.076200,0.014600,0.098000,0.015100,0.087400,0,0.004300,0.013500,1.8388,1.8755,0.001500,0.006600,0.041600,0.4702,0.2813,0.2650,0.013900,0.004000,4.1548,0.2816,0.016000,0.000600,0.002000,0.2601,0.4649,0.001300,0.000900,0.002300,0.018100,0.044300,0.6065,0.074300,0.001300,0.021500,0.001600,0.001500,0.1066,0.014000,0.000200,0,0,0,0,0,61,0,0,0,0,0,0,2,2,0,1,48,4,96,0,6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1677,0,30.5000,0,0,0.5004,0.6681,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8093,5188.0312,5515.0781,6230.1172,0,10703.1094,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1647,0.1892,0.1626,0.015000,0.1696,0.019600,0.083000,0,0.002800,0.008000,1.3814,1.4054,0.001700,0.007200,0.037500,1.3293,0.2857,0.2470,0.015200,0.004800,0,0.2703,0.019000,0.000400,0.002700,8.5793,8.6719,0.001800,0.001100,0.005000,0.021700,0.066800,0.4456,0.3022,0.002600,0.034300,0.001600,0.001700,0.6643,0.011700,0.000100,0,0,0,0,0,62,0,0,0,0,0,0,2,2,0,1,48,4,96,0,6,3,3,0,0,26,0,26,0,0,1,6,0,0,0,0,0,0,0,0.1195,0,20,0,0,0.3806,0.5001,0,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3414,5183.4844,5515.5938,6230.1172,0,10699.0781,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,82105,40371,0,2.9947,0.1149,7.1574,1,0,0,0,0,0,0,0,0
,3.5113,0.074900,0.2552,0.031800,0.1103,0.017300,0.1223,0.073500,0.002600,0.008600,1.8687,1.8938,0.001700,0.009000,0.044000,2.0411,0.3200,0.3115,0.016500,0.005500,0.8230,0.3346,0.018400,0.000600,0.003300,0.1229,0.3663,0.002100,0.001100,0.003000,0.017900,0.053000,1.2505,0.5058,0.001600,0.021600,0.001600,0.001300,0.1080,0.013500,0.000200,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,6,6,0,2,627,0,27,0,0,2,12,0,0,0,0,0,0,0,0.1689,0,26.5000,5.3330,0,1.4353,1.6042,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9396,5184.0859,5515.6367,6230.1172,0,10699.7227,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1630,0.079400,0.3264,0.012700,0.1180,0.019900,0.2895,0,0.003900,0.012000,1.8705,1.9056,0.001400,0.008200,0.039400,0.7674,0.2568,0.2394,0.046100,0.005800,0,0.2492,0.015900,0.000500,0.002300,0.2636,0.4779,0.001400,0.001000,0.002900,0.021700,0.066000,1.0310,0.2266,0.002300,0.029300,0.001600,0.002100,0.1662,0.019800,0.000100,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,2,4,0,2,400,0,0,0,0,2,5,0,0,0,0,0,0,0,0.1931,0,23.5000,2.9229,0,1.2905,1.4836,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7178,5186.4570,5515.6992,6230.1172,0,10702.1562,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.5561,0.076100,0.3224,0.014500,0.1320,0.021000,0.066800,0,0.003000,0.008500,1.9243,1.9483,0.001400,0.007100,0.045500,1.2011,0.2285,0.2318,0.014500,0.004400,3.0454,0.3799,0.019800,0.000700,0.1054,0.2882,0.6244,0.002000,0.001300,0.003600,0.022300,0.079200,1.2488,0.3859,0.008400,0.037100,0.001900,0.002100,0.1416,0.014800,0.000100,0,0,0,0,0,65,0,0,0,0,0,0,2,2,0,1,50,2,100,0,6,3,4,0,68,34,0,26,1,0,1,7,0,0,0,0,0,0,0,0.3061,0,22,1.0127,0,1.2335,1.5396,0,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,65,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6729,5185.9688,5515.6992,6230.1172,0,10701.6680,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,6958,391,0,0.4261,0,0,0,1,2,0,0,0,0,0,0
,0.1518,0.068500,0.1220,0.015700,0.1206,0.017200,0.1171,0.076400,0.002500,0.007400,1.8004,1.8215,0.001600,0.007200,0.039500,0.4273,0.2631,0.2560,0.015000,0.004000,0,0.2985,0.015700,0.000900,0.003000,1.3641,2.4073,0.001600,0.000800,0.004200,0.023900,0.068600,0.8000,0.1229,0.002100,0.023200,0.002000,0.001800,0.1239,0.012900,0.000100,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,2,50,2,100,0,6,1,1,0,8,1,0,1,0,0,3,2,0,0,0,0,0,0,0,0.1731,0,35.5000,0,0,0.7290,0.9021,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5960,5181.3242,5515.6992,6230.1172,0,10697.0234,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0.1251,0,0,0,0,0,0,0,0,0,0
,4.3195,0.065100,0.1961,0.016200,0.099300,0.017400,0.074600,0,0.002400,0.007900,1.7071,1.7286,0.002000,0.008400,0.042200,1.6516,0.3247,0.2652,0.015400,0.006100,2.3748,0.3044,0.017700,0.000700,0.002300,0.1711,0.3818,0.001400,0.000900,0.002400,0.017900,0.1160,0.6350,0.3931,0.001500,0.020100,0.001500,0.001400,0.1282,0.014000,0.000200,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,1,50,2,100,0,10,3,3,0,2,28,0,26,1,0,2,6,0,0,0,0,0,0,0,0.1336,0,22.5000,0,0,0.5733,0.7069,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0968,5227.1289,5515.7617,6230.1172,0,10742.8906,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1834,0.077500,0.1201,0.013300,0.2089,0.018700,0.1030,0.074600,0.002700,0.009100,1.7738,1.7990,0.002100,0.008100,0.048100,0.4864,0.2989,0.2647,0.016100,0.004700,0,0.2603,0.017900,0.000700,0.003600,9.0360,9.3570,0.002700,0.001100,0.007900,0.031400,0.1015,1.0142,0.1787,0.003900,0.046900,0.002300,0.002900,0.6950,0.014200,0.000100,0,0,0,0,0,62,0,0,0,0,0,0,2,2,0,1,50,2,98,0,8,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0.2681,0,23.5000,0,0,0.8506,1.1187,0,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9090,5307.8164,5515.8281,6230.1172,0,10823.6445,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,2844,392,0,0.2595,0,8.7285,1,0,0,0,0,0,0,0,0
