EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/FlushNet,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,GuLiCommanderPoseDispatch/AttemptedChunks,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiBuildingShieldComponent,Ticks/GuLiCombatEffectReplicationComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,Exclusive/GameThread/HandleRPC,FMsgLogf/FMsgLogfCount,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/EndOfFrameUpdates,Exclusive/GameThread/GarbageCollection,GC/Count,Exclusive/GameThread/DeleteLinkers,Exclusive/GameThread/LogFlush,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/EventWait
,4.8349,0.076100,0.1661,0.014100,0.1579,0.020000,0.067900,0.002300,0.008700,1.8487,1.8713,0.002400,0.011300,0.043100,1.2909,0.3531,0.2909,0.017700,0.004100,0.2366,3.2136,0.3202,0.017000,0.001300,0.069700,0.1213,0.3686,0.001900,0.000900,0.002800,0.018700,0.075100,0.6766,0.006000,0.042500,0.003800,0.002200,0.3682,0.034000,0.000500,0,0,10.0585,0,0,57,0,0,13,0,0,0,0,1,1,1,1,46,2,49,0,3,3,3,0,35,17,0,13,1,0,1,3,0,0,0,0,0,0,0,0.1456,0,28,0,0,0.5982,0.7438,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0179,11182.9883,5533.8555,6262.3555,0,16716.8438,32.8821,0.4375,32.0039,0.001953,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1479,0.068600,0.036800,0.010700,0.086800,0.013200,0.029600,0.001800,0.009200,1.3660,1.3891,0.000700,0.004000,0.026000,0.4096,0.3354,0.2482,0.014900,0.003400,0,0,0.3216,0.016400,0.000600,0.002200,0.2526,0.4416,0.001200,0.001100,0.001600,0.014700,0.043200,0.2927,0.001100,0.019200,0.001200,0.001400,0.095000,0.014700,0.000100,0,0,0,0,0,54,0,0,0,0,0,0,0,1,1,0,0,46,2,49,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079997,0,20,0,0,0.2420,0.3220,0,1,2,2,12,1,1,1,0,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1812,11184.4180,5533.9180,6262.3555,0,16718.3359,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.5004,0.071500,0.091900,0.015100,0.1043,0.015700,0.084600,0.002500,0.009600,1.8838,1.9090,0.001700,0.007100,0.038100,0.9615,0.2674,0.2353,0.014300,0.002500,0.2290,2.2393,0.3142,0.014700,0.000700,0.002600,0.2528,0.4572,0.001600,0.000700,0.002400,0.015900,0.1515,0.4035,0.001600,0.020600,0.001200,0.001500,0.092800,0.013800,0.000100,0,0,0,0,0,54,0,0,13,0,0,0,0,1,1,1,1,46,2,49,0,5,3,3,0,0,13,0,13,1,0,1,3,0,0,0,0,0,0,0,0.1013,0,29,0,0,0.3266,0.4279,0,1,2,2,12,1,1,1,0,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3490,11184.3555,5533.9180,6262.3555,0,16718.2734,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1630,0.1290,0.070500,0.015200,0.1671,0.018500,0.1287,0.004300,0.012400,1.7298,1.7651,0.001700,0.007200,0.034300,0.4107,0.2772,0.2484,0.014600,0.003000,0.081000,0,0.2826,0.013300,0.000700,0.002200,8.9246,9.9538,0.002100,0.001700,0.004800,0.022100,0.050700,0.4853,0.001800,0.023300,0.001500,0.001800,0.6523,0.016200,0.000100,0,0,0,0,0,55,0,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,1,1,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1281,0,32,0,0,0.4153,0.5434,0,1,2,2,12,1,1,1,0,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.2491,11181.2930,5533.9258,6262.3555,0,16715.2188,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,81557,40372,0,2.5583,0.1209,7.4979,0,1,0,0,0,0,0,0,0,0,0,0
,3.1342,0.077300,0.1708,0.013200,0.1187,0.024200,0.030200,0.002000,0.008700,1.9288,1.9534,0.001500,0.007500,0.031200,1.9201,0.2789,0.2371,0.014700,0.003100,0.2987,1.0884,0.2517,0.014400,0.000800,0.002900,0.1352,0.3661,0.001700,0.001100,0.003500,0.019700,0.046200,1.0273,0.001600,0.023600,0.001500,0.001700,0.1278,0.018100,0.000100,0,0,0,0,0,54,0,0,13,0,0,0,0,1,1,0,0,44,4,47,0,3,10,10,0,1,713,0,13,0,0,0,10,0,0,0,0,0,0,0,0.1233,0,26,6.0674,0,1.2040,1.3273,0,1,2,2,12,1,1,1,0,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9881,11181.6055,5533.9258,6262.3555,0,16715.5312,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1424,0.081000,0.047300,0.014700,0.1004,0.015200,0.1190,0.001800,0.007900,1.4408,1.4609,0.001800,0.007600,0.039000,0.4532,0.2491,0.2507,0.015200,0.002900,0.074000,0,0.3009,0.014100,0.000400,0.002500,0.2907,0.4981,0.002400,0.001100,0.002400,0.015300,0.047700,0.3590,0.001600,0.021900,0.001200,0.002000,0.1271,0.011000,0.000100,0,0,0,0,0,54,0,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,1,1,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0.1074,0,26,0,0,0.2862,0.3936,0,1,2,2,12,1,1,1,0,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2082,11181.1328,5533.9883,6262.3555,0,16715.1211,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0.087100,0,0,0,0,0,0,0,0,0,0,0
,3.8995,0.076900,0.055800,0.019400,0.1138,0.019300,0.041000,0.002600,0.010900,1.7181,1.7445,0.001900,0.008900,0.036900,0.5156,0.3350,0.2598,0.015800,0.002900,0.094100,3.0939,0.4181,0.019900,0.000900,0.083700,0.2755,0.5585,0.001900,0.001000,0.002700,0.017600,0.050500,0.4130,0.001600,0.022900,0.001400,0.001500,0.1058,0.014300,0.000100,0,0,0,0,0,55,0,0,0,0,0,0,0,1,1,0,0,44,4,47,0,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.1061,0,25,0,0,0.3241,0.4302,0,1,2,2,12,1,1,1,0,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8189,11180.1328,5533.9883,6262.3555,0,16714.1211,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,4656,352,0,0.4296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1552,0.087100,0.2910,0.013000,0.1270,0.020500,0.076400,0.002300,0.007600,1.6301,1.6516,0.001600,0.007300,0.035200,0.9574,0.3887,0.2739,0.018100,0.004300,0.2147,0,0.3278,0.016100,0.000900,0.002800,1.5497,1.6729,0.002100,0.000700,0.003400,0.019800,0.058400,0.4310,0.002500,0.030300,0.001600,0.002300,0.1779,0.020800,0.000100,0,0,0,0,0,54,0,0,13,0,0,0,0,1,1,2,2,44,4,47,0,3,3,3,0,1,13,0,13,0,0,2,3,0,0,0,0,0,0,0,0.1200,0,27,0,0,0.5378,0.6578,0,1,2,2,12,1,1,1,0,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4731,11182.5898,5533.9883,6262.3555,0,16716.5781,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0.1323,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.6328,0.073800,0.082800,0.011100,0.1095,0.017900,0.061600,0.002000,0.006700,1.4893,1.5089,0.001500,0.007200,0.034100,0.8423,0.3049,0.2539,0.016800,0.003900,0.2399,2.2891,0.3412,0.020400,0.000800,0.002900,0.1821,0.4416,0.001800,0.001000,0.002700,0.020800,0.047100,0.3432,0.001800,0.024200,0.001400,0.001900,0.1519,0.016200,0.000200,0,0,0,0,0,54,0,0,13,0,0,0,0,1,1,1,1,44,4,47,0,3,3,3,0,0,13,0,13,0,0,1,3,0,0,0,0,0,0,0,0.094399,0,25,0,0,0.2679,0.3623,0,1,2,2,12,1,1,1,0,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0909,11179.8711,5534.0508,6262.3555,0,16713.9219,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1401,0.093100,0.060000,0.013400,0.1739,0.020000,0.081700,0.002100,0.008700,1.7397,1.7635,0.002300,0.011100,0.052000,0.8932,0.5144,0.3963,0.031600,0.005600,0.1410,0,0.3326,0.020600,0.000800,0.002500,9.6879,9.9549,0.002300,0.001200,0.004500,0.022200,0.068600,0.4903,0.002800,0.032900,0.001600,0.002200,0.8527,0.019200,0.000300,0,0,0,0,0,55,0,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.1331,0,27,0,0,0.4018,0.5349,0,1,2,2,12,1,1,1,0,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3406,11176.0391,5534.0508,6262.3555,0,16710.0898,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,1426,364,0,0.1528,0,9.3758,0,1,0,0,0,0,0,0,0,0,0,0
