EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,Exclusive/GameThread/HandleRPC,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/FlushNet,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,GuLiCommanderPoseDispatch/AttemptedChunks,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,Ticks/GuLiCombatEffectReplicationComponent,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,Ticks/GuLiBuildingShieldComponent,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/LogFlush,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,PackageMap/NetGuidExports,Exclusive/GameThread/EventWait
,4.4169,0.076300,0.2333,0.014400,0.1474,0.016900,0.1702,0.1221,0.004300,0.014600,2.2632,2.2981,0.002500,0.007800,0.044400,2.6143,0.3437,0.5293,0.019800,0.008500,0.4025,0.9507,0.4514,0.022200,0.000700,0.002500,0.1200,0.3324,0.002000,0.000900,0.003200,0.019100,0.054900,0.6509,0.002200,0.042200,0.003700,0.001400,0.3466,0.032000,0.000100,0,0,20.4155,0,0,61,0,0,26,0,0,0,0,2,2,1,1,48,4,96,0,6,3,3,0,4,27,0,27,0,0,2,6,0,0,0,0,0,0,0,0.1525,0,30.5000,0,0,0.5893,0.7418,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3664,5857.1211,5522.6328,6243.7695,0,11379.7539,32.8821,0.4375,32.0039,0.001953,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.1006,0.075700,0.1483,0.014300,0.1126,0.017300,0.1037,0.059900,0.001900,0.007100,1.8417,1.8619,0.001400,0.007200,0.035800,0.8914,0.3513,0.5004,0.018800,0.006300,0.1580,2.0117,0.3143,0.028000,0.001000,0.099500,0.3022,0.6135,0.001600,0.000900,0.002800,0.019400,0.065400,0.6874,0.002700,0.029600,0.001500,0.002200,0.1344,0.016100,0.000300,0,0,0,0,0,62,0,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,0,1,0,1,1,0,2,2,0,0,0,0,0,0,0,0.1819,0,25,0,0,0.5919,0.7738,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8154,5856.0820,5523.5820,6245.3945,0,11379.6641,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1948,0.059200,0.056800,0.010900,0.088400,0.013200,0.029200,0,0.002100,0.009100,1.8649,1.8897,0.001600,0.009600,0.036700,0.4049,0.3237,0.3957,0.012900,0.003800,0,0,0.3888,0.019900,0.000700,0.002400,0.2678,0.4841,0.001200,0.000700,0.002500,0.016400,0.042400,0.4889,0.001300,0.018300,0.001300,0.001400,0.1256,0.012300,0.000100,0,0,0,0,0,61,0,0,0,0,0,0,0,2,2,0,0,48,4,96,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1151,0,24.5000,0,0,0.4239,0.5390,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6242,5855.6953,5523.5820,6245.3945,0,11379.2773,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.3828,0.1586,0.1711,0.016700,0.1230,0.019000,0.1013,0,0.002900,0.009100,2.0384,2.0646,0.002100,0.008200,0.034400,0.9660,0.2775,0.3621,0.014900,0.004100,0.2600,2.8269,0.3544,0.024700,0.000800,0.002900,1.4913,1.5869,0.001400,0.000700,0.003200,0.022200,0.050700,0.4216,0.001900,0.021100,0.001300,0.001600,0.1070,0.013300,0.000200,0,0,0,0,0,61,0,0,26,0,0,0,0,2,2,1,1,48,4,96,0,6,3,3,0,0,26,0,26,0,0,2,6,0,0,0,0,0,0,0,0.1129,0,20.5000,0,0,0.3619,0.4748,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4565,5852.9102,5524.6523,6245.3945,0,11377.5625,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,82219,40371,0,3.1131,0.1289,0,0,0,0,0,0,0,0,0,0
,0.1284,0.069900,0.3293,0.011500,0.1571,0.017200,0.030200,0,0.002300,0.009500,1.9587,1.9834,0.001600,0.010000,0.041900,1.2246,0.2620,0.5674,0.015300,0.009000,0.1387,0,0.5450,0.037500,0.001300,0.003700,9.1991,9.5317,0.002000,0.001200,0.005000,0.021900,0.065900,0.9760,0.007800,0.029700,0.001400,0.002100,0.6882,0.016700,0.000300,0,0,0,0,0,64,0,0,0,0,0,0,0,2,2,0,0,50,2,100,0,6,1,1,0,70,8,0,0,1,0,0,2,0,0,0,0,0,0,0,0.2169,0,29.5000,0,0,1.0600,1.2769,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7969,5855.2305,5524.6523,6245.3945,0,11379.8828,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,1,0,0,0,0,0,9.0353,1,2,0,0,0,0,0,0,0
,5.1936,0.073800,0.1914,0.014600,0.1369,0.019300,0.069000,0,0.002000,0.007300,1.7455,1.7641,0.001500,0.005700,0.036500,1.0450,0.3016,0.4122,0.015700,0.005100,0.3569,3.5485,0.3055,0.027700,0.000700,0.003200,0.3453,0.6323,0.001600,0.001700,0.004000,0.023200,0.067700,0.6006,0.002100,0.028700,0.001900,0.001900,0.1154,0.010600,0.000100,0,0,0,0,0,61,0,0,26,0,0,0,0,2,2,1,1,50,2,100,0,8,3,3,0,1,27,0,26,0,0,2,6,0,0,0,0,0,0,0,0.1707,0,25.5000,0,0,0.4927,0.6634,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1000,5851.1953,5524.7227,6245.3945,0,11375.9180,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.3239,0.072700,0.3625,0.014600,0.1094,0.017600,0.1272,0.1105,0.002100,0.007900,1.8460,1.8672,0.001700,0.006500,0.038400,2.6131,0.2886,0.3830,0.016100,0.005300,0.5539,0,0.5859,0.025500,0.000900,0.003500,0.2722,0.4975,0.001700,0.000800,0.002500,0.017600,0.1238,1.4951,0.002300,0.026400,0.001600,0.002000,0.1455,0.013600,0.000200,0,0,0,0,0,61,0,0,26,0,0,0,0,2,2,1,1,50,2,100,0,10,8,10,0,3,1029,0,28,1,0,2,16,0,0,0,0,0,0,0,0.1765,0,24.5000,8.7227,0,1.8280,2.0045,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0824,5851.0430,5524.7852,6245.3945,0,11375.8281,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,2629,378,0,0.2572,0,0,0,0,0,0,0,0,0,0,0
,3.1950,0.070500,0.099000,0.009600,0.1018,0.016100,0.055200,0,0.002000,0.006800,1.5888,1.6075,0.001400,0.007900,0.042200,0.4449,0.2097,0.4013,0.016900,0.004500,0.1160,2.3226,0.2802,0.018000,0.000500,0.071800,1.2972,1.3769,0.001600,0.000800,0.002800,0.019200,0.1017,0.4901,0.001400,0.023000,0.002100,0.001700,0.1387,0.015800,0.000100,0,0,0,0,0,62,0,0,0,0,0,0,0,2,2,0,1,50,2,100,0,9,1,1,0,3,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0.1191,0,25.5000,0,0,0.4273,0.5464,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1930,5851.5156,5524.7852,6245.3945,0,11376.3008,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,1,0,0,0,0,0.1178,0,0,0,0,0,0,0,0,0,0
,0.1546,0.087400,0.1770,0.013200,0.1353,0.024400,0.088900,0,0.001900,0.007300,1.4878,1.5079,0.001600,0.007900,0.039800,1.3651,0.2534,0.3677,0.013900,0.005100,0.2702,0,0.3634,0.028400,0.000800,0.003200,0.2095,0.4887,0.002100,0.001700,0.004600,0.032500,0.1138,0.6390,0.001800,0.025100,0.001500,0.001700,0.1228,0.015600,0.000100,0,0,0,0,0,61,0,0,26,0,0,0,0,2,2,0,1,50,2,99,0,8,3,3,0,2,26,0,26,1,0,1,6,0,0,0,0,0,0,0,0.1436,0,27,0,0,0.5598,0.7034,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1171,5850.8828,5524.7852,6245.3945,0,11375.6680,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.7851,0.094200,0.1623,0.010900,0.1049,0.016300,0.084000,0,0.001900,0.006400,2.0196,2.0381,0.001400,0.007500,0.035000,0.4781,0.2553,0.4808,0.018100,0.005500,0.1014,2.8668,0.3336,0.022700,0.000600,0.002500,0.2673,0.4800,0.002300,0.001200,0.003800,0.023700,0.1176,0.4208,0.001600,0.022000,0.001300,0.001300,0.1103,0.014700,0.000200,0,0,0,0,0,61,0,0,0,0,0,0,0,2,2,1,1,49,3,98,0,7,1,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0.1305,0,20,0,0,0.4333,0.5638,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7228,5854.0547,5524.8477,6245.3945,0,11378.9023,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,7219,404,0,0.4495,0,0,0,0,0,0,0,0,0,0,0
