seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.017684,17.68410,0,0.00000,0.00000,1200,1200,1200,0,0,57255,3324,6.293
0.024706,7.02170,0,0.00000,0.00000,1200,1200,1200,0,0,57255,3324,13.315
0.034836,10.13030,0,0.00000,0.00000,1200,1200,1200,0,0,57255,3324,9.333
0.047573,12.73640,0,0.00000,0.00000,1200,1200,1200,0,0,57255,3324,11.856
0.058722,11.14990,0,0.00000,0.00000,1200,1200,1200,0,0,57255,3324,23.006
0.070732,12.00970,0,0.00000,0.00000,1200,1200,1200,0,0,57255,3324,11.157
0.082048,11.31630,0,0.00000,0.00000,1200,1200,1200,0,0,57255,3324,10.076
0.094934,12.88550,0,0.00000,0.00000,1200,1200,1200,0,0,57255,3324,12.043
0.104509,9.57510,0,0.00000,0.00000,1200,1200,1200,0,0,57255,3324,21.618
0.117732,13.22300,0,0.00000,0.00000,1200,1200,1200,0,0,57255,3324,34.841
0.130580,12.84780,0,0.00000,0.00000,1200,1200,1200,0,0,57255,3324,47.689
0.142176,11.59610,0,0.00000,0.00000,1200,1200,1200,0,0,57255,3324,10.634
0.152450,10.27420,0,0.00000,0.00000,1200,1200,1200,0,0,57255,3324,20.908
0.165900,13.45010,0,0.00000,0.00000,1200,1200,1200,0,0,57255,3324,34.358
0.178239,12.33840,0,0.00000,0.00000,1200,1200,1200,0,0,57255,3324,11.458
0.187289,9.05030,0,0.00000,0.00000,1200,1200,1200,0,0,57255,3324,8.253
0.200509,13.22040,0,0.00000,0.00000,1200,1200,1200,0,0,57255,3324,12.416
0.214101,13.59180,0,0.00000,0.00000,1200,1200,1200,0,0,57255,3324,26.007
0.225389,11.28780,0,0.00000,0.00000,1200,1200,1200,0,0,57255,3324,37.295
0.235984,10.59540,0,0.00000,0.00000,1200,1200,1200,0,0,57255,3324,9.767
0.249460,13.47570,0,0.00000,0.00000,1200,1200,1200,0,0,57255,3324,12.593
0.261036,11.57570,0,0.00000,0.00000,1200,1200,1200,0,0,57255,3324,24.169
0.270355,9.31890,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,8.423
0.283590,13.23570,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,12.420
0.295533,11.94290,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,11.052
0.304477,8.94350,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,19.995
0.319215,14.73800,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,34.733
0.332563,13.34800,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,12.441
0.344936,12.37290,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,24.814
0.353549,8.61330,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,7.703
0.367247,13.69860,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,12.924
0.379292,12.04490,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,24.969
0.388877,9.58470,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,8.726
0.401564,12.68660,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,11.814
0.413835,12.27110,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,24.085
0.422325,8.48990,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,7.577
0.435628,13.30370,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,20.880
0.445913,10.28440,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,31.165
0.457338,11.42510,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,10.367
0.469821,12.48340,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,11.585
0.479001,9.17980,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,20.765
0.491750,12.74850,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,11.833
0.504310,12.56080,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,11.808
0.514869,10.55840,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,22.366
0.525536,10.66760,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,8.963
0.534743,9.20660,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,18.170
0.547328,12.58490,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,30.754
0.556908,9.58040,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,8.626
0.569096,12.18800,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,11.279
0.582027,12.93040,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,24.210
0.591816,9.78950,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,8.967
0.603731,11.91520,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,11.075
0.616903,13.17130,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,24.247
0.627765,10.86190,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,10.020
0.638221,10.45680,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,20.477
0.652560,14.33840,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,34.815
0.664948,12.38790,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,10.947
0.677709,12.76120,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,23.708
0.687091,9.38210,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,8.553
0.700201,13.11040,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,12.348
0.711783,11.58130,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,23.930
0.721686,9.90340,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,33.833
0.734982,13.29600,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,47.129
0.745566,10.58340,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,9.585
0.756651,11.08560,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,10.187
0.768460,11.80890,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,10.895
0.777881,9.42080,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,20.316
0.790778,12.89760,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,33.214
0.803369,12.59040,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,11.657
0.812573,9.20430,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,20.861
0.824755,12.18180,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,11.200
0.836360,11.60490,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,10.855
0.847898,11.53780,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,22.393
0.858922,11.02410,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,10.023
0.867929,9.00700,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,8.179
0.881375,13.44620,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,21.626
0.895969,14.59400,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,13.800
0.907913,11.94380,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,11.014
0.917424,9.51140,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,20.526
0.929675,12.25100,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,11.414
0.941726,12.05090,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,11.298
0.951505,9.77870,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,21.077
0.964346,12.84100,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,11.903
0.976269,11.92330,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,11.006
0.985934,9.66520,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,20.671
0.999344,13.40980,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,12.567
1.011586,12.24150,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,11.448
1.020549,8.96330,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,20.411
1.033088,12.53920,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,32.950
1.041849,8.76080,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,7.833
1.054419,12.56970,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,11.762
1.068027,13.60870,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,25.370
1.078412,10.38440,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,9.301
1.089951,11.53970,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,10.470
1.101960,12.00840,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,11.021
1.111096,9.13590,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,20.157
1.124042,12.94660,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,33.104
1.136588,12.54620,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,11.678
1.145585,8.99700,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,20.675
1.158497,12.91120,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,33.586
1.171611,13.11400,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,11.982
1.180854,9.24300,0,0.00000,0.00000,1200,1200,1200,0,0,66173,3450,21.225
