monotonic_seconds,send_ms,receive_ms,ack_ms,capture_ms,wire_read_ms,send_calls,receive_calls,ack_calls,capture_calls,wire_read_calls,decoded_samples,decode_failures,absolute_samples,delta_samples,payload_bytes,cache_bytes,peak_cache_bytes,sample_gap_count,sample_gap_ticks,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21
16889296.216114100,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,1886032,1886032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.233798198,0.000000000,0.186007470,0.000000000,0.000000000,0.007301569,0,13,0,0,13,300,0,0,0,0,1888880,1888880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.240819901,0.000000000,0.186007470,0.000000000,0.000000000,0.007301569,0,13,0,0,13,300,0,0,0,0,1888880,1888880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.250950199,0.000000000,0.254113227,0.070899725,0.000000000,0.009700656,0,19,1,0,19,492,0,0,0,0,1891632,1891632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.263686601,0.000000000,0.308018178,0.070899725,0.000000000,0.012297183,0,26,1,0,26,600,0,0,0,0,1891760,1891760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.274836499,0.000000000,0.308018178,0.070899725,0.000000000,0.012297183,0,26,1,0,26,600,0,0,0,0,1891760,1891760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.286846198,0.000000000,0.374022871,0.070899725,0.000000000,0.015199184,0,32,1,0,32,792,0,0,0,0,1894672,1894672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.298162501,0.000000000,0.453222543,0.070899725,0.000000000,0.020299107,0,39,1,0,39,900,0,0,0,0,1894800,1894800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.311048001,0.000000000,0.549722463,0.070899725,0.000000000,0.025201589,0,52,1,0,52,1200,0,0,0,0,1897712,1897712,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.320623100,0.000000000,0.549722463,0.070899725,0.000000000,0.025201589,0,52,1,0,52,1200,0,0,0,0,1897712,1897712,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
