EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/FlushNet,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,GuLiCommanderPoseDispatch/AttemptedChunks,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,Ticks/GuLiCombatEffectReplicationComponent,Exclusive/GameThread/HandleRPC,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,Ticks/GuLiBuildingShieldComponent,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/EndOfFrameUpdates,Exclusive/GameThread/GarbageCollection,GC/Count,Exclusive/GameThread/DeleteLinkers,Exclusive/GameThread/LogFlush,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/EventWait
,4.0198,0.071200,0.1639,0.015200,0.3281,0.017200,0.079700,0.002500,0.008400,1.9389,1.9613,0.002800,0.018500,0.059000,2.6207,0.3384,0.019100,0.2891,0.006200,0.2988,0.9838,0.3007,0.011900,0.000800,0.002500,0.1522,0.4459,0.002000,0.000700,0.002700,0.017400,0.044400,0.7292,0.001300,0.033900,0.002200,0.000900,0.3963,0.032300,0.000200,0,0,9.9302,0,0,54,0,0,13,0,0,0,0,1,1,2,2,44,4,47,0,3,2,2,0,0,13,0,13,0,0,2,2,0,0,0,0,0,0,0,0.2968,0,35,0,0,0.4848,0.7816,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4459,11301.6914,5528.8984,6253.7539,0,16830.5898,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.3582,0.067800,0.050800,0.015200,0.1015,0.016900,0.036400,0.002400,0.009100,1.8523,1.8779,0.001400,0.006600,0.036700,0.6534,0.2656,0.013800,0.2496,0.003000,0.1111,3.6769,0.3683,0.016200,0.000800,0.002700,0.2507,0.4428,0.001500,0.000900,0.002700,0.016000,0.047500,0.3002,0.002000,0.021300,0.001500,0.001500,0.1292,0.011000,0.000200,0,0,0,0,0,55,0,0,0,0,0,0,0,1,1,0,0,44,4,47,0,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.077896,0,15,0,0,0.2613,0.3392,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6935,11300.2031,5528.8984,6253.7539,0,16829.1016,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1629,0.070600,0.1015,0.012300,0.1157,0.031700,0.067300,0.002700,0.009000,2.3651,2.3926,0.002400,0.011400,0.051500,0.9981,0.3710,0.019800,0.3938,0.006700,0.2096,0,0.3895,0.019500,0.000600,0.002900,0.3297,0.5802,0.001700,0.000700,0.003300,0.017800,0.044000,0.3735,0.001300,0.020700,0.001400,0.001600,0.099500,0.011900,0.000200,0,0,0,0,0,54,0,0,13,0,0,0,0,1,1,1,1,44,4,47,0,3,2,2,0,0,13,0,13,0,0,1,2,0,0,0,0,0,0,0,0.098798,0,30,0,0,0.3020,0.4008,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4295,11299.3633,5528.8984,6253.7539,0,16828.2617,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2.8376,0.1684,0.1028,0.038700,0.1287,0.016500,0.094600,0.002000,0.007400,1.7363,1.7554,0.001500,0.008300,0.034400,0.4617,0.2584,0.014000,0.2370,0.002700,0.096700,2.1079,0.3685,0.016400,0.000700,0.002900,1.4534,1.5537,0.001600,0.000800,0.002600,0.018700,0.060800,0.3744,0.001800,0.018800,0.001300,0.001600,0.1040,0.014300,0.000300,0,0,0,0,0,54,0,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0.1027,0,26,0,0,0.3119,0.4146,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4369,11298.4062,5528.9062,6253.7539,0,16827.3125,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0.071500,0.1162,0,0,0,81387,40367,0,2.2219,0,0,0,0,0,0,0,0,0,0
,0.1985,0.067500,0.2268,0.013100,0.1676,0.016500,0.070100,0.002900,0.007500,1.6637,1.6864,0.001600,0.007000,0.036700,1.0918,0.2869,0.021800,0.2539,0.006800,0.2286,0,0.3258,0.018400,0.001600,0.071300,9.0267,9.2763,0.002200,0.001200,0.004000,0.022700,0.063400,0.6752,0.010000,0.028300,0.001500,0.001600,0.6690,0.015800,0.000200,0,0,0,0,0,57,0,0,13,0,0,0,0,1,1,2,2,46,2,49,0,3,3,3,0,34,17,0,13,1,0,2,3,0,0,0,0,0,0,0,0.1684,0,24,0,0,0.5798,0.7482,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8226,11296.8672,5528.9688,6253.7539,0,16825.8359,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,1,0,0,8.8974,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.0477,0.078800,0.1262,0.012400,0.1018,0.016100,0.070200,0.002600,0.008200,1.8058,1.8280,0.001600,0.006900,0.032400,1.7318,0.2394,0.013000,0.2253,0.002800,0.2478,2.0043,0.2997,0.015900,0.001400,0.003600,0.2897,0.5406,0.001600,0.001200,0.002200,0.016400,0.044700,0.6809,0.001800,0.020600,0.001300,0.001800,0.1315,0.014300,0.000100,0,0,0,0,0,54,0,0,13,0,0,0,0,1,1,1,1,46,2,49,0,4,6,6,0,1,313,0,13,0,0,1,6,0,0,0,0,0,0,0,0.1084,0,24,2.6602,0,0.7535,0.8619,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6929,11300.9180,5528.9688,6253.7539,0,16829.8867,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,1310,268,0,0.1871,0,0,0,0,0,0,0,0,0,0
,0.1509,0.072100,0.099500,0.013600,0.1013,0.016700,0.078100,0.002100,0.007300,1.7999,1.8217,0.001500,0.007700,0.035900,0.5844,0.2608,0.015100,0.2900,0.003800,0.1429,0,0.2841,0.017000,0.000600,0.002500,0.2862,0.4888,0.001500,0.001100,0.002500,0.016300,0.1236,0.7391,0.002300,0.021000,0.001400,0.001700,0.1187,0.015500,0.000100,0,0,0,0,0,54,0,0,0,0,0,0,0,1,1,2,2,46,2,49,0,5,4,4,0,0,400,0,0,1,0,2,4,0,0,0,0,0,0,0,0.1079,0,29,2.9082,0,0.8387,0.9466,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8992,11299.6094,5528.9688,6253.7539,0,16828.5781,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.5659,0.078600,0.047000,0.014800,0.1273,0.016700,0.081400,0.002600,0.007300,1.8935,1.9178,0.001900,0.009500,0.040000,0.5116,0.3033,0.015400,0.2523,0.004300,0.084100,3.6577,0.2279,0.014200,0.000600,0.002500,1.2297,1.3565,0.001700,0.001100,0.003900,0.023400,0.048800,0.3097,0.001500,0.022400,0.001200,0.001600,0.1145,0.015500,0.000200,0,0,0,0,0,55,0,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.091601,0,19,0,0,0.2523,0.3439,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5930,11295.7930,5529.0312,6253.7539,0,16824.8242,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,1,0,0.1483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1421,0.074200,0.2263,0.015400,0.097700,0.016900,0.043100,0.002600,0.010800,1.7242,1.7520,0.001600,0.008300,0.035400,0.7246,0.2635,0.013400,0.2420,0.002900,0.1590,0,0.3449,0.014400,0.000600,0.002400,0.1772,0.3710,0.001400,0.000900,0.002000,0.014500,0.042900,0.4047,0.001400,0.019100,0.001300,0.001500,0.1243,0.016300,0.000300,0,0,0,0,0,54,0,0,13,0,0,0,0,1,1,0,0,44,4,47,0,3,3,3,0,1,13,0,13,0,0,0,3,0,0,0,0,0,0,0,0.094600,0,30,0,0,0.3366,0.4312,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2203,11297.9180,5529.0312,6253.7539,0,16826.9492,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.9801,0.072600,0.042300,0.012800,0.1159,0.015200,0.1030,0.002300,0.006900,1.7188,1.7401,0.003100,0.010300,0.039700,0.6307,0.3109,0.015200,0.2740,0.003500,0.093200,3.1709,0.2371,0.013000,0.000800,0.002500,0.2489,0.4787,0.001900,0.000800,0.002600,0.017400,0.043500,0.3515,0.001400,0.019600,0.001300,0.001800,0.096900,0.013600,0.000100,0,0,0,0,0,54,0,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,1,1,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0.097394,0,25,0,0,0.2860,0.3834,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6729,11295.1367,5529.0312,6253.7539,0,16824.1680,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0.070900,0,0,0,0,4810,449,0,0.3213,0,0,0,0,0,0,0,0,0,0
