monotonic_seconds,engine_seconds,connection,in_total_bytes,out_total_bytes,packet_overhead
16889296.189293001,77.824423801,127.0.0.1:52589,43843,1064674,28
16889296.211587001,77.846717801,127.0.0.1:52589,43919,1066448,28
16889296.228585999,77.863716800,127.0.0.1:52589,43919,1066501,28
16889296.243017498,77.878148299,127.0.0.1:52589,43957,1068290,28
16889296.261451099,77.896581899,127.0.0.1:52589,44078,1068328,28
16889296.284708999,77.919839799,127.0.0.1:52589,44154,1070439,28
16889296.295963399,77.931094199,127.0.0.1:52589,44192,1074589,28
16889296.308855899,77.943986699,127.0.0.1:52589,44268,1078101,28
16889296.329452399,77.964583199,127.0.0.1:52589,44306,1078139,28
16889296.341665301,77.976796102,127.0.0.1:52589,44306,1080114,28
16889296.361357901,77.996488702,127.0.0.1:52589,44465,1080152,28
16889296.382983699,78.018114500,127.0.0.1:52589,44465,1082147,28
16889296.395907000,78.031037800,127.0.0.1:52589,44541,1086336,28
16889296.409947202,78.045078002,127.0.0.1:52589,44579,1086374,28
16889296.428104900,78.063235700,127.0.0.1:52589,44617,1086412,28
16889296.444713902,78.079844702,127.0.0.1:52589,44693,1088554,28
16889296.461793900,78.096924700,127.0.0.1:52589,44814,1088623,28
16889296.482445601,78.117576402,127.0.0.1:52589,44852,1090673,28
16889296.495874401,78.131005201,127.0.0.1:52589,44928,1094972,28
16889296.511193398,78.146324199,127.0.0.1:52589,44966,1098495,28
16889296.528683301,78.163814101,127.0.0.1:52589,45042,1100926,28
16889296.542781599,78.177912399,127.0.0.1:52589,45042,1100926,28
16889296.565111600,78.200242400,127.0.0.1:52589,45163,1103049,28
16889296.582842100,78.217972901,127.0.0.1:52589,45201,1103143,28
16889296.596940301,78.232071102,127.0.0.1:52589,45239,1107438,28
16889296.610495102,78.245625902,127.0.0.1:52589,45315,1107532,28
16889296.628757101,78.263887901,127.0.0.1:52589,45353,1109645,28
16889296.643523399,78.278654199,127.0.0.1:52589,45429,1109708,28
16889296.664717499,78.299848299,127.0.0.1:52589,45550,1111814,28
16889296.682797901,78.317928702,127.0.0.1:52589,45626,1111886,28
16889296.698349100,78.333479900,127.0.0.1:52589,45664,1114046,28
16889296.711357798,78.346488599,127.0.0.1:52589,45740,1114109,28
16889296.731156100,78.366286900,127.0.0.1:52589,45778,1116224,28
16889296.743916299,78.379047100,127.0.0.1:52589,45854,1116287,28
16889296.765278000,78.400408801,127.0.0.1:52589,45975,1118431,28
16889296.786003299,78.421134099,127.0.0.1:52589,46051,1118749,28
16889296.799516302,78.434647102,127.0.0.1:52589,46089,1123127,28
16889296.812670100,78.447800901,127.0.0.1:52589,46165,1126664,28
