monotonic_seconds,send_ms,receive_ms,ack_ms,capture_ms,wire_read_ms,send_calls,receive_calls,ack_calls,capture_calls,wire_read_calls,decoded_samples,decode_failures,absolute_samples,delta_samples,payload_bytes,cache_bytes,peak_cache_bytes,sample_gap_count,sample_gap_ticks,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21
16889296.189293001,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,2006176,2006176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.211587001,0.622503459,0.000000000,0.000000000,0.639799982,0.000000000,13,0,0,1,0,0,0,0,300,1618,2009024,2009024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.228585999,0.622503459,0.000000000,0.000000000,0.639799982,0.000000000,13,0,0,1,0,0,0,0,300,1618,2009024,2009024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.243017498,1.155905426,0.000000000,0.000000000,0.639799982,0.000000000,26,0,0,1,0,0,0,0,600,3251,2011904,2011904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.261451099,1.155905426,0.000000000,0.052299351,0.639799982,0.000000000,26,0,1,1,0,0,0,0,600,3251,2011904,2011904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.284708999,1.576311886,0.000000000,0.052299351,0.639799982,0.000000000,39,0,1,1,0,0,0,0,900,4914,2014944,2014944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.295963399,1.983903348,0.000000000,0.052299351,1.081600785,0.000000000,52,0,1,2,0,0,0,0,1200,6711,2017856,2017856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.308855899,1.983903348,0.000000000,0.052299351,1.081600785,0.000000000,52,0,1,2,0,0,0,0,1200,6711,2017856,2017856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.329452399,1.983903348,0.000000000,0.052299351,1.081600785,0.000000000,52,0,1,2,0,0,0,0,1200,6711,2017856,2017856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.341665301,2.505101264,0.000000000,0.052299351,1.081600785,0.000000000,65,0,1,2,0,0,0,0,1500,8478,2020800,2020800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.361357901,2.505101264,0.000000000,0.099301338,1.081600785,0.000000000,65,0,2,2,0,0,0,0,1500,8478,2020800,2020800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.382983699,2.882093191,0.000000000,0.099301338,1.081600785,0.000000000,78,0,2,2,0,0,0,0,1800,10270,2023872,2023872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.395907000,3.480397165,0.000000000,0.099301338,1.686502248,0.000000000,91,0,2,3,0,0,0,0,2100,12106,2026848,2026848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.409947202,3.480397165,0.000000000,0.099301338,1.686502248,0.000000000,91,0,2,3,0,0,0,0,2100,12106,2026848,2026848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.428104900,3.480397165,0.000000000,0.099301338,1.686502248,0.000000000,91,0,2,3,0,0,0,0,2100,12106,2026848,2026848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.444713902,3.858994693,0.000000000,0.099301338,1.686502248,0.000000000,104,0,2,3,0,0,0,0,2400,13930,2029888,2029888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.461793900,3.858994693,0.000000000,0.158701092,1.686502248,0.000000000,104,0,3,3,0,0,0,0,2400,13930,2029888,2029888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.482445601,4.290692508,0.000000000,0.158701092,1.686502248,0.000000000,117,0,3,3,0,0,0,0,2700,15777,2032896,2032896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.495874401,4.682883620,0.000000000,0.158701092,2.129204571,0.000000000,130,0,3,4,0,0,0,0,3000,17723,2035808,2035808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.511193398,4.682883620,0.000000000,0.158701092,2.129204571,0.000000000,130,0,3,4,0,0,0,0,3000,17723,2035808,2035808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.528683301,5.451478064,0.000000000,0.158701092,2.129204571,0.000000000,143,0,3,4,0,0,0,0,3300,19679,2038816,2038816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.542781599,5.451478064,0.000000000,0.158701092,2.129204571,0.000000000,143,0,3,4,0,0,0,0,3300,19679,2038816,2038816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.565111600,6.024770439,0.000000000,0.258900225,2.129204571,0.000000000,156,0,4,4,0,0,0,0,3600,21602,2041792,2041792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.582842100,6.024770439,0.000000000,0.258900225,2.129204571,0.000000000,156,0,4,4,0,0,0,0,3600,21602,2041792,2041792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.596940301,6.442967802,0.000000000,0.258900225,2.596206963,0.000000000,169,0,4,5,0,0,0,0,3900,23544,2044768,2044768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.610495102,6.442967802,0.000000000,0.258900225,2.596206963,0.000000000,169,0,4,5,0,0,0,0,3900,23544,2044768,2044768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.628757101,6.829760969,0.000000000,0.258900225,2.596206963,0.000000000,182,0,4,5,0,0,0,0,4200,25464,2047264,2047264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.643523399,6.829760969,0.000000000,0.258900225,2.596206963,0.000000000,182,0,4,5,0,0,0,0,4200,25464,2047264,2047264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.664717499,7.241461426,0.000000000,0.313598663,2.596206963,0.000000000,195,0,5,5,0,0,0,0,4500,27377,2049856,2049856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.682797901,7.241461426,0.000000000,0.313598663,2.596206963,0.000000000,195,0,5,5,0,0,0,0,4500,27377,2049856,2049856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.698349100,7.651466876,0.000000000,0.313598663,3.027506173,0.000000000,208,0,5,6,0,0,0,0,4800,29303,2052928,2052928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.711357798,7.651466876,0.000000000,0.313598663,3.027506173,0.000000000,208,0,5,6,0,0,0,0,4800,29303,2052928,2052928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.731156100,8.140265942,0.000000000,0.313598663,3.027506173,0.000000000,221,0,5,6,0,0,0,0,5100,31225,2055872,2055872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.743916299,8.140265942,0.000000000,0.313598663,3.027506173,0.000000000,221,0,5,6,0,0,0,0,5100,31225,2055872,2055872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.765278000,8.574366570,0.000000000,0.358000398,3.027506173,0.000000000,234,0,6,6,0,0,0,0,5400,33176,2057888,2057888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.786003299,8.574366570,0.000000000,0.358000398,3.027506173,0.000000000,234,0,6,6,0,0,0,0,5400,33176,2057888,2057888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.799516302,9.014774114,0.000000000,0.358000398,3.476008773,0.000000000,247,0,6,7,0,0,0,0,5700,35186,2061056,2061056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.812670100,9.014774114,0.000000000,0.358000398,3.476008773,0.000000000,247,0,6,7,0,0,0,0,5700,35186,2061056,2061056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.832001399,9.405076504,0.000000000,0.358000398,3.476008773,0.000000000,260,0,6,7,0,0,0,0,6000,37181,2064032,2064032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.846109498,9.405076504,0.000000000,0.358000398,3.476008773,0.000000000,260,0,6,7,0,0,0,0,6000,37181,2064032,2064032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.866015401,9.805083275,0.000000000,0.409703702,3.476008773,0.000000000,273,0,7,7,0,0,0,0,6300,39171,2066656,2066656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.886206999,9.805083275,0.000000000,0.409703702,3.476008773,0.000000000,273,0,7,7,0,0,0,0,6300,39171,2066656,2066656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.898668699,10.266184807,0.000000000,0.409703702,3.902010620,0.000000000,286,0,7,8,0,0,0,0,6600,41160,2068608,2068608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.910364401,10.266184807,0.000000000,0.409703702,3.902010620,0.000000000,286,0,7,8,0,0,0,0,6600,41160,2068608,2068608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.933076002,10.266184807,0.000000000,0.409703702,3.902010620,0.000000000,286,0,7,8,0,0,0,0,6600,41160,2068608,2068608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889296.946240000,10.669380426,0.000000000,0.409703702,3.902010620,0.000000000,299,0,7,8,0,0,0,0,6900,43144,2071584,2071584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
