EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,GuLiCommanderSpacing/ConstraintMilliseconds,GuLiCommanderSpacing/CandidatePairs,GuLiCommanderSpacing/BlockedMoves,GuLiCommanderSpacing/Violations,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/GuLiCommanderGameMode,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,RHI/DrawCalls,RHI/PrimitivesDrawn,Exclusive/GameThread/Camera,Exclusive/GameThread/Pathfinding,Ticks/GuLiCombatEffectReplicationComponent,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,Ticks/GameplayDebuggerPlayerManager,Ticks/GuLiBuildingShieldComponent,Exclusive/GameThread/LogFlush,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/EventWait
,0.084600,0.048700,0.010900,0.085700,0.011200,0.024300,0.001700,0.008500,0.3939,0.4135,0.001100,0.005200,0.024500,0.2433,0.1576,0.009500,0.2189,0.2239,0.013100,0.000600,0.001700,0.054400,0.1415,0.000700,0.000600,0.004400,0.022300,0.000100,0.000900,0.017800,0.001300,0.001200,0.2527,0.022700,0.000200,0,0,0,0,47,0,0,0.003100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,12,1,1,1,2,4,2,4,2,2,4,6,1,1,47,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4870,13158.4336,5588.7969,6353.1953,0,18747.2305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.067100,0.092600,0.010000,0.060900,0.010400,0.021300,0.001400,0.005300,0.3344,0.3490,0.000900,0.004400,0.016600,0.1928,0.1300,0.4425,0.1842,0.1740,0.010500,0.000700,0.006600,0.1257,0.2210,0.000800,0.000600,0.005000,0.027500,0.000100,0.001300,0.010900,0.000800,0.001100,0.045100,0.006700,0,0,0,0,0,48,0,0,0.002700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,12,1,1,1,2,4,2,4,2,2,4,6,1,1,48,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4448,13154.5898,5588.8594,6353.1953,0,18743.4492,0,0,0,0,1,80137,40126,0,1.0340,0,0,0,0,0,0,0
,0.081200,0.050500,0.010000,0.065800,0.009900,0.020200,0.001300,0.005600,0.3666,0.3827,0.000900,0.005500,0.019600,0.2865,0.1507,0.010300,0.2208,0.3644,0.031400,0.001100,0.004300,0.3541,0.5534,0.000800,0.000900,0.004800,0.027900,0.000100,0.001600,0.013000,0.000900,0.001200,0.055600,0.010100,0.000100,0,0,0,0,47,0,0,0.003600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,12,1,1,1,2,4,2,4,2,2,4,6,1,1,47,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7101,13159.6055,5588.8594,6353.1953,0,18748.4648,0,0,0.000100,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.062500,0.044500,0.009900,0.060800,0.008600,0.022500,0.001400,0.005800,0.3558,0.3725,0.001000,0.004700,0.016400,0.2120,0.1526,0.4417,0.1827,0.2676,0.011000,0.000500,0.001700,0.5372,0.5553,0.000600,0.000500,0.004500,0.022700,0.000100,0.001300,0.010000,0.000700,0.001200,0.042600,0.008000,0.000100,0,0,0,0,47,0,0,0.002300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,12,1,1,1,2,4,2,4,2,2,4,6,1,1,47,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2637,13154.9102,5588.8594,6353.1953,0,18743.7695,0,0,0,0.064500,0,0,0,0,0,0,0,0,0,0,0,0
,0.070100,0.056400,0.009700,0.094800,0.012000,0.020900,0.001600,0.005700,0.3416,0.3573,0.001000,0.004100,0.015900,0.2015,0.1466,0.009400,0.1837,0.1533,0.010800,0.000600,0.001500,2.3279,2.4230,0.001200,0.000500,0.007500,0.034500,0.000100,0.001700,0.013000,0.001000,0.002300,0.6361,0.010900,0.000100,0,0,0,0,48,0,0,0.3585,4069,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,12,1,1,1,2,4,2,4,2,2,4,6,1,1,48,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8424,13155.3008,5588.8594,6353.1953,0,18744.1602,0,0,0,0,1,410,341,0,0.054500,2.2824,1,0,0,0,0,0
,0.080700,0.052200,0.012800,0.065100,0.009500,0.026400,0.001600,0.006700,0.3719,0.3893,0.001100,0.004400,0.018500,0.3773,0.1547,0.5541,0.2118,0.2770,0.014100,0.000900,0.002000,0.084700,0.1715,0.000700,0.000300,0.004000,0.022700,0.000100,0.000900,0.009900,0.000900,0.001300,0.044900,0.008500,0.000100,0,0,0,0,47,0,0,0.002500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,12,1,1,1,2,4,2,4,2,2,4,6,1,1,47,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6851,13159.3555,5588.8594,6353.1953,0,18748.2148,0,0,0.000100,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1105,0.043800,0.009600,0.057200,0.008800,0.021000,0.001600,0.005700,0.3361,0.3517,0.000800,0.003800,0.015800,0.1802,0.1266,0.008700,0.1790,0.2266,0.012200,0.000600,0.002100,0.088600,0.1702,0.000800,0.000600,0.004500,0.023500,0.000100,0.001200,0.010500,0.000900,0.001300,0.043700,0.007500,0,0,0,0,0,47,0,0,0.002500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,12,1,1,1,2,4,2,4,2,2,4,6,1,1,47,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7824,13154.3750,5588.8594,6353.1953,0,18743.2344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1327,0.055600,0.010200,0.071700,0.009600,0.024000,0.001600,0.005500,0.3619,0.3783,0.001000,0.004400,0.019700,0.2448,0.1813,0.4655,0.2578,0.2797,0.015000,0.001000,0.007300,0.5919,0.6268,0.000900,0.000700,0.005900,0.032400,0.000100,0.001000,0.012600,0.001200,0.001100,0.058400,0.009600,0.000100,0,0,0,0,48,0,0,0.003300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,12,1,1,1,2,4,2,4,2,2,4,6,1,1,48,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3847,13155.0352,5588.8594,6353.1953,0,18743.8945,0,0,0,0.075300,1,404,2382,0,0.078700,0,0,0,0,0,0,0
,0.075300,0.047300,0.011200,0.061100,0.009500,0.025900,0.002100,0.006900,0.3810,0.4001,0.000800,0.004500,0.018300,0.2227,0.1479,0.011700,0.1936,0.1589,0.010700,0.000500,0.001900,0.074200,0.1557,0.001000,0.000500,0.004400,0.023100,0.000100,0.000700,0.009600,0.000700,0.001100,0.041900,0.007900,0,0,0,0,0,47,0,0,0.003000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,12,1,1,1,2,4,2,4,2,2,4,6,1,1,47,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1074,13155.4219,5588.8594,6353.1953,0,18744.2812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.055300,0.046100,0.009200,0.057200,0.008700,0.019800,0.001500,0.004800,0.3322,0.3462,0.000900,0.003600,0.014600,0.1968,0.1257,0.4467,0.1789,0.2235,0.015400,0.000800,0.002600,0.1110,0.2064,0.001200,0.000500,0.005600,0.026900,0.000200,0.001500,0.011000,0.000700,0.001200,0.055300,0.011100,0.000100,0,0,0,0,47,0,0,0.002400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,12,1,1,1,2,4,2,4,2,2,4,6,1,1,47,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5402,13160.2539,5588.8594,6353.1953,0,18749.1133,0,0,0.000100,0,0,403,328,0,0.047600,0,0,0,0,0,0,0
