EVENTS,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/GuLiCommanderGameMode,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,RHI/DrawCalls,RHI/PrimitivesDrawn,Ticks/GuLiCombatEffectReplicationComponent,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Ticks/GameplayDebuggerPlayerManager,Ticks/GuLiBuildingShieldComponent,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/LogFlush,Exclusive/GameThread/EventWait
,0.053500,0.012800,0.4881,0.013600,0.026200,0.001700,0.006200,0.4401,0.4544,0.001400,0.007000,0.024900,0.6759,0.1917,0.2217,0.010000,0.2559,0.016800,0.000800,0.001600,0.068000,0.1896,0.001100,0.000800,0.000100,0.006600,0.031900,0.000200,0.001700,0.2323,0.002000,0.002200,0.099800,0.4723,0.000300,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,12,1,1,1,2,4,2,4,2,2,4,6,1,1,47,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9348,558.1836,5528.9688,6302.2070,0,6087.1523,0,0,0,0.6224,0,0,0,0,0,0,0,0,0,0,0,0
,0.069100,0.014700,0.090500,0.012600,0.038800,0.003200,0.007500,0.5761,0.5989,0.001300,0.007400,0.021500,0.2691,0.2111,0.2729,0.009900,0.3341,0.022800,0.001300,0.003300,0.1653,0.3386,0.001400,0.000700,0.000100,0.006600,0.029800,0,0.001100,0.014100,0.000700,0.001100,0.051500,0.010700,0.000100,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,12,1,1,1,2,4,2,4,2,2,4,6,1,1,47,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2864,558.1836,5528.9688,6302.2070,0,6087.1523,0,0,0,0.1224,0,0,0,0,0,0,0,0,0,0,0,0
,0.088900,0.012400,0.071800,0.011100,0.043800,0.001800,0.1019,0.5365,0.6494,0.000700,0.027600,0.018500,0.3974,0.1591,0.3887,0.008600,0.2602,0.013400,0.000600,0.002100,0.098200,0.1979,0.000800,0.000500,0,0.005300,0.028200,0.000100,0.001300,0.014400,0.000700,0.001000,0.045500,0.011100,0.000100,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,12,1,1,1,2,4,2,4,2,2,4,6,1,1,48,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1408,558.1836,5528.9688,6302.2070,0,6087.1523,0,0,1,0.4311,0,0,0,0,0,0,0,0,0,0,0,0
,0.1419,0.016300,0.081200,0.011200,0.030700,0.001900,0.009000,0.4898,0.5098,0.001200,0.006600,0.029000,0.3181,0.2204,0.4495,0.009900,0.3542,0.020800,0.000900,0.002500,0.8178,1.2815,0.001400,0.000800,0.000100,0.007300,0.032200,0.000100,0.001600,0.013000,0.001000,0.001000,0.065800,0.009400,0.000100,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,12,1,1,1,2,4,2,4,2,2,4,6,1,1,47,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2184,558.1836,5528.9766,6302.2070,0,6087.1602,0,0,0,0.1165,0.094300,0,0,77704,40311,0,0.9637,0,0,0,0,0
,0.065900,0.011900,0.070400,0.010400,0.039600,0.001500,0.008300,0.4396,0.4610,0.001000,0.004700,0.018000,0.1676,0.1504,0.1716,0.007400,0.1719,0.013300,0.000400,0.001400,0.050200,0.1425,0.000900,0.000700,0,0.004900,0.026900,0,0.001700,0.010800,0.000800,0.001300,0.043300,0.008200,0.000100,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,12,1,1,1,2,4,2,4,2,2,4,6,1,1,47,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4148,558.1836,5528.9766,6302.2070,0,6087.1602,0,0,0,0.4212,0,0,0,0,0,0,0,0,0,0,0,0
,0.076300,0.010400,0.1255,0.012200,0.046600,0.001700,0.005700,0.4765,0.4917,0.001000,0.005000,0.017400,0.3899,0.1865,0.3801,0.008900,0.3323,0.015800,0.000700,0.010100,2.2262,2.3671,0.001400,0.000800,0.000200,0.032000,0.037600,0.000200,0.002800,0.019000,0.001200,0.001900,0.3158,0.010300,0.000100,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,12,1,1,1,2,4,2,4,2,2,4,6,1,1,48,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8135,558.1836,5528.9805,6302.2070,0,6087.1641,0,0,1,0.087700,0,2.0317,1,0,0,0,0,0,0,0,0,0
,0.062600,0.014900,0.072100,0.013300,0.029300,0.002000,0.006500,0.4473,0.4648,0.001200,0.005500,0.026000,0.4184,0.1993,0.2728,0.010500,0.2409,0.018700,0.000500,0.002600,0.096000,0.2121,0.000900,0.000600,0,0.006000,0.028600,0.000100,0.001100,0.012600,0.000900,0.000900,0.047600,0.008900,0.000200,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,12,1,1,1,2,4,2,4,2,2,4,6,1,1,47,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6986,558.1797,5528.9805,6302.2070,0,6087.1602,0,0,0,0.7139,0,0,0,412,306,0,0.071200,0,0,0,0,0
,0.046500,0.006400,0.057000,0.008000,0.028500,0.001400,0.006200,0.3984,0.4144,0.000700,0.003900,0.016300,0.1796,0.1411,0.2081,0.008000,0.2047,0.012400,0.000400,0.001400,0.5589,0.5851,0.000700,0.000300,0.000100,0.005300,0.028300,0.000200,0.001700,0.012900,0.000700,0.001300,0.044200,0.009200,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,12,1,1,1,2,4,2,4,2,2,4,6,1,1,47,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4201,558.1797,5528.9805,6302.2070,0,6087.1602,0,0,0,0.068700,0.072700,0,0,0,0,0,0,0,0,0,0,0
,0.051400,0.010300,0.079900,0.012300,0.042700,0.002100,0.007100,0.4136,0.4302,0.000900,0.005300,0.019400,0.2305,0.2057,0.2528,0.010200,0.2145,0.015200,0.000800,0.002000,0.097100,0.2181,0.001700,0.000700,0,0.006800,0.040000,0.000100,0.001600,0.013900,0.001000,0.001400,0.061400,0.010900,0.000100,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,12,1,1,1,2,4,2,4,2,2,4,6,1,1,48,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9714,558.1797,5528.9805,6302.2070,0,6087.1602,0,0,1,0.4534,0,0,0,0,0,0,0,0,0,0,0,0
,0.044600,0.010600,0.062100,0.009600,0.026000,0.001500,0.006000,0.3719,0.3879,0.001000,0.004400,0.016800,0.1897,0.1435,0.2097,0.008000,0.2151,0.012400,0.000600,0.001600,0.1212,0.2155,0.000600,0.000600,0,0.005000,0.024000,0,0.000900,0.010200,0.000700,0.001000,0.041700,0.008100,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,12,1,1,1,2,4,2,4,2,2,4,6,1,1,47,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7720,558.1797,5528.9805,6302.2070,0,6087.1602,0,0,0,0.073000,0,0,0,410,305,0,0.043600,0,0,0,0,0
