seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.020348,20.34760,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.037069,16.72180,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.053880,16.81040,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.071574,17.69440,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.088412,16.83740,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.108536,20.12470,1,3.64180,0.10620,500,500,0,0,0,0,0,0.000
0.122569,14.03290,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.139917,17.34810,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.154232,14.31510,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.170373,16.14070,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.189573,19.20020,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.214051,24.47740,1,4.94920,0.18590,500,500,0,0,0,0,0,0.000
0.220965,6.91400,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.236875,15.90990,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.253766,16.89160,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.271222,17.45560,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.287866,16.64400,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.306918,19.05210,1,2.74670,0.08830,500,500,0,0,0,0,0,0.000
0.322048,15.13010,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.338750,16.70190,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.356394,17.64380,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.373308,16.91440,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.389196,15.88830,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.406108,16.91170,1,2.30160,0.08800,500,500,0,0,0,0,0,0.000
0.423480,17.37150,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.437174,13.69480,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.456561,19.38690,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.471388,14.82630,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.488632,17.24480,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.506435,17.80220,1,1.54960,0.09000,500,500,0,0,0,0,0,0.000
0.520767,14.33240,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.536913,16.14650,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.554256,17.34280,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.570963,16.70690,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.587664,16.70110,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.607569,19.90490,1,1.81340,0.08930,500,500,499,0,0,0,0,0.000
0.622812,15.24270,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.638221,15.40860,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.654725,16.50490,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.671588,16.86270,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.687995,16.40730,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.705439,17.44330,1,1.53550,0.12860,500,500,499,0,0,0,0,0.000
0.720583,15.14440,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.736252,15.66930,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.752924,16.67200,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.769735,16.81100,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.787403,17.66750,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.804297,16.89360,1,1.62490,0.10180,500,500,499,0,0,0,0,0.000
0.819249,14.95290,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.835538,16.28880,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.853382,17.84420,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.869182,15.79920,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.887299,18.11720,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.907125,19.82630,1,3.34440,0.14630,500,500,499,0,0,0,0,0.000
0.919049,11.92370,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.934315,15.26610,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.951349,17.03370,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.966915,15.56640,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.988068,21.15250,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
1.003876,15.80880,1,3.46880,0.19320,500,500,499,0,0,0,0,0.000
1.016382,12.50530,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
1.033158,16.77680,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.050990,17.83150,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.066870,15.88010,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.084155,17.28460,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.101754,17.59900,1,1.51560,0.08900,500,500,500,0,0,0,0,0.000
1.117536,15.78260,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.133699,16.16310,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.150957,17.25770,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.167617,16.65950,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.187063,19.44610,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.207256,20.19390,1,4.76120,0.19700,500,500,500,0,0,0,0,0.000
1.219415,12.15870,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.234920,15.50480,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.254882,19.96200,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.266593,11.71090,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.283907,17.31460,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.302475,18.56750,1,2.58640,0.16990,500,500,500,0,0,0,0,0.000
1.319011,16.53560,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.335091,16.08060,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.351423,16.33190,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.367880,16.45650,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.387714,19.83420,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.402446,14.73220,1,1.83340,0.11500,500,500,500,0,0,0,0,0.000
1.420937,18.49140,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.435820,14.88220,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.453134,17.31400,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.469728,16.59390,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.488259,18.53120,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.505762,17.50360,1,3.70890,0.16660,500,500,500,0,0,0,0,0.000
1.519305,13.54240,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.533728,14.42280,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.550156,16.42890,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.567318,17.16140,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.582956,15.63860,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.605217,22.26060,1,4.13960,0.19250,500,500,500,0,0,0,0,0.000
1.618374,13.15720,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.634727,16.35320,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.650350,15.62220,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.665975,15.62590,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.685067,19.09110,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.708812,23.74540,1,5.06690,0.25820,500,500,500,0,0,0,0,0.000
1.717674,8.86210,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.733663,15.98910,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.753220,19.55670,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.768735,15.51560,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.784081,15.34540,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.803563,19.48210,1,2.67130,0.23310,500,500,500,0,0,0,0,0.000
