seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.012663,12.66270,0,0.00000,0.00000,500,500,500,0,0,78828,2273,29.520
0.022494,9.83140,0,0.00000,0.00000,500,500,500,0,0,78828,2273,39.352
0.032161,9.66730,0,0.00000,0.00000,500,500,500,0,0,78828,2273,49.019
0.041285,9.12320,0,0.00000,0.00000,500,500,500,0,0,78828,2273,58.142
0.051421,10.13630,0,0.00000,0.00000,500,500,500,0,0,78828,2273,68.278
0.060318,8.89710,0,0.00000,0.00000,500,500,500,0,0,78828,2273,77.175
0.070058,9.73950,0,0.00000,0.00000,500,500,500,0,0,78828,2273,86.915
0.079359,9.30180,0,0.00000,0.00000,500,500,500,0,0,78828,2273,96.217
0.088250,8.89040,0,0.00000,0.00000,500,500,500,0,0,78828,2273,7.892
0.098806,10.55590,0,0.00000,0.00000,500,500,500,0,0,78828,2273,9.923
0.107443,8.63740,0,0.00000,0.00000,500,500,500,0,0,78828,2273,18.560
0.116325,8.88180,0,0.00000,0.00000,500,500,500,0,0,78828,2273,27.442
0.125707,9.38240,0,0.00000,0.00000,500,500,500,0,0,78828,2273,36.825
0.134385,8.67770,0,0.00000,0.00000,500,500,500,0,0,78828,2273,45.502
0.143636,9.25130,0,0.00000,0.00000,500,500,500,0,0,78828,2273,54.754
0.153782,10.14570,0,0.00000,0.00000,500,500,500,0,0,78828,2273,64.899
0.162365,8.58320,0,0.00000,0.00000,500,500,500,0,0,78828,2273,73.482
0.171497,9.13170,0,0.00000,0.00000,500,500,500,0,0,78828,2273,82.614
0.180147,8.65060,0,0.00000,0.00000,500,500,500,0,0,78828,2273,91.265
0.189658,9.51010,0,0.00000,0.00000,500,500,500,0,0,78828,2273,8.684
0.198413,8.75550,0,0.00000,0.00000,500,500,500,0,0,78828,2273,8.124
0.207446,9.03250,0,0.00000,0.00000,500,500,500,0,0,78828,2273,17.156
0.217889,10.44350,0,0.00000,0.00000,500,500,500,0,0,78828,2273,27.600
0.226653,8.76420,0,0.00000,0.00000,500,500,500,0,0,78828,2273,36.364
0.235388,8.73520,0,0.00000,0.00000,500,500,500,0,0,78828,2273,45.099
0.244294,8.90560,0,0.00000,0.00000,500,500,500,0,0,78828,2273,54.005
0.253587,9.29340,0,0.00000,0.00000,500,500,500,0,0,78828,2273,63.298
