seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.018725,18.72450,0,0.00000,0.00000,1200,1200,1200,0,0,185934,2053,9.658
0.034639,15.91460,0,0.00000,0.00000,1200,1200,1200,0,0,185934,2053,14.962
0.052776,18.13720,0,0.00000,0.00000,1200,1200,1200,0,0,185934,2053,33.100
0.070113,17.33620,0,0.00000,0.00000,1200,1200,1200,0,0,185934,2053,16.483
0.089186,19.07390,0,0.00000,0.00000,1200,1200,1200,0,0,185934,2053,35.557
0.105052,15.86560,0,0.00000,0.00000,1200,1200,1200,0,0,185934,2053,14.914
0.124238,19.18560,0,0.00000,0.00000,1200,1200,1200,0,0,185934,2053,34.099
0.139824,15.58660,0,0.00000,0.00000,1200,1200,1200,0,0,185934,2053,14.303
0.158171,18.34690,0,0.00000,0.00000,1200,1200,1200,0,0,185934,2053,32.650
0.175366,17.19510,0,0.00000,0.00000,1200,1200,1200,0,0,185934,2053,49.845
0.192479,17.11290,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,16.142
0.209239,16.76020,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,15.796
0.226781,17.54130,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,33.338
0.243280,16.49970,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,15.551
0.260357,17.07700,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,32.628
0.276610,16.25260,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,48.880
0.294292,17.68220,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,16.824
0.311506,17.21420,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,16.275
0.327654,16.14790,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,15.271
0.344988,17.33360,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,32.605
0.361237,16.24870,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,48.853
0.379064,17.82700,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,16.747
0.396067,17.00380,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,33.750
0.413714,17.64670,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,16.822
0.430778,17.06380,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,33.886
0.447590,16.81220,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,15.989
0.464652,17.06220,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,33.052
0.481704,17.05160,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,16.241
0.497429,15.72550,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,31.966
0.514628,17.19870,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,16.373
0.532561,17.93250,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,17.092
0.549001,16.44050,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,33.533
0.566449,17.44750,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,16.579
0.582985,16.53630,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,33.115
0.599835,16.85010,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,15.896
0.617985,18.15020,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,34.047
0.632904,14.91860,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,13.961
0.651868,18.96440,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,32.926
0.670081,18.21260,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,17.331
0.686188,16.10730,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,33.438
0.704266,18.07790,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,17.053
0.720841,16.57460,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,33.627
0.737261,16.42040,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,15.583
0.755796,18.53510,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,34.118
0.771856,16.05950,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,15.319
0.789899,18.04310,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,33.363
0.806119,16.22070,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,14.785
0.824722,18.60230,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,17.684
0.841158,16.43590,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,15.645
0.859242,18.08430,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,33.729
0.876585,17.34340,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,16.239
0.893599,17.01370,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,16.071
0.911501,17.90180,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,17.153
0.928989,17.48830,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,16.607
0.945843,16.85430,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,33.461
0.963508,17.66490,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,51.126
0.979977,16.46890,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,15.498
0.997559,17.58230,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,33.080
1.014731,17.17190,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,16.349
1.032722,17.99080,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,16.954
1.049219,16.49690,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,33.451
1.066951,17.73150,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,51.182
1.084071,17.12080,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,16.258
1.101359,17.28760,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,33.546
1.118459,17.10030,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,16.063
1.136551,18.09160,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,16.993
1.152920,16.36940,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,33.363
1.172031,19.11100,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,18.103
1.188370,16.33840,0,0.00000,0.00000,1200,1200,1200,0,0,190422,2046,15.397
1.206935,18.56530,0,0.00000,0.00000,1200,1200,1200,0,0,213470,2063,17.912
1.223486,16.55100,0,0.00000,0.00000,1200,1200,1200,0,0,213470,2063,15.612
1.241302,17.81640,0,0.00000,0.00000,1200,1200,1200,0,0,213470,2063,17.210
1.258509,17.20700,0,0.00000,0.00000,1200,1200,1200,0,0,213470,2063,34.417
1.275316,16.80670,0,0.00000,0.00000,1200,1200,1200,0,0,213470,2063,15.330
1.292382,17.06560,0,0.00000,0.00000,1200,1200,1200,0,0,213470,2063,15.986
1.310027,17.64530,0,0.00000,0.00000,1200,1200,1200,0,0,213470,2063,33.632
1.326965,16.93790,0,0.00000,0.00000,1200,1200,1200,0,0,213470,2063,15.973
1.344829,17.86440,0,0.00000,0.00000,1200,1200,1200,0,0,213470,2063,33.838
1.360799,15.96950,0,0.00000,0.00000,1200,1200,1200,0,0,213470,2063,15.221
1.378259,17.46060,0,0.00000,0.00000,1200,1200,1200,0,0,213470,2063,32.682
1.393866,15.60660,0,0.00000,0.00000,1200,1200,1200,0,0,213470,2063,14.781
1.412088,18.22250,0,0.00000,0.00000,1200,1200,1200,0,0,213470,2063,17.525
1.429217,17.12880,0,0.00000,0.00000,1200,1200,1200,0,0,213470,2063,16.153
