Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
Frame,4808,4808.000000,79.545068,0.006481,0.022339,0.016544,0.016732,0.606581,0.000003,0.002400,0.000126,0.000076
SceneRender,4818,4818.000000,77.572474,0.006277,0.022186,0.016101,0.016240,13.584766,0.000101,0.007399,0.002820,0.002940
RenderGraphExecute,9636,9636.000000,65.358853,0.000001,0.021316,0.006783,0.003984,2.631315,0.000001,0.003240,0.000273,0.000034
Scene,4818,4818.000000,60.850749,0.003991,0.020283,0.012630,0.012383,2.702569,0.000032,0.004315,0.000561,0.000291
FEngineLoop::Tick,2407,2407.000000,40.024618,0.008128,0.033747,0.016628,0.016927,0.022670,0.000005,0.000096,0.000009,0.000009
Frame,2407,2407.000000,39.968135,0.008110,0.033725,0.016605,0.016907,0.009090,0.000002,0.000031,0.000004,0.000004
FrameTime,4814,4814.000000,39.919999,0.000082,0.033394,0.008292,0.007821,0.130031,0.000001,0.000154,0.000027,0.000038
Frame Sync Time,2407,2407.000000,21.087002,0.000009,0.015099,0.008761,0.008850,0.025053,0.000006,0.000143,0.000010,0.000011
GameThreadWaitForTask,2405,2405.000000,21.041274,0.000275,0.015080,0.008749,0.008949,0.002670,0.000001,0.000005,0.000001,0.000001
Game thread idle time,2405,2405.000000,21.038604,0.000274,0.015079,0.008748,0.008948,21.038589,0.000274,0.015079,0.008748,0.008948
Tick_Engine,2407,2407.000000,13.640835,0.004160,0.031618,0.005667,0.005547,0.003060,0.000001,0.000026,0.000001,0.000001
GameEngine Tick,2407,2407.000000,13.637775,0.004159,0.031617,0.005666,0.005546,0.119078,0.000036,0.000180,0.000049,0.000049
DiffuseIndirectAndAO,4818,4818.000000,11.560178,0.000043,0.008143,0.002399,0.002211,0.077258,0.000001,0.002073,0.000016,0.000001
UWorld_Tick,2407,2407.000000,10.636695,0.003225,0.031046,0.004419,0.004349,0.056475,0.000017,0.000156,0.000023,0.000023
World Tick Time,2407,2407.000000,10.553229,0.003189,0.031018,0.004384,0.004313,0.062626,0.000019,0.000132,0.000026,0.000026
LumenScreenProbeGather,4818,4818.000000,10.322126,0.000041,0.006791,0.002142,0.002018,7.021896,0.000001,0.005908,0.001457,0.000568
PostProcessing,4818,4818.000000,9.652959,0.000223,0.008583,0.002004,0.002250,0.838377,0.000003,0.002281,0.000174,0.000130
Tick Time,9630,9630.000000,8.540008,0.000003,0.003329,0.000887,0.001196,0.023675,0.000000,0.000060,0.000002,0.000002
ReleaseTickGroup Block,14444,14444.000000,8.268941,0.000036,0.002936,0.000572,0.000299,0.002411,0.000000,0.000035,0.000000,0.000000
TickCompletionEvents,16851,16851.000000,8.266529,0.000012,0.002936,0.000491,0.000248,0.017237,0.000000,0.000042,0.000001,0.000001
ProcessUntilTasksComplete,16851,16851.000000,8.229225,0.000011,0.002931,0.000488,0.000247,0.167618,0.000002,0.000147,0.000010,0.000005
ExecuteTask,166313,166313.000000,7.516699,0.000000,0.002728,0.000045,0.000000,0.067096,0.000000,0.000184,0.000000,0.000000
TemporalSuperResolution(sg.AntiAliasingQuality=%d%s) %dx%d -> %dx%d,4818,4818.000000,7.053221,0.000218,0.008576,0.001464,0.001231,7.053221,0.000218,0.008576,0.001464,0.001231
FTickFunctionTask,146995,146995.000000,6.995650,0.000000,0.002725,0.000048,0.000000,0.094602,0.000000,0.000113,0.000001,0.000000
PrepareImageBasedVRS,2409,2409.000000,6.849239,0.001047,0.005533,0.002843,0.002904,0.045715,0.000001,0.002113,0.000019,0.000001
ContrastAdaptiveShading,2409,2409.000000,6.803525,0.001040,0.005527,0.002824,0.002853,6.803525,0.001040,0.005527,0.002824,0.002853
ParallelDraw,9636,9636.000000,6.721831,0.000000,0.003537,0.000698,0.000143,6.721831,0.000000,0.003537,0.000698,0.000143
RenderDeferredLighting,2409,2409.000000,4.886936,0.000759,0.009468,0.002029,0.001990,0.029611,0.000000,0.001062,0.000012,0.000000
BasePass,2409,2409.000000,4.041325,0.000267,0.005261,0.001678,0.001679,0.266045,0.000022,0.002055,0.000110,0.000022
Total Slate Tick Time,4816,4816.000000,3.817912,0.000019,0.006190,0.000793,0.001297,0.018416,0.000000,0.000173,0.000004,0.000004
Slate::Tick (Time and Widgets),2408,2408.000000,3.691285,0.001316,0.006190,0.001533,0.001463,0.000559,0.000000,0.000013,0.000000,0.000000
Slate::DrawWindows,2408,2408.000000,3.668925,0.001309,0.006181,0.001524,0.001456,0.050056,0.000011,0.000157,0.000021,0.000020
TG_PostUpdateWork,2408,2408.000000,3.609573,0.001177,0.002945,0.001499,0.001427,0.004233,0.000001,0.000093,0.000002,0.000002
PrePass %s %s,2409,2409.000000,3.454205,0.000110,0.003495,0.001434,0.001341,0.162580,0.000020,0.002142,0.000067,0.000020
