Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
Frame,4728,4728.000000,79.449431,0.012624,0.023334,0.016804,0.017059,0.650129,0.000004,0.002687,0.000138,0.000085
SceneRender,4738,4738.000000,77.618986,0.012107,0.022492,0.016382,0.016513,13.870286,0.000105,0.009078,0.002927,0.003141
RenderGraphExecute,9476,9476.000000,64.921609,0.000001,0.021657,0.006851,0.007329,2.495228,0.000001,0.004080,0.000263,0.000042
Scene,4738,4738.000000,60.799003,0.007466,0.021315,0.012832,0.012502,2.709881,0.000034,0.004207,0.000572,0.000329
DiffuseIndirectAndAO,4738,4738.000000,11.656269,0.000042,0.011571,0.002460,0.002371,0.078367,0.000001,0.002310,0.000017,0.000001
LumenScreenProbeGather,4738,4738.000000,10.384743,0.000040,0.006919,0.002192,0.002194,7.213258,0.000001,0.005949,0.001522,0.000812
PostProcessing,4738,4738.000000,9.536846,0.000284,0.005008,0.002013,0.002193,0.909124,0.000003,0.002811,0.000192,0.000116
TemporalSuperResolution(sg.AntiAliasingQuality=%d%s) %dx%d -> %dx%d,4738,4738.000000,6.915096,0.000275,0.004161,0.001459,0.001257,6.915096,0.000275,0.004161,0.001459,0.001257
PrepareImageBasedVRS,2369,2369.000000,6.684297,0.001095,0.005412,0.002822,0.002839,0.053080,0.000001,0.001541,0.000022,0.000001
ContrastAdaptiveShading,2369,2369.000000,6.631218,0.001092,0.005410,0.002799,0.002749,6.631218,0.001092,0.005410,0.002799,0.002749
ParallelDraw,9476,9476.000000,6.514967,0.000000,0.003985,0.000688,0.000121,6.514967,0.000000,0.003985,0.000688,0.000121
RenderDeferredLighting,2369,2369.000000,4.914883,0.000884,0.008919,0.002075,0.002020,0.028436,0.000000,0.002166,0.000012,0.000000
BasePass,2369,2369.000000,4.289156,0.000269,0.004647,0.001811,0.001950,0.324119,0.000023,0.002413,0.000137,0.000023
PrePass %s %s,2369,2369.000000,3.199335,0.000111,0.003954,0.001351,0.001159,0.346736,0.000020,0.002828,0.000146,0.000020
ShadowDepths,2369,2369.000000,3.146082,0.000714,0.003678,0.001328,0.001103,0.111699,0.000007,0.002021,0.000047,0.000007
Nanite::DrawGeometry,4738,4738.000000,2.854191,0.000172,0.002880,0.000602,0.000610,0.489255,0.000028,0.002203,0.000103,0.000050
