Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
Frame,4728,4728.000000,79.449431,0.012624,0.023334,0.016804,0.017059,0.650129,0.000004,0.002687,0.000138,0.000085
SceneRender,4738,4738.000000,77.618986,0.012107,0.022492,0.016382,0.016513,13.870286,0.000105,0.009078,0.002927,0.003141
RenderGraphExecute,9476,9476.000000,64.921609,0.000001,0.021657,0.006851,0.007329,2.495228,0.000001,0.004080,0.000263,0.000042
Scene,4738,4738.000000,60.799003,0.007466,0.021315,0.012832,0.012502,2.709881,0.000034,0.004207,0.000572,0.000329
BeginFrame,2369,2369.000000,40.010210,0.001962,0.024777,0.016889,0.017172,0.134286,0.000023,0.000200,0.000057,0.000055
SceneRenderBuilder_Render,2369,2369.000000,38.229331,0.001803,0.023911,0.016137,0.016318,0.015238,0.000004,0.000315,0.000006,0.000007
SceneRender,2370,2370.000000,38.214094,0.000000,0.023904,0.016124,0.016419,0.071113,0.000000,0.000098,0.000030,0.000030
RenderViewFamily,2369,2369.000000,34.153224,0.001790,0.022332,0.014417,0.014655,0.251635,0.000024,0.000365,0.000106,0.000103
Scene,11846,11846.000000,31.378085,0.000002,0.021206,0.002649,0.000002,0.697414,0.000000,0.000600,0.000059,0.000000
FDeferredShadingSceneRenderer_Render,2369,2369.000000,31.234867,0.004418,0.021208,0.013185,0.013407,0.003697,0.000001,0.000016,0.000002,0.000002
WaitUntilTasksComplete,16544,16544.000000,21.724839,0.000000,0.016308,0.001313,0.000000,0.042377,0.000000,0.000141,0.000003,0.000000
WaitForTasks,4709,4709.000000,21.690407,0.000011,0.016278,0.004606,0.005269,21.690402,0.000011,0.016278,0.004606,0.005269
VisibilityCommands,2369,2369.000000,21.053584,0.000372,0.016497,0.008887,0.009167,0.002607,0.000000,0.000025,0.000001,0.000001
FDeferredShadingSceneRenderer_InitViews,2369,2369.000000,21.050977,0.000371,0.016496,0.008886,0.009166,0.000790,0.000000,0.000004,0.000000,0.000000
InitViews,2369,2369.000000,21.050187,0.000371,0.016495,0.008886,0.009166,0.110242,0.000032,0.000302,0.000047,0.000046
View Visibility,2369,2369.000000,20.731811,0.000021,0.016341,0.008751,0.008923,0.000623,0.000000,0.000058,0.000000,0.000000
