seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.024811,24.81070,0,0.00000,0.00000,1200,1200,0,0,0,4062,366323,0.000
0.043394,18.58340,0,0.00000,0.00000,1200,1200,0,0,0,4062,366323,0.000
0.058051,14.65700,0,0.00000,0.00000,1200,1200,0,0,0,4062,366323,0.000
0.077200,19.14920,0,0.00000,0.00000,1200,1200,0,0,0,4062,366323,0.000
0.098247,21.04710,1,7.58880,1.32060,1200,1200,0,0,0,4062,366323,0.000
0.111613,13.36590,0,0.00000,0.00000,1200,1200,0,0,0,4062,366323,0.000
0.123345,11.73160,0,0.00000,0.00000,1200,1200,0,0,0,4062,366323,0.000
0.145311,21.96610,0,0.00000,0.00000,1200,1200,0,0,0,4062,366323,0.000
0.157531,12.21980,0,0.00000,0.00000,1200,1200,0,0,0,4062,366323,0.000
0.178719,21.18860,0,0.00000,0.00000,1200,1200,0,0,0,4062,366323,0.000
0.202227,23.50760,1,9.00600,2.22690,1200,1200,0,0,0,4062,366323,0.000
0.212819,10.59230,0,0.00000,0.00000,1200,1200,0,0,0,4062,366323,0.000
0.226425,13.60570,0,0.00000,0.00000,1200,1200,0,0,0,4062,366323,0.000
0.243713,17.28770,0,0.00000,0.00000,1200,1200,0,0,0,4062,366323,0.000
0.260196,16.48330,0,0.00000,0.00000,1200,1200,0,0,0,4062,366323,0.000
0.279364,19.16840,0,0.00000,0.00000,1200,1200,0,0,0,4062,366323,0.000
0.305804,26.43920,1,8.16540,1.95450,1200,1200,0,0,0,4062,366323,0.000
0.311952,6.14800,0,0.00000,0.00000,1200,1200,0,0,0,4062,366323,0.000
0.327882,15.93020,0,0.00000,0.00000,1200,1200,0,0,0,4062,366323,0.000
0.346702,18.82020,0,0.00000,0.00000,1200,1200,0,0,0,4062,366323,0.000
0.360487,13.78510,0,0.00000,0.00000,1200,1200,0,0,0,4062,366323,0.000
0.387140,26.65320,1,7.06190,1.33830,1200,1200,0,0,0,4062,366323,0.000
0.395643,8.50300,0,0.00000,0.00000,1200,1200,0,0,0,4062,366323,0.000
0.411783,16.13990,0,0.00000,0.00000,1200,1200,0,0,0,4062,366323,0.000
0.427478,15.69500,0,0.00000,0.00000,1200,1200,0,0,0,4062,366323,0.000
0.448254,20.77590,0,0.00000,0.00000,1200,1200,0,0,0,4062,366323,0.000
0.460721,12.46700,0,0.00000,0.00000,1200,1200,0,0,0,4062,366323,0.000
0.479410,18.68940,0,0.00000,0.00000,1200,1200,0,0,0,4062,366323,0.000
0.502061,22.65010,1,8.55880,1.42770,1200,1200,0,0,0,4062,366323,0.000
0.525371,23.31080,0,0.00000,0.00000,1200,1200,1200,0,0,4062,366323,0.000
0.532189,6.81710,0,0.00000,0.00000,1200,1200,1200,0,0,4062,366323,0.000
0.547294,15.10570,0,0.00000,0.00000,1200,1200,1200,0,0,4062,366323,0.000
0.566156,18.86220,0,0.00000,0.00000,1200,1200,1200,0,0,4062,366323,0.000
0.588800,22.64330,1,7.88490,1.32260,1200,1200,1200,0,0,4062,366323,0.000
0.599552,10.75250,0,0.00000,0.00000,1200,1200,1200,0,0,4062,366323,0.000
0.613192,13.63950,0,0.00000,0.00000,1200,1200,1200,0,0,4062,366323,0.000
0.632771,19.57930,0,0.00000,0.00000,1200,1200,1200,0,0,4062,366323,0.000
0.647834,15.06280,0,0.00000,0.00000,1200,1200,1200,0,0,4062,366323,0.000
0.668444,20.61070,0,0.00000,0.00000,1200,1200,1200,0,0,4062,366323,0.000
0.687757,19.31290,1,5.93010,1.33510,1200,1200,1200,0,0,4062,366323,0.000
0.703643,15.88510,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
0.717213,13.57090,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
0.736297,19.08350,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
0.749820,13.52290,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
0.769484,19.66420,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
0.790236,20.75250,1,7.14430,1.33190,1200,1200,1200,0,0,4126,404125,0.000
0.803801,13.56440,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
0.818286,14.48510,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
0.837827,19.54070,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
0.850375,12.54830,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
0.868619,18.24430,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
0.891886,23.26650,1,8.28740,1.43850,1200,1200,1200,0,0,4126,404125,0.000
0.903832,11.94620,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
0.916911,13.07900,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
0.936903,19.99210,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
0.951839,14.93560,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
0.971068,19.22900,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
0.991444,20.37600,1,7.45960,1.36030,1200,1200,1200,0,0,4126,404125,0.000
1.003747,12.30330,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.016181,12.43410,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.036298,20.11670,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.049352,13.05370,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.067834,18.48210,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.088813,20.97940,1,5.64380,1.35410,1200,1200,1200,0,0,4126,404125,0.000
1.103228,14.41500,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.114930,11.70230,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.135486,20.55570,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.149795,14.30920,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.166940,17.14430,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.191038,24.09810,1,8.01160,1.36820,1200,1200,1200,0,0,4126,404125,0.000
1.201491,10.45320,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.216870,15.37900,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.235709,18.83920,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.250406,14.69740,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.270707,20.30110,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.291489,20.78140,1,9.43940,1.68230,1200,1200,1200,0,0,4126,404125,0.000
1.303007,11.51760,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.315636,12.62960,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.335354,19.71810,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.349815,14.46070,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.369540,19.72470,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.390707,21.16740,1,6.77080,2.24460,1200,1200,1200,0,0,4126,404125,0.000
1.402527,11.82040,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.418330,15.80300,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.435438,17.10780,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.452932,17.49380,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.472938,20.00580,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.493585,20.64760,1,9.32060,1.39480,1200,1200,1200,0,0,4126,404125,0.000
1.503574,9.98850,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.518652,15.07830,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.538684,20.03140,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.550557,11.87360,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.570762,20.20480,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.590224,19.46230,1,5.96600,1.45950,1200,1200,1200,0,0,4126,404125,0.000
1.603751,13.52630,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.618887,15.13640,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.636775,17.88800,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.652514,15.73860,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.671423,18.90920,0,0.00000,0.00000,1200,1200,1200,0,0,4126,404125,0.000
1.691244,19.82100,1,5.66150,1.37540,1200,1200,1200,0,0,4126,404125,0.000
1.704292,13.04860,0,0.00000,0.00000,1200,1200,1200,0,0,3872,406966,0.000
1.718912,14.61910,0,0.00000,0.00000,1200,1200,1200,0,0,3872,406966,0.000
1.739189,20.27780,0,0.00000,0.00000,1200,1200,1200,0,0,3872,406966,0.000
1.752108,12.91860,0,0.00000,0.00000,1200,1200,1200,0,0,3872,406966,0.000
1.772610,20.50180,0,0.00000,0.00000,1200,1200,1200,0,0,3872,406966,0.000
1.793072,20.46220,1,6.66370,1.43630,1200,1200,1200,0,0,3872,406966,0.000
1.806418,13.34630,0,0.00000,0.00000,1200,1200,1200,0,0,3872,406966,0.000
1.820302,13.88420,0,0.00000,0.00000,1200,1200,1200,0,0,3872,406966,0.000
1.841667,21.36490,0,0.00000,0.00000,1200,1200,1200,0,0,3872,406966,0.000
1.854604,12.93680,0,0.00000,0.00000,1200,1200,1200,0,0,3872,406966,0.000
1.875069,20.46460,0,0.00000,0.00000,1200,1200,1200,0,0,3872,406966,0.000
1.893771,18.70280,1,5.85080,1.37880,1200,1200,1200,0,0,3872,406966,0.000
1.909469,15.69700,0,0.00000,0.00000,1200,1200,1200,0,0,3872,406966,0.000
1.920867,11.39870,0,0.00000,0.00000,1200,1200,1200,0,0,3872,406966,0.000
1.940524,19.65640,0,0.00000,0.00000,1200,1200,1200,0,0,3872,406966,0.000
1.955401,14.87730,0,0.00000,0.00000,1200,1200,1200,0,0,3872,406966,0.000
