EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/RenderThread/RayTracingGeometryManager_Tick,RayTracingGeometry/ReferencedSizeMB,RayTracingGeometry/RequestedSizeMB,RayTracingGeometry/TotalResidentSizeMB,RayTracingGeometry/TotalAlwaysResidentSizeMB,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,RHI/DrawCalls,RHI/PrimitivesDrawn,Exclusive/AllWorkers/Physics,Scheduler/AllWorkers/SignalStandbyThread,Scheduler/Oversubscription,Exclusive/GameThread/Input,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/Animation,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/Physics,Exclusive/GameThread/EventWait/EndPhysics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,Exclusive/GameThread/Tickables,Exclusive/GameThread/Landscape,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/UInstancedStaticMeshComponent_BatchUpdateInstancesTransforms,GuLiCommanderPresentation/GameThread/RebuildLocalInstances,GuLiCommanderHealthBars/GameThread/UpdateInstances,MassEntities/GameThread/BatchedCommand,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/ViewportMisc,Exclusive/GameThread/UpdateLevelStreaming,Slate/GameThread/TickPlatform,Exclusive/GameThread/UI,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/EventWait/PrePhysics,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,GuLiCommanderHealthBars/VisibleInstances,MassEntitiesCounters/BatchedCommand,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/RawPing,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/ChaosDebugDrawComponent,Ticks/CameraComponent,Ticks/LineBatchComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/PhysicsFieldComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderHealthBarRenderer,Ticks/GuLiCommanderHUD,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderPresentationActor,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/FNiagaraWorldManagerTickFunction,Ticks/ParticleSystemManager,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/Actor,ActorCount/SkeletalMeshActor,ActorCount/GuLiTerritoryOutpostActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,AnimationParallelEvaluation/TotalTaskTime,AnimationParallelEvaluation/AverageTaskTime,AnimationParallelEvaluation/NumberOfTasks,AnimationParallelEvaluation/MinTaskTime,AnimationParallelEvaluation/MaxTaskTime,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,RenderThreadTime,GameThreadTime,GPUTime,RenderThreadTime_CriticalPath,GameThreadTime_CriticalPath,MaxFrameTime,CPUUsage_Process,CPUUsage_Idle,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Exclusive/GameThread/HandleRPC,Exclusive/GameThread/Generic_RepNotifies,Networking/GameThread/FastArray_Apply,Ticks/GuLiStrongholdNetworkPresentationComponent,FMsgLogf/FMsgLogfCount
,0.047700,0.007600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2907,0.004100,1,0.012900,0.1009,0.012800,0.9207,0.033500,0.056500,0.001000,0.004100,0.028700,0.3987,0.4706,0.1071,0.004100,0.057700,0.041300,0.3727,0.024200,0.000600,0.002000,0.073600,0.017000,0.032100,0.005400,0.066000,0.6620,0.026400,0.1465,0.046800,0.083800,0.003000,0.033100,0.002400,0.007700,0.002000,0.1003,0.1388,0.1532,0.032800,0.000200,0,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2124,0.053100,4,0.044300,0.066700,16.0085,12026.7305,2464.2617,2438.6602,0,14488.7852,0,0,0,0,0,16.6667,0.000002,0.007512,0,0,0,0,0,0,0,0,0
,0.050700,0.006300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2718,0.002600,1,0.012500,0.089500,0.011800,0.8958,0.030400,0.058000,0.001300,0.004500,0.031900,0.4665,0.5020,0.1133,0.004700,0.069300,0.051000,0.3136,0.024900,0.000400,0.002200,0.064500,0.016300,0.029500,0.005700,0.067500,0.6738,0.024700,0.1437,0.046900,0.084400,0.002700,0.019200,0.001900,0.006600,0.001500,0.009900,0.034700,0.063900,0.020000,0.000100,0.1038,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2331,0.058275,4,0.044600,0.080000,16.5615,12023.7227,2464.4766,2438.9336,0,14491.2070,0,0,0,0,0,16.6667,0.4983,28.9663,0,0,0,0,0,0,0,0,0
,0.051900,0.006500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2502,0,0,0.012200,0.091200,0.013200,1.0095,0.035600,0.056800,0.001000,0.004200,0.027800,0.4024,0.7038,0.1269,0.005300,0.073000,0.051100,0.3181,0.018900,0.000500,0.044500,0.095700,0.019400,0.028600,0.005100,0.082400,0.6964,0.032200,0.2051,0.052000,0.1000,0.002900,0.023800,0.001600,0.018300,0.002000,0.022300,0.049100,0.055600,0.006200,0.000200,0.1108,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2333,0.058325,4,0.048200,0.080900,17.0647,12023.0977,2464.4766,2438.9336,0,14488.1992,0,0,0,0,0,16.6667,0.4887,28.3130,0,0,0,0,0,0,0,0,0
,0.047300,0.006800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2437,0,0,0.012000,0.1508,0.012800,1.1296,0.034600,0.2337,0.001100,0.004800,0.032500,0.4630,0.4916,0.1274,0.005300,0.066900,0.049500,0.2842,0.019600,0.000700,0.002600,0.1060,0.021900,0.044500,0.006900,0.096500,0.9220,0.027100,0.1455,0.059300,0.070200,0.002400,0.020000,0.001300,0.006900,0.001600,0.018800,0.042600,0.048900,0.005100,0.000200,0.064500,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2512,0.062800,4,0.051300,0.071000,16.9396,12023.2969,2464.4766,2438.9336,0,14487.5742,0,0,0,0,0,16.6667,0.6072,29.0550,80515,40390,0,2.0641,0.1861,0,0,0,0
,0.044600,0.005300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3166,0.003900,1,0.013500,0.084100,0.012900,0.9246,0.037400,0.5237,0.001100,0.004800,0.027400,0.4236,0.5652,0.1150,0.004600,0.070600,0.054600,0.3461,0.021900,0.000400,0.001800,0.060000,0.016000,0.033700,0.005900,0.066100,0.6540,0.026700,0.1770,0.044000,0.073800,0.002300,0.017900,0.001500,0.006400,0.001500,0.009700,0.032500,0.045400,0.005000,0.000100,0.1142,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2360,0.059000,4,0.048300,0.081400,17.0835,12023.3125,2464.5195,2438.9336,0,14487.8164,0,0,0,0,0,16.6667,0.4563,29.1689,0,0,0,0,0,0.5881,0.006800,0,0
,0.047600,0.007500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2905,0,0,0.012900,0.096200,0.012000,0.9903,0.034300,0.089800,0.001200,0.004500,0.027700,0.4587,0.4749,0.1152,0.004700,0.069700,0.050300,0.3368,0.028000,0.000600,0.002400,0.075200,0.019100,0.034100,0.006400,0.068300,0.7398,0.026000,0.1481,0.047700,0.085100,0.002600,0.021800,0.001500,0.007000,0.001900,0.022000,0.050500,0.073500,0.006400,0.000200,0.1117,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2278,0.056950,4,0.042300,0.075300,15.8949,12024.3125,2464.5195,2438.9336,0,14487.8320,0,0,0,0,0,16.6667,0.4795,29.2147,0,0,0,0,0.022300,0,0,0,0
,0.056500,0.006100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2053,0,0,0.013200,0.094700,0.013300,0.9248,0.032000,0.1204,0.001000,0.007200,0.031000,0.3881,0.4992,0.1094,0.004600,0.063300,0.044400,0.2259,0.030700,0.000600,0.002500,0.068100,0.017400,0.030300,0.005800,0.066300,0.6855,0.025600,0.1465,0.046100,0.076400,0.002300,0.019900,0.001400,0.006500,0.001600,0.019200,0.043500,0.049400,0.006000,0.000100,0.1126,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2320,0.058000,4,0.048400,0.074700,16.3689,12024.3203,2464.5195,2438.9336,0,14488.8320,0,0,0,0,0,16.6667,0.4401,29.5949,550,383,0,0.1880,0,0.1089,0,0,0
,0.056800,0.008600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2521,0,0,0.012900,0.086800,0.012800,0.9638,0.033700,0.1882,0.001000,0.004500,0.026500,0.4024,0.4621,0.1102,0.004400,0.064000,0.041500,0.3044,0.018700,0.000400,0.002100,0.067300,0.017000,0.031000,0.005500,0.067600,0.7299,0.026400,0.1485,0.083400,0.081400,0.036100,0.020500,0.001300,0.007300,0.001800,0.010200,0.035300,0.049100,0.005300,0,0.1050,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2319,0.057975,4,0.049300,0.073500,16.8832,12024.2734,2464.5234,2438.9336,0,14488.8438,0,0,0,0,0,16.6667,0.4665,28.9822,0,0,0,0,0,0.1587,0,0,0
,0.040200,0.006900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2282,0,0,0.012200,0.085900,0.012700,0.8856,0.032100,0.1301,0.000800,0.004500,0.028100,0.3648,0.4870,0.1016,0.003900,0.060100,0.042800,0.2673,0.022200,0.000600,0.1000,0.062800,0.015100,0.029500,0.005500,0.066400,0.6625,0.022600,0.1424,0.043600,0.082100,0.002300,0.019400,0.001200,0.006200,0.001500,0.018700,0.041300,0.044800,0.005200,0.000100,0.059200,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2390,0.059750,4,0.053900,0.073700,16.4872,12024.4023,2464.5234,2438.9336,0,14488.7969,0,0,0,0,0,16.6667,0.4898,29.5131,0,0,0,0,0,0.1802,0,0,0
,0.044700,0.005800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2480,0,0,0.013200,0.088700,0.012700,1.0797,0.033600,0.2086,0.001300,0.003700,0.025900,0.4432,0.4626,0.1102,0.004300,0.068400,0.050000,0.2704,0.033600,0.000400,0.005400,0.065200,0.017900,0.029800,0.005300,0.067400,0.8545,0.024800,0.1466,0.045800,0.075600,0.002300,0.018800,0.001300,0.006100,0.001500,0.1263,0.1606,0.051100,0.005800,0.000100,0.098900,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2057,0.051425,4,0.042200,0.066500,17.1330,12024.4023,2464.5234,2438.9336,0,14488.9258,0,0,0,0,0,16.6667,0.4723,28.1657,516,382,0,0.1105,0.1938,0,0,0,0
