seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.016404,16.40440,0,0.00000,0.00000,800,800,440,0,0,90088,2278,52.678
0.033084,16.67920,0,0.00000,0.00000,800,800,440,0,0,90088,2278,69.357
0.050159,17.07560,0,0.00000,0.00000,800,800,440,0,0,90088,2278,86.433
0.067103,16.94390,0,0.00000,0.00000,800,800,440,0,0,90088,2278,3.373
0.084188,17.08540,0,0.00000,0.00000,800,800,440,0,0,90088,2278,20.459
0.100061,15.87200,0,0.00000,0.00000,800,800,440,0,0,90088,2278,36.331
0.116450,16.38990,0,0.00000,0.00000,800,800,440,0,0,90088,2278,52.721
0.133332,16.88140,0,0.00000,0.00000,800,800,440,0,0,90088,2278,69.602
0.149823,16.49120,0,0.00000,0.00000,800,800,440,0,0,90088,2278,86.093
0.166951,17.12850,0,0.00000,0.00000,800,800,440,0,0,90088,2278,3.321
0.183851,16.89960,0,0.00000,0.00000,800,800,440,0,0,90088,2278,20.221
0.199837,15.98550,0,0.00000,0.00000,800,800,440,0,0,90088,2278,36.206
0.216451,16.61470,0,0.00000,0.00000,800,800,440,0,0,90088,2278,52.821
0.233115,16.66410,0,0.00000,0.00000,800,800,440,0,0,90088,2278,69.485
0.249521,16.40600,0,0.00000,0.00000,800,800,440,0,0,90088,2278,85.891
0.267282,17.76100,0,0.00000,0.00000,800,800,440,0,0,90088,2278,3.664
0.283921,16.63820,0,0.00000,0.00000,800,800,440,0,0,90088,2278,20.302
0.299730,15.80940,0,0.00000,0.00000,800,800,440,0,0,90088,2278,36.112
0.316359,16.62940,0,0.00000,0.00000,800,800,440,0,0,90088,2278,52.741
0.333216,16.85640,0,0.00000,0.00000,800,800,440,0,0,90088,2278,69.598
0.349804,16.58850,0,0.00000,0.00000,800,800,440,0,0,90088,2278,86.186
0.366852,17.04730,0,0.00000,0.00000,800,800,440,0,0,90088,2278,3.104
0.383977,17.12540,0,0.00000,0.00000,800,800,440,0,0,90088,2278,20.230
0.399437,15.45960,0,0.00000,0.00000,800,800,440,0,0,90088,2278,35.689
0.416408,16.97190,0,0.00000,0.00000,800,800,440,0,0,90088,2278,52.661
0.433393,16.98470,0,0.00000,0.00000,800,800,440,0,0,90088,2278,69.646
0.449571,16.17790,0,0.00000,0.00000,800,800,440,0,0,90088,2278,85.824
0.467425,17.85350,0,0.00000,0.00000,800,800,440,0,0,90088,2278,3.669
0.483894,16.46960,0,0.00000,0.00000,800,800,440,0,0,90088,2278,20.138
0.499607,15.71270,0,0.00000,0.00000,800,800,440,0,0,90088,2278,35.851
0.516589,16.98180,0,0.00000,0.00000,800,800,470,0,0,90088,2278,52.833
0.533238,16.64950,0,0.00000,0.00000,800,800,470,0,0,90088,2278,69.482
0.549536,16.29740,0,0.00000,0.00000,800,800,470,0,0,90088,2278,85.780
0.567186,17.65040,0,0.00000,0.00000,800,800,470,0,0,90088,2278,3.318
0.583850,16.66390,0,0.00000,0.00000,800,800,470,0,0,147260,2093,19.981
0.599554,15.70410,0,0.00000,0.00000,800,800,470,0,0,147260,2093,35.686
0.616404,16.85040,0,0.00000,0.00000,800,800,470,0,0,147260,2093,52.536
0.632756,16.35210,0,0.00000,0.00000,800,800,470,0,0,147260,2093,68.888
0.649368,16.61130,0,0.00000,0.00000,800,800,470,0,0,147260,2093,85.499
0.666789,17.42170,0,0.00000,0.00000,800,800,470,0,0,147260,2093,3.127
0.683897,17.10730,0,0.00000,0.00000,800,800,470,0,0,147260,2093,20.235
0.699649,15.75200,0,0.00000,0.00000,800,800,470,0,0,147260,2093,35.987
0.716280,16.63150,0,0.00000,0.00000,800,800,470,0,0,147260,2093,52.618
0.733051,16.77090,0,0.00000,0.00000,800,800,470,0,0,147260,2093,69.389
0.749469,16.41760,0,0.00000,0.00000,800,800,470,0,0,147260,2093,85.807
0.767024,17.55520,0,0.00000,0.00000,800,800,470,0,0,147260,2093,3.180
0.782749,15.72480,0,0.00000,0.00000,800,800,470,0,0,147260,2093,18.905
0.800443,17.69390,0,0.00000,0.00000,800,800,470,0,0,147260,2093,36.599
0.816690,16.24690,0,0.00000,0.00000,800,800,470,0,0,147260,2093,52.846
0.832792,16.10270,0,0.00000,0.00000,800,800,470,0,0,147260,2093,68.948
0.850172,17.37990,0,0.00000,0.00000,800,800,470,0,0,147260,2093,3.205
0.866745,16.57280,0,0.00000,0.00000,800,800,470,0,0,147260,2093,19.778
0.883069,16.32360,0,0.00000,0.00000,800,800,470,0,0,147260,2093,36.101
0.899654,16.58550,0,0.00000,0.00000,800,800,470,0,0,147260,2093,52.687
0.916111,16.45650,0,0.00000,0.00000,800,800,470,0,0,147260,2093,69.143
0.933034,16.92340,0,0.00000,0.00000,800,800,470,0,0,147260,2093,86.067
0.950446,17.41250,0,0.00000,0.00000,800,800,470,0,0,147260,2093,3.231
0.966225,15.77850,0,0.00000,0.00000,800,800,470,0,0,147260,2093,19.010
0.982874,16.64910,0,0.00000,0.00000,800,800,470,0,0,147260,2093,35.659
0.999792,16.91830,0,0.00000,0.00000,800,800,470,0,0,147260,2093,52.577
1.016187,16.39500,0,0.00000,0.00000,800,800,470,0,0,147260,2093,68.972
1.032729,16.54110,0,0.00000,0.00000,800,800,469,0,0,147260,2093,85.513
1.050278,17.54910,0,0.00000,0.00000,800,800,469,0,0,147260,2093,3.275
1.066608,16.33030,0,0.00000,0.00000,800,800,469,0,0,147260,2093,19.605
1.082848,16.24040,0,0.00000,0.00000,800,800,469,0,0,147260,2093,35.845
1.099840,16.99150,0,0.00000,0.00000,800,800,469,0,0,147260,2093,52.837
1.115906,16.06580,0,0.00000,0.00000,800,800,469,0,0,147260,2093,68.903
1.133311,17.40500,0,0.00000,0.00000,800,800,469,0,0,147260,2093,86.308
1.149645,16.33400,0,0.00000,0.00000,800,800,469,0,0,147260,2093,102.642
1.166531,16.88650,0,0.00000,0.00000,800,800,469,0,0,147260,2093,2.873
1.182842,16.31130,0,0.00000,0.00000,800,800,469,0,0,147260,2093,19.184
1.199770,16.92750,0,0.00000,0.00000,800,800,469,0,0,147260,2093,36.112
1.216496,16.72640,0,0.00000,0.00000,800,800,469,0,0,147260,2093,52.838
1.232987,16.49060,0,0.00000,0.00000,800,800,469,0,0,147260,2093,69.328
1.249584,16.59740,0,0.00000,0.00000,800,800,469,0,0,147260,2093,85.926
1.266649,17.06450,0,0.00000,0.00000,800,800,469,0,0,147260,2093,2.977
1.283325,16.67610,0,0.00000,0.00000,800,800,469,0,0,147260,2093,19.653
1.299868,16.54360,0,0.00000,0.00000,800,800,469,0,0,147260,2093,36.197
1.316275,16.40640,0,0.00000,0.00000,800,800,469,0,0,147260,2093,52.603
1.333350,17.07560,0,0.00000,0.00000,800,800,469,0,0,147260,2093,69.679
1.349958,16.60800,0,0.00000,0.00000,800,800,469,0,0,147260,2093,86.287
1.366947,16.98880,0,0.00000,0.00000,800,800,469,0,0,147260,2093,3.251
1.382843,15.89550,0,0.00000,0.00000,800,800,469,0,0,147260,2093,19.147
1.399939,17.09660,0,0.00000,0.00000,800,800,469,0,0,147260,2093,36.243
1.416449,16.51010,0,0.00000,0.00000,800,800,469,0,0,147260,2093,52.754
1.433026,16.57630,0,0.00000,0.00000,800,800,469,0,0,147260,2093,69.330
1.449419,16.39310,0,0.00000,0.00000,800,800,469,0,0,147260,2093,85.723
1.466970,17.55080,0,0.00000,0.00000,800,800,469,0,0,147260,2093,3.253
1.483391,16.42120,0,0.00000,0.00000,800,800,469,0,0,147260,2093,19.674
1.499602,16.21070,0,0.00000,0.00000,800,800,469,0,0,147260,2093,35.885
1.516390,16.78820,0,0.00000,0.00000,800,800,469,0,0,147260,2093,52.673
1.533168,16.77840,0,0.00000,0.00000,800,800,470,0,0,147260,2093,69.451
1.549496,16.32830,0,0.00000,0.00000,800,800,470,0,0,147260,2093,85.780
1.566936,17.43920,0,0.00000,0.00000,800,800,470,0,0,147260,2093,3.162
1.582851,15.91560,0,0.00000,0.00000,800,800,470,0,0,147260,2093,19.077
1.599834,16.98250,0,0.00000,0.00000,800,800,470,0,0,107658,1870,36.060
1.616189,16.35480,0,0.00000,0.00000,800,800,470,0,0,107658,1870,52.414
1.633214,17.02510,0,0.00000,0.00000,800,800,470,0,0,107658,1870,69.440
1.649507,16.29290,0,0.00000,0.00000,800,800,470,0,0,107658,1870,85.732
1.666717,17.21060,0,0.00000,0.00000,800,800,470,0,0,107658,1870,3.038
1.683228,16.51100,0,0.00000,0.00000,800,800,470,0,0,107658,1870,19.549
1.699655,16.42710,0,0.00000,0.00000,800,800,470,0,0,107658,1870,35.976
1.716507,16.85190,0,0.00000,0.00000,800,800,470,0,0,107658,1870,52.828
1.733237,16.72950,0,0.00000,0.00000,800,800,470,0,0,107658,1870,69.558
1.749451,16.21460,0,0.00000,0.00000,800,800,470,0,0,107658,1870,85.772
1.766861,17.40960,0,0.00000,0.00000,800,800,470,0,0,107658,1870,3.139
1.782895,16.03450,0,0.00000,0.00000,800,800,470,0,0,107658,1870,19.174
1.800130,17.23460,0,0.00000,0.00000,800,800,470,0,0,107658,1870,36.408
1.816213,16.08320,0,0.00000,0.00000,800,800,470,0,0,107658,1870,52.492
1.833006,16.79240,0,0.00000,0.00000,800,800,470,0,0,107658,1870,69.284
1.849548,16.54230,0,0.00000,0.00000,800,800,470,0,0,107658,1870,85.826
1.867008,17.46000,0,0.00000,0.00000,800,800,470,0,0,107658,1870,3.260
1.883279,16.27130,0,0.00000,0.00000,800,800,470,0,0,107658,1870,19.531
1.899883,16.60430,0,0.00000,0.00000,800,800,470,0,0,107658,1870,36.136
1.916250,16.36610,0,0.00000,0.00000,800,800,470,0,0,107658,1870,52.502
1.933269,17.01960,0,0.00000,0.00000,800,800,470,0,0,107658,1870,69.521
1.949614,16.34450,0,0.00000,0.00000,800,800,470,0,0,107658,1870,85.866
1.966989,17.37520,0,0.00000,0.00000,800,800,470,0,0,107658,1870,3.270
1.983078,16.08870,0,0.00000,0.00000,800,800,470,0,0,107658,1870,19.359
1.999919,16.84100,0,0.00000,0.00000,800,800,470,0,0,107658,1870,36.200
2.016302,16.38330,0,0.00000,0.00000,800,800,470,0,0,107658,1870,52.583
2.033010,16.70860,0,0.00000,0.00000,800,800,470,0,0,107658,1870,69.291
2.049589,16.57840,0,0.00000,0.00000,800,800,469,0,0,107658,1870,85.870
2.067065,17.47650,0,0.00000,0.00000,800,800,469,0,0,107658,1870,3.307
2.083130,16.06500,0,0.00000,0.00000,800,800,469,0,0,107658,1870,19.372
2.099780,16.64930,0,0.00000,0.00000,800,800,469,0,0,107658,1870,36.021
2.116267,16.48710,0,0.00000,0.00000,800,800,469,0,0,107658,1870,52.508
2.133710,17.44310,0,0.00000,0.00000,800,800,469,0,0,107658,1870,69.952
2.149672,15.96230,0,0.00000,0.00000,800,800,469,0,0,107658,1870,85.914
2.167009,17.33710,0,0.00000,0.00000,800,800,469,0,0,107658,1870,3.268
2.182889,15.88000,0,0.00000,0.00000,800,800,469,0,0,107658,1870,19.148
2.199788,16.89900,0,0.00000,0.00000,800,800,469,0,0,107658,1870,36.047
2.216335,16.54720,0,0.00000,0.00000,800,800,469,0,0,107658,1870,52.594
2.233049,16.71320,0,0.00000,0.00000,800,800,469,0,0,107658,1870,69.307
2.249591,16.54210,0,0.00000,0.00000,800,800,469,0,0,107658,1870,85.850
2.267055,17.46450,0,0.00000,0.00000,800,800,469,0,0,107658,1870,3.354
2.283171,16.11530,0,0.00000,0.00000,800,800,469,0,0,107658,1870,19.470
2.299708,16.53780,0,0.00000,0.00000,800,800,469,0,0,107658,1870,36.008
2.316311,16.60260,0,0.00000,0.00000,800,800,469,0,0,107658,1870,52.610
2.333242,16.93150,0,0.00000,0.00000,800,800,469,0,0,107658,1870,69.542
2.349792,16.54970,0,0.00000,0.00000,800,800,469,0,0,107658,1870,86.091
2.366892,17.09960,0,0.00000,0.00000,800,800,469,0,0,107658,1870,3.181
2.382931,16.03900,0,0.00000,0.00000,800,800,469,0,0,107658,1870,19.220
2.400196,17.26520,0,0.00000,0.00000,800,800,469,0,0,107658,1870,36.485
2.416260,16.06410,0,0.00000,0.00000,800,800,469,0,0,107658,1870,52.549
2.433086,16.82600,0,0.00000,0.00000,800,800,469,0,0,107658,1870,69.375
2.449655,16.56880,0,0.00000,0.00000,800,800,469,0,0,107658,1870,85.944
2.466949,17.29400,0,0.00000,0.00000,800,800,469,0,0,107658,1870,3.239
2.483263,16.31430,0,0.00000,0.00000,800,800,469,0,0,107658,1870,19.554
2.499751,16.48760,0,0.00000,0.00000,800,800,469,0,0,107658,1870,36.041
2.516438,16.68710,0,0.00000,0.00000,800,800,469,0,0,107658,1870,52.728
2.533164,16.72650,0,0.00000,0.00000,800,800,469,0,0,107658,1870,69.455
2.549659,16.49450,0,0.00000,0.00000,800,800,457,0,0,107658,1870,85.949
2.566837,17.17780,0,0.00000,0.00000,800,800,457,0,0,107658,1870,3.110
2.583364,16.52710,0,0.00000,0.00000,800,800,457,0,0,107658,1870,19.637
2.599930,16.56670,0,0.00000,0.00000,800,800,457,0,0,87474,2165,36.203
2.616141,16.21020,0,0.00000,0.00000,800,800,457,0,0,87474,2165,52.414
2.633295,17.15430,0,0.00000,0.00000,800,800,457,0,0,87474,2165,69.568
2.649816,16.52080,0,0.00000,0.00000,800,800,457,0,0,87474,2165,86.089
2.666810,16.99420,0,0.00000,0.00000,800,800,457,0,0,87474,2165,3.062
2.683249,16.43880,0,0.00000,0.00000,800,800,457,0,0,87474,2165,19.501
2.699676,16.42740,0,0.00000,0.00000,800,800,457,0,0,87474,2165,35.929
2.716710,17.03360,0,0.00000,0.00000,800,800,457,0,0,87474,2165,52.962
2.733184,16.47440,0,0.00000,0.00000,800,800,457,0,0,87474,2165,69.437
2.749679,16.49500,0,0.00000,0.00000,800,800,457,0,0,87474,2165,85.932
2.767038,17.35890,0,0.00000,0.00000,800,800,457,0,0,87474,2165,3.345
2.783201,16.16330,0,0.00000,0.00000,800,800,457,0,0,87474,2165,19.508
2.799711,16.50970,0,0.00000,0.00000,800,800,457,0,0,87474,2165,36.017
2.816436,16.72460,0,0.00000,0.00000,800,800,457,0,0,87474,2165,52.742
2.832834,16.39880,0,0.00000,0.00000,800,800,457,0,0,87474,2165,69.141
2.849797,16.96250,0,0.00000,0.00000,800,800,457,0,0,87474,2165,86.103
2.866746,16.94870,0,0.00000,0.00000,800,800,457,0,0,87474,2165,3.041
2.883239,16.49300,0,0.00000,0.00000,800,800,457,0,0,87474,2165,19.534
2.899602,16.36310,0,0.00000,0.00000,800,800,457,0,0,87474,2165,35.897
2.916598,16.99650,0,0.00000,0.00000,800,800,457,0,0,87474,2165,52.894
2.933249,16.65100,0,0.00000,0.00000,800,800,457,0,0,87474,2165,69.545
2.949465,16.21530,0,0.00000,0.00000,800,800,457,0,0,87474,2165,85.760
2.966775,17.31020,0,0.00000,0.00000,800,800,457,0,0,87474,2165,3.073
2.982819,16.04460,0,0.00000,0.00000,800,800,457,0,0,87474,2165,19.117
2.999450,16.63060,0,0.00000,0.00000,800,800,457,0,0,87474,2165,35.748
3.016377,16.92740,0,0.00000,0.00000,800,800,457,0,0,87474,2165,52.675
3.032897,16.51910,0,0.00000,0.00000,800,800,457,0,0,87474,2165,69.194
3.050134,17.23800,0,0.00000,0.00000,800,800,454,0,0,87474,2165,3.061
3.066446,16.31170,0,0.00000,0.00000,800,800,454,0,0,87474,2165,19.373
3.082695,16.24840,0,0.00000,0.00000,800,800,454,0,0,87474,2165,35.621
3.099598,16.90350,0,0.00000,0.00000,800,800,454,0,0,87474,2165,52.525
3.116149,16.55130,0,0.00000,0.00000,800,800,454,0,0,87474,2165,69.076
3.133012,16.86240,0,0.00000,0.00000,800,800,454,0,0,87474,2165,85.938
3.150399,17.38750,0,0.00000,0.00000,800,800,454,0,0,87474,2165,3.087
3.166452,16.05260,0,0.00000,0.00000,800,800,454,0,0,87474,2165,19.139
3.183087,16.63540,0,0.00000,0.00000,800,800,454,0,0,87474,2165,35.775
3.199737,16.64930,0,0.00000,0.00000,800,800,454,0,0,87474,2165,52.424
3.216186,16.44970,0,0.00000,0.00000,800,800,454,0,0,87474,2165,68.874
3.232829,16.64260,0,0.00000,0.00000,800,800,454,0,0,87474,2165,85.516
3.250397,17.56790,0,0.00000,0.00000,800,800,454,0,0,87474,2165,3.272
3.266404,16.00720,0,0.00000,0.00000,800,800,454,0,0,87474,2165,19.279
3.283013,16.60880,0,0.00000,0.00000,800,800,454,0,0,87474,2165,35.888
3.299508,16.49500,0,0.00000,0.00000,800,800,454,0,0,87474,2165,52.383
3.316219,16.71150,0,0.00000,0.00000,800,800,454,0,0,87474,2165,69.094
3.333137,16.91820,0,0.00000,0.00000,800,800,454,0,0,87474,2165,86.012
3.349490,16.35280,0,0.00000,0.00000,800,800,454,0,0,87474,2165,102.365
3.366840,17.35000,0,0.00000,0.00000,800,800,454,0,0,87474,2165,3.107
3.383177,16.33660,0,0.00000,0.00000,800,800,454,0,0,87474,2165,19.444
3.399676,16.49890,0,0.00000,0.00000,800,800,454,0,0,87474,2165,35.942
3.416335,16.65970,0,0.00000,0.00000,800,800,454,0,0,87474,2165,52.602
3.432904,16.56880,0,0.00000,0.00000,800,800,454,0,0,87474,2165,69.171
3.449559,16.65520,0,0.00000,0.00000,800,800,454,0,0,87474,2165,85.826
3.466925,17.36520,0,0.00000,0.00000,800,800,454,0,0,87474,2165,2.999
3.483000,16.07510,0,0.00000,0.00000,800,800,454,0,0,87474,2165,19.074
3.499587,16.58720,0,0.00000,0.00000,800,800,454,0,0,87474,2165,35.661
3.516646,17.05940,0,0.00000,0.00000,800,800,454,0,0,87474,2165,52.720
3.533192,16.54520,0,0.00000,0.00000,800,800,454,0,0,87474,2165,69.266
3.549629,16.43780,0,0.00000,0.00000,800,800,454,0,0,87474,2165,85.703
3.566678,17.04840,0,0.00000,0.00000,800,800,467,0,0,87474,2165,2.952
3.583082,16.40420,0,0.00000,0.00000,800,800,467,0,0,87474,2165,19.356
3.599804,16.72180,0,0.00000,0.00000,800,800,467,0,0,87474,2165,36.078
3.616320,16.51630,0,0.00000,0.00000,800,800,467,0,0,86441,1981,52.594
3.633215,16.89530,0,0.00000,0.00000,800,800,467,0,0,86441,1981,69.490
3.649742,16.52680,0,0.00000,0.00000,800,800,467,0,0,86441,1981,86.016
3.666706,16.96430,0,0.00000,0.00000,800,800,467,0,0,86441,1981,2.961
3.683288,16.58120,0,0.00000,0.00000,800,800,467,0,0,86441,1981,19.542
3.699836,16.54860,0,0.00000,0.00000,800,800,467,0,0,86441,1981,36.091
3.716313,16.47650,0,0.00000,0.00000,800,800,467,0,0,86441,1981,52.567
3.733266,16.95300,0,0.00000,0.00000,800,800,467,0,0,86441,1981,69.520
3.750164,16.89810,0,0.00000,0.00000,800,800,467,0,0,86441,1981,86.418
3.767122,16.95780,0,0.00000,0.00000,800,800,467,0,0,86441,1981,3.370
3.783208,16.08640,0,0.00000,0.00000,800,800,467,0,0,86441,1981,19.456
