EVENTS,Exclusive/AllWorkers/Physics,Exclusive/RenderThread/RayTracingGeometryManager_Tick,RayTracingGeometry/ReferencedSizeMB,RayTracingGeometry/RequestedSizeMB,RayTracingGeometry/TotalResidentSizeMB,RayTracingGeometry/TotalAlwaysResidentSizeMB,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,RHI/DrawCalls,RHI/PrimitivesDrawn,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/Input,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,Exclusive/GameThread/HandleRPC,Exclusive/GameThread/Generic_RepNotifies,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/Animation,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/Physics,Exclusive/GameThread/EventWait/EndPhysics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,Exclusive/GameThread/Tickables,Exclusive/GameThread/Landscape,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/UInstancedStaticMeshComponent_BatchUpdateInstancesTransforms,GuLiCommanderPresentation/GameThread/RebuildLocalInstances,GuLiCommanderHealthBars/GameThread/UpdateInstances,MassEntities/GameThread/BatchedCommand,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/ViewportMisc,Exclusive/GameThread/UpdateLevelStreaming,Slate/GameThread/TickPlatform,Exclusive/GameThread/UI,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,GuLiCommanderHealthBars/VisibleInstances,MassEntitiesCounters/BatchedCommand,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/RawPing,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/ChaosDebugDrawComponent,Ticks/CameraComponent,Ticks/LineBatchComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/PhysicsFieldComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderHealthBarRenderer,Ticks/GuLiCommanderHUD,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderPresentationActor,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/FNiagaraWorldManagerTickFunction,Ticks/ParticleSystemManager,Ticks/StartPhysicsTick,Ticks/MassProcessingPhase,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/Actor,ActorCount/SkeletalMeshActor,ActorCount/GuLiTerritoryOutpostActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,AnimationParallelEvaluation/TotalTaskTime,AnimationParallelEvaluation/AverageTaskTime,AnimationParallelEvaluation/NumberOfTasks,AnimationParallelEvaluation/MinTaskTime,AnimationParallelEvaluation/MaxTaskTime,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,RenderThreadTime,GameThreadTime,GPUTime,RenderThreadTime_CriticalPath,GameThreadTime_CriticalPath,MaxFrameTime,CPUUsage_Process,CPUUsage_Idle,Scheduler/AllWorkers/SignalStandbyThread,Scheduler/Oversubscription,Networking/GameThread/FastArray_Apply,Exclusive/GameThread/EventWait/PrePhysics,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Ticks/GuLiStrongholdNetworkPresentationComponent,Exclusive/GameThread/EventWait,FMsgLogf/FMsgLogfCount
,0.1900,0.007000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047200,0.015100,0.098600,0.010900,1.0197,0.034200,0.2048,0.028700,0.2224,0.000700,0.007000,0.031100,0.3812,0.4639,0.1386,0.004400,0.074900,0.039500,0.1675,0.023200,0.000500,0.009000,0.064600,0.015300,0.029700,0.006100,0.067300,0.7438,0.026100,0.1484,0.048200,0.078300,0.002400,0.034700,0.002600,0.006400,0.001600,0.020000,0.043300,0.1608,0.022000,0.000200,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2231,0.055775,4,0.052700,0.060600,16.8681,12024.5234,2471.0039,2440.4844,0,14495.5273,0,0,0,0,0,16.6667,0.000002,334.1496,0,0,0,0,0,0,0,0,0,0,0
,0.2451,0.006100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024700,0.012000,0.082100,0.010200,0.9533,0.030700,0.047400,0,0,0.000900,0.003500,0.024900,0.4859,0.4717,0.1339,0.004900,0.063100,0.043800,0.2950,0.020500,0.000500,0.002000,0.062300,0.015200,0.028900,0.005700,0.066800,0.7213,0.026500,0.1517,0.045300,0.075900,0.002400,0.020000,0.001900,0.006200,0.001400,0.009400,0.032300,0.063000,0.004700,0.000100,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2130,0.053250,4,0.048900,0.059100,16.1372,12025.6680,2471.2383,2440.7461,0,14495.7617,0,0,0,0,0,16.6667,0.4022,28.8253,0,0,0,0,0,0,0,0,0,0,0
,0.2515,0.006200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028600,0.010700,0.081000,0.009800,0.9326,0.028000,0.051100,0,0,0.001100,0.003800,0.035400,0.2931,0.5049,0.1356,0.004800,0.058100,0.036100,0.3131,0.020600,0.000400,0.001900,0.064500,0.015700,0.043900,0.006500,0.066300,0.6941,0.030500,0.1439,0.046500,0.083300,0.002600,0.020900,0.001400,0.005700,0.001500,0.018300,0.040500,0.046900,0.004800,0.000100,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2378,0.059450,4,0.047100,0.069700,16.5222,12023.7227,2471.2422,2440.7461,0,14496.9102,0,0,0,0,0,16.6667,0.4302,28.7127,0,0,0,0,0,0,0,0,0,0,0
,0.2298,0.006600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036300,0.011600,0.1407,0.009700,0.9575,0.030800,0.047700,0,0,0.001000,0.003700,0.025900,0.3397,0.5160,0.1395,0.004300,0.060900,0.038600,0.2748,0.018800,0.000500,0.047600,0.061200,0.014400,0.028100,0.005600,0.066400,0.7360,0.023800,0.1443,0.048100,0.066200,0.002600,0.019700,0.001300,0.006700,0.001700,0.019000,0.043300,0.050800,0.005000,0.000100,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1937,0.048425,4,0.029300,0.059400,16.7800,12022.2852,2471.2422,2440.7461,0,14494.9648,0,0,0,0,0,16.6667,0.5683,28.4386,0,0,0,0,80515,40384,0,2.2732,0,0,0
,0.2101,0.005700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044200,0.011400,0.078200,0.009400,1.0758,0.029700,0.1966,0.1770,0,0.000800,0.004100,0.026000,0.3362,0.5603,0.1619,0.007000,0.075200,0.038900,0.2481,0.025800,0.000300,0.001600,0.059000,0.013900,0.026300,0.005300,0.064900,0.8600,0.024100,0.1429,0.042000,0.078900,0.002000,0.018200,0.001400,0.005600,0.001400,0.008700,0.030400,0.046500,0.004500,0.000100,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1777,0.044425,4,0.008400,0.058700,17.0392,12023.2969,2471.5352,2440.9961,0,14493.8203,0,0,0,0,0,16.6667,0.4869,29.0247,0,0,0,0,0,0,0,0,0,0,0
,0.5232,0.005900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037500,0.011100,0.087900,0.010900,0.9483,0.027600,0.5373,0,0.5442,0.000700,0.003700,0.026200,0.3730,0.4918,0.1271,0.004300,0.058500,0.040400,0.5159,0.021900,0.000400,0.001900,0.063100,0.015600,0.029000,0.006600,0.067000,0.7278,0.025000,0.1435,0.045800,0.077400,0.002600,0.019900,0.001300,0.006400,0.001600,0.017700,0.041400,0.049200,0.005100,0.000100,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2200,0.055000,4,0.052400,0.059100,17.4688,12024.2500,2471.5352,2440.9961,0,14494.8320,0,0,0,0,0,16.6667,0.4965,29.7012,0.004000,1,0.008300,0.001800,0,0,0,0,0,0,0
,0.2506,0.005200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054400,0.011600,0.078100,0.012300,0.9523,0.029400,0.082500,0.020800,0,0.001200,0.003700,0.026000,0.3186,0.4797,0.1362,0.004400,0.058400,0.042800,0.1992,0.024800,0.000400,0.002100,0.062300,0.018000,0.028700,0.005600,0.066200,0.7260,0.024800,0.1462,0.045900,0.074500,0.001900,0.020400,0.001400,0.005200,0.001400,0.015400,0.036600,0.046700,0.005400,0.000100,0,0,63,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,63,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1810,0.045250,4,0.010900,0.065000,15.3844,12024.3125,2470.5977,2439.3711,0,14494.8477,0,0,0,0,0,16.6667,0.4799,29.1678,0.003200,1,0,0,550,383,0,0.1953,1,0,0
,0.3019,0.006400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052300,0.010700,0.086700,0.011200,0.9993,0.035700,0.079700,0,0.016000,0.000900,0.003900,0.026100,0.3870,0.4722,0.1700,0.004900,0.075000,0.047900,0.2794,0.022900,0.000500,0.002300,0.075500,0.019300,0.033500,0.006800,0.068100,0.7338,0.027300,0.1474,0.056200,0.1733,0.003300,0.028700,0.001500,0.006500,0.001600,0.009200,0.034100,0.050800,0.005300,0.000100,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1845,0.046125,4,0.013800,0.062700,17.0565,12024.2578,2470.6055,2439.3711,0,14494.9180,0,0,0,0,0,16.6667,0.4267,29.1320,0.004800,1,0,0,0,0,0,0,0,0,0
,0.2003,0.005900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050000,0.011700,0.083200,0.012000,0.9668,0.025300,0.1757,0,0.1437,0.000700,0.003800,0.027500,0.3188,0.4627,0.1395,0.004400,0.057300,0.039600,0.2109,0.022500,0.000500,0.002000,0.067300,0.015000,0.029200,0.005600,0.066300,0.7420,0.025100,0.1452,0.049100,0.078800,0.008100,0.021400,0.001300,0.006500,0.001500,0.017500,0.039500,0.059100,0.004900,0.000100,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1390,0.034750,4,0.008000,0.063500,16.5822,12024.2734,2470.6680,2439.3711,0,14494.9258,0,0,0,0,0,16.6667,0.4362,29.4346,0,0,0,0,0,0,0,0,0,0,0
,0.3707,0.006900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051800,0.011700,0.093000,0.012300,0.9983,0.028400,0.1081,0,0.1525,0.000600,0.003900,0.026500,0.3488,0.4950,0.1278,0.004400,0.055500,0.039400,0.4217,0.019100,0.000500,0.050700,0.065100,0.016300,0.029600,0.006500,0.067000,0.7576,0.026000,0.1479,0.046600,0.077800,0.002200,0.021100,0.001300,0.005800,0.001600,0.016800,0.040600,0.059000,0.005700,0.000100,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2149,0.053725,4,0.049100,0.061400,16.9602,12024.4023,2470.6680,2439.3711,0,14494.9414,0,0,0,0,0,16.6667,0.3961,28.6454,0.004100,1,0,0,514,385,0,0.1183,0,0,0
