EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/FlushNet,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/EventWait/PrePhysics,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AIController,Ticks/PathFollowingComponent,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,RHI/DrawCalls,RHI/PrimitivesDrawn,Ticks/GuLiCombatEffectReplicationComponent,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Ticks/GuLiBuildingProductionComponent,Ticks/GuLiBuildingShieldComponent,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/EndOfFrameUpdates,Exclusive/GameThread/GarbageCollection,GC/Count,Exclusive/GameThread/DeleteLinkers,Exclusive/GameThread/LogFlush,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/EventWait
,2.5409,0.049800,0.009500,0.1063,0.009700,0.054300,0.001700,0.005500,0.003400,0.020400,0.001000,0.003400,0.026100,1.4870,0.1971,0.8352,0.012600,0.003700,0.5305,0.3053,0.015800,0.000500,0.001500,0.1806,0.2636,0.001400,0.000600,0.002200,0.018700,0.043000,0.064300,0.001200,0.032200,0.002200,0.001100,0.2014,0.026600,0.000100,0,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,50,2,98,0,8,14,14,2,0,30,0,30,0,0,2,28,0,0,0,0,0,0,0,0.060298,0,0,0,0,0,0.060298,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2300,12024.5859,5454.3945,6216.5156,0,17478.9805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1278,0.059700,0.012000,0.088500,0.011200,0.068600,0.001900,0.005700,0.003600,0.022600,0.001300,0.004500,0.029100,0.5789,0.2064,0.8051,0.014800,0.003000,0.2323,0.2620,0.017700,0.000500,0.002100,0.2669,0.3650,0.001000,0.000600,0.001900,0.016000,0.1517,0.5705,0.002200,0.024200,0.001500,0.001200,0.050600,0.012000,0.000100,0.1015,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,50,2,98,0,8,1,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0.1402,0,38,0,0,0.4265,0.5667,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8945,12024.5859,5454.3945,6216.5156,0,17478.9805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2.7515,0.060800,0.012300,0.081400,0.012300,0.064200,0.002100,0.005700,0.003200,0.023000,0.001000,0.004200,0.028400,0.3292,0.1992,0.8051,0.014700,0.002700,0.1016,0.3533,0.016400,0.000600,0.071700,0.2685,0.3684,0.001400,0.000900,0.002000,0.015900,0.046800,0.5375,0.001400,0.022700,0.001300,0.001400,0.050900,0.026200,0.000200,1.6736,0,0,0,0,60,0,0,0,0,0,0,2,2,1,1,48,4,98,0,6,1,1,0,6,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0.1302,0,25.5000,0,0,0.4034,0.5336,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5356,12024.5234,5454.3945,6216.5156,0,17478.9180,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1362,0.1199,0.010500,0.094100,0.010400,0.073500,0.002500,0.005800,0.003400,0.023200,0.001200,0.003800,0.029900,0.3443,0.1987,0.8147,0.014600,0.002900,0.093800,0.2792,0.018500,0.000500,0.002300,1.5716,1.4920,0.001300,0.000700,0.002800,0.018900,0.043100,0.4435,0.001200,0.020800,0.001300,0.001400,0.057600,0.012000,0.000300,0.052400,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.1240,0,28,0,0,0.3152,0.4392,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1176,12024.5234,5454.4023,6216.5156,0,17478.9258,0,0,0,0.1801,0,0,80485,40325,0,1.8891,0,0,0,0,0,0,0,0,0,0,0,0
,2.9923,0.060300,0.011300,0.079500,0.011500,0.062800,0.002100,0.004900,0.003100,0.021400,0.001000,0.003900,0.026700,0.5263,0.2091,0.8070,0.013100,0.002700,0.1017,0.3283,0.018900,0.000500,0.002100,0.1108,0.2050,0.001500,0.000800,0.001800,0.015100,0.044200,0.3978,0.001100,0.021900,0.001500,0.001400,0.046000,0.011200,0.000100,1.8960,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.1013,0,22.5000,0,0,0.2925,0.3938,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3826,12025.6680,5455.6094,6218.6406,0,17481.2773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1296,0.070400,0.010800,0.1140,0.011200,0.058500,0.002000,0.005400,0.003500,0.022200,0.001000,0.004100,0.027100,0.3247,0.1913,0.8120,0.014800,0.002700,0.1033,0.2282,0.017100,0.000600,0.014900,5.4971,5.5977,0.001600,0.000600,0.003400,0.019400,0.052200,0.4699,0.001200,0.022900,0.006600,0.001500,0.5537,0.012100,0.000200,0.072000,0,0,0,0,60,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.1190,0,25,0,0,0.3462,0.4652,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0021,12023.5352,5455.6094,6218.6406,0,17479.1445,0,0,1,0,5.2238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.2277,0.053900,0.009100,0.072600,0.010800,0.057700,0.002100,0.005500,0.002800,0.020000,0.000900,0.003300,0.025300,1.6193,0.2123,0.7561,0.010000,0.002900,0.5141,0.3338,0.019600,0.000700,0.002100,0.2993,0.3906,0.001200,0.000700,0.001800,0.014600,0.040300,0.078000,0.001200,0.017800,0.001400,0.001200,0.043300,0.009900,0.000100,0.6187,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,13,14,2,0,29,0,29,0,0,2,27,0,0,0,0,0,0,0,0.074100,0,0,0,0,0,0.074100,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6425,12022.2852,5456.4844,6219.0156,0,17478.7695,0,0,0,0,0,0,442,324,0,0.1135,0,0,0,0,0,0,0,0,0,0,0,0
,0.1242,0.055200,0.010700,0.076300,0.010400,0.058200,0.001900,0.005200,0.003500,0.021300,0.001100,0.003600,0.029200,0.3217,0.2112,0.8052,0.014800,0.003100,0.4148,0.2368,0.017100,0.000600,0.001900,1.3497,1.3262,0.001500,0.000800,0.002300,0.020000,0.039700,1.0338,0.001200,0.018200,0.001300,0.001200,0.043400,0.010600,0.000100,0.089600,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,11,13,2,6,3200,0,0,9,0,2,22,0,0,0,0,0,0,0,0.1242,0,5,19.0596,0,1.2907,1.4149,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2426,12023.2969,5456.4844,6219.0156,0,17479.7812,0,0,0,0.1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2.6163,0.057400,0.010700,0.077600,0.011700,0.067400,0.001900,0.005400,0.003200,0.021200,0.001000,0.003900,0.024700,0.5531,0.2185,0.8202,0.014400,0.002900,0.093800,0.3237,0.017700,0.000600,0.065300,0.1698,0.2594,0.001100,0.000900,0.001800,0.015400,0.044000,0.1009,0.001200,0.023900,0.001500,0.001900,0.049700,0.011400,0.000100,1.5164,0,0,0,0,60,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,2,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0.097301,0,0,0,0,0,0.097301,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7978,12024.2500,5456.4844,6219.0156,0,17480.7344,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1318,0.074000,0.011400,0.080700,0.011500,0.076800,0.002100,0.005800,0.003900,0.023400,0.001100,0.003900,0.028000,0.3006,0.2007,0.8084,0.012700,0.002800,0.098600,0.2302,0.017000,0.000500,0.002100,0.2599,0.3573,0.001200,0.000700,0.001700,0.015900,0.047500,0.6624,0.001400,0.023200,0.001300,0.001200,0.051800,0.012300,0.000100,0,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.1601,0,39,0,0,0.4977,0.6578,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5048,12024.3203,5456.4844,6219.0156,0,17480.8047,0,0,0,0,0,0,530,323,0,0.094800,0,0,0,0,0,0,0,0,0,0,0,0
