seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.013806,13.80650,0,0.00000,0.00000,800,800,0,0,0,4091,179694,0.000
0.030875,17.06890,0,0.00000,0.00000,800,800,0,0,0,4091,179694,0.000
0.048410,17.53490,0,0.00000,0.00000,800,800,0,0,0,4091,179694,0.000
0.064528,16.11720,0,0.00000,0.00000,800,800,0,0,0,4091,179694,0.000
0.080915,16.38700,0,0.00000,0.00000,800,800,0,0,0,4091,179694,0.000
0.101408,20.49320,1,5.22140,0.79560,800,800,0,0,0,4091,179694,0.000
0.114560,13.15270,0,0.00000,0.00000,800,800,0,0,0,4091,179694,0.000
0.131802,17.24130,0,0.00000,0.00000,800,800,0,0,0,4091,179694,0.000
0.148590,16.78850,0,0.00000,0.00000,800,800,0,0,0,4091,179694,0.000
0.165100,16.50960,0,0.00000,0.00000,800,800,0,0,0,4091,179694,0.000
0.184050,18.95060,0,0.00000,0.00000,800,800,0,0,0,4091,179694,0.000
0.203897,19.84710,1,5.26680,0.79510,800,800,0,0,0,4091,179694,0.000
0.219660,15.76240,0,0.00000,0.00000,800,800,0,0,0,4091,179694,0.000
0.233078,13.41780,0,0.00000,0.00000,800,800,0,0,0,4091,179694,0.000
0.249853,16.77480,0,0.00000,0.00000,800,800,0,0,0,4091,179694,0.000
0.265611,15.75900,0,0.00000,0.00000,800,800,0,0,0,4091,179694,0.000
0.284269,18.65760,0,0.00000,0.00000,800,800,0,0,0,4091,179694,0.000
0.304661,20.39180,1,5.19030,0.78210,800,800,0,0,0,4091,179694,0.000
0.318815,14.15460,0,0.00000,0.00000,800,800,0,0,0,4091,179694,0.000
0.334712,15.89620,0,0.00000,0.00000,800,800,0,0,0,4091,179694,0.000
0.351865,17.15310,0,0.00000,0.00000,800,800,0,0,0,4091,179694,0.000
0.367673,15.80800,0,0.00000,0.00000,800,800,0,0,0,4091,179694,0.000
0.385096,17.42300,0,0.00000,0.00000,800,800,0,0,0,4091,179694,0.000
0.405181,20.08500,1,5.19280,0.80490,800,800,0,0,0,4091,179694,0.000
0.419870,14.68970,0,0.00000,0.00000,800,800,0,0,0,4091,179694,0.000
0.435353,15.48250,0,0.00000,0.00000,800,800,0,0,0,4091,179694,0.000
0.451084,15.73100,0,0.00000,0.00000,800,800,0,0,0,4091,179694,0.000
0.468251,17.16680,0,0.00000,0.00000,800,800,0,0,0,4091,179694,0.000
