monotonic_seconds,engine_seconds,connection,in_total_bytes,out_total_bytes,packet_overhead
16791914.708500098,42.065680798,127.0.0.1:17961,2366364,28380,28
16791914.726584598,42.083765298,127.0.0.1:17961,2372442,28418,28
16791914.743725400,42.100906100,127.0.0.1:17961,2372442,28418,28
16791914.761496399,42.118677098,127.0.0.1:17961,2378458,28456,28
16791914.777703598,42.134884298,127.0.0.1:17961,2378767,28494,28
16791914.795638099,42.152818799,127.0.0.1:17961,2386956,28532,28
16791914.813093301,42.170274001,127.0.0.1:17961,2387007,28570,28
16791914.829961099,42.187141798,127.0.0.1:17961,2387060,28608,28
16791914.847828802,42.205009501,127.0.0.1:17961,2393110,28646,28
16791914.865827400,42.223008100,127.0.0.1:17961,2398350,28684,28
16791914.883850899,42.241031598,127.0.0.1:17961,2404342,28722,28
16791914.900954399,42.258135099,127.0.0.1:17961,2408673,28760,28
16791914.920506202,42.277686901,127.0.0.1:17961,2413395,28798,28
16791914.936909501,42.294090200,127.0.0.1:17961,2414086,28836,28
16791914.955279000,42.312459700,127.0.0.1:17961,2420115,28874,28
16791914.972685799,42.329866499,127.0.0.1:17961,2420115,28874,28
16791914.990768600,42.347949300,127.0.0.1:17961,2428352,28912,28
16791915.007588200,42.364768900,127.0.0.1:17961,2428390,28950,28
16791915.024878301,42.382059000,127.0.0.1:17961,2434677,28988,28
16791915.042913001,42.400093701,127.0.0.1:17961,2434779,29026,28
16791915.060315400,42.417496100,127.0.0.1:17961,2440836,29064,28
16791915.078889702,42.436070401,127.0.0.1:17961,2440836,29064,28
16791915.096222799,42.453403499,127.0.0.1:17961,2450363,29102,28
16791915.112546999,42.469727699,127.0.0.1:17961,2452598,29140,28
16791915.130065899,42.487246599,127.0.0.1:17961,2452646,29178,28
16791915.146327998,42.503508698,127.0.0.1:17961,2458638,29216,28
16791915.163922202,42.521102902,127.0.0.1:17961,2464630,29254,28
16791915.180802900,42.537983600,127.0.0.1:17961,2464730,29292,28
16791915.199081998,42.556262698,127.0.0.1:17961,2472883,29330,28
16791915.216086000,42.573266700,127.0.0.1:17961,2472921,29368,28
16791915.233508099,42.590688799,127.0.0.1:17961,2472969,29406,28
16791915.250421301,42.607602000,127.0.0.1:17961,2479009,29444,28
16791915.268220399,42.625401098,127.0.0.1:17961,2484205,29482,28
16791915.284700900,42.641881600,127.0.0.1:17961,2490464,29520,28
16791915.303603102,42.660783801,127.0.0.1:17961,2496468,29558,28
16791915.319075100,42.676255800,127.0.0.1:17961,2496989,29596,28
16791915.338597398,42.695778098,127.0.0.1:17961,2503089,29634,28
16791915.354765501,42.711946201,127.0.0.1:17961,2503127,29672,28
16791915.374303699,42.731484398,127.0.0.1:17961,2508285,29710,28
16791915.392595202,42.749775901,127.0.0.1:17961,2515184,29748,28
16791915.409621298,42.766801998,127.0.0.1:17961,2515237,29786,28
16791915.428472102,42.785652801,127.0.0.1:17961,2515285,29824,28
16791915.444585301,42.801766001,127.0.0.1:17961,2521325,29862,28
16791915.461705498,42.818886198,127.0.0.1:17961,2521363,29900,28
16791915.479597900,42.836778600,127.0.0.1:17961,2527392,29938,28
16791915.497524399,42.854705099,127.0.0.1:17961,2535544,29976,28
16791915.515083399,42.872264098,127.0.0.1:17961,2535629,30014,28
16791915.533496499,42.890677199,127.0.0.1:17961,2541977,30052,28
16791915.550582599,42.907763299,127.0.0.1:17961,2547237,30090,28
16791915.568359900,42.925540600,127.0.0.1:17961,2548088,30128,28
16791915.586660299,42.943840999,127.0.0.1:17961,2553331,30166,28
16791915.603403900,42.960584600,127.0.0.1:17961,2559837,30204,28
16791915.621806402,42.978987101,127.0.0.1:17961,2564318,30242,28
16791915.638897400,42.996078100,127.0.0.1:17961,2565152,30280,28
16791915.656791199,43.013971899,127.0.0.1:17961,2570310,30318,28
16791915.674318202,43.031498902,127.0.0.1:17961,2571144,30356,28
16791915.691985700,43.049166400,127.0.0.1:17961,2576340,30394,28
16791915.709924798,43.067105498,127.0.0.1:17961,2579443,30432,28
16791915.727236800,43.084417500,127.0.0.1:17961,2585445,30470,28
16791915.745143302,43.102324001,127.0.0.1:17961,2585483,30508,28
16791915.762735799,43.119916499,127.0.0.1:17961,2585559,30546,28
16791915.780150302,43.137331001,127.0.0.1:17961,2590717,30584,28
16791915.798140500,43.155321199,127.0.0.1:17961,2600010,30622,28
16791915.815301798,43.172482498,127.0.0.1:17961,2603509,30660,28
16791915.833250500,43.190431200,127.0.0.1:17961,2603617,30698,28
16791915.850718100,43.207898799,127.0.0.1:17961,2609610,30736,28
16791915.867793199,43.224973898,127.0.0.1:17961,2609648,30774,28
16791915.888348199,43.245528899,127.0.0.1:17961,2615704,30812,28
16791915.902759001,43.259939700,127.0.0.1:17961,2621756,30850,28
16791915.921869200,43.279049899,127.0.0.1:17961,2621794,30888,28
16791915.937740799,43.294921499,127.0.0.1:17961,2627796,30926,28
16791915.956511401,43.313692100,127.0.0.1:17961,2627858,30964,28
16791915.973381098,43.330561798,127.0.0.1:17961,2633873,31002,28
16791915.991577901,43.348758601,127.0.0.1:17961,2633911,31040,28
16791916.010629300,43.367810000,127.0.0.1:17961,2642077,31078,28
16791916.027691800,43.384872500,127.0.0.1:17961,2647315,31116,28
16791916.046933100,43.404113799,127.0.0.1:17961,2648527,31154,28
16791916.063956700,43.421137400,127.0.0.1:17961,2654535,31192,28
16791916.081656799,43.438837498,127.0.0.1:17961,2654535,31192,28
16791916.098086901,43.455267601,127.0.0.1:17961,2660624,31230,28
16791916.116655901,43.473836601,127.0.0.1:17961,2660677,31268,28
16791916.132393800,43.489574499,127.0.0.1:17961,2660751,31306,28
16791916.151155900,43.508336600,127.0.0.1:17961,2666766,31344,28
16791916.169207800,43.526388500,127.0.0.1:17961,2672782,31382,28
16791916.185722198,43.542902898,127.0.0.1:17961,2672782,31382,28
16791916.202587198,43.559767898,127.0.0.1:17961,2680972,31420,28
16791916.220786300,43.577966999,127.0.0.1:17961,2681034,31458,28
16791916.236348499,43.593529198,127.0.0.1:17961,2690551,31496,28
16791916.255304798,43.612485498,127.0.0.1:17961,2690613,31534,28
16791916.270658199,43.627838898,127.0.0.1:17961,2696605,31572,28
16791916.290373798,43.647554498,127.0.0.1:17961,2701749,31610,28
16791916.307763699,43.664944399,127.0.0.1:17961,2702081,31648,28
16791916.326065801,43.683246501,127.0.0.1:17961,2702081,31648,28
16791916.344126500,43.701307200,127.0.0.1:17961,2708095,31686,28
16791916.361028399,43.718209099,127.0.0.1:17961,2708171,31724,28
16791916.378552601,43.735733300,127.0.0.1:17961,2714223,31762,28
16791916.395792101,43.752972800,127.0.0.1:17961,2720240,31800,28
16791916.412475199,43.769655898,127.0.0.1:17961,2720340,31838,28
16791916.429643899,43.786824599,127.0.0.1:17961,2726192,31876,28
16791916.447832700,43.805013400,127.0.0.1:17961,2731542,31914,28
16791916.464595798,43.821776498,127.0.0.1:17961,2732393,31952,28
16791916.482264299,43.839444999,127.0.0.1:17961,2738498,31990,28
16791916.499696001,43.856876701,127.0.0.1:17961,2738560,32028,28
16791916.517857801,43.875038501,127.0.0.1:17961,2744552,32066,28
16791916.535614599,43.892795298,127.0.0.1:17961,2744847,32104,28
16791916.553566899,43.910747599,127.0.0.1:17961,2744915,32142,28
16791916.569614299,43.926794998,127.0.0.1:17961,2750938,32180,28
16791916.588121299,43.945301998,127.0.0.1:17961,2750991,32218,28
16791916.604067400,43.961248100,127.0.0.1:17961,2756983,32256,28
16791916.622094098,43.979274798,127.0.0.1:17961,2757068,32294,28
16791916.639585301,43.996766001,127.0.0.1:17961,2763106,32332,28
16791916.657205600,44.014386300,127.0.0.1:17961,2763170,32370,28
16791916.674163502,44.031344201,127.0.0.1:17961,2763208,32408,28
16791916.691508900,44.048689600,127.0.0.1:17961,2769247,32446,28
16791916.708839800,44.066020500,127.0.0.1:17961,2775291,32484,28
16791916.726617999,44.083798699,127.0.0.1:17961,2775329,32522,28
16791916.743701700,44.100882400,127.0.0.1:17961,2780535,32560,28
16791916.762435202,44.119615901,127.0.0.1:17961,2781416,32598,28
16791916.780463900,44.137644600,127.0.0.1:17961,2786630,32636,28
16791916.797208399,44.154389098,127.0.0.1:17961,2793548,32674,28
16791916.815544698,44.172725398,127.0.0.1:17961,2793661,32712,28
16791916.831860099,44.189040799,127.0.0.1:17961,2799699,32750,28
