"Seconds","Role","Pid","CpuCoreEquivalents","WorkingSetMiB","PrivateMiB"
"0.001238","server","22120","0","5469.58984375","6245.515625"
"0.001238","client1","35112","0","31.30859375","23.265625"
"0.001238","client2","11168","0","39.390625","24.30859375"
"1.0449919","server","22120","0.1047900276109148","5469.73046875","6245.515625"
"1.0449919","client1","35112","1.3622703589418923","574.38671875","538.421875"
"1.0449919","client2","11168","1.5119703983860564","578.56640625","528.390625"
"2.0651331","server","22120","0.1991145931563199","5469.85546875","6245.515625"
"2.0651331","client1","35112","0.47481172214199363","715.77734375","588.25390625"
"2.0651331","client2","11168","0.6892428224641843","615.16796875","580.52734375"
"3.0958853","server","22120","0.1364294929469954","5469.98828125","6245.515625"
"3.0958853","client1","35112","0.8337357902316386","689.26953125","609.203125"
"3.0958853","client2","11168","0.8943711204303032","608.6953125","562.6328125"
"4.1246882","server","22120","0.16706309828636756","5470.1796875","6245.515625"
"4.1246882","client1","35112","0.8353154914318378","628.8046875","629.3984375"
"4.1246882","client2","11168","0.9264408177698565","693.33984375","679.35546875"
"5.1564617","server","22120","0.24230124150310123","5470.30078125","6245.515625"
"5.1564617","client1","35112","0.8631981728547982","852.3359375","944.2578125"
"5.1564617","client2","11168","0.5451777933819778","1004.65234375","954.546875"
"6.176198","server","22120","0.15322588790847202","5470.42578125","6245.40625"
"6.176198","client1","35112","0.30645177581694405","961.8515625","1080.08984375"
"6.176198","client2","11168","0.27580659823524967","1083.53125","1074.2109375"
"7.1978684","server","22120","0.2752844753063219","5470.55078125","6245.40625"
"7.1978684","client1","35112","0","961.85546875","1080.08984375"
"7.1978684","client2","11168","0","1083.53125","1074.2109375"
"8.2234922","server","22120","0.1523463086562539","5470.67578125","6245.40625"
"8.2234922","client1","35112","0","962.0234375","1080.08984375"
"8.2234922","client2","11168","0.015234630865625388","1083.61328125","1074.28125"
"9.2549002","server","22120","0.24238710578161113","5470.8046875","6245.40625"
"9.2549002","client1","35112","7.40795592045049","1073.33203125","1192.56640625"
"9.2549002","client2","11168","0","1083.80078125","1074.28125"
"10.2786446","server","22120","0.22893898125352383","5470.9453125","6245.40625"
"10.2786446","client1","35112","0.8394429312629207","1078.390625","1198.6015625"
"10.2786446","client2","11168","7.280259603862058","1195.9921875","1197.5078125"
"11.2967099","server","22120","0.1227819079974536","5471.0703125","6245.40625"
"11.2967099","client1","35112","1.0436462179783557","1587.984375","1861.609375"
"11.2967099","client2","11168","1.0896894334774008","1474.890625","1565.203125"
"12.3250865","server","22120","0.19752005247882923","5470.828125","6245.03125"
"12.3250865","client1","35112","0.9572125620127878","1672.90625","1967.4921875"
"12.3250865","client2","11168","1.063569513347542","1779.47265625","1924.4921875"
"13.3592558","server","22120","0.22663117151127962","5470.953125","6245.03125"
"13.3592558","client1","35112","1.1633733470912353","1783.6875","2040.1484375"
"13.3592558","client2","11168","0.9820684098822117","1870.30859375","2027.38671875"
"14.3843896","server","22120","0.16766104092948647","5471.078125","6245.03125"
"14.3843896","client1","35112","1.4784655427418352","2013.4609375","2257.8515625"
"14.3843896","client2","11168","1.7070942349184075","2055.859375","2161.7890625"
"15.4061713","server","22120","0.3670059857208247","5471.203125","6245.03125"
"15.4061713","client1","35112","4.5569909893669065","2354.2109375","2571.2109375"
"15.4061713","client2","11168","4.4346556607932985","2471.36328125","2567.3046875"
"16.429954","server","22120","0.13735824994893936","5471.35546875","6245.03125"
"16.429954","client1","35112","0.9615077496425756","2466.2109375","2752.6953125"
"16.429954","client2","11168","0.9615077496425756","2583.4453125","2749.94921875"
"17.4513356","server","22120","0.15297906286935264","5471.5390625","6245.03125"
"17.4513356","client1","35112","3.1207728825347942","2737.2890625","2964.27734375"
"17.4513356","client2","11168","3.044283351100118","2858.5703125","2971.91796875"
"18.4782962","server","22120","0.24343679786741576","5472.31640625","6245.28125"
"18.4782962","client1","35112","0.912887992002809","2780.828125","3101.40625"
"18.4782962","client2","11168","0.9433175917362361","2902.88671875","3101.64453125"
"19.518517","server","22120","0.30041698839323344","5472.453125","6245.28125"
"19.518517","client1","35112","1.006396911117332","2839.38671875","3167.40625"
"19.518517","client2","11168","1.0815011582156404","2962.39453125","3168.7578125"
"20.5420738","server","22120","0.2900425262183789","5472.578125","6245.28125"
"20.5420738","client1","35112","4.961253737945955","3484.52734375","4115.98828125"
"20.5420738","client2","11168","4.518557250560009","3572.984375","3972.27734375"
"21.5898455","server","22120","0.19386379685574634","5472.765625","6245.28125"
"21.5898455","client1","35112","4.831682321635524","2906.34375","3250.78515625"
"21.5898455","client2","11168","5.308885513895823","3014.0703125","3219.1640625"
"22.6207552","server","22120","0.16672168280112215","5472.890625","6245.28125"
"22.6207552","client1","35112","1.076112679898152","3025.0703125","3366.72265625"
"22.6207552","client2","11168","1.1367387463712875","3142.484375","3345.046875"
"23.6495314","server","22120","0.2885710225411513","5473.015625","6245.28125"
"23.6495314","client1","35112","2.9768379167402976","3510.98046875","3893.53515625"
"23.6495314","client2","11168","2.566763305760767","3614.8359375","3881.234375"
"24.6656515","server","22120","0.23065678948777807","5473.140625","6245.28125"
"24.6656515","client1","35112","1.2455466632340015","4281.93359375","5101.21875"
"24.6656515","client2","11168","1.2609237825331867","4355.51953125","4997.12890625"
"25.6960055","server","22120","0.3184585103760455","5473.2734375","6245.28125"
"25.6960055","client1","35112","0.9705402220984244","4456.7890625","5386.9453125"
"25.6960055","client2","11168","1.031198985979576","4583.84765625","5409.21484375"
"26.7201084","server","22120","0.1830870706449518","5473.4609375","6245.28125"
"26.7201084","client1","35112","0.9459498649989176","4529.55859375","5452.19921875"
"26.7201084","client2","11168","0.8849208414506003","4637.03515625","5474.0078125"
"27.7723357","server","22120","0.3860857820358776","5474.6484375","6245.15625"
"27.7723357","client1","35112","5.865533996314294","5062.4609375","9465.66015625"
"27.7723357","client2","11168","5.598243839520226","5196.3828125","9499.43359375"
"28.8159627","server","22120","0.17966189069466387","5474.8359375","6245.15625"
"28.8159627","client1","35112","3.7279842319142755","5174.4453125","9637.61328125"
"28.8159627","client2","11168","3.503406868545946","5310.08984375","9630.42578125"
"29.8438873","server","22120","0.30401062490381103","5475.3671875","6245.15625"
"29.8438873","client1","35112","3.283314748961159","4957.16015625","9374.2734375"
"29.8438873","client2","11168","4.40815406110526","4873.28515625","9238.43359375"
"30.8807541","server","22120","0.42194426516501443","5476.78125","6245.15625"
"30.8807541","client1","35112","3.963262204942814","4951.9140625","9354.9921875"
"30.8807541","client2","11168","4.385206470107828","4717.265625","9076.71875"
"31.9191596","server","22120","0.3159892739397085","5447.30078125","6215.90625"
"31.9191596","client1","35112","4.077766344650524","4954.93359375","9355.42578125"
"31.9191596","client2","11168","3.7015886375794422","4721.87890625","9077.46484375"
"32.9422275","server","22120","0.3359992039629041","5448.77734375","6216.65625"
"32.9422275","client1","35112","3.5279916416104933","4713.19140625","9108.8984375"
"32.9422275","client2","11168","3.6807185525027224","4733.31640625","9085.7734375"
"33.9841852","server","22120","0.4648701190077102","5449.1640625","6216.65625"
"33.9841852","client1","35112","3.9738897270013935","4716.3203125","9108.94140625"
"33.9841852","client2","11168","4.228818501941106","4728.3046875","9077.9375"
"35.0209433","server","22120","0.5576276664730182","5450.0546875","6216.65625"
"35.0209433","client1","35112","3.8129675572344217","5511.7890625","10460.96875"
"35.0209433","client2","11168","4.2048140255668125","5541.68359375","10442.90625"
"36.0680948","server","22120","0.5520929874998985","5450.44921875","6216.65625"
"36.0680948","client1","35112","4.745015406080209","5935.7421875","11608.2265625"
"36.0680948","client2","11168","5.132972640539597","6013.5703125","11589.19140625"
"37.0941967","server","22120","0.4568259741064703","5449.63671875","6216.65625"
"37.0941967","client1","35112","4.0505236370773705","5880.91796875","11670.67578125"
"37.0941967","client2","11168","3.350057143447449","6001.3671875","11698.71875"
"38.1123768","server","22120","0.5524562894128455","5448.82421875","6216.65625"
"38.1123768","client1","35112","3.5295818490265134","5867.859375","11655.1640625"
"38.1123768","client2","11168","3.6983879374582163","6004.69921875","11699.41796875"
"39.1330594","server","22120","0.3827095710262916","5449.015625","6216.65625"
"39.1330594","client1","35112","3.6433951161702964","5870.10546875","11655.21484375"
"39.1330594","client2","11168","3.12291009957454","5999.19140625","11691.65625"
"40.1574564","server","22120","0.4423333922297703","5449.203125","6216.65625"
"40.1574564","client1","35112","3.3403797551144723","5872.38671875","11655.21484375"
"40.1574564","client2","11168","3.9047361520972825","6001.63671875","11692.2890625"
"41.1838987","server","22120","0.44145199394062384","5449.390625","6216.65625"
"41.1838987","client1","35112","2.740046858941803","5874.59765625","11655.30078125"
"41.1838987","client2","11168","4.0339578756643215","6004.64453125","11692.6171875"
"42.2083813","server","22120","0.5795608436883164","5451.93359375","6219.2578125"
"42.2083813","client1","35112","3.157081437986355","5881.7734375","11661.3828125"
"42.2083813","client2","11168","3.18758464028574","5988.6640625","11663.79296875"
"43.2501309","server","22120","0.5249582049275565","5452.28125","6219.2578125"
"43.2501309","client1","35112","3.5397181817972383","5802.390625","11581.6640625"
"43.2501309","client2","11168","3.119751617855193","5909.1484375","11583.98046875"
"44.2725695","server","22120","0.5501552856083485","5452.5","6219.2578125"
"44.2725695","client1","35112","3.362060078717685","5802.6953125","11581.7890625"
"44.2725695","client2","11168","3.331495896183888","5909.453125","11583.98046875"
"45.2976319","server","22120","0.5487470811533035","5452.7109375","6219.2578125"
"45.2976319","client1","35112","3.1248097676785336","5788.21484375","11567.13671875"
"45.2976319","client2","11168","2.941894073960766","5901.5546875","11575.96484375"
"46.3147842","server","22120","0.44548392605512466","5452.8984375","6219.2578125"
"46.3147842","client1","35112","2.8265187032463084","5789.07421875","11567.51171875"
"46.3147842","client2","11168","3.210556570535209","5901.62890625","11575.96484375"
"47.3354484","server","22120","0.41333378793926545","5453.08984375","6219.2578125"
"47.3354484","client1","35112","2.770867245074335","5789.22265625","11567.51171875"
"47.3354484","client2","11168","2.679015292198943","5901.703125","11576.140625"
"48.3600227","server","22120","0.4880075559185898","5453.27734375","6219.2578125"
"48.3600227","client1","35112","3.8735599751038063","5789.24609375","11567.51171875"
"48.3600227","client2","11168","4.08706328081819","5901.8828125","11576.140625"
"49.3799983","server","22120","0.4902078049710209","5453.46484375","6219.2578125"
"49.3799983","client1","35112","2.9259278359207808","5789.328125","11567.5625"
"49.3799983","client2","11168","3.5693255799452457","5901.8984375","11576.140625"
"50.4117235","server","22120","0.4846251695703469","5453.71484375","6219.2578125"
"50.4117235","client1","35112","2.9380400905202277","5789.5546875","11568.1875"
"50.4117235","client2","11168","2.4685594574989542","5901.71875","11575.515625"
"51.442326","server","22120","0.5609582744074461","5453.84765625","6219.2578125"
"51.442326","client1","35112","3.320266543114343","5789.6015625","11568.1875"
"51.442326","client2","11168","3.289944474227454","5901.8125","11575.58203125"
"52.4686835","server","22120","0.5937258703716785","5454.28125","6219.7578125"
"52.4686835","client1","35112","3.0295243129221543","5790.17578125","11568.1875"
"52.4686835","client2","11168","4.430108417388678","5901.8359375","11575.58203125"
"53.4952493","server","22120","0.5175021416065098","5454.46875","6219.7578125"
"53.4952493","client1","35112","3.926928015719986","5790.33203125","11568.3125"
"53.4952493","client2","11168","4.1247964816283575","5901.859375","11575.58203125"
"54.5122154","server","22120","0.46092981860457294","5454.65625","6219.7578125"
"54.5122154","client1","35112","3.810353167131136","5790.33984375","11568.3125"
"54.5122154","client2","11168","3.2726017120924675","5901.87890625","11575.58203125"
"55.5432536","server","22120","0.4394842014582971","5454.84375","6219.7578125"
"55.5432536","client1","35112","3.5764921222123487","5790.35546875","11568.3125"
"55.5432536","client2","11168","3.3946365905744327","5901.90234375","11575.58203125"
"56.5721287","server","22120","0.5163406131609172","5455.08203125","6220.2578125"
"56.5721287","client1","35112","3.432146428657861","5790.359375","11568.3125"
"56.5721287","client2","11168","3.3865869627907217","5901.90234375","11575.58203125"
"57.5942012","server","22120","0.5350647825863626","5455.3203125","6220.2578125"
"57.5942012","client1","35112","2.7517617390155786","5790.390625","11568.3125"
"57.5942012","client2","11168","2.8893498259663577","5901.9296875","11575.58203125"
"58.6187054","server","22120","0.5490460654041243","5455.515625","6220.2578125"
"58.6187054","client1","35112","2.9892508005335654","5790.3984375","11568.3125"
"58.6187054","client2","11168","3.279025112830187","5902.18359375","11575.58203125"
"59.6467081","server","22120","0.44078191623426666","5455.7109375","6220.2578125"
"59.6467081","client1","35112","2.811884638046184","5790.41015625","11568.3125"
"59.6467081","client2","11168","2.933479649421154","5902.1875","11575.58203125"
"60.6721967","server","22120","0.518045739367556","5455.8984375","6220.2578125"
"60.6721967","client1","35112","2.6207019756241072","5790.3515625","11568.69921875"
"60.6721967","client2","11168","3.1235110755984996","5902.13671875","11575.47265625"
"61.6979357","server","22120","0.5940838751378275","5456.08984375","6220.2578125"
"61.6979357","client1","35112","3.549270330951636","5790.38671875","11568.82421875"
"61.6979357","client2","11168","3.412174052073676","5902.15625","11575.47265625"
"62.7240013","server","22120","0.5482105627554418","5456.46484375","6220.5078125"
"62.7240013","client1","35112","3.609052871473325","5790.38671875","11568.82421875"
"62.7240013","client2","11168","3.9136142952263486","5899.296875","11572.59765625"
"63.7521061","server","22120","0.42554027566061364","5456.65234375","6220.5078125"
"63.7521061","client1","35112","3.0547712645636906","5790.39453125","11568.82421875"
"63.7521061","client2","11168","3.449915806248546","5899.32421875","11572.59765625"
"64.7786129","server","22120","0.4414242555431684","5456.84375","6220.5078125"
"64.7786129","client1","35112","2.450665694567245","5790.4296875","11568.82421875"
"64.7786129","client2","11168","3.3487357317067947","5899.328125","11572.59765625"
"65.8066901","server","22120","0.5015430747807654","5457.06640625","6220.5078125"
"65.8066901","client1","35112","2.644499848844036","5788.8515625","11567.19921875"
"65.8066901","client2","11168","2.8268791487643146","5899.34375","11572.59765625"
"66.8217947","server","22120","0.6157000963250487","5457.2734375","6220.5078125"
"66.8217947","client1","35112","2.8476129455033505","5788.91796875","11567.51171875"
"66.8217947","client2","11168","2.678295419013962","5899.34375","11572.59765625"
"67.8493859","server","22120","0.6082185211395349","5457.4609375","6220.5078125"
"67.8493859","client1","35112","2.9194489014697673","5788.91796875","11567.51171875"
"67.8493859","client2","11168","3.238763625068023","5899.390625","11572.59765625"
"68.8774511","server","22120","0.4711520242101377","5457.71875","6220.5078125"
"68.8774511","client1","35112","2.857309050048577","5788.93359375","11567.51171875"
"68.8774511","client2","11168","3.2372703598954624","5899.4140625","11572.59765625"
