seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.016987,16.98740,0,0.00000,0.00000,1200,1200,0,0,0,4016,355771,0.000
0.035887,18.90000,0,0.00000,0.00000,1200,1200,0,0,0,4016,355771,0.000
0.049199,13.31210,0,0.00000,0.00000,1200,1200,0,0,0,4016,355771,0.000
0.070756,21.55700,0,0.00000,0.00000,1200,1200,0,0,0,4016,355771,0.000
0.090689,19.93200,1,7.40110,1.36250,1200,1200,0,0,0,4016,355771,0.000
0.104627,13.93850,0,0.00000,0.00000,1200,1200,0,0,0,4016,355771,0.000
0.117650,13.02320,0,0.00000,0.00000,1200,1200,0,0,0,4016,355771,0.000
0.136288,18.63790,0,0.00000,0.00000,1200,1200,0,0,0,4016,355771,0.000
0.150770,14.48190,0,0.00000,0.00000,1200,1200,0,0,0,4016,355771,0.000
0.169039,18.26860,0,0.00000,0.00000,1200,1200,0,0,0,4016,355771,0.000
0.190439,21.39990,1,7.35410,1.36520,1200,1200,0,0,0,4207,380790,0.000
0.204034,13.59570,0,0.00000,0.00000,1200,1200,0,0,0,4207,380790,0.000
0.219012,14.97730,0,0.00000,0.00000,1200,1200,0,0,0,4207,380790,0.000
0.237366,18.35410,0,0.00000,0.00000,1200,1200,0,0,0,4207,380790,0.000
0.250752,13.38610,0,0.00000,0.00000,1200,1200,0,0,0,4207,380790,0.000
0.270455,19.70360,0,0.00000,0.00000,1200,1200,0,0,0,4207,380790,0.000
0.291329,20.87400,1,7.67660,1.70120,1200,1200,0,0,0,4207,380790,0.000
0.305031,13.70200,0,0.00000,0.00000,1200,1200,0,0,0,4207,380790,0.000
0.319463,14.43210,0,0.00000,0.00000,1200,1200,0,0,0,4207,380790,0.000
0.338164,18.70100,0,0.00000,0.00000,1200,1200,0,0,0,4207,380790,0.000
0.352265,14.10070,0,0.00000,0.00000,1200,1200,0,0,0,4207,380790,0.000
0.371161,18.89630,0,0.00000,0.00000,1200,1200,0,0,0,4207,380790,0.000
0.391286,20.12440,1,6.96520,1.30270,1200,1200,0,0,0,4207,380790,0.000
0.406299,15.01290,0,0.00000,0.00000,1200,1200,0,0,0,4207,380790,0.000
0.419769,13.47020,0,0.00000,0.00000,1200,1200,0,0,0,4207,380790,0.000
0.439217,19.44800,0,0.00000,0.00000,1200,1200,0,0,0,4207,380790,0.000
0.453255,14.03820,0,0.00000,0.00000,1200,1200,0,0,0,4207,380790,0.000
0.472829,19.57430,0,0.00000,0.00000,1200,1200,0,0,0,4207,380790,0.000
0.493861,21.03170,1,7.19920,1.38720,1200,1200,0,0,0,4207,380790,0.000
0.505521,11.65970,0,0.00000,0.00000,1200,1200,0,0,0,4207,380790,0.000
0.520740,15.21930,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
0.537647,16.90660,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
0.554320,16.67380,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
0.573853,19.53250,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
0.594425,20.57160,1,7.40660,1.36400,1200,1200,1200,0,0,4207,380790,0.000
0.607258,12.83320,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
0.620220,12.96230,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
0.638817,18.59640,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
0.652369,13.55260,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
0.671199,18.83010,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
0.692144,20.94510,1,6.05490,1.41620,1200,1200,1200,0,0,4207,380790,0.000
0.704621,12.47650,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
0.717196,12.57550,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
0.736083,18.88630,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
0.751013,14.93040,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
0.769794,18.78130,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
0.793121,23.32670,1,8.06880,1.36070,1200,1200,1200,0,0,4207,380790,0.000
0.806013,12.89180,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
0.820188,14.17570,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
0.837267,17.07900,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
0.852279,15.01190,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
0.872558,20.27840,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
0.893338,20.78000,1,7.49890,1.44280,1200,1200,1200,0,0,4207,380790,0.000
0.907920,14.58250,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
0.919392,11.47180,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
0.941517,22.12530,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
0.955250,13.73250,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
0.975239,19.98870,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
0.996111,20.87250,1,7.82040,1.43680,1200,1200,1200,0,0,4207,380790,0.000
1.011220,15.10940,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
1.021935,10.71460,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
1.042492,20.55680,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
1.055351,12.85880,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
1.075408,20.05750,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
1.103931,28.52240,1,9.45880,2.49660,1200,1200,1200,0,0,4207,380790,0.000
1.112409,8.47860,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
1.125425,13.01600,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
1.144333,18.90730,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
1.158790,14.45720,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
1.178753,19.96320,0,0.00000,0.00000,1200,1200,1200,0,0,4207,380790,0.000
1.202088,23.33470,1,6.27100,1.40170,1200,1200,1200,0,0,4094,424270,0.000
1.210607,8.51900,0,0.00000,0.00000,1200,1200,1200,0,0,4094,424270,0.000
1.225986,15.37890,0,0.00000,0.00000,1200,1200,1200,0,0,4094,424270,0.000
1.244224,18.23800,0,0.00000,0.00000,1200,1200,1200,0,0,4094,424270,0.000
1.260709,16.48530,0,0.00000,0.00000,1200,1200,1200,0,0,4094,424270,0.000
1.278817,18.10820,0,0.00000,0.00000,1200,1200,1200,0,0,4094,424270,0.000
1.301677,22.85970,1,8.14940,1.34060,1200,1200,1200,0,0,4094,424270,0.000
1.313874,12.19770,0,0.00000,0.00000,1200,1200,1200,0,0,4094,424270,0.000
1.329186,15.31210,0,0.00000,0.00000,1200,1200,1200,0,0,4094,424270,0.000
1.347851,18.66420,0,0.00000,0.00000,1200,1200,1200,0,0,4094,424270,0.000
1.361176,13.32570,0,0.00000,0.00000,1200,1200,1200,0,0,4094,424270,0.000
1.381531,20.35480,0,0.00000,0.00000,1200,1200,1200,0,0,4094,424270,0.000
1.401410,19.87870,1,6.46110,1.49260,1200,1200,1200,0,0,4094,424270,0.000
1.416214,14.80450,0,0.00000,0.00000,1200,1200,1200,0,0,4094,424270,0.000
1.428059,11.84460,0,0.00000,0.00000,1200,1200,1200,0,0,4094,424270,0.000
1.448100,20.04100,0,0.00000,0.00000,1200,1200,1200,0,0,4094,424270,0.000
