EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/RenderThread/RayTracingGeometryManager_Tick,RayTracingGeometry/ReferencedSizeMB,RayTracingGeometry/RequestedSizeMB,RayTracingGeometry/TotalResidentSizeMB,RayTracingGeometry/TotalAlwaysResidentSizeMB,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,RHI/DrawCalls,RHI/PrimitivesDrawn,Exclusive/AllWorkers/Physics,Scheduler/AllWorkers/SignalStandbyThread,Scheduler/Oversubscription,Exclusive/GameThread/Input,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,Exclusive/GameThread/Generic_RepNotifies,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/Animation,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/Physics,Exclusive/GameThread/EventWait/EndPhysics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,Exclusive/GameThread/Tickables,Exclusive/GameThread/Landscape,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/UInstancedStaticMeshComponent_BatchUpdateInstancesTransforms,GuLiCommanderPresentation/GameThread/RebuildLocalInstances,GuLiCommanderHealthBars/GameThread/UpdateInstances,MassEntities/GameThread/BatchedCommand,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/ViewportMisc,Exclusive/GameThread/UpdateLevelStreaming,Slate/GameThread/TickPlatform,Exclusive/GameThread/UI,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/HandleRPC,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,GuLiCommanderHealthBars/VisibleInstances,MassEntitiesCounters/BatchedCommand,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/RawPing,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/ChaosDebugDrawComponent,Ticks/CameraComponent,Ticks/LineBatchComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/PhysicsFieldComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderHealthBarRenderer,Ticks/GuLiCommanderHUD,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderPresentationActor,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/FNiagaraWorldManagerTickFunction,Ticks/ParticleSystemManager,Ticks/StartPhysicsTick,Ticks/MassProcessingPhase,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/Actor,ActorCount/SkeletalMeshActor,ActorCount/GuLiTerritoryOutpostActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,AnimationParallelEvaluation/TotalTaskTime,AnimationParallelEvaluation/AverageTaskTime,AnimationParallelEvaluation/NumberOfTasks,AnimationParallelEvaluation/MinTaskTime,AnimationParallelEvaluation/MaxTaskTime,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,RenderThreadTime,GameThreadTime,GPUTime,RenderThreadTime_CriticalPath,GameThreadTime_CriticalPath,MaxFrameTime,CPUUsage_Process,CPUUsage_Idle,Networking/GameThread/FastArray_Apply,Exclusive/GameThread/EventWait/PrePhysics,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Ticks/GuLiStrongholdNetworkPresentationComponent,Exclusive/GameThread/EventWait/StartPhysics,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/EventWait
,0.032600,0.007800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3267,0.005400,1,0.013700,0.095000,0.014200,1.4386,0.031200,0.1238,0.1777,0.001200,0.005400,0.030200,0.4616,0.5037,0.1515,0.004500,0.070000,0.045300,0.3539,0.022600,0.000700,0.002700,0.074600,0.017000,0.031300,0.007600,0.1262,1.1330,0.045600,0.2161,0.066900,0.1038,0.002600,0.032800,0.002700,0.006300,0.001600,0.021100,0.046500,0.1662,0.019600,0.000100,0,0,0,62,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2488,0.062200,4,0.049200,0.082400,16.6879,8554.8906,2458.1953,2433.6016,0,11011.6016,0,0,0,0,0,16.6667,0.000002,0.011115,0,0,0,0,0,0,0,0,0,0
,0.054900,0.006300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2342,0.005700,1,0.013500,0.085900,0.013600,1.5199,0.031700,0.1862,0,0.001600,0.004900,0.028500,0.3393,0.5155,0.1440,0.004500,0.074000,0.042600,0.2161,0.026000,0.000900,0.011400,0.072400,0.016200,0.037400,0.006500,0.1238,1.2380,0.059200,0.2115,0.046500,0.077400,0.002500,0.019500,0.002100,0.006400,0.001700,0.018500,0.040700,0.049400,0.005200,0.000100,0.1566,0,0,62,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2062,0.051550,4,0.030100,0.072700,16.3296,8554.9688,2458.4883,2433.9531,0,11013.3789,0,0,0,0,0,16.6667,0.5539,28.9725,0,0,0,0,0,0,0,0,0,0
,0.053400,0.006000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2861,0.003900,1,0.011500,0.085400,0.011900,1.3712,0.029900,0.1874,0.1657,0.000900,0.028600,0.027600,0.3715,0.4304,0.1472,0.004300,0.065000,0.041400,0.3091,0.021700,0.000600,0.002300,0.073600,0.019400,0.032400,0.007100,0.1238,1.0775,0.067400,0.2137,0.053700,0.089700,0.008800,0.020300,0.001500,0.007000,0.001600,0.010200,0.035800,0.050500,0.005000,0.000100,0,0,0,62,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2473,0.061825,4,0.049300,0.076900,16.5705,8554.9688,2458.4883,2433.9531,0,11013.4570,0,0,0,0,0,16.6667,0.4949,29.2065,0,0,0,0,0,0,0,0,0,0
,0.040200,0.006200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2283,0.003600,1,0.011800,0.1607,0.011600,1.3634,0.031400,0.052500,0,0.001100,0.003900,0.027600,0.3075,0.5342,0.1390,0.004500,0.062300,0.040600,0.2616,0.021300,0.001000,0.002100,0.063200,0.014500,0.027900,0.005200,0.1228,1.1128,0.042900,0.2072,0.044400,0.069800,0.002400,0.019400,0.001400,0.007200,0.001500,0.019400,0.043100,0.047100,0.004900,0.000100,0,0,0,62,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1395,0.034875,4,0.007100,0.069900,16.3411,8551.2812,2458.4883,2433.9531,0,11013.4570,0,0,0,0,0,16.6667,0.6130,27.6461,0,0,80545,40387,0,2.5887,0,0,0,0
,0.056400,0.006700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2310,0.003700,1,0.013100,0.097000,0.013100,1.5239,0.035100,0.3156,0.046700,0.001200,0.004600,0.032400,0.4120,0.5083,0.1120,0.004400,0.062000,0.047400,0.2465,0.017000,0.001000,0.066700,0.069400,0.015500,0.030500,0.005800,0.1434,1.2578,0.045000,0.2099,0.052000,0.1014,0.002500,0.020000,0.001300,0.006900,0.001600,0.021400,0.046200,0.056400,0.005900,0.000100,0.1517,0,0,62,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222,0.055550,4,0.041700,0.074700,17.5028,8551.5117,2461.1719,2437.7109,0,11012.4531,0,0,0,0,0,16.6667,0.4614,27.8275,0.003600,0.056200,0,0,0,0,0,0,0,0
,0.056900,0.007200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2431,0,0,0.013500,0.085200,0.012800,1.5633,0.028200,0.1406,0,0.001200,0.004800,0.029100,0.2976,0.5711,0.1539,0.005100,0.073800,0.039700,0.2860,0.020000,0.000700,0.002100,0.063900,0.014400,0.030500,0.006000,0.1258,1.2381,0.044300,0.2530,0.049500,0.089900,0.003000,0.019000,0.001300,0.005900,0.001500,0.009300,0.031800,0.045500,0.004800,0.000100,0.1003,0,0,62,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2183,0.054575,4,0.011200,0.087800,16.2817,8551.5156,2461.1719,2437.7109,0,11012.6836,0,0,0,0,0,16.6667,0.4992,29.1189,0,0,0,0,0,0,0,0,0,0
,0.043900,0.007400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2519,0.004000,1,0.012700,0.086600,0.013200,1.3129,0.029400,0.2534,0.6755,0.001400,0.004300,0.029600,0.3617,0.5525,0.1274,0.004500,0.059000,0.041600,0.2950,0.019200,0.000600,0.002100,0.069600,0.015400,0.028400,0.005500,0.1218,1.0409,0.039500,0.2148,0.051300,0.092200,0.002700,0.020100,0.001400,0.007100,0.001600,0.019800,0.044700,0.051600,0.005800,0.000100,0,0,0,63,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,63,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2202,0.055050,4,0.041400,0.078100,17.1306,8551.6328,2461.1719,2437.7109,0,11012.6875,0,0,0,0,0,16.6667,0.4925,28.9020,0.010700,0,552,384,0,0.1420,1,0,0,0
,0.039800,0.006500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2360,0,0,0.011700,0.089100,0.012200,1.7292,0.034100,0.1746,0,0.000900,0.004500,0.024600,0.3202,0.4632,0.1515,0.005300,0.064300,0.043000,0.2167,0.025400,0.000800,0.002700,0.075200,0.016600,0.031900,0.006300,0.1266,1.4413,0.046300,0.2138,0.048900,0.085300,0.002500,0.045900,0.001500,0.006100,0.001600,0.020000,0.043900,0.052600,0.015000,0.000100,0.1561,0,0,62,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2771,0.069275,4,0.065300,0.079300,16.3376,8551.4453,2461.1797,2437.7109,0,11012.8125,0,0,0,0,0,16.6667,0.5224,29.5108,0,0,0,0,0,0,0,0,0,0
,0.2952,0.006100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2281,0,0,0.011700,0.087400,0.011400,1.6301,0.034200,0.1974,0.1955,0.001000,0.004400,0.031500,0.4402,0.5150,0.1125,0.005100,0.065500,0.042100,0.2703,0.025800,0.000800,0.002600,0.082000,0.021100,0.035600,0.006000,0.1230,1.3248,0.045600,0.2336,0.046500,0.070700,0.002400,0.027100,0.001700,0.015500,0.002000,0.009700,0.033600,0.060000,0.005100,0,0,0,0,62,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2479,0.061975,4,0.048800,0.085400,16.7909,8553.2812,2461.1797,2437.7109,0,11012.6250,0,0,0,0,0,16.6667,0.5528,28.5039,0,0,0,0,0,0,0,0,0,0
,0.048600,0.006900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2882,0.003800,1,0.012300,0.081600,0.011800,1.5559,0.027100,0.1726,0,0.001500,0.004200,0.026500,0.3032,0.4888,0.1420,0.004500,0.059900,0.042500,0.2759,0.021800,0.001000,0.002100,0.065500,0.015000,0.028700,0.005500,0.1219,1.2769,0.040400,0.2350,0.045300,0.083800,0.002400,0.018500,0.001500,0.006500,0.001500,0.019400,0.043000,0.049400,0.005000,0.000100,0.1505,0,0,62,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2241,0.056025,4,0.050200,0.068500,16.3305,8553.3047,2459.3438,2434.8281,0,11012.6250,0,0,0,0,0,16.6667,0.5069,28.7191,0,0,542,384,0,0.1216,0,0,0,0
