"Seconds","Role","Pid","CpuCoreEquivalents","WorkingSetMiB","PrivateMiB"
"0.0019444","server","34356","0","5466.0625","6246.21484375"
"0.0019444","client1","35812","0","43.95703125","28.8125"
"0.0019444","client2","32712","0","48.375","33.36328125"
"1.0608061","server","34356","0.191833362185071","5466.24609375","6246.21484375"
"1.0608061","client1","35812","1.4608848351016945","577.6640625","572.23046875"
"1.0608061","client2","32712","1.6232053723352162","579.44921875","568.57421875"
"2.0836294","server","34356","0.21386880803360658","5466.37109375","6246.21484375"
"2.0836294","client1","35812","0.7179881412556792","671.66796875","678.171875"
"2.0836294","client2","32712","0.6721591109627636","672.1171875","675.28125"
"3.1117135","server","34356","0.19757624886913433","5466.50390625","6246.21484375"
"3.1117135","client1","35812","0","671.67578125","678.171875"
"3.1117135","client2","32712","0","672.1171875","675.28125"
"4.1326134","server","34356","0.1989666175890506","5466.703125","6246.21484375"
"4.1326134","client1","35812","0.015305124429926969","671.8515625","678.171875"
"4.1326134","client2","32712","0","672.1484375","675.296875"
"5.1607668","server","34356","0.167168634563675","5466.828125","6246.21484375"
"5.1607668","client1","35812","7.15785698904463","847.35546875","866.78515625"
"5.1607668","client2","32712","0","672.15625","675.296875"
"6.1792303","server","34356","0.15341737823692259","5466.890625","6246.21484375"
"6.1792303","client1","35812","1.3347311906612265","1030.12890625","989.796875"
"6.1792303","client2","32712","0","672.33984375","675.296875"
"7.2105889","server","34356","0.15149919727241332","5466.953125","6246.08984375"
"7.2105889","client1","35812","0.9241451033617212","1240.23828125","1052.96875"
"7.2105889","client2","32712","7.62040962280239","846.33203125","857.41015625"
"8.2317977","server","34356","0.13770445378065682","5467.0390625","6246.08984375"
"8.2317977","client1","35812","1.407645527535603","1283.1640625","1251.0859375"
"8.2317977","client2","32712","1.4229460224001205","1039.484375","987.91015625"
"9.2482982","server","34356","0.15371364795196854","5467.1875","6246.08984375"
"9.2482982","client1","35812","0.9837673468925986","1354.69140625","1311.91796875"
"9.2482982","client2","32712","0.9837673468925986","1096.84375","1042.76953125"
"10.2711296","server","34356","0.1680384470011382","5467.328125","6246.08984375"
"10.2711296","client1","35812","2.6580627071089133","1636.515625","1610.11328125"
"10.2711296","client2","32712","1.3137551310998077","1305.9765625","1264.39453125"
"11.2884044","server","34356","0.12287731889161119","5467.89453125","6246.08984375"
"11.2884044","client1","35812","0.8140622376569241","1720.1875","1709.6328125"
"11.2884044","client2","32712","2.5957833615852866","1478.625","1443.70703125"
"12.3259523","server","34356","0.21083363958425436","5468.0234375","6246.08984375"
"12.3259523","client1","35812","0.9638109238137342","1772.83984375","1769.5"
"12.3259523","client2","32712","0.9939300151829135","1684.58984375","1663.9765625"
"13.3658392","server","34356","0.19533374254450173","5468.0859375","6245.9765625"
"13.3658392","client1","35812","1.2771821627909727","1779.13671875","1761.03515625"
"13.3658392","client2","32712","1.0968740927498943","1749.06640625","1730.86328125"
"14.4024552","server","34356","0.10551158770460807","5468.2109375","6245.9765625"
"14.4024552","client1","35812","0.979750457257075","1926.01953125","1894.703125"
"14.4024552","client2","32712","1.0098966251726773","1784.97265625","1767.43359375"
"15.4320146","server","34356","0.18211673848055782","5468.33984375","6245.9765625"
"15.4320146","client1","35812","1.0623476411365873","2055.734375","2041.234375"
"15.4320146","client2","32712","1.1078768257567266","1861.88671875","1835.1015625"
"16.4608529","server","34356","0.22780547730386785","5468.46875","6245.9765625"
"16.4608529","client1","35812","0.9719700364965028","2284.96484375","2281.703125"
"16.4608529","client2","32712","1.047905195597792","1945.734375","1920.42578125"
"17.4898025","server","34356","0.25815161403435116","5469.83984375","6245.9765625"
"17.4898025","client1","35812","1.0933480123807813","2444.95703125","2432.8203125"
"17.4898025","client2","32712","0.987050288954872","2162.65234375","2153.00390625"
"18.5289593","server","34356","0.25561589935224405","5469.96875","6245.9765625"
"18.5289593","client1","35812","0.7067027805620865","2452.24609375","2432.8203125"
"18.5289593","client2","32712","1.0976447442772832","2328.09765625","2313.51171875"
"19.5556568","server","34356","0.2891552769924929","5470.171875","6245.9765625"
"19.5556568","client1","35812","0.821809734610243","2453.640625","2432.8203125"
"19.5556568","client2","32712","1.0500902164464216","2457.234375","2426.8671875"
"20.5974148","server","34356","0.119989479322453","5470.359375","6245.9765625"
"20.5974148","client1","35812","0.6899395061041048","2454.03125","2432.8203125"
"20.5974148","client2","32712","0.6599421362734915","2461.140625","2426.87890625"
"21.6219511","server","34356","0.3355176385648805","5471.8046875","6245.9765625"
"21.6219511","client1","35812","0.671035277129761","2454.4453125","2432.8203125"
"21.6219511","client2","32712","0.7930416911533539","2461.60546875","2426.87890625"
"22.6590563","server","34356","0.33145142845682385","5472.2109375","6245.9765625"
"22.6590563","client1","35812","0.7834306490797655","2455.90625","2432.8203125"
"22.6590563","client2","32712","0.753298701038236","2462.64453125","2426.87890625"
"23.6884388","server","34356","0.36429607070258135","5474.5703125","6245.9765625"
"23.6884388","client1","35812","1.1232462179996259","2456.19921875","2432.8203125"
"23.6884388","client2","32712","0.971456188540217","2463.0625","2426.87890625"
"24.7305169","server","34356","0.4348282532758342","5450.8828125","6221.8515625"
"24.7305169","client1","35812","0.5247927194708344","2456.390625","2432.8203125"
"24.7305169","client2","32712","0.9296328173483351","2463.44921875","2426.87890625"
"25.7716653","server","34356","0.45022400264938217","5451.07421875","6221.8515625"
"25.7716653","client1","35812","0.40520160238444397","2456.67578125","2432.9453125"
"25.7716653","client2","32712","0.7953957380139085","2463.8203125","2427.00390625"
"26.813763","server","34356","0.37484489218237405","5451.38671875","6221.8515625"
"26.813763","client1","35812","0.4947952576807338","2456.8828125","2432.9453125"
"26.813763","client2","32712","0.5097890533680287","2464.01171875","2427.00390625"
"27.8374305","server","34356","0.4273848686218914","5451.57421875","6221.8515625"
"27.8374305","client1","35812","0.549494831085289","2457.0078125","2432.9453125"
"27.8374305","client2","32712","0.5189673404694396","2464.13671875","2427.00390625"
"28.8596661","server","34356","0.6114050420470585","5451.76171875","6221.8515625"
"28.8596661","client1","35812","0.6114050420470585","2457.203125","2432.9453125"
"28.8596661","client2","32712","0.5044091596888233","2464.33984375","2427.00390625"
"29.8857417","server","34356","0.3654701466441654","5451.953125","6221.8515625"
"29.8857417","client1","35812","0.44160976052836654","2457.390625","2432.9453125"
"29.8857417","client2","32712","0.5786610655199286","2464.60546875","2427.00390625"
"30.9086687","server","34356","0.45824384340231517","5452.140625","6221.8515625"
"30.9086687","client1","35812","0.3360454851616978","2457.81640625","2433.6015625"
"30.9086687","client2","32712","0.4276942538421608","2464.9296875","2427.1484375"
"31.9381042","server","34356","0.42499020094022405","5452.328125","6221.8515625"
"31.9381042","client1","35812","0.4553466438645258","2458.0078125","2433.6015625"
"31.9381042","client2","32712","0.4098119794780732","2465.13671875","2427.6484375"
"32.9668361","server","34356","0.5467896932135574","5452.578125","6221.8359375"
"32.9668361","client1","35812","0.4252808724994336","2461.171875","2437.7109375"
"32.9668361","client2","32712","0.5467896932135574","2466.19921875","2429.25"
"34.0070318","server","34356","0.4656575680903123","5452.90625","6221.8359375"
"34.0070318","client1","35812","0.6308908987030037","2459.61328125","2434.953125"
"34.0070318","client2","32712","0.5407636274597175","2466.4375","2429.5"
"35.0325006","server","34356","0.533292675506071","5453.328125","6221.8359375"
"35.0325006","client1","35812","0.47234494116251996","2459.87109375","2435.078125"
"35.0325006","client2","32712","0.42663414040485675","2466.66796875","2429.625"
"36.0614133","server","34356","0.41002020871158457","5453.515625","6221.8359375"
"36.0614133","client1","35812","0.4403920760235538","2460.26953125","2435.578125"
"36.0614133","client2","32712","0.5163217443034769","2467.0390625","2429.625"
"37.0858173","server","34356","0.4423303696588455","5453.703125","6221.8359375"
"37.0858173","client1","35812","0.6558691688044951","2460.47265625","2435.53515625"
"37.0858173","client2","32712","0.4880886837614847","2467.23828125","2429.625"
"38.1113561","server","34356","0.4266050197223157","5453.89453125","6221.8359375"
"38.1113561","client1","35812","0.4875485939683608","2460.765625","2436.0390625"
"38.1113561","client2","32712","0.4113691261608044","2467.5625","2430.62890625"
"39.137373","server","34356","0.47209261367917044","5454.07421875","6221.8359375"
"39.137373","client1","35812","0.39594864373091715","2461.00390625","2436.1640625"
"39.137373","client2","32712","0.42640623171021846","2467.78515625","2430.7109375"
"40.1607116","server","34356","0.44279088075051604","5454.26953125","6221.8359375"
"40.1607116","client1","35812","0.564940089233417","2461.27734375","2437.16796875"
"40.1607116","client2","32712","0.44279088075051604","2467.9765625","2431.2109375"
"41.1830784","server","34356","0.44321177096126363","5454.45703125","6221.8359375"
"41.1830784","client1","35812","0.6724592386998482","2461.51171875","2437.16796875"
"41.1830784","client2","32712","0.427928606445358","2468.21484375","2431.2109375"
"42.2106502","server","34356","0.47137825308168246","5454.6484375","6221.8359375"
"42.2106502","client1","35812","0.410555252684046","2461.75","2437.29296875"
"42.2106502","client2","32712","0.5017897532805007","2468.515625","2431.3359375"
"43.2385515","server","34356","0.48642802572581634","5454.9375","6222.0859375"
"43.2385515","client1","35812","0.5168297773336799","2461.9296875","2438.16796875"
"43.2385515","client2","32712","0.48642802572581634","2468.77734375","2431.8359375"
"44.2660923","server","34356","0.4409800564610184","5455.12890625","6222.0859375"
"44.2660923","client1","35812","0.5626297272088856","2462.1640625","2438.16796875"
"44.2660923","client2","32712","0.7298980244872029","2469.01953125","2431.8359375"
"45.2873019","server","34356","0.42841352059361765","5455.31640625","6222.0859375"
"45.2873019","client1","35812","0.5202164178636786","2462.41015625","2438.16796875"
"45.2873019","client2","32712","0.5355169007420221","2469.30078125","2432.33984375"
"46.310155","server","34356","0.4735528493778823","5455.50390625","6222.0859375"
"46.310155","client1","35812","0.5652082395800531","2462.63671875","2438.16796875"
"46.310155","client2","32712","0.6110359346811385","2469.52734375","2432.33984375"
"47.3306505","server","34356","0.4440244959433922","5455.69140625","6222.0859375"
"47.3306505","client1","35812","0.4287133064281028","2462.93359375","2438.66796875"
"47.3306505","client2","32712","0.4593356854586816","2469.82421875","2432.83984375"
"48.3500435","server","34356","0.45983246893003976","5455.87890625","6222.0859375"
"48.3500435","client1","35812","0.4291769710013704","2463.234375","2438.66796875"
"48.3500435","client2","32712","0.4291769710013704","2470.0546875","2432.83984375"
"49.3738996","server","34356","0.47308894286999903","5456.06640625","6222.0859375"
"49.3738996","client1","35812","0.5646545447158053","2463.52734375","2438.66796875"
"49.3738996","client2","32712","0.44256707558806363","2470.31640625","2432.83984375"
"50.4022467","server","34356","0.48621715372173463","5456.25390625","6222.0859375"
"50.4022467","client1","35812","0.48621715372173463","2463.76953125","2438.66796875"
"50.4022467","client2","32712","0.3950514373989094","2470.59375","2433.33984375"
"51.4263049","server","34356","0.4729955777904029","5456.44140625","6222.0859375"
"51.4263049","client1","35812","0.4119638903335767","2463.94921875","2438.66796875"
"51.4263049","client2","32712","0.32041635914833744","2470.828125","2433.33984375"
"52.4556435","server","34356","0.47056915965261575","5456.62890625","6222.0859375"
"52.4556435","client1","35812","0.37949125778436754","2464.3046875","2438.79296875"
"52.4556435","client2","32712","0.48574880996399045","2471.0625","2433.33984375"
"53.4747508","server","34356","0.5366216099129111","5456.81640625","6222.0859375"
"53.4747508","client1","35812","0.3986331959353054","2464.578125","2438.79296875"
"53.4747508","client2","32712","0.45996137992535235","2471.2734375","2433.33984375"
"54.5001896","server","34356","0.624732553517577","5457.0078125","6222.0859375"
"54.5001896","client1","35812","0.4114092425603556","2464.77734375","2438.79296875"
"54.5001896","client2","32712","0.4875961393307918","2471.5234375","2433.33984375"
"55.5204063","server","34356","0.47477658422960534","5457.1953125","6222.0859375"
"55.5204063","client1","35812","0.49009195791443133","2465.0625","2438.79296875"
"55.5204063","client2","32712","0.5207227052840833","2471.75","2433.33984375"
"56.5406727","server","34356","0.44412420128703645","5457.3828125","6222.0859375"
"56.5406727","client1","35812","0.4900680841787988","2465.32421875","2438.79296875"
"56.5406727","client2","32712","0.5360119670705612","2472.04296875","2433.33984375"
"57.5591544","server","34356","0.5829756194932123","5457.5703125","6222.0859375"
"57.5591544","client1","35812","0.5829756194932123","2465.57421875","2438.79296875"
"57.5591544","client2","32712","0.44490244645534627","2472.26953125","2433.33984375"
"58.5847417","server","34356","0.5637014030887473","5457.7578125","6222.0859375"
"58.5847417","client1","35812","0.5484662300322947","2465.76171875","2438.79296875"
"58.5847417","client2","32712","0.4570551916935789","2472.50390625","2433.33984375"
"59.6155281","server","34356","0.39411656964042213","5457.9453125","6222.0859375"
"59.6155281","client1","35812","0.7730748096792895","2465.57421875","2438.41796875"
"59.6155281","client2","32712","0.4244332288435315","2472.75390625","2433.33984375"
"60.6359706","server","34356","0.6124793900685243","5458.1328125","6222.0859375"
"60.6359706","client1","35812","0.45935954255139316","2465.6953125","2438.3046875"
"60.6359706","client2","32712","0.42873557304796694","2472.8828125","2433.234375"
"61.6636728","server","34356","0.425706980095985","5458.3203125","6222.0859375"
"61.6636728","client1","35812","0.38009551794284374","2465.8828125","2438.3046875"
"61.6636728","client2","32712","0.3952993386605575","2473.125","2433.234375"
"62.6787951","server","34356","0.6464738288184586","5458.578125","6222.0859375"
"62.6787951","client1","35812","0.4771592546041004","2466.0703125","2438.3046875"
"62.6787951","client2","32712","0.5233359566625617","2473.328125","2433.234375"
"63.7013928","server","34356","0.45839140846884363","5458.765625","6222.0859375"
"63.7013928","client1","35812","0.45839140846884363","2466.265625","2438.3046875"
"63.7013928","client2","32712","0.5195102629313562","2473.4921875","2433.234375"
"64.7265662","server","34356","0.4572397215924643","5458.953125","6222.0859375"
"64.7265662","client1","35812","0.5029636937517107","2466.515625","2438.3046875"
"64.7265662","client2","32712","0.4572397215924643","2473.765625","2433.234375"
"65.751911","server","34356","0.48764084042753225","5459.140625","6222.0859375"
"65.751911","client1","35812","0.4266857353740907","2466.703125","2438.3046875"
"65.751911","client2","32712","0.5333571692176134","2473.96484375","2433.234375"
"66.7787345","server","34356","0.47172177107360713","5459.328125","6222.0859375"
"66.7787345","client1","35812","0.4108544457737869","2466.93359375","2438.3046875"
"66.7787345","client2","32712","0.44128810842369703","2474.15234375","2433.234375"
"67.8017143","server","34356","0.42767217886413783","5459.515625","6222.0859375"
"67.8017143","client1","35812","0.5804122427441871","2467.3515625","2438.8046875"
"67.8017143","client2","32712","0.5040422108041624","2474.39453125","2433.234375"
"68.8194501","server","34356","0.4759339309868042","5459.703125","6222.0859375"
"68.8194501","client1","35812","0.5834028831451148","2467.6328125","2438.8046875"
"68.8194501","client2","32712","0.5373447607915531","2474.73828125","2433.234375"
"69.8448171","server","34356","0.4114380509612656","5459.890625","6222.0859375"
"69.8448171","client1","35812","0.5485840679483541","2467.8203125","2438.8046875"
