EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/FlushNet,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/EventWait/PrePhysics,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,GuLiCommanderPoseDispatch/AttemptedChunks,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AIController,Ticks/PathFollowingComponent,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCombatEffectReplicationComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,RHI/DrawCalls,RHI/PrimitivesDrawn,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,Ticks/GuLiBuildingShieldComponent,FMsgLogf/FMsgLogfCount,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,GuLiCommanderPoseDispatch/SaturatedAtAttempt,Exclusive/GameThread/EndOfFrameUpdates,Exclusive/GameThread/GarbageCollection,GC/Count,Exclusive/GameThread/DeleteLinkers,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/LogFlush,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/EventWait
,0.1287,0.052800,0.011000,0.1157,0.010900,0.060400,0.001600,0.015100,0.003300,0.029200,0.000900,0.003800,0.028200,2.1084,0.2164,0.8286,0.014600,0.003700,0.3794,0.2161,0.017500,0.000400,0.040400,0.1131,0.1985,0.001100,0.000800,0.002100,0.012300,0.039000,0.4435,0.001000,0.032700,0.003000,0.001400,0.2560,0.025700,0.000100,0,0,0,0,0,60,0,0,26,0,0,0,0,2,2,1,2,48,4,96,0,6,9,9,0,0,26,0,26,1,0,2,18,0,0,0,0,0,0,0,0.1151,0,32,0,0,0.3248,0.4399,0,2,2,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9595,8559.1133,5452.5703,6221.8359,0,14011.6836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.4042,0.057300,0.010700,0.078800,0.012500,0.061000,0.001800,0.005400,0.003000,0.020700,0.001400,0.003600,0.026300,0.3439,0.2037,0.7971,0.014500,0.002800,0.087900,0.4513,0.017500,0.000500,0.001800,0.2617,0.3608,0.001200,0.000800,0.002600,0.015400,0.043700,0.3889,0.001300,0.024400,0.001300,0.001400,0.048200,0.011800,0.000200,3.2873,0,0,0,0,59,0,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.1039,0,19,0,0,0.2808,0.3847,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0408,8553.8867,5452.5703,6221.8359,0,14006.4570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1219,0.056000,0.021900,0.077200,0.010900,0.060700,0.001900,0.006100,0.003100,0.022500,0.001100,0.004000,0.027400,1.0740,0.1961,0.8047,0.013800,0.003800,0.3984,0.2046,0.016500,0.000500,0.001800,0.2521,0.3418,0.001500,0.001000,0.002200,0.014500,0.043600,0.6000,0.001400,0.020300,0.001400,0.001700,0.046400,0.011700,0.000200,0,0,0,0,0,59,0,0,26,0,0,0,0,2,2,1,1,48,4,96,0,6,9,9,0,0,26,0,26,0,0,2,18,0,0,0,0,0,0,0,0.1393,0,28,0,0,0.4560,0.5953,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4543,8554.8906,5452.5703,6221.8359,0,14007.4609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.2318,0.1208,0.015300,0.080300,0.011100,0.064000,0.001900,0.005500,0.003100,0.020900,0.001100,0.003700,0.028600,0.4290,0.2064,0.8166,0.015600,0.003700,0.087700,0.3090,0.017500,0.000500,0.002200,1.3656,1.3504,0.001100,0.000700,0.002500,0.016000,0.045400,0.6775,0.003900,0.019400,0.002000,0.001400,0.043900,0.010700,0.000200,3.0747,0,0,0,0,62,0,0,0,0,0,0,0,2,2,1,1,50,2,100,0,6,1,1,0,70,8,0,0,1,0,2,2,0,0,0,0,0,0,0,0.1491,0,27,0,0,0.5239,0.6730,0,2,2,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3402,8554.9688,5452.5781,6221.8359,0,14007.5469,0,0,0.1095,0,2,0,80495,40377,0,2.0527,0,0,0,0,0,0,0,0,0,0,0
,0.1571,0.061200,0.011300,0.1158,0.011500,0.063500,0.001800,0.005700,0.003100,0.022100,0.001000,0.003800,0.027600,0.3065,0.2300,0.7939,0.012500,0.002900,0.099100,0.2120,0.015400,0.000400,0.001700,7.4119,7.5114,0.001500,0.000800,0.003700,0.019200,0.064500,0.3567,0.001500,0.021900,0.001300,0.001600,0.5479,0.013500,0.000200,0,0,0,0,0,59,0,0,0,0,0,0,0,2,2,1,1,50,2,100,0,6,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.1079,0,20.5000,0,0,0.2446,0.3525,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9527,8551.7812,5452.5781,6221.8359,0,14004.3594,0,0,0,7.2973,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.7827,0.058200,0.011100,0.078400,0.012800,0.058600,0.001800,0.005100,0.002800,0.020200,0.001300,0.003700,0.035800,1.1063,0.2246,0.8207,0.014200,0.003000,0.4930,0.3435,0.017400,0.001000,0.002200,0.2574,0.3504,0.001300,0.000800,0.001800,0.029800,0.1155,0.6529,0.001400,0.019700,0.001400,0.001800,0.045600,0.012500,0.000300,2.8760,0,0,0,0,59,0,0,26,0,0,0,0,2,2,1,1,50,2,100,0,10,11,13,1,1,426,0,26,1,0,2,22,0,0,0,0,0,0,0,0.1311,0,14,3.7207,0,0.6489,0.7800,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3898,8551.3438,5452.5781,6221.8359,0,14003.9219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1359,0.066700,0.013700,0.084000,0.013200,0.071100,0.002200,0.006400,0.003900,0.025000,0.001100,0.004500,0.033000,1.8321,0.2098,0.8437,0.014300,0.004000,0.3649,0.2711,0.016800,0.000500,0.039500,0.2562,0.3423,0.001500,0.000800,0.002000,0.012600,0.043100,0.4055,0.001200,0.018800,0.001200,0.001300,0.056900,0.014700,0.000100,0,0,0,0,0,60,0,0,26,0,0,0,0,2,2,1,1,50,2,100,0,8,8,12,2,1,318,0,18,1,0,2,17,0,0,0,0,0,0,0,0.1051,0,1.5000,2.7656,0,0.3870,0.4921,0,2,2,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4753,8551.5117,5452.5781,6221.8359,0,14004.0898,0,0,0,0,0,0,480,351,0,0.1333,8,0,0,0,0,0,0,0,0,0,0
,4.3522,0.070300,0.010200,0.080200,0.011400,0.066600,0.001800,0.005100,0.002800,0.020500,0.000900,0.003600,0.025800,0.6622,0.1957,0.7868,0.014600,0.002600,0.1588,0.2754,0.017100,0.000600,0.001800,1.2918,1.2682,0.001600,0.000800,0.002800,0.017200,0.045800,0.8898,0.001300,0.021100,0.001300,0.001600,0.050100,0.013000,0.000100,3.2611,0,0,0,0,59,0,0,0,0,0,0,0,2,2,1,1,50,2,98,0,8,2,3,0,7,302,0,0,0,0,2,4,0,0,0,0,0,0,0,0.1734,0,40.5000,1.9863,0,0.8159,0.9893,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7781,8551.5078,5452.5859,6221.8359,0,14004.0938,0,0,0.1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1491,0.061600,0.013200,0.092700,0.011400,0.076100,0.002600,0.007300,0.003700,0.026400,0.001400,0.004700,0.031200,0.7430,0.1997,0.8905,0.014100,0.003700,0.4410,0.1973,0.015000,0.000600,0.001700,0.1903,1.2279,0.001400,0.000700,0.002700,0.015000,0.043500,0.4510,0.001200,0.018700,0.001400,0.001200,0.059000,0.009800,0.000100,0,0,0,0,0,59,0,0,26,0,0,0,0,2,2,0,1,50,2,98,0,8,9,10,1,7,25,0,25,0,0,1,19,0,0,0,0,0,0,0,0.1229,0,19,0,0,0.3236,0.4465,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4114,8551.5703,5452.7109,6221.8359,0,14004.2812,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,4.3608,0.057800,0.011300,0.081700,0.010800,0.079800,0.001600,0.005300,0.003200,0.021100,0.001100,0.004000,0.039600,0.7200,0.2012,0.8060,0.014000,0.003500,0.096300,0.3382,0.017600,0.000600,0.001800,0.2322,0.3283,0.001200,0.000700,0.002200,0.028800,0.1392,0.6512,0.001100,0.020100,0.001400,0.001300,0.042700,0.010500,0.000100,3.2331,0,0,0,0,60,0,0,0,0,0,0,0,2,2,1,2,50,2,98,0,8,1,1,0,9,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0.1508,0,41.5000,0,0,0.4954,0.6462,0,2,2,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0923,8551.4727,5452.7109,6221.8359,0,14004.1836,0,0,0,0,0,0,504,384,0,0.1018,0,0,0,0,0,0,0,0,0,0,0
,0.1503,0.062700,0.012800,0.1158,0.012800,0.071400,0.001800,0.005300,0.002800,0.020800,0.001400,0.003600,0.026800,0.9468,0.2221,0.7875,0.013700,0.003800,0.4330,0.2399,0.018100,0.000400,0.002400,7.3165,7.4147,0.001600,0.001000,0.003600,0.019400,0.044100,0.6675,0.001000,0.020600,0.001400,0.001200,0.5812,0.015100,0.000200,0,0,0,0,0,59,0,0,26,0,0,0,0,2,2,1,1,48,4,96,0,6,9,9,0,0,26,0,26,0,0,2,18,0,0,0,0,0,0,0,0.1701,0,37,0,0,0.4926,0.6627,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4003,8553.3047,5452.7109,6221.8359,0,14006.0156,0,0,0,7.0715,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
