seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.014643,14.64280,0,0.00000,0.00000,1200,1200,0,0,0,4280,369239,0.000
0.032911,18.26860,0,0.00000,0.00000,1200,1200,0,0,0,4280,369239,0.000
0.047365,14.45380,0,0.00000,0.00000,1200,1200,0,0,0,4280,369239,0.000
0.067707,20.34220,0,0.00000,0.00000,1200,1200,0,0,0,4280,369239,0.000
0.086157,18.44940,1,7.29480,1.34740,1200,1200,0,0,0,4280,369239,0.000
0.100050,13.89340,0,0.00000,0.00000,1200,1200,0,0,0,4280,369239,0.000
0.114519,14.46900,0,0.00000,0.00000,1200,1200,0,0,0,4280,369239,0.000
0.134300,19.78050,0,0.00000,0.00000,1200,1200,0,0,0,4280,369239,0.000
0.147715,13.41520,0,0.00000,0.00000,1200,1200,0,0,0,4280,369239,0.000
0.166809,19.09430,0,0.00000,0.00000,1200,1200,0,0,0,4280,369239,0.000
0.187663,20.85370,1,7.06920,1.30330,1200,1200,0,0,0,4280,369239,0.000
0.199646,11.98260,0,0.00000,0.00000,1200,1200,0,0,0,4280,369239,0.000
0.214114,14.46890,0,0.00000,0.00000,1200,1200,0,0,0,4280,369239,0.000
0.232397,18.28250,0,0.00000,0.00000,1200,1200,0,0,0,4280,369239,0.000
0.247426,15.02860,0,0.00000,0.00000,1200,1200,0,0,0,4280,369239,0.000
0.266795,19.36970,0,0.00000,0.00000,1200,1200,0,0,0,4280,369239,0.000
0.286390,19.59510,1,7.24640,1.31400,1200,1200,0,0,0,4280,369239,0.000
0.300547,14.15700,0,0.00000,0.00000,1200,1200,0,0,0,4280,369239,0.000
0.314773,14.22530,0,0.00000,0.00000,1200,1200,0,0,0,4280,369239,0.000
0.332982,18.20940,0,0.00000,0.00000,1200,1200,0,0,0,4280,369239,0.000
0.346333,13.35090,0,0.00000,0.00000,1200,1200,0,0,0,4280,369239,0.000
0.365754,19.42100,0,0.00000,0.00000,1200,1200,0,0,0,4280,369239,0.000
0.387658,21.90360,1,7.25170,1.31410,1200,1200,0,0,0,4280,369239,0.000
0.400342,12.68450,0,0.00000,0.00000,1200,1200,0,0,0,4280,369239,0.000
0.413349,13.00660,0,0.00000,0.00000,1200,1200,0,0,0,4280,369239,0.000
0.433784,20.43490,0,0.00000,0.00000,1200,1200,0,0,0,4280,369239,0.000
