EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/AllWorkers/Physics,Exclusive/RenderThread/RayTracingGeometryManager_Tick,RayTracingGeometry/ReferencedSizeMB,RayTracingGeometry/RequestedSizeMB,RayTracingGeometry/TotalResidentSizeMB,RayTracingGeometry/TotalAlwaysResidentSizeMB,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,RHI/DrawCalls,RHI/PrimitivesDrawn,Scheduler/AllWorkers/SignalStandbyThread,Scheduler/Oversubscription,Exclusive/GameThread/Input,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,Exclusive/GameThread/HandleRPC,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/Animation,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/Physics,Exclusive/GameThread/EventWait/EndPhysics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,Exclusive/GameThread/Tickables,Exclusive/GameThread/Landscape,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/UInstancedStaticMeshComponent_BatchUpdateInstancesTransforms,GuLiCommanderPresentation/GameThread/RebuildLocalInstances,GuLiCommanderHealthBars/GameThread/UpdateInstances,MassEntities/GameThread/BatchedCommand,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/ViewportMisc,Exclusive/GameThread/UpdateLevelStreaming,Slate/GameThread/TickPlatform,Exclusive/GameThread/UI,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/Generic_RepNotifies,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,GuLiCommanderHealthBars/VisibleInstances,MassEntitiesCounters/BatchedCommand,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/RawPing,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/ChaosDebugDrawComponent,Ticks/CameraComponent,Ticks/LineBatchComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/PhysicsFieldComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderHealthBarRenderer,Ticks/GuLiCommanderHUD,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderPresentationActor,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/FNiagaraWorldManagerTickFunction,Ticks/ParticleSystemManager,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/Actor,ActorCount/SkeletalMeshActor,ActorCount/GuLiTerritoryOutpostActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,AnimationParallelEvaluation/TotalTaskTime,AnimationParallelEvaluation/AverageTaskTime,AnimationParallelEvaluation/NumberOfTasks,AnimationParallelEvaluation/MinTaskTime,AnimationParallelEvaluation/MaxTaskTime,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,RenderThreadTime,GameThreadTime,GPUTime,RenderThreadTime_CriticalPath,GameThreadTime_CriticalPath,MaxFrameTime,CPUUsage_Process,CPUUsage_Idle,Ticks/GuLiStrongholdNetworkPresentationComponent,Networking/GameThread/FastArray_Apply,Exclusive/GameThread/EventWait/PrePhysics,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Exclusive/GameThread/EventWait/StartPhysics,FMsgLogf/FMsgLogfCount
,0.025800,0.2518,0.006900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012500,0.090100,0.011400,0.9376,0.033600,0.085800,0.020000,0.001000,0.003900,0.028300,0.4041,0.4816,0.1371,0.004000,0.060400,0.039800,0.2755,0.019300,0.000600,0.1080,0.063000,0.013500,0.028300,0.005700,0.068100,0.6799,0.025600,0.1432,0.049200,0.092600,0.002300,0.033000,0.002700,0.006800,0.001600,0.010600,0.034600,0.1577,0.021200,0.000100,0,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1952,0.048800,4,0.041200,0.068800,15.9548,10040.3164,2477.1367,2448.8359,0,12517.4727,0,0,0,0,0,16.6667,0.000002,0.009078,0,0,0,0,0,0,0,0,0
,0.027300,0.2116,0.006900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013600,0.091600,0.012300,1.0965,0.035000,0.1866,0.1321,0.001100,0.006200,0.032200,0.3598,0.4270,0.1443,0.004800,0.075800,0.042500,0.2409,0.034400,0.000500,0.001900,0.067700,0.016400,0.030900,0.006100,0.067900,0.8524,0.026700,0.1404,0.045700,0.085000,0.002800,0.018900,0.001700,0.005800,0.001700,0.020000,0.044100,0.050500,0.005000,0.000100,0.1522,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2675,0.066875,4,0.049500,0.076900,16.8743,10040.3008,2477.3672,2449.1328,0,12517.6836,0,0,0,0,0,16.6667,0.5099,28.8266,0,0,0,0,0,0,0,0,0
,0.046900,0.2458,0.007600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004300,1,0.013700,0.095300,0.012300,0.9266,0.031100,0.1134,0,0.001100,0.004800,0.028800,0.4011,0.4336,0.1399,0.004100,0.068600,0.040700,0.3017,0.022700,0.000600,0.002000,0.069200,0.017600,0.030300,0.005800,0.066800,0.6807,0.026000,0.1439,0.052700,0.082800,0.011300,0.021100,0.001200,0.006500,0.001500,0.021000,0.047800,0.054400,0.005500,0.000100,0.1675,0,0,63,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,63,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2198,0.054950,4,0.044600,0.069300,16.4348,10040.3242,2477.3672,2449.1328,0,12517.6680,0,0,0,0,0,16.6667,0.4302,29.0916,1,0,0,0,0,0,0,0,0
,0.040700,0.2546,0.005900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013700,0.1474,0.012400,1.0428,0.035700,0.1607,0.1007,0.001300,0.004800,0.027400,0.3898,0.5241,0.1567,0.005100,0.064700,0.043500,0.2577,0.026500,0.000700,0.002100,0.067200,0.016700,0.031300,0.005800,0.066400,0.8146,0.025000,0.1411,0.043300,0.071900,0.002200,0.018300,0.001300,0.006600,0.001300,0.009700,0.033400,0.056900,0.004800,0.000100,0,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1807,0.045175,4,0.010700,0.067400,16.8024,10040.3711,2477.3672,2449.1328,0,12517.6914,0,0,0,0,0,16.6667,0.6331,28.2040,0,0,0,80535,40386,0,2.1496,0,0
,0.052500,0.2293,0.007800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.014100,0.1047,0.012300,1.0028,0.032700,0.4515,0.1248,0.001400,0.004100,0.030400,0.4831,0.4993,0.1209,0.004800,0.063900,0.035500,0.2518,0.014500,0.000500,0.001800,0.064000,0.015300,0.031000,0.005200,0.065600,0.7826,0.024000,0.1409,0.043900,0.082900,0.002400,0.020000,0.001200,0.039400,0.002900,0.018500,0.042700,0.047600,0.005200,0.000200,0.3180,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2320,0.058000,4,0.047900,0.072600,17.3762,10040.3711,2477.4844,2449.1328,0,12517.8555,0,0,0,0,0,16.6667,0.4793,28.4941,0,0.005900,0.095500,0,0,0,0,0,0
,0.039700,0.1919,0.006100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012500,0.083800,0.011100,1.0069,0.031000,0.1545,0.019600,0.001200,0.004200,0.025500,0.3118,0.4649,0.1321,0.004300,0.058100,0.040200,0.2291,0.026200,0.000400,0.002300,0.070300,0.017400,0.056800,0.005900,0.072400,0.7802,0.026500,0.1453,0.053000,0.088800,0.007300,0.020200,0.001300,0.005900,0.001400,0.019300,0.044400,0.067700,0.005200,0.000100,0,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2038,0.050950,4,0.043000,0.063700,15.6563,10040.3789,2477.4844,2449.1328,0,12517.8555,0,0,0,0,0,16.6667,0.5043,29.3454,0,0,0,0,0,0,0,0,0
,0.043900,0.3236,0.006600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012100,0.082600,0.011000,1.0032,0.031300,0.1416,0.1113,0.001000,0.003700,0.026800,0.3348,0.4600,0.1493,0.004600,0.063400,0.040700,0.3675,0.018100,0.000600,0.060000,0.062400,0.015300,0.029400,0.005500,0.068000,0.7662,0.025700,0.1441,0.048000,0.081500,0.003200,0.020000,0.001300,0.006900,0.001400,0.009900,0.033000,0.045200,0.004800,0.013400,0,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2481,0.062025,4,0.048000,0.071500,16.8665,10040.3789,2477.4844,2449.1328,0,12517.8633,0,0,0,0,0,16.6667,0.4785,28.9467,0,0,0,548,383,0,0.1478,0,0
,0.053700,0.2125,0.006400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013200,0.087100,0.013300,1.0279,0.030400,0.1857,0,0.000900,0.005300,0.029800,0.3246,0.4592,0.1513,0.004200,0.062000,0.040200,0.1860,0.025100,0.000600,0.002100,0.071000,0.017700,0.032200,0.005600,0.066300,0.7674,0.027100,0.1680,0.049900,0.085400,0.008200,0.019600,0.001400,0.006400,0.001500,0.020300,0.043600,0.062700,0.005600,0.000100,0.2131,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1880,0.047000,4,0.011100,0.068900,16.6654,10040.3789,2477.4922,2449.1328,0,12517.8711,0,0,0,0,0,16.6667,0.4575,28.8796,0,0,0,0,0,0,0,0,0
,0.055700,0.2539,0.006400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011100,1,0.012600,0.089600,0.037800,0.9489,0.032700,0.079000,0,0.001100,0.003900,0.026800,0.4305,0.4813,0.1795,0.005200,0.077300,0.045200,0.3011,0.025200,0.000600,0.002000,0.066700,0.016000,0.036600,0.006700,0.066900,0.7043,0.026300,0.1436,0.048600,0.089700,0.002700,0.021300,0.001300,0.006700,0.001500,0.019200,0.043800,0.051800,0.005200,0.000200,0,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2274,0.056850,4,0.048800,0.071000,16.5701,10040.3789,2477.4922,2449.1328,0,12517.8711,0,0,0,0,0,16.6667,0.4748,29.1501,0,0,0,0,0,0,0,0,0
,0.026200,0.2023,0.005600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011500,0.078700,0.010700,1.0120,0.026400,0.1268,0.092600,0.001100,0.003900,0.025900,0.3364,0.4581,0.1049,0.004500,0.060900,0.041300,0.2295,0.024900,0.000500,0.001800,0.067100,0.016200,0.029400,0.005600,0.080200,0.8005,0.029100,0.1466,0.044400,0.070600,0.002500,0.021200,0.001400,0.005400,0.001300,0.009900,0.034300,0.046700,0.005200,0.000100,0,0,0,62,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,4,12,1,1,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1702,0.042550,4,0.014500,0.065200,16.4944,10040.3828,2477.4922,2449.1328,0,12517.8711,0,0,0,0,0,16.6667,0.4645,28.3995,0,0,0,528,383,0,0.1466,0,0
