EVENTS,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AIController,Ticks/PathFollowingComponent,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCombatEffectReplicationComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,RHI/DrawCalls,RHI/PrimitivesDrawn,GuLiCommanderPoseDispatch/AttemptedChunks,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,Ticks/GuLiBuildingProductionComponent,Ticks/GuLiBuildingShieldComponent,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,GuLiCommanderPoseDispatch/SaturatedAtAttempt,Exclusive/GameThread/EndOfFrameUpdates,Exclusive/GameThread/GarbageCollection,GC/Count,Exclusive/GameThread/DeleteLinkers,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/LogFlush,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/EventWait
,0.070100,0.013100,1.2004,0.016000,0.081800,0.001700,0.006100,0.004000,0.021400,0.001300,0.014700,0.029000,0.6366,0.2472,0.014700,0.9302,0.003100,1.5118,0.3079,0.019700,0.000700,0.064700,0.1062,0.2118,0.001100,0.000600,0.002300,0.015500,0.048700,0.5109,0.1006,0.001300,0.7482,0.003300,0.002000,0.2349,0.9311,0.000200,0,0,0,0,60,0,0,0,0,0,0,2,2,2,2,48,4,96,0,6,1,1,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0.1280,0,38,0,0,0.3785,0.5065,0,2,2,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3166,10040.3164,5450.3203,6210.1875,0,15490.6367,0,0,0,2.8735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.067800,0.011400,0.080900,0.012200,0.073100,0.002400,0.006700,0.003300,0.024100,0.001400,0.004700,0.036300,0.8791,0.2466,0.014600,0.8714,0.003500,0,0.3343,0.017500,0.000500,0.014000,0.2844,0.3748,0.001100,0.000800,0.002300,0.014700,0.051300,0.3976,0.3189,0.001400,0.021400,0.001300,0.001500,0.051000,0.012200,0.000100,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,6,6,0,2,18,0,18,0,0,2,12,0,0,0,0,0,0,0,0.088099,0,15.5000,0,0,0.3050,0.3931,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3082,10040.3164,5450.3203,6210.1875,0,15490.6367,0,0,18,0.1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.071000,0.012300,0.088800,0.013400,0.078700,0.002600,0.006800,0.003400,0.025000,0.001200,0.004700,0.034000,0.5891,0.2366,0.014400,0.8255,0.002800,1.4633,0.2948,0.019800,0.000900,0.002700,0.2964,0.4084,0.001200,0.000700,0.002000,0.017000,0.050200,0.5656,0.1180,0.001600,0.022200,0.001300,0.001700,0.054100,0.013100,0.000200,0,0,0,0,60,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,5,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.1379,0,33,0,0,0.4229,0.5608,0,2,2,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2800,10040.3242,5450.3203,6210.1875,0,15490.6445,0,0,0,2.6048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1215,0.012400,0.1259,0.013000,0.069400,0.002200,0.005700,0.003200,0.022300,0.001200,0.004800,0.027500,0.6612,0.2527,0.014000,0.8564,0.003200,0,0.3437,0.018300,0.000600,0.002400,6.5585,6.5057,0.001700,0.000900,0.003800,0.018700,0.061600,0.4050,0.3265,0.001300,0.022700,0.001500,0.001400,0.5408,0.013800,0.000300,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,6,6,0,0,18,0,18,0,0,2,12,0,0,0,0,0,0,0,0.1126,0,23,0,0,0.2880,0.4006,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6983,10040.3711,5450.3281,6210.1875,0,15490.6992,0,0,18,0.1365,0.1506,5.0758,1,0,0,77480,40348,0,2.3534,0,0,0,0,0,0,0,0,0,0,0
,0.062500,0.012700,0.080700,0.012200,0.073000,0.002300,0.005500,0.003300,0.022600,0.001300,0.004200,0.030200,1.5046,0.2490,0.014900,0.8261,0.003700,0.6710,0.2495,0.018400,0.000600,0.002100,0.1073,0.1982,0.001100,0.000900,0.001900,0.015500,0.042800,1.0179,0.7229,0.001400,0.020100,0.001300,0.001300,0.049900,0.012200,0.000100,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,17,19,2,2,3218,0,18,9,0,2,34,0,0,0,0,0,0,0,0.1021,0,2,20.5225,0,1.3604,1.4625,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9239,10040.3711,5450.3281,6210.1875,0,15490.6992,0,0,18,3.0299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.061700,0.013600,0.083900,0.012100,0.082000,0.002000,0.005700,0.003700,0.023600,0.001300,0.004400,0.034200,0.4663,0.2700,0.013100,0.8383,0.002500,0.070900,0.3533,0.018400,0.000600,0.057500,0.2637,0.3570,0.001700,0.000900,0.001900,0.016100,0.045400,0.2260,0.1007,0.003600,0.017500,0.001300,0.001300,0.048800,0.012200,0.000100,0,0,0,0,64,0,0,0,0,0,0,2,2,1,1,50,2,97,0,6,1,1,2,17,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0.1195,0,0.5000,0,0,0.1024,0.2219,0,2,2,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6377,10040.3789,5450.3281,6210.1875,0,15490.7070,0,0,0,0.1367,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.081500,0.012100,0.088900,0.012100,0.074500,0.002000,0.006100,0.003500,0.022900,0.001300,0.004300,0.027400,0.8492,0.2274,0.015300,0.8400,0.003500,1.0642,0.3016,0.019400,0.000800,0.002400,0.2558,0.3510,0.001300,0.000900,0.002000,0.016100,0.044800,0.099800,0.2436,0.001300,0.017900,0.001300,0.001400,0.055200,0.011500,0.000100,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,50,2,97,0,7,3,6,2,0,10,0,10,0,0,2,7,0,0,0,0,0,0,0,0.095502,0,0,0,0,0,0.095502,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6098,10040.3789,5450.3281,6210.1875,0,15490.7070,0,0,18,2.6750,0,0,0,0,0,524,362,0,0.1298,8,0,0,0,0,0,0,0,0,0,0
,0.059500,0.011800,0.1061,0.012600,0.076900,0.002000,0.005300,0.003600,0.022300,0.001300,0.005100,0.030400,0.3542,0.2444,0.015800,0.9296,0.003400,0.079200,0.4440,0.017500,0.000600,0.002000,1.4546,1.4210,0.002200,0.000900,0.004100,0.024200,0.1022,0.9532,0.090900,0.004000,0.018900,0.001400,0.001300,0.048900,0.016400,0.000100,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,50,2,100,0,7,1,1,0,55,6,0,0,1,0,2,2,0,0,0,0,0,0,0,0.2411,0,43,0,0,0.7071,0.9482,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7313,10040.3789,5450.3281,6210.1875,0,15490.7070,0,0,0,0.1461,0.1343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.056900,0.011600,0.085500,0.011700,0.075000,0.001900,0.005400,0.004300,0.023100,0.001200,0.004300,0.027800,0.3466,0.2406,0.015600,0.8607,0.003000,1.5229,0.2783,0.016600,0.000600,0.002200,0.1791,0.2722,0.001200,0.000800,0.001800,0.016200,0.2140,0.6475,0.1094,0.002700,0.023000,0.001200,0.001400,0.047200,0.012800,0.000200,0,0,0,0,60,0,0,0,0,0,0,2,2,1,1,50,2,99,0,9,1,1,0,1,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0.1476,0,40.5000,0,0,0.4943,0.6419,0,2,2,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6874,10040.3789,5450.3281,6210.1875,0,15490.7070,0,0,0,2.7507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.065300,0.013300,0.1332,0.013400,0.078600,0.002100,0.006100,0.003500,0.023100,0.001400,0.005100,0.030200,0.9402,0.2427,0.016500,0.8839,0.003400,0,0.4293,0.019600,0.000700,0.002200,5.7543,5.8548,0.001700,0.000700,0.003100,0.018600,0.049800,0.3697,0.3675,0.001600,0.021100,0.001300,0.001600,0.5517,0.012100,0.000200,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,49,3,97,0,7,6,6,0,4,18,0,18,0,0,2,12,0,0,0,0,0,0,0,0.099592,0,16,0,0,0.2657,0.3653,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2138,10040.3828,5450.3281,6210.1875,0,15490.7109,0,0,18,0.1419,0,5.5118,1,0,0,450,349,0,0.1004,0,0,0,0,0,0,0,0,0,0,0
