seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.026778,26.77780,0,0.00000,0.00000,800,800,0,0,0,4501,247222,0.000
0.040184,13.40620,0,0.00000,0.00000,800,800,0,0,0,4501,247222,0.000
0.058462,18.27800,0,0.00000,0.00000,800,800,0,0,0,4501,247222,0.000
0.080672,22.20970,1,5.07440,0.77440,800,800,0,0,0,4501,247222,0.000
0.093086,12.41470,0,0.00000,0.00000,800,800,0,0,0,4501,247222,0.000
0.106723,13.63710,0,0.00000,0.00000,800,800,0,0,0,4501,247222,0.000
0.125335,18.61140,0,0.00000,0.00000,800,800,0,0,0,4501,247222,0.000
0.142067,16.73260,0,0.00000,0.00000,800,800,0,0,0,4501,247222,0.000
0.158754,16.68670,0,0.00000,0.00000,800,800,0,0,0,4501,247222,0.000
0.180465,21.71070,1,5.50980,0.80580,800,800,0,0,0,4501,247222,0.000
0.193875,13.41020,0,0.00000,0.00000,800,800,0,0,0,4501,247222,0.000
0.209394,15.51930,0,0.00000,0.00000,800,800,0,0,0,4501,247222,0.000
0.227294,17.89930,0,0.00000,0.00000,800,800,0,0,0,4501,247222,0.000
0.242186,14.89230,0,0.00000,0.00000,800,800,0,0,0,4501,247222,0.000
0.259138,16.95160,0,0.00000,0.00000,800,800,0,0,0,4501,247222,0.000
0.279527,20.38910,1,5.20990,0.77750,800,800,0,0,0,4501,247222,0.000
0.294671,15.14390,0,0.00000,0.00000,800,800,0,0,0,4501,247222,0.000
0.308491,13.82020,0,0.00000,0.00000,800,800,0,0,0,4421,270060,0.000
0.327111,18.62050,0,0.00000,0.00000,800,800,0,0,0,4421,270060,0.000
0.342408,15.29630,0,0.00000,0.00000,800,800,0,0,0,4421,270060,0.000
0.359844,17.43610,0,0.00000,0.00000,800,800,0,0,0,4421,270060,0.000
0.381177,21.33310,1,5.16050,0.80910,800,800,0,0,0,4421,270060,0.000
0.394683,13.50580,0,0.00000,0.00000,800,800,0,0,0,4421,270060,0.000
0.409922,15.23940,0,0.00000,0.00000,800,800,0,0,0,4421,270060,0.000
0.428302,18.38010,0,0.00000,0.00000,800,800,0,0,0,4421,270060,0.000
0.442888,14.58610,0,0.00000,0.00000,800,800,0,0,0,4352,311008,0.000
0.461331,18.44270,0,0.00000,0.00000,800,800,0,0,0,4352,311008,0.000
0.480398,19.06760,1,4.79550,0.76390,800,800,0,0,0,4352,311008,0.000
0.494976,14.57710,0,0.00000,0.00000,800,800,0,0,0,4352,311008,0.000
0.512128,17.15280,0,0.00000,0.00000,800,800,0,0,0,4352,311008,0.000
0.528498,16.36970,0,0.00000,0.00000,800,800,800,0,0,4352,311008,0.000
0.544294,15.79580,0,0.00000,0.00000,800,800,800,0,0,4352,311008,0.000
0.561993,17.69940,0,0.00000,0.00000,800,800,800,0,0,4352,311008,0.000
0.582403,20.41010,1,5.45280,0.86520,800,800,800,0,0,4352,311008,0.000
0.596776,14.37260,0,0.00000,0.00000,800,800,800,0,0,4352,311008,0.000
0.610752,13.97600,0,0.00000,0.00000,800,800,800,0,0,4352,311008,0.000
0.628998,18.24570,0,0.00000,0.00000,800,800,800,0,0,4352,311008,0.000
0.644155,15.15750,0,0.00000,0.00000,800,800,800,0,0,4352,311008,0.000
0.662946,18.79120,0,0.00000,0.00000,800,800,800,0,0,4352,311008,0.000
0.682650,19.70370,1,5.35460,0.80920,800,800,800,0,0,4352,311008,0.000
0.696768,14.11810,0,0.00000,0.00000,800,800,800,0,0,4352,311008,0.000
0.711917,15.14910,0,0.00000,0.00000,800,800,800,0,0,4352,311008,0.000
0.728638,16.72040,0,0.00000,0.00000,800,800,800,0,0,4352,311008,0.000
0.744272,15.63460,0,0.00000,0.00000,800,800,800,0,0,4352,311008,0.000
0.762016,17.74420,0,0.00000,0.00000,800,800,800,0,0,4352,311008,0.000
0.783685,21.66880,1,5.31710,0.80640,800,800,800,0,0,4352,311008,0.000
0.796638,12.95230,0,0.00000,0.00000,800,800,800,0,0,4352,311008,0.000
0.810879,14.24140,0,0.00000,0.00000,800,800,800,0,0,4352,311008,0.000
0.829886,19.00680,0,0.00000,0.00000,800,800,800,0,0,4352,311008,0.000
