EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AIController,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/GuLiCommanderGameMode,Ticks/GuLiCombatEffectReplicationComponent,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,RHI/DrawCalls,RHI/PrimitivesDrawn,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,Ticks/GameplayDebuggerPlayerManager,Ticks/PathFollowingComponent,Ticks/GuLiBuildingProductionComponent,Ticks/GuLiBuildingShieldComponent,Exclusive/GameThread/EventWait,FMsgLogf/FMsgLogfCount
,2.0951,0.078900,0.015800,1.0609,0.018000,0.034400,0.002300,0.008700,0.003900,0.026800,0.001200,0.005000,0.029000,0.8677,0.3041,0.2913,0.017700,0.8637,0.3108,0.018100,0.000800,0.011400,0.005000,0.1186,0.001200,0.000800,0.000200,0.007200,0.043300,0.000100,0.002200,0.8058,0.003100,0.002400,0.1816,0.040200,0.000100,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,1,2,4,2,2,4,6,1,1,44,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7067,15566.2266,5445.3828,6208.8594,0,21011.6094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.2083,0.1512,0.018000,0.1129,0.017000,0.041100,0.003000,0.009800,0.004300,0.033900,0.001900,0.005900,0.033900,0.4533,0.3516,0.3484,0.024300,0,0.3331,0.019200,0.001500,0.003300,0.007000,0.1461,0.001600,0.000900,0.000100,0.009900,0.054300,0.000200,0.002500,0.020600,0.001700,0.002200,0.070100,0.019300,0.000300,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,0,1,2,4,2,2,4,6,1,1,43,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4063,15566.2266,5445.3945,6208.8594,0,21011.6211,0,0,80139,40106,0,3.0936,0,0,0,0,0,0,0,0
,2.3322,0.082200,0.018100,0.1033,0.015400,0.041100,0.002700,0.009800,0.004400,0.034800,0.001500,0.005400,0.031100,0.4154,0.4609,0.3223,0.019900,1.3227,0.3305,0.015200,0.000800,0.003000,0.005100,0.1190,0.001200,0.000800,0.000100,0.008300,0.045900,0.000100,0.002100,0.020600,0.001600,0.001900,0.062200,0.017700,0.000300,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,0,1,2,4,2,2,4,6,1,1,43,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2179,15566.2266,5445.4023,6208.8594,0,21011.6289,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1630,0.068900,0.015100,0.091900,0.013300,0.032200,0.002300,0.008000,0.003300,0.027400,0.001300,0.004100,0.025900,0.3452,0.3067,0.3320,0.021800,0,0.2873,0.014700,0.000700,0.002400,0.005100,0.1098,0.001600,0.000800,0.000200,0.007700,0.043100,0.000200,0.002400,0.016700,0.001900,0.001800,0.070700,0.016800,0.000100,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,1,2,4,2,2,4,6,1,1,44,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6654,15566.2266,5445.4023,6208.8594,0,21011.6289,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2.2146,0.076300,0.015200,0.1004,0.014400,0.034900,0.002700,0.007600,0.003200,0.028800,0.001400,0.004800,0.027300,0.3754,0.2942,0.3001,0.018300,1.4310,0.3762,0.015600,0.001000,0.003100,0.005600,0.1290,0.001900,0.001000,0.000200,0.008500,0.056500,0.000200,0.004200,0.023200,0.001900,0.001900,0.067600,0.015900,0.000200,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,0,1,2,4,2,2,4,6,1,1,43,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1763,15566.2266,5445.4062,6208.8594,0,21011.6328,0,0,404,302,0,0.1070,0,0,0,0,0,0,0,0
,0.2327,0.079900,0.016500,0.1119,0.014100,0.046200,0.003300,0.009900,0.003800,0.034000,0.001700,0.005400,0.033700,1.0575,0.4043,0.3769,0.020100,0,0.3134,0.017400,0.000800,0.003100,3.2109,3.3440,0.001600,0.000700,0.000200,0.008800,0.045900,0.000100,0.002500,0.020300,0.001500,0.001900,0.081100,0.017100,0.000200,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,0,1,2,4,2,2,4,6,1,1,43,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3868,15566.3516,5445.4062,6208.8594,0,21011.7578,0,0,0,0,0,0,0.1032,3.2058,0,0,0,0,0,0
,2.6852,0.1010,0.018200,0.1111,0.016500,0.040000,0.002900,0.010000,0.004300,0.035200,0.001400,0.006000,0.034200,1.5226,0.3598,0.4256,0.023800,0.7666,0.4810,0.019200,0.000800,0.013400,0.007200,0.1310,0.001400,0.001100,0.000200,0.008900,0.051500,0.000100,0.002300,0.022800,0.002000,0.002500,0.068800,0.019700,0.000200,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,1,2,4,2,2,4,6,1,1,50,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0005,15566.3750,5445.4062,6208.8594,0,21011.7812,0,0,390,215,0,0.1291,0.1135,0,1,1,2,2,0,0
,0.1664,0.074100,0.021700,0.092500,0.012600,0.036700,0.002400,0.008300,0.003400,0.030300,0.001800,0.005000,0.028500,0.3782,0.2962,0.4773,0.017300,0.060200,0.3071,0.017200,0.000900,0.002900,0.004800,0.1041,0.001100,0.000600,0.000100,0.007200,0.041700,0.000100,0.002100,0.018900,0.001600,0.001600,0.054400,0.015100,0.000100,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,0,1,2,4,2,2,4,6,1,1,44,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0334,15566.3750,5445.4062,6208.8594,0,21011.7812,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,1.6169,0.060300,0.013800,0.076900,0.011200,0.026000,0.002200,0.006900,0.003000,0.024900,0.001000,0.004500,0.023800,0.3139,0.2336,0.4143,0.015400,0.9076,0.4020,0.016000,0.000800,0.002300,0.004200,0.089000,0.000900,0.000600,0.000200,0.005800,0.033900,0.000200,0.001800,0.015000,0.001100,0.001300,0.044600,0.012300,0.000100,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,0,1,2,4,2,2,4,6,1,1,44,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8542,15566.4766,5445.4062,6208.8594,0,21011.8828,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,0.1303,0.057200,0.012400,0.077200,0.015800,0.029000,0.002000,0.006500,0.002700,0.022800,0.001100,0.003500,0.022200,0.2781,0.2241,0.3792,0.014400,0,0.2411,0.014900,0.000800,0.002500,0.004300,0.5034,0.001000,0.000600,0.000100,0.030000,0.036200,0.000100,0.002000,0.016100,0.001300,0.001700,0.047200,0.012800,0.000100,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,1,2,4,2,2,4,6,1,1,45,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7964,15566.4766,5445.4062,6208.8594,0,21011.8828,0,0,0,0,0,0,0,0,0,1,0,0,0,0
