seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.024618,24.61770,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.039169,14.55090,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.057391,18.22240,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.072058,14.66670,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.090233,18.17550,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.109599,19.36610,1,3.20380,0.57640,500,500,0,0,0,0,0,0.000
0.124616,15.01620,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.138657,14.04130,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.156517,17.86010,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.172312,15.79500,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.189363,17.05150,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.207383,18.01940,1,2.32480,0.45270,500,500,0,0,0,0,0,0.000
0.222816,15.43280,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.238888,16.07210,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.256947,18.05890,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.272077,15.13030,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.290017,17.93990,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.308332,18.31560,1,2.85590,0.50630,500,500,0,0,0,0,0,0.000
0.323043,14.71070,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.339245,16.20160,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.356260,17.01560,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.372175,15.91510,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.390396,18.22070,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.407724,17.32830,1,2.73370,0.45120,500,500,0,0,0,0,0,0.000
0.423626,15.90180,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.438448,14.82170,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
