"Seconds","QpcSeconds","Role","Pid","CpuCoreEquivalents","WorkingSetMiB","PrivateMiB"
"0.0005321","64655.4477491","server","13184","0","5580.65625","6349.46875"
"1.0362696","64656.4827211","server","13184","0.24137390024016703","5580.78125","6349.46875"
"2.0609213","64657.507321","server","13184","0.18298900982646105","5580.90625","6349.46875"
"3.085876","64658.5322936","server","13184","0.24391321879884054","5581.03125","6349.46875"
"4.0980464","64659.5444722","server","13184","0.15437124025756926","5581.16796875","6349.46875"
"5.1096972","64660.5560785","server","13184","0.20078568612805922","5581.3046875","6349.46875"
"6.1189869","64661.5653936","server","13184","0.10836829108629563","5581.4296875","6349.46875"
"7.1418","64662.5881592","server","13184","0.1374884619682716","5581.30859375","6349.09375"
"8.1625198","64663.6088762","server","13184","0.19900172407745986","5546.81640625","6309.26953125"
"9.1921761","64664.6385314","server","13184","0.24279946619080559","5547.00390625","6309.26953125"
"10.2061307","64665.6525032","server","13184","0.23114940254721467","5547.1328125","6309.26953125"
"11.2165466","64666.6628821","server","13184","0.2010310803699744","5547.2578125","6309.26953125"
"12.2221264","64667.6684559","server","13184","0.1709212933672693","5547.2578125","6309.14453125"
"13.2277061","64668.6740879","server","13184","0.1864596113067915","5547.3828125","6309.14453125"
"14.2490869","64669.6954103","server","13184","0.19887293749794396","5547.5078125","6309.14453125"
"15.258458","64670.7047702","server","13184","0.20123916763616473","5546.28125","6301.51953125"
"16.2673137","64671.7136805","server","13184","0.13939059867531103","5546.4140625","6301.51953125"
"17.2868935","64672.73323","server","13184","0.21454917015813768","5546.6015625","6301.51953125"
"18.2976658","64673.7439641","server","13184","0.09275085991177241","5546.6640625","6301.51953125"
"19.3137507","64674.7600513","server","13184","0.16915417205786643","5546.76953125","6301.4765625"
"20.3336455","64675.7799332","server","13184","0.15320207535130093","5546.8984375","6301.4765625"
"21.340941","64676.7872319","server","13184","0.2326775012893436","5547.02734375","6301.4765625"
"22.3500404","64677.7963253","server","13184","0.2012933512793685","5547.15234375","6301.4765625"
"23.3700919","64678.8163799","server","13184","0.09190712429715557","5547.4140625","6301.4765625"
"24.377508","64679.8237802","server","13184","0.15509976463548678","5547.5390625","6301.4765625"
"25.3858235","64680.8320862","server","13184","0.1549614183259109","5547.6015625","6301.4765625"
"26.3949989","64681.8412706","server","13184","0.21676112992845448","5547.7265625","6301.4765625"
"27.405882","64682.8521464","server","13184","0.1391110406336796","5547.86328125","6301.4765625"
"28.4137765","64683.8600237","server","13184","0.10851830226278644","5547.98828125","6301.4765625"
"29.4250617","64684.8713052","server","13184","0.13905572829504476","5548.13671875","6301.4765625"
"30.4311904","64685.8774348","server","13184","0.10870875664316104","5548.265625","6301.4765625"
"31.4467097","64686.8929458","server","13184","0.10770351681154657","5548.390625","6301.4765625"
"32.4560082","64687.9022641","server","13184","0.21673469246214078","5548.515625","6301.4765625"
"33.4638794","64688.9101143","server","13184","0.17053270298823897","5548.640625","6301.4765625"
"34.4725759","64689.9187973","server","13184","0.077451443521416","5548.765625","6301.4765625"
"35.4904336","64690.9366829","server","13184","0.19956129427522137","5548.859375","6301.4765625"
"36.4990699","64691.9452865","server","13184","0.1858945588216486","5549.015625","6301.4765625"
"37.5173702","64692.9636058","server","13184","0.2148187523857157","5549.140625","6301.4765625"
"38.5240896","64693.970336","server","13184","0.10864497098198367","5549.265625","6301.4765625"
"39.5296696","64694.975886","server","13184","0.07769148153304561","5549.390625","6301.4765625"
"40.5379115","64695.9841127","server","13184","0.17047000327996684","5549.51953125","6301.4765625"
"41.5472009","64696.9933887","server","13184","0.30962378085017045","5549.5859375","6301.37109375"
"42.5598286","64698.006008","server","13184","0.10801106862867765","5549.7109375","6301.37109375"
"43.5710331","64699.0172183","server","13184","0.10816308669512448","5549.8359375","6301.37109375"
"44.580099","64700.026269","server","13184","0.17033079801824638","5549.9609375","6301.37109375"
"45.5871608","64701.0333293","server","13184","0.31030866228865","5550.08984375","6301.37109375"
"46.6051051","64702.0512785","server","13184","0.16884519123492317","5550.2265625","6301.37109375"
"47.6152607","64703.0614173","server","13184","0.27842245293695345","5550.44921875","6301.390625"
"48.6218673","64704.0680189","server","13184","0.21731429140242076","5550.57421875","6301.390625"
"49.6334845","64705.0796461","server","13184","0.10811896041308905","5514.91796875","6260.62890625"
