seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.017417,17.41690,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.033921,16.50420,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.050674,16.75280,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.067411,16.73720,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.086462,19.05050,1,1.49320,0.10590,500,500,0,0,0,0,0,0.000
0.101133,14.67160,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.118563,17.43030,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.135162,16.59850,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.152600,17.43820,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.169604,17.00380,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.189042,19.43790,1,1.52670,0.09030,500,500,0,0,0,0,0,0.000
0.205072,16.03050,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.222354,17.28190,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.238425,16.07080,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.255273,16.84810,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.273635,18.36210,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.291129,17.49420,1,2.19150,0.09650,500,500,0,0,0,0,0,0.000
0.305784,14.65470,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.322357,16.57260,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.339783,17.42620,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.357052,17.26910,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.373553,16.50110,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.391300,17.74670,1,1.57790,0.11970,500,500,0,0,0,0,0,0.000
0.407117,15.81730,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.423401,16.28360,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.439644,16.24290,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.457084,17.43990,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.473509,16.42560,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.491826,18.31680,1,0.86230,0.09770,500,500,0,0,0,0,0,0.000
0.506849,15.02340,0,0.00000,0.00000,500,500,0,0,0,0,0,0.000
0.522987,16.13760,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.540522,17.53490,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.556628,16.10640,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.574979,18.35090,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.592155,17.17550,1,0.84010,0.09460,500,500,499,0,0,0,0,0.000
0.607591,15.43650,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.624456,16.86530,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.640625,16.16870,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.658281,17.65560,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.675072,16.79070,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.693786,18.71480,1,0.83060,0.09650,500,500,499,0,0,0,0,0.000
0.708678,14.89220,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.725831,17.15240,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.742419,16.58840,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.759390,16.97030,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.777866,18.47690,1,0.80910,0.08970,500,500,499,0,0,0,0,0.000
0.793264,15.39710,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.810124,16.86050,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.826247,16.12340,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.842318,16.07080,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.860004,17.68520,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.875672,15.66820,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.893985,18.31330,1,0.84700,0.09730,500,500,499,0,0,0,0,0.000
0.910446,16.46100,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.925845,15.39880,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.943172,17.32730,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.959588,16.41640,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.977009,17.42070,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
0.995192,18.18310,1,1.34990,0.16670,500,500,499,0,0,0,0,0.000
1.011071,15.87920,0,0.00000,0.00000,500,500,499,0,0,0,0,0.000
1.026681,15.60960,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.043096,16.41500,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.060201,17.10540,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.078299,18.09770,1,0.89010,0.09940,500,500,500,0,0,0,0,0.000
1.094513,16.21350,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.110969,16.45580,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.127457,16.48830,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.144800,17.34360,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.160719,15.91870,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.176423,15.70380,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.194452,18.02880,1,0.85220,0.09310,500,500,500,0,0,0,0,0.000
1.209870,15.41820,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.225975,16.10550,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.243674,17.69840,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.259422,15.74800,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.275861,16.43930,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.293070,17.20920,1,0.79450,0.08860,500,500,500,0,0,0,0,0.000
1.309390,16.32010,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.326104,16.71330,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.341834,15.73050,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.358767,16.93280,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.374691,15.92380,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.391817,17.12620,1,0.79520,0.09040,500,500,500,0,0,0,0,0.000
1.407973,16.15590,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.424599,16.62650,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.442048,17.44850,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.458559,16.51150,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.475140,16.58100,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.493833,18.69290,1,0.79490,0.08820,500,500,500,0,0,0,0,0.000
1.509839,16.00610,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.526888,17.04850,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.543451,16.56280,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.560988,17.53740,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
1.578256,17.26750,1,0.79070,0.09150,500,500,500,0,0,0,0,0.000
1.594751,16.49490,0,0.00000,0.00000,500,500,500,0,0,0,0,0.000
