seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.016163,16.16310,0,0.00000,0.00000,800,800,800,0,0,123160,2446,34.066
0.022350,6.18710,0,0.00000,0.00000,800,800,800,0,0,123160,2446,40.254
0.032442,10.09180,0,0.00000,0.00000,800,800,800,0,0,123160,2446,50.345
0.041577,9.13480,0,0.00000,0.00000,800,800,800,0,0,123160,2446,8.365
0.051849,10.27180,0,0.00000,0.00000,800,800,800,0,0,123160,2446,18.637
0.061245,9.39610,0,0.00000,0.00000,800,800,800,0,0,123160,2446,8.575
0.070874,9.62920,0,0.00000,0.00000,800,800,800,0,0,123160,2446,18.204
0.081665,10.79110,0,0.00000,0.00000,800,800,800,0,0,123160,2446,28.995
0.091318,9.65350,0,0.00000,0.00000,800,800,800,0,0,123160,2446,8.816
0.101525,10.20630,0,0.00000,0.00000,800,800,800,0,0,123160,2446,9.554
0.110868,9.34330,0,0.00000,0.00000,800,800,800,0,0,123160,2446,18.897
0.120038,9.17030,0,0.00000,0.00000,800,800,800,0,0,123160,2446,28.067
0.129892,9.85350,0,0.00000,0.00000,800,800,800,0,0,123160,2446,9.154
0.138946,9.05440,0,0.00000,0.00000,800,800,800,0,0,123160,2446,18.208
0.149753,10.80670,0,0.00000,0.00000,800,800,800,0,0,123160,2446,29.015
0.159076,9.32340,0,0.00000,0.00000,800,800,800,0,0,123160,2446,8.456
0.168257,9.18050,0,0.00000,0.00000,800,800,800,0,0,123160,2446,17.636
0.178436,10.17880,0,0.00000,0.00000,800,800,800,0,0,123160,2446,27.815
0.187847,9.41100,0,0.00000,0.00000,800,800,800,0,0,123160,2446,37.226
0.198637,10.79000,0,0.00000,0.00000,800,800,800,0,0,123160,2446,10.010
0.208107,9.47050,0,0.00000,0.00000,800,800,800,0,0,123160,2446,19.481
0.217617,9.50960,0,0.00000,0.00000,800,800,800,0,0,123160,2446,28.990
0.227041,9.42400,0,0.00000,0.00000,800,800,800,0,0,123160,2446,8.568
0.236228,9.18750,0,0.00000,0.00000,800,800,800,0,0,123160,2446,17.756
0.245684,9.45570,0,0.00000,0.00000,800,800,800,0,0,123160,2446,27.212
0.254943,9.25880,0,0.00000,0.00000,800,800,800,0,0,123160,2446,36.470
0.264593,9.65030,0,0.00000,0.00000,800,800,800,0,0,123160,2446,8.748
0.274449,9.85580,0,0.00000,0.00000,800,800,800,0,0,123160,2446,18.604
0.284008,9.55880,0,0.00000,0.00000,800,800,800,0,0,123160,2446,28.163
0.293586,9.57880,0,0.00000,0.00000,800,800,800,0,0,123160,2446,8.810
0.302966,9.37980,0,0.00000,0.00000,800,800,800,0,0,123160,2446,8.759
0.312116,9.14980,0,0.00000,0.00000,800,800,800,0,0,123160,2446,17.908
0.321318,9.20150,0,0.00000,0.00000,800,800,800,0,0,123160,2446,27.110
0.331705,10.38690,0,0.00000,0.00000,800,800,800,0,0,123160,2446,9.557
0.340974,9.26980,0,0.00000,0.00000,800,800,800,0,0,123160,2446,18.826
0.351446,10.47140,0,0.00000,0.00000,800,800,800,0,0,123160,2446,29.298
0.360879,9.43280,0,0.00000,0.00000,800,800,800,0,0,123160,2446,8.743
0.371352,10.47320,0,0.00000,0.00000,800,800,800,0,0,123160,2446,9.816
0.381487,10.13490,0,0.00000,0.00000,800,800,800,0,0,123160,2446,19.951
0.390717,9.23040,0,0.00000,0.00000,800,800,800,0,0,123160,2446,29.181
0.402323,11.60610,0,0.00000,0.00000,800,800,800,0,0,123160,2446,10.819
0.411582,9.25870,0,0.00000,0.00000,800,800,800,0,0,123160,2446,20.078
0.421088,9.50630,0,0.00000,0.00000,800,800,800,0,0,123160,2446,29.584
0.430611,9.52250,0,0.00000,0.00000,800,800,800,0,0,123160,2446,8.762
0.439885,9.27460,0,0.00000,0.00000,800,800,800,0,0,123160,2446,18.037
0.450188,10.30250,0,0.00000,0.00000,800,800,800,0,0,123160,2446,28.339
0.459992,9.80400,0,0.00000,0.00000,800,800,800,0,0,123160,2446,38.143
0.469644,9.65240,0,0.00000,0.00000,800,800,800,0,0,123160,2446,47.796
0.479520,9.87570,0,0.00000,0.00000,800,800,800,0,0,123160,2446,9.148
0.490617,11.09710,0,0.00000,0.00000,800,800,800,0,0,123160,2446,10.404
0.500008,9.39090,0,0.00000,0.00000,800,800,800,0,0,123160,2446,8.631
0.509612,9.60440,0,0.00000,0.00000,800,800,800,0,0,123160,2446,18.235
0.518910,9.29750,0,0.00000,0.00000,800,800,800,0,0,123160,2446,27.532
0.528315,9.40500,0,0.00000,0.00000,800,800,800,0,0,123160,2446,8.705
0.538656,10.34080,0,0.00000,0.00000,800,800,800,0,0,123160,2446,19.045
0.547850,9.19490,0,0.00000,0.00000,800,800,800,0,0,123160,2446,28.240
0.557893,10.04270,0,0.00000,0.00000,800,800,800,0,0,123160,2446,38.283
0.576079,18.18570,0,0.00000,0.00000,800,800,800,0,0,168697,2491,17.392
0.585495,9.41580,0,0.00000,0.00000,800,800,800,0,0,168697,2491,8.661
0.595284,9.78890,0,0.00000,0.00000,800,800,800,0,0,168697,2491,18.450
0.604582,9.29820,0,0.00000,0.00000,800,800,800,0,0,168697,2491,27.748
0.614003,9.42140,0,0.00000,0.00000,800,800,800,0,0,168697,2491,37.170
0.625141,11.13780,0,0.00000,0.00000,800,800,800,0,0,168697,2491,48.307
0.634978,9.83700,0,0.00000,0.00000,800,800,800,0,0,168697,2491,9.035
0.644422,9.44400,0,0.00000,0.00000,800,800,800,0,0,168697,2491,8.719
0.653907,9.48490,0,0.00000,0.00000,800,800,800,0,0,168697,2491,8.735
0.664536,10.62930,0,0.00000,0.00000,800,800,800,0,0,168697,2491,19.365
0.674116,9.58040,0,0.00000,0.00000,800,800,800,0,0,168697,2491,28.945
0.683224,9.10790,0,0.00000,0.00000,800,800,800,0,0,168697,2491,8.262
0.692463,9.23870,0,0.00000,0.00000,800,800,800,0,0,168697,2491,17.501
0.701733,9.27030,0,0.00000,0.00000,800,800,800,0,0,168697,2491,26.771
0.712681,10.94740,0,0.00000,0.00000,800,800,800,0,0,168697,2491,37.719
0.722009,9.32790,0,0.00000,0.00000,800,800,800,0,0,168697,2491,47.047
0.731752,9.74280,0,0.00000,0.00000,800,800,800,0,0,168697,2491,9.037
0.741376,9.62490,0,0.00000,0.00000,800,800,800,0,0,168697,2491,18.662
0.750941,9.56490,0,0.00000,0.00000,800,800,800,0,0,168697,2491,8.753
0.762458,11.51700,0,0.00000,0.00000,800,800,800,0,0,168697,2491,20.270
0.772052,9.59400,0,0.00000,0.00000,800,800,800,0,0,168697,2491,29.864
0.782894,10.84160,0,0.00000,0.00000,800,800,800,0,0,168697,2491,9.951
0.792276,9.38250,0,0.00000,0.00000,800,800,800,0,0,168697,2491,19.334
0.802261,9.98460,0,0.00000,0.00000,800,800,800,0,0,168697,2491,29.319
0.812195,9.93450,0,0.00000,0.00000,800,800,800,0,0,168697,2491,9.203
0.821290,9.09490,0,0.00000,0.00000,800,800,800,0,0,168697,2491,8.429
0.831891,10.60050,0,0.00000,0.00000,800,800,800,0,0,168697,2491,19.029
0.840924,9.03330,0,0.00000,0.00000,800,800,800,0,0,168697,2491,28.063
0.850821,9.89630,0,0.00000,0.00000,800,800,800,0,0,168697,2491,9.127
0.859881,9.06060,0,0.00000,0.00000,800,800,800,0,0,168697,2491,18.188
0.870468,10.58680,0,0.00000,0.00000,800,800,800,0,0,168697,2491,28.775
0.879856,9.38830,0,0.00000,0.00000,800,800,800,0,0,168697,2491,8.569
0.889207,9.35090,0,0.00000,0.00000,800,800,800,0,0,168697,2491,8.617
0.900073,10.86600,0,0.00000,0.00000,800,800,800,0,0,168697,2491,19.483
0.908989,8.91600,0,0.00000,0.00000,800,800,800,0,0,168697,2491,28.399
0.917853,8.86370,0,0.00000,0.00000,800,800,800,0,0,168697,2491,8.051
0.928658,10.80510,0,0.00000,0.00000,800,800,800,0,0,168697,2491,18.856
0.937793,9.13520,0,0.00000,0.00000,800,800,800,0,0,168697,2491,27.991
0.948807,11.01410,0,0.00000,0.00000,800,800,800,0,0,168697,2491,10.290
0.958120,9.31300,0,0.00000,0.00000,800,800,800,0,0,168697,2491,8.603
0.967456,9.33580,0,0.00000,0.00000,800,800,800,0,0,168697,2491,17.939
0.976630,9.17400,0,0.00000,0.00000,800,800,800,0,0,168697,2491,27.113
0.986002,9.37210,0,0.00000,0.00000,800,800,800,0,0,168697,2491,8.426
0.994715,8.71300,0,0.00000,0.00000,800,800,800,0,0,168697,2491,17.139
1.004810,10.09460,0,0.00000,0.00000,800,800,800,0,0,168697,2491,27.234
1.014313,9.50310,0,0.00000,0.00000,800,800,800,0,0,168697,2491,36.737
1.024239,9.92640,0,0.00000,0.00000,800,800,800,0,0,168697,2491,46.663
1.033796,9.55640,0,0.00000,0.00000,800,800,800,0,0,168697,2491,8.711
1.042725,8.92890,0,0.00000,0.00000,800,800,800,0,0,168697,2491,17.640
1.053151,10.42680,0,0.00000,0.00000,800,800,800,0,0,168697,2491,28.067
1.062256,9.10460,0,0.00000,0.00000,800,800,800,0,0,168697,2491,8.381
1.071893,9.63680,0,0.00000,0.00000,800,800,800,0,0,168697,2491,9.023
1.082663,10.77010,0,0.00000,0.00000,800,800,800,0,0,168697,2491,9.947
1.092436,9.77310,0,0.00000,0.00000,800,800,800,0,0,168697,2491,19.720
1.102920,10.48390,0,0.00000,0.00000,800,800,800,0,0,168697,2491,30.204
1.113625,10.70490,0,0.00000,0.00000,800,800,800,0,0,168697,2491,40.909
1.124215,10.59000,0,0.00000,0.00000,800,800,800,0,0,168697,2491,9.577
1.134348,10.13360,0,0.00000,0.00000,800,800,800,0,0,168697,2491,19.710
1.144297,9.94890,0,0.00000,0.00000,800,800,800,0,0,168697,2491,29.659
1.154430,10.13290,0,0.00000,0.00000,800,800,800,0,0,168697,2491,9.322
