EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/FlushNet,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,GuLiCommanderPoseDispatch/AttemptedChunks,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AIController,Ticks/PathFollowingComponent,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/Pathfinding,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,RHI/DrawCalls,RHI/PrimitivesDrawn,Ticks/GuLiCombatEffectReplicationComponent,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,Ticks/GuLiBuildingShieldComponent,GuLiCommanderPoseDispatch/SaturatedAtAttempt,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/LogFlush,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,Exclusive/GameThread/EventWait
,2.7290,0.078300,0.016000,0.9724,0.016800,0.075400,0.002300,0.006300,0.003800,0.022900,0.001500,0.005300,0.031700,0.7875,0.2800,1.0472,0.018800,0.004100,0.3320,0.6235,0.4103,0.020000,0.000800,0.002300,0.1068,0.2226,0.001600,0.000800,0.002500,0.015200,0.047900,0.6028,0.001700,0.3006,0.002600,0,0,0,0,59,0,0,18,0,0,0,0,2,2,1,1,48,4,96,0,6,6,6,0,2,18,0,18,0,0,2,12,0,0,0,0,0,0,0,0.1509,0,34,0,0,0.4476,0.5985,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0.002700,0.2597,0.9518,0.000200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9627,920.2461,5488.2812,6247.5547,0,6408.5273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1302,0.058300,0.010500,0.080700,0.011400,0.069300,0.002300,0.006800,0.003800,0.023000,0.000900,0.002900,0.030600,0.5605,0.2180,0.9863,0.015200,0.003400,0.1255,0,0.2274,0.020700,0.000700,0.072200,0.2642,0.3653,0.002400,0.000800,0.002300,0.016500,0.044300,0.3250,0.001200,0.020600,0.001400,0,0,0,0,60,0,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0.094000,0,17.5000,0,0,0.2267,0.3207,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0.001700,0.056100,0.014700,0.000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0906,919.9297,5488.2812,6247.5547,0,6408.2109,0,0,1,80151,40100,0,2.1756,0,0,0,0,0,0,0,0,0,0
,1.7638,0.065600,0.013600,0.087600,0.014000,0.067700,0.002100,0.006100,0.003200,0.021900,0.001200,0.004700,0.028500,0.7147,0.2592,1.0796,0.023500,0.004700,0.3395,0,0.3408,0.019400,0.000600,0.002300,0.2962,0.4007,0.002000,0.000700,0.002800,0.017800,0.046700,0.5244,0.001400,0.021200,0.001400,0,0,0,0,59,0,0,18,0,0,0,0,2,2,0,1,48,4,96,0,6,6,6,0,2,18,0,18,0,0,1,12,0,0,0,0,0,0,0,0.1371,0,31,0,0,0.3825,0.5196,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0.001700,0.056500,0.014500,0.000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8994,919.4414,5488.2812,6247.5547,0,6407.7227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1156,0.066000,0.012100,0.1518,0.016800,0.077000,0.001900,0.005700,0.003100,0.020700,0.001200,0.004400,0.028000,0.5287,0.2481,0.9150,0.014600,0.003100,0.1446,0,0.2468,0.020200,0.000500,0.002700,7.6944,7.6882,0.002200,0.001000,0.005700,0.026600,0.062800,0.4019,0.001900,0.028900,0.001800,0,0,0,0,59,0,0,0,0,0,0,0,2,2,1,2,48,4,96,0,6,1,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0.1231,0,21,0,0,0.2730,0.3961,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0.002500,0.6597,0.057200,0.000200,0.1315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8840,918.9844,5488.2852,6247.5547,0,6407.2695,0,0,0,428,278,0,0.1901,6.2470,1,0,0,0,0,0,0,0,0
,3.0455,0.059900,0.012800,0.095300,0.013200,0.061000,0.002200,0.005400,0.003600,0.022400,0.001100,0.004100,0.029800,1.3034,0.1940,0.8550,0.014600,0.004400,0.5804,0.7258,0.3506,0.018300,0.000500,0.002300,0.1092,0.2222,0.001400,0.000700,0.002000,0.015600,0.042500,0.8359,0.001400,0.018900,0.001500,0,0,0,0,60,0,0,18,0,0,0,0,2,2,0,1,48,4,96,0,6,15,15,2,4,2818,0,18,9,0,1,30,0,0,0,0,0,0,0,0.1049,0,5,17.1572,0,1.0587,1.1636,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0.001400,0.052300,0.013000,0.000300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3168,918.7969,5488.2852,6247.5547,0,6407.0820,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1205,0.071300,0.015600,0.093300,0.013600,0.088500,0.002500,0.007600,0.004100,0.029800,0.002100,0.005300,0.038200,0.4541,0.3143,1.4027,0.017400,0.004400,0.088900,0,0.3968,0.031800,0.001200,0.002900,0.2968,0.4206,0.001500,0.000700,0.003100,0.017000,0.046700,0.1004,0.001400,0.019100,0.001300,0,0,0,0,59,0,0,0,0,0,0,0,2,2,0,1,48,4,96,0,6,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.096299,0,0,0,0,0,0.096299,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0.001500,0.053300,0.013300,0.000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2349,918.6680,5488.2852,6247.5547,0,6406.9531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2.2984,0.067100,0.014200,0.1259,0.014400,0.1025,0.003800,0.007200,0.004600,0.027500,0.002500,0.003900,0.035900,0.5492,0.2218,1.0466,0.016600,0.003200,0.1707,0.8950,0.4360,0.020400,0.000700,0.002600,0.2191,0.7987,0.001500,0.000500,0.002000,0.037500,0.041800,0.9180,0.001200,0.019900,0.001200,0,0,0,0,59,0,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,2,4,0,8,400,0,0,0,0,2,5,0,0,0,0,0,0,0,0.1799,0,42,2.9229,0,0.8536,1.0335,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0.001400,0.053800,0.014000,0.000200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1162,915.0078,5488.2852,6247.5547,0,6403.2930,0,0,0,500,342,0,0.1206,0,0,0,0,0,0,0,0,0,0
,0.1138,0.063500,0.009200,0.092900,0.012400,0.047400,0.002200,0.005200,0.003100,0.020800,0.000800,0.003400,0.049500,0.7441,0.2060,1.1394,0.013600,0.004700,0.3973,0,0.3185,0.039100,0.001000,0.060000,1.6124,1.5623,0.001600,0.000900,0.004200,0.020800,0.046500,0.5031,0.001400,0.021200,0.001400,0,0,0,0,60,0,0,18,0,0,0,0,2,2,0,1,48,4,96,0,6,6,6,0,0,18,0,18,1,0,1,12,0,0,0,0,0,0,0,0.1350,0,36,0,0,0.3641,0.4991,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0.001600,0.053000,0.014500,0.000100,0.1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9984,914.8047,5488.2852,6247.5547,0,6403.0898,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.7303,0.069500,0.011300,0.086000,0.012700,0.072900,0.001800,0.005600,0.005400,0.022300,0.001100,0.004600,0.028000,0.2999,0.2569,0.8566,0.011000,0.003300,0.1120,0.5125,0.6315,0.019300,0.000400,0.002000,0.1433,0.2426,0.001200,0.000700,0.001600,0.012700,0.059200,0.5081,0.001700,0.021800,0.001400,0,0,0,0,59,0,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.1216,0,20.5000,0,0,0.3820,0.5036,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0.001800,0.058800,0.014200,0.000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8260,914.2539,5488.2852,6247.5547,0,6402.5391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1295,0.080800,0.009900,0.1218,0.013800,0.070300,0.001800,0.005300,0.003300,0.020100,0.001000,0.004200,0.027300,0.8569,0.2421,0.9371,0.019900,0.004400,0.3201,0,0.2800,0.019300,0.000800,0.002800,5.4693,5.5740,0.002100,0.000800,0.003800,0.017600,0.044400,0.5205,0.001100,0.021700,0.001400,0,0,0,0,59,0,0,18,0,0,0,0,2,2,1,1,48,4,96,0,6,6,6,0,2,18,0,18,0,0,2,12,0,0,0,0,0,0,0,0.1393,0,28,0,0,0.3766,0.5159,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0.001600,0.5429,0.014700,0.000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3726,914.0898,5488.2852,6247.5547,0,6402.3750,0,0,0,469,360,0,0.093700,5.2336,1,0,0,0,0,0,0,0,0
