"Seconds","Role","Pid","CpuCoreEquivalents","WorkingSetMiB","PrivateMiB"
"0.0012708","server","4516","0","5467.421875","6247.19921875"
"0.0012708","client1","28096","0","58.70703125","48.9921875"
"0.0012708","client2","13912","0","40.44921875","25.8046875"
"1.0511101","server","4516","0.19348199291072454","5467.57421875","6247.19921875"
"1.0511101","client1","28096","1.3841404108228756","571.921875","523.14453125"
"1.0511101","client2","13912","1.3692571805989737","574.59375","539.97265625"
"2.0823815","server","4516","0.13636080667029066","5467.70703125","6247.19921875"
"2.0823815","client1","28096","0.8636184422451743","609.04296875","583.625"
"2.0823815","client2","13912","0.8333160407628873","609.06640625","575.75390625"
"3.11071","server","4516","0.18233473058463323","5467.92578125","6247.19921875"
"3.11071","client1","28096","0.8964790920411133","616.0546875","602.4453125"
"3.11071","client2","13912","0.9268682138052189","629.5390625","630.265625"
"4.1342115","server","4516","0.13739598818370075","5468.05078125","6247.19921875"
"4.1342115","client1","28096","0.9007070336487049","809.47265625","839.53515625"
"4.1342115","client2","13912","0.8549083709208046","930.69921875","857.53125"
"5.1561978","server","4516","0.21404396516861332","5468.2421875","6247.19921875"
"5.1561978","client1","28096","0.30577709309801904","958.04296875","1065.51171875"
"5.1561978","client2","13912","0.29048823844311805","1079.9453125","1080.890625"
"6.182304","server","4516","0.18272962389273156","5468.3671875","6247.19921875"
"6.182304","client1","28096","0.01522746865772763","958.05859375","1065.52734375"
"6.182304","client2","13912","0.01522746865772763","1079.9453125","1080.890625"
"7.2071766","server","4516","0.16770377118092533","5468.4921875","6247.19921875"
"7.2071766","client1","28096","0","958.234375","1065.52734375"
"7.2071766","client2","13912","0.01524579738008412","1079.98046875","1080.90625"
"8.227668","server","4516","0.1684237613369402","5468.65625","6247.19921875"
"8.227668","client1","28096","7.946539284897452","1070.01953125","1179.46875"
"8.227668","client2","13912","0.07655625515315465","1102.765625","1099.6640625"
"9.2443319","server","4516","0.15368894282564768","5468.80078125","6247.19921875"
"9.2443319","client1","28096","0.8145513969759328","1086.78515625","1201.2109375"
"9.2443319","client2","13912","7.761291612695208","1191.37890625","1193.71875"
"10.2685656","server","4516","0.21357430437994768","5468.92578125","6247.19921875"
"10.2685656","client1","28096","0.9915949846211857","1641.50390625","1907.3515625"
"10.2685656","client2","13912","1.1288927517225806","1655.18359375","1692.4453125"
"11.2862362","server","4516","0.16889060173301657","5469.05078125","6247.19921875"
"11.2862362","client1","28096","0.9672825371981858","1731.14453125","2014.25"
"11.2862362","client2","13912","1.4739543423972354","1781.59765625","1915.59765625"
"12.3129839","server","4516","0.13696159241457273","5469.17578125","6247.19921875"
"12.3129839","client1","28096","1.658757063687603","1878.87890625","2080.96875"
"12.3129839","client2","13912","1.3696159241457273","1916.2578125","2041.54296875"
"13.3610473","server","4516","0.14908449240761582","5469.3046875","6247.19921875"
"13.3610473","client1","28096","3.0711405435968855","2327.1640625","2541.5"
"13.3610473","client2","13912","1.5057533733169195","2196.6875","2307.234375"
"14.3977366","server","4516","0.19593623663329024","5469.43359375","6247.19921875"
"14.3977366","client1","28096","2.2155866757764358","2455.875","2734.11328125"
