EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/EventWait/PrePhysics,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AIController,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/GuLiCommanderGameMode,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,RHI/DrawCalls,RHI/PrimitivesDrawn,Ticks/GuLiCombatEffectReplicationComponent,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Ticks/GuLiBuildingProductionComponent,Ticks/GuLiBuildingShieldComponent,Ticks/PathFollowingComponent,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/LogFlush,Exclusive/GameThread/EventWait
,0.1659,0.064800,0.011800,0.1035,0.013000,0.032100,0.002500,0.007400,0.003600,0.021800,0.001400,0.005600,0.025400,0.3500,0.2484,0.2566,0.013300,0.2104,0.012000,0.000900,0.002500,0.1124,0.2032,0.001400,0.000700,0.000100,0.006200,0.034600,0.000100,0.001500,0.030000,0.002200,0.001400,0.4258,0.027900,0.000100,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,43,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8415,15284.0820,5467.1406,6235.7695,0,20751.2227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,6.5955,0.066100,0.014300,0.089600,0.013400,0.030300,0.003300,0.007500,0.003400,0.028200,0.001400,0.005500,0.025500,0.3485,0.2576,0.2656,0.013700,0.3103,0.014100,0.001100,0.003000,0.3010,0.4098,0.001300,0.000800,0.000100,0.007200,0.038100,0.000200,0.002000,0.020200,0.001300,0.001500,0.050700,0.014000,0.000100,5.8847,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,43,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2472,15276.7812,5467.1406,6235.7695,0,20743.9219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1686,0.066000,0.012400,0.084100,0.012600,0.029800,0.001800,0.007100,0.003000,0.024700,0.001300,0.004400,0.023700,0.2912,0.2401,0.2504,0.012300,0.2794,0.012700,0.000700,0.002900,0.2616,0.3584,0.001300,0.000700,0.000100,0.007300,0.057500,0.000100,0.002100,0.017000,0.001300,0.002200,0.053200,0.012300,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,44,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0766,15274.2578,5467.1406,6235.7695,0,20741.3984,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,6.4699,0.1302,0.012600,0.098600,0.014700,0.032400,0.001800,0.006400,0.003300,0.023300,0.001200,0.004700,0.022700,0.3538,0.2412,0.2486,0.013000,0.3507,0.013600,0.000900,0.002900,1.3626,1.4295,0.001700,0.000800,0.000100,0.007800,0.040500,0.000200,0.002300,0.023300,0.001300,0.001900,0.057000,0.013500,0.000100,5.7472,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,43,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2739,15298.8711,5467.1484,6235.7695,0,20766.0195,0,0,0,0.060400,0,0,80407,40304,0,2.0282,0,0,0,0,0,0
,0.1849,0.069000,0.012800,0.1434,0.013000,0.031500,0.002200,0.007300,0.003500,0.026800,0.001400,0.005400,0.026100,0.3251,0.2582,0.2473,0.012700,0.2334,0.012200,0.000900,0.002500,11.3753,11.4816,0.001600,0.000600,0.000200,0.008500,0.039500,0.000200,0.002300,0.021800,0.001300,0.001400,0.6541,0.013800,0.000300,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,43,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2879,15421.9258,5467.1484,6235.7695,0,20889.0742,0,0,0,0,11.2560,1,0,0,0,0,0,0,0,0,0,0
,7.1065,0.062800,0.012400,0.087200,0.012700,0.035500,0.002100,0.006300,0.002900,0.022000,0.001500,0.004500,0.023900,2.4607,0.2324,0.2535,0.013100,0.3371,0.015200,0.000800,0.012300,0.2895,0.3978,0.001200,0.000900,0,0.006600,0.040600,0.000200,0.002000,0.019400,0.001300,0.001500,0.053600,0.013500,0.000100,4.4219,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,44,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2837,15528.3828,5467.1484,6235.7695,0,20995.5312,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1672,0.063400,0.013600,0.098900,0.012700,0.028500,0.002000,0.006800,0.002900,0.022900,0.001200,0.004800,0.022400,0.2924,0.2438,0.2677,0.013800,0.2110,0.012900,0.000700,0.002200,0.2912,0.3862,0.001100,0.000600,0.000100,0.007100,0.040100,0.000200,0.002100,0.017000,0.001200,0.001900,0.051600,0.011600,0.000200,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,43,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4995,15618.0586,5467.1484,6235.7695,0,21085.2070,0,0,0,0,0,0,416,303,0,0.1099,0,0,0,0,0,0
,6.6143,0.064000,0.012500,0.090400,0.014900,0.030600,0.002300,0.007400,0.003200,0.026200,0.001400,0.004800,0.024700,0.3586,0.2528,0.2657,0.015200,0.3476,0.013700,0.000700,0.002900,1.4154,1.4606,0.001600,0.000800,0.000100,0.007000,0.037500,0.000100,0.002300,0.017100,0.001300,0.002600,0.055800,0.013800,0.000200,5.8636,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,43,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7388,15819.7383,5467.1484,6235.7695,0,21286.8867,0,0,0,0.066500,0,0,0,0,0,0,0,0,0,0,0,0
,0.1479,0.058800,0.011400,0.089300,0.012100,0.027400,0.001800,0.006000,0.002700,0.021400,0.001100,0.004000,0.022200,0.3215,0.2347,0.2562,0.012700,0.2303,0.011200,0.000700,0.002100,0.1622,1.6500,0.001200,0.000700,0.000100,0.006100,0.036100,0.000100,0.001900,0.015100,0.001400,0.001500,0.049800,0.012000,0.000200,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,48,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6786,15857.2891,5467.1484,6235.7695,0,21324.4375,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0
,6.4800,0.067000,0.017700,0.086300,0.013400,0.027800,0.001700,0.007100,0.003300,0.024600,0.001400,0.004700,0.024400,0.3483,0.2528,0.2570,0.013400,0.2996,0.014000,0.001000,0.002500,0.2262,0.3275,0.001600,0.000700,0.000100,0.007500,0.040300,0.000200,0.002200,0.018100,0.001900,0.001900,0.053600,0.013700,0.000100,5.7680,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,43,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2068,15876.5898,5467.1562,6235.7695,0,21343.7461,0,0,0,0,0,0,412,304,0,0.088400,0,0,0,0,0,0
