EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgeConnectionBootstrap,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AIController,Ticks/PathFollowingComponent,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCombatEffectReplicationComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/Pathfinding,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,RHI/DrawCalls,RHI/PrimitivesDrawn,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,Ticks/GuLiBuildingProductionComponent,Ticks/GuLiBuildingShieldComponent,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/LogFlush,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,Exclusive/GameThread/EventWait
,0.1228,0.072000,0.013000,0.8875,0.015400,0.079500,0.002100,0.005900,0.003600,0.021100,0.001000,0.004700,0.030300,0.5517,0.2334,0.8797,0.015000,0.003000,0.022100,0.3778,0.019000,0.000800,0.058700,0.080500,0.4919,0.001300,0.000600,0.001800,0.012600,0.048000,0.8991,0.1199,0.001500,0.4487,0.002900,0.001600,0.1670,0,0,1.0462,0,0,60,0,0,0,0,0,0,2,2,1,2,48,4,96,0,6,1,1,0,8,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0.1718,0,39,0,0,0.7234,0.8952,0,2,2,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9878,0.000300,0,15.1967,4127.9258,5462.7148,6226.9336,0,9590.6406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.6791,0.063900,0.010800,0.081400,0.013000,0.028900,0.002500,0.007200,0.003500,0.024100,0.001000,0.003900,0.028300,0.3568,0.2175,0.8917,0.016400,0.003200,0.3994,0.2378,0.019500,0.000600,0.002000,0.2509,0.3531,0.001400,0.000800,0.002100,0.016100,0.043600,0.3575,0.1094,0.001200,0.021800,0.001200,0.002000,0.057400,0,0,0,0,0,59,0,0,0,0,0,0,2,2,0,0,48,4,96,0,6,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.1008,0,18,0,0,0.2524,0.3532,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014100,0.000200,0,13.2394,4132.5352,5462.7148,6226.9336,0,9595.2500,0,0,80142,40106,0,2.2865,0,0,0,0,0,0,0,0,0,0
,0.097400,0.066000,0.014200,0.088100,0.014300,0.081800,0.002100,0.005700,0.003400,0.021700,0.001400,0.004900,0.030000,0.5770,0.2598,1.0087,0.015300,0.004400,0,0.4234,0.021200,0.000800,0.002600,0.2370,0.3431,0.001800,0.000700,0.002200,0.015800,0.047100,0.4026,0.097400,0.001400,0.022600,0.001300,0.001800,0.069700,0,0,0,0,0,60,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.1090,0,27.5000,0,0,0.2888,0.3978,0,2,2,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013500,0.000100,0,17.5902,4127.6602,5462.7148,6226.9336,0,9590.3750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.5595,0.094000,0.009900,0.099900,0.015600,0.068400,0.002000,0.005800,0.003400,0.022200,0.001300,0.004100,0.029800,0.3788,0.2346,1.1038,0.014400,0.003900,0.059200,0.3034,0.027900,0.000600,0.002600,1.2959,1.3700,0.014800,0.000700,0.003800,0.021600,0.051900,0.4228,0.1292,0.001500,0.023800,0.001600,0.002000,0.051900,0,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.1260,0,24,0,0,0.2913,0.4173,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016600,0.000100,0.058600,17.0889,4131.7266,5462.7148,6226.9336,0,9594.4414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1291,0.070200,0.016300,0.1342,0.015900,0.067000,0.002000,0.005500,0.003100,0.021800,0.001200,0.005100,0.032900,0.3743,0.2452,0.9018,0.015200,0.003300,0,0.4822,0.026500,0.001000,0.004500,4.0590,4.2079,0.001600,0.000700,0.004400,0.021700,0.047400,0.7231,0.093800,0.001400,0.047200,0.001600,0.001800,0.5275,0,0,0,0,0,59,0,0,0,0,0,0,2,2,0,1,48,4,96,0,6,1,1,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0.1656,0,24,0,0,0.5537,0.7193,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014300,0.000100,0,19.6061,4130.3359,5462.7188,6226.9336,0,9593.0547,0,0,443,331,0,0.1014,3.9191,1,0,0,0,0,0,0,0,0
,1.2107,0.072300,0.015100,0.089300,0.014600,0.067000,0.002000,0.005600,0.003100,0.021700,0.001100,0.004300,0.030600,1.2936,0.2264,0.9058,0.014500,0.003600,0,0.2562,0.022100,0.000900,0.002700,0.2513,0.3754,0.001300,0.000600,0.003100,0.016800,0.046500,0.5568,0.5818,0.001300,0.026800,0.001500,0.002400,0.061200,0,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,15,16,2,1,732,0,32,0,0,2,31,0,0,0,0,0,0,0,0.098206,0,3.5000,5.9297,0,0.6121,0.7103,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014600,0.000300,0,13.6341,4130.0508,5462.7188,6226.9336,0,9592.7695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1199,0.061200,0.012400,0.086200,0.013800,0.061700,0.001900,0.005600,0.003200,0.022300,0.001300,0.004700,0.031300,0.4473,0.2081,0.8572,0.014800,0.002800,0.027500,0.3021,0.018100,0.000800,0.064500,0.2606,0.3656,0.001200,0.000600,0.002900,0.017100,0.047200,0.9480,0.1512,0.004500,0.022600,0.001300,0.001400,0.053700,0,0,0,0,0,64,0,0,0,0,0,0,2,2,0,1,50,2,100,0,6,2,4,1,69,308,0,0,1,0,1,5,0,0,0,0,0,0,0,0.1891,0,24.5000,2.2266,0,0.8700,1.0591,0,2,2,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014000,0.000100,0,15.5537,4125.1719,5462.7188,6226.9336,0,9587.8906,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
,0.9541,0.064900,0.013300,0.1171,0.013500,0.077000,0.002400,0.006100,0.003600,0.023900,0.001100,0.004000,0.028500,0.3164,0.2384,0.9198,0.017000,0.003200,0,0.2483,0.018400,0.000700,0.002100,1.3293,1.3839,0.001700,0.000700,0.004300,0.021100,0.049700,0.5864,0.1091,0.001400,0.023200,0.001500,0.001700,0.049100,0,0,0,0,0,59,0,0,0,0,0,0,2,2,1,2,50,2,100,0,6,1,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0.1595,0,37.5000,0,0,0.4224,0.5819,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013100,0.000100,0.060900,16.7766,4129.4883,5462.7227,6226.9336,0,9592.2109,0,0,494,326,0,0.1071,0,0,0,0,0,0,0,0,0,0
,0.1156,0.068400,0.012700,0.092700,0.013300,0.074100,0.002000,0.005900,0.003000,0.021400,0.001100,0.004500,0.029000,0.5639,0.2670,1.4159,0.009900,0.003600,0,0.5047,0.026900,0.000700,0.002700,0.2401,0.3756,0.001800,0.001100,0.002800,0.022700,0.1484,0.8578,0.1312,0.001000,0.022000,0.001500,0.001500,0.050900,0,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,50,2,100,0,10,1,1,0,8,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0.2147,0,39,0,0,0.6373,0.8520,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013800,0.000200,0,17.3655,4128.3359,5462.7227,6226.9336,0,9591.0586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.8011,0.060200,0.014500,0.080600,0.011200,0.084500,0.002300,0.006000,0.003900,0.024300,0.001100,0.004900,0.029900,0.3476,0.2577,1.1165,0.014500,0.004000,0.067900,0.2796,0.021700,0.000900,0.002100,0.1901,0.2787,0.001000,0.000800,0.001900,0.012900,0.039900,0.4556,0.095600,0.000900,0.015300,0.000800,0.001400,0.045200,0,0,0,0,0,60,0,0,0,0,0,0,2,2,0,1,50,2,98,0,8,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1167,0,21.5000,0,0,0.3357,0.4524,0,2,2,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011400,0.000100,0,15.2704,4124.1367,5462.7852,6226.9336,0,9586.9219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
