seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.025757,25.75660,0,0.00000,0.00000,500,500,0,0,0,4274,164341,0.000
0.040066,14.30990,0,0.00000,0.00000,500,500,0,0,0,4274,164341,0.000
0.057658,17.59130,0,0.00000,0.00000,500,500,0,0,0,4274,164341,0.000
0.074747,17.08920,0,0.00000,0.00000,500,500,0,0,0,4274,164341,0.000
0.093875,19.12760,1,3.91690,0.41010,500,500,0,0,0,4274,164341,0.000
0.107984,14.10920,0,0.00000,0.00000,500,500,0,0,0,4274,164341,0.000
0.123542,15.55870,0,0.00000,0.00000,500,500,0,0,0,4274,164341,0.000
0.140320,16.77730,0,0.00000,0.00000,500,500,0,0,0,4414,169567,0.000
0.157684,17.36460,0,0.00000,0.00000,500,500,0,0,0,4414,169567,0.000
0.172960,15.27590,0,0.00000,0.00000,500,500,0,0,0,4414,169567,0.000
0.193510,20.54960,1,3.36120,0.41520,500,500,0,0,0,4414,169567,0.000
0.210433,16.92310,0,0.00000,0.00000,500,500,0,0,0,4414,169567,0.000
0.225080,14.64740,0,0.00000,0.00000,500,500,0,0,0,4414,169567,0.000
0.242376,17.29550,0,0.00000,0.00000,500,500,0,0,0,4414,169567,0.000
0.259121,16.74560,0,0.00000,0.00000,500,500,0,0,0,4414,169567,0.000
0.276291,17.16990,0,0.00000,0.00000,500,500,0,0,0,4414,169567,0.000
0.299096,22.80430,1,6.05400,0.43330,500,500,0,0,0,4414,169567,0.000
0.310758,11.66210,0,0.00000,0.00000,500,500,0,0,0,4414,169567,0.000
0.326086,15.32870,0,0.00000,0.00000,500,500,0,0,0,4414,169567,0.000
0.342514,16.42740,0,0.00000,0.00000,500,500,0,0,0,4414,169567,0.000
0.358953,16.43890,0,0.00000,0.00000,500,500,0,0,0,4414,169567,0.000
0.375816,16.86310,0,0.00000,0.00000,500,500,0,0,0,4414,169567,0.000
0.395985,20.16920,1,2.96920,0.44060,500,500,0,0,0,4414,169567,0.000
0.410211,14.22610,0,0.00000,0.00000,500,500,0,0,0,4414,169567,0.000
0.426476,16.26460,0,0.00000,0.00000,500,500,0,0,0,4414,169567,0.000
0.443138,16.66270,0,0.00000,0.00000,500,500,0,0,0,4414,169567,0.000
0.458986,15.84740,0,0.00000,0.00000,500,500,0,0,0,4414,169567,0.000
0.474709,15.72300,0,0.00000,0.00000,500,500,0,0,0,4414,169567,0.000
0.495976,21.26740,1,3.32250,0.68600,500,500,0,0,0,4414,169567,0.000
0.510420,14.44390,0,0.00000,0.00000,500,500,0,0,0,4414,169567,0.000
0.526817,16.39650,0,0.00000,0.00000,500,500,499,0,0,4414,169567,0.000
0.543551,16.73390,0,0.00000,0.00000,500,500,499,0,0,4414,169567,0.000
0.560560,17.00930,0,0.00000,0.00000,500,500,499,0,0,4414,169567,0.000
0.576975,16.41530,0,0.00000,0.00000,500,500,499,0,0,4414,169567,0.000
0.596458,19.48320,1,2.46100,0.40330,500,500,499,0,0,4414,169567,0.000
0.611984,15.52550,0,0.00000,0.00000,500,500,499,0,0,4414,169567,0.000
0.626501,14.51750,0,0.00000,0.00000,500,500,499,0,0,4414,169567,0.000
0.643368,16.86670,0,0.00000,0.00000,500,500,499,0,0,4414,169567,0.000
0.659222,15.85350,0,0.00000,0.00000,500,500,499,0,0,4414,169567,0.000
0.676010,16.78810,0,0.00000,0.00000,500,500,499,0,0,4414,169567,0.000
0.696183,20.17330,1,2.57460,0.41160,500,500,499,0,0,4414,169567,0.000
0.711565,15.38230,0,0.00000,0.00000,500,500,499,0,0,4285,181226,0.000
0.727840,16.27500,0,0.00000,0.00000,500,500,499,0,0,4285,181226,0.000
0.743549,15.70870,0,0.00000,0.00000,500,500,499,0,0,4285,181226,0.000
0.760743,17.19370,0,0.00000,0.00000,500,500,499,0,0,4285,181226,0.000
0.782150,21.40710,1,2.78150,0.41020,500,500,499,0,0,4285,181226,0.000
0.796989,14.83970,0,0.00000,0.00000,500,500,499,0,0,4285,181226,0.000
0.812538,15.54900,0,0.00000,0.00000,500,500,499,0,0,4285,181226,0.000
0.828555,16.01660,0,0.00000,0.00000,500,500,499,0,0,4285,181226,0.000
0.845208,16.65250,0,0.00000,0.00000,500,500,499,0,0,4285,181226,0.000
0.861871,16.66310,0,0.00000,0.00000,500,500,499,0,0,4285,181226,0.000
0.881387,19.51600,1,2.26090,0.40470,500,500,499,0,0,4285,181226,0.000
0.896317,14.93020,0,0.00000,0.00000,500,500,499,0,0,4285,181226,0.000
0.912452,16.13470,0,0.00000,0.00000,500,500,499,0,0,4285,181226,0.000
0.929715,17.26380,0,0.00000,0.00000,500,500,499,0,0,4285,181226,0.000
0.947202,17.48710,0,0.00000,0.00000,500,500,499,0,0,4285,181226,0.000
0.963027,15.82500,0,0.00000,0.00000,500,500,499,0,0,4285,181226,0.000
0.982997,19.96950,1,2.38380,0.42250,500,500,499,0,0,4285,181226,0.000
0.998313,15.31640,0,0.00000,0.00000,500,500,499,0,0,4285,181226,0.000
1.015124,16.81020,0,0.00000,0.00000,500,500,499,0,0,4285,181226,0.000
1.032127,17.00370,0,0.00000,0.00000,500,500,500,0,0,4285,181226,0.000
1.049769,17.64120,0,0.00000,0.00000,500,500,500,0,0,4285,181226,0.000
1.065871,16.10290,0,0.00000,0.00000,500,500,500,0,0,4285,181226,0.000
1.084829,18.95720,1,2.24310,0.40310,500,500,500,0,0,4285,181226,0.000
1.101175,16.34640,0,0.00000,0.00000,500,500,500,0,0,4285,181226,0.000
1.115576,14.40120,0,0.00000,0.00000,500,500,500,0,0,4285,181226,0.000
1.131910,16.33430,0,0.00000,0.00000,500,500,500,0,0,4285,181226,0.000
1.148414,16.50320,0,0.00000,0.00000,500,500,500,0,0,4328,189595,0.000
1.166436,18.02230,0,0.00000,0.00000,500,500,500,0,0,4328,189595,0.000
1.186064,19.62770,1,2.90450,0.54810,500,500,500,0,0,4328,189595,0.000
1.200644,14.58020,0,0.00000,0.00000,500,500,500,0,0,4328,189595,0.000
1.215413,14.76920,0,0.00000,0.00000,500,500,500,0,0,4328,189595,0.000
