EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/EventWait/PrePhysics,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AIController,Ticks/PathFollowingComponent,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/GuLiCommanderGameMode,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,RHI/DrawCalls,RHI/PrimitivesDrawn,Ticks/GuLiCombatEffectReplicationComponent,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,Ticks/GameplayDebuggerPlayerManager,Ticks/GuLiBuildingProductionComponent,Ticks/GuLiBuildingShieldComponent,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/LogFlush,Exclusive/GameThread/EventWait
,0.2620,0.065600,0.013200,0.1107,0.012200,0.029700,0.001800,0.008200,0.003300,0.022000,0.001300,0.004900,0.026000,0.3213,0.2637,0.9238,0.014000,0.2551,0.018100,0.000700,0.002500,0.1032,0.2186,0.001200,0.000700,0.000100,0.018900,0.039200,0.000100,0.001900,0.033100,0.002600,0.001900,0.9491,0.031900,0.000200,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,45,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3524,15813.4766,5442.6133,6207,0,21256.0898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,12.9810,0.064800,0.013100,0.088200,0.012900,0.031200,0.002300,0.007900,0.003400,0.026900,0.001200,0.004000,0.026000,0.3127,0.2564,0.8233,0.014900,0.4003,0.019900,0.000700,0.002900,0.3646,0.4635,0.001300,0.000700,0.000100,0.006800,0.038200,0.000200,0.002100,0.018500,0.001300,0.001500,0.053200,0.013900,0.000100,11.7959,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,46,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2038,15810.8281,5445.3828,6210.1250,0,21256.2109,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,12.6437,0.058400,0.010300,0.085600,0.012000,0.024000,0.001200,0.005100,0.002200,0.018400,0.001100,0.002600,0.018500,0.2614,0.2225,0.7985,0.013800,0.3422,0.020800,0.001000,0.002600,0.2503,0.3535,0.001600,0.000800,0.000100,0.007300,0.040500,0.000200,0.002300,0.017700,0.001300,0.001600,0.053900,0.015600,0.000100,11.5293,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,45,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9233,15810.6328,5445.5859,6211.1250,0,21256.2188,0,0,0,0,0,0,0,0,80348,40216,0,2.1387,0,0,0
,0.2695,0.064600,0.013000,0.1196,0.013400,0.029500,0.001500,0.007700,0.002600,0.022700,0.001300,0.003300,0.021700,0.2778,0.2588,0.8569,0.015800,0.3157,0.022300,0.000600,0.002000,21.5952,24.3855,0.002200,0.000700,0.000400,0.012000,0.042500,0.000200,0.002500,0.021700,0.001400,0.001600,0.076000,0.015100,0.000200,0.1182,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,45,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.8794,15809.1602,5445.5859,6211.1250,0,21254.7461,0,0,0,0.1449,20.3297,0,0,0,0,0,0,0,0,0,0
,12.7366,0.068900,0.013300,0.084100,0.014500,0.031000,0.002000,0.007000,0.002700,0.020900,0.001100,0.002500,0.032400,6.8248,0.2907,0.8952,0.015200,0.2995,0.023300,0.001000,0.010900,0.3453,0.2968,0.001300,0.000800,0,0.007500,0.065000,0.000200,0.002600,0.017200,0.001400,0.001800,0.063300,0.015300,0.000200,4.9708,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,51,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4944,15809.9023,5445.5859,6211.1250,0,21255.4883,0,0,1,0.1545,0,1,2,2,0,0,0,0,0,0,0
,0.2275,0.071800,0.011900,0.073200,0.010900,0.026900,0.001700,0.005600,0.002500,0.019800,0.001000,0.003300,0.020300,0.2534,0.2145,0.7758,0.013300,0.3229,0.016800,0.000600,0.015700,0.4274,0.4006,0.001100,0.000600,0,0.006500,0.035300,0.000200,0.001500,0.015300,0.001500,0.001600,0.063700,0.010900,0.000200,0.1626,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,45,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8770,15809.9023,5445.5859,6211.1250,0,21255.4883,0,0,0,0.1279,0,0,0,0,351,299,0,0.1082,0,0,0
,13.1525,0.071200,0.011500,0.091000,0.012800,0.029900,0.001400,0.006300,0.003000,0.022600,0.001300,0.003600,0.022100,0.2953,0.2619,0.9507,0.017100,0.4533,0.020900,0.000900,0.002700,0.6666,0.6288,0.001500,0.000700,0.000100,0.007400,0.039700,0.000300,0.001900,0.017800,0.001400,0.001700,0.054100,0.014900,0.000100,11.8143,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,46,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.2881,15809.8359,5445.6484,6211.1250,0,21255.4844,0,0,1,0.1423,0,0,0,0,0,0,0,0,0,0,0
,0.2448,0.054200,0.013200,0.071400,0.010400,0.031100,0.001400,0.007200,0.002400,0.022100,0.001300,0.004200,0.020000,0.2587,0.2556,0.8261,0.014400,0.3234,0.016000,0.000500,0.002400,0.9506,0.9334,0.000900,0.000400,0.000100,0.006000,0.030200,0.000100,0.001700,0.014700,0.001200,0.001200,0.055200,0.011200,0.000100,0.1442,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,45,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6483,15809.8359,5445.6484,6211.1250,0,21255.4844,0,0,0,0.095800,0,0,0,0,0,0,0,0,0,0,0
,13.8379,0.067300,0.012400,0.084900,0.013700,0.030900,0.001700,0.006600,0.002800,0.023400,0.001400,0.003800,0.022700,0.3030,0.2509,0.9947,0.018900,0.3570,0.019600,0.001200,0.002800,0.4006,0.3655,0.001800,0.000800,0.000100,0.007600,0.039600,0.000400,0.001900,0.018400,0.001300,0.001500,0.055900,0.016200,0.000300,12.4175,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,45,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5797,15807.0859,5448.5859,6214.1250,0,21255.6719,0,0,0,0.1418,0,0,0,0,432,305,0,0.099500,0,0,0
,0.2636,0.064400,0.011300,0.1415,0.012700,0.032800,0.001600,0.006900,0.002400,0.022300,0.001200,0.002900,0.023200,0.3055,0.2541,0.8276,0.012900,0.3245,0.016000,0.000600,0.009200,22.4286,22.4074,0.001900,0.000700,0.000300,0.008600,0.043400,0.000200,0.002400,0.019900,0.001500,0.001600,0.8834,0.016000,0.000100,0.073600,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,46,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1679,15807.2930,5448.5859,6214.1250,0,21255.8789,0,0,1,0.1245,22.2303,0,0,0,0,0,0,0,1,0,0
