seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.013644,13.64440,0,0.00000,0.00000,4000,3990,0,2,8,0,0,0.000
0.042768,29.12400,0,0.00000,0.00000,4000,3990,0,2,8,0,0,0.000
0.058691,15.92280,0,0.00000,0.00000,4000,3990,0,2,8,0,0,0.000
0.088565,29.87340,1,20.32530,4.08640,4000,3990,0,2,8,0,0,0.000
0.103051,14.48590,0,0.00000,0.00000,4000,3990,0,2,8,0,0,0.000
0.108947,5.89630,0,0.00000,0.00000,4000,3990,0,2,8,0,0,0.000
0.138230,29.28310,0,0.00000,0.00000,4000,3990,0,2,8,0,0,0.000
0.142887,4.65700,0,0.00000,0.00000,4000,3990,0,2,8,0,0,0.000
0.171457,28.57050,0,0.00000,0.00000,4000,3990,0,2,8,0,0,0.000
0.197793,26.33580,1,22.22610,3.99540,4000,3990,0,2,8,0,0,0.000
0.213089,15.29630,0,0.00000,0.00000,4000,3990,0,2,8,0,0,0.000
0.230015,16.92540,0,0.00000,0.00000,4000,3990,0,2,8,0,0,0.000
0.234936,4.92140,0,0.00000,0.00000,4000,3990,0,2,8,0,0,0.000
0.263121,28.18430,0,0.00000,0.00000,4000,3990,0,2,8,0,0,0.000
0.287909,24.78860,1,19.79340,4.21430,4000,3990,0,2,8,0,0,0.000
0.302033,14.12340,0,0.00000,0.00000,4000,3990,0,2,8,0,0,0.000
0.308229,6.19610,0,0.00000,0.00000,4000,3990,0,2,8,0,0,0.000
0.339256,31.02720,0,0.00000,0.00000,4000,3990,0,2,8,0,0,0.000
0.342178,2.92250,0,0.00000,0.00000,4000,3990,0,2,8,0,0,0.000
0.370663,28.48430,0,0.00000,0.00000,4000,3990,0,2,8,0,0,0.000
0.398316,27.65380,1,22.92600,4.43140,4000,3990,0,2,8,0,0,0.000
0.414511,16.19480,0,0.00000,0.00000,4000,3990,0,2,8,0,0,0.000
0.429640,15.12910,0,0.00000,0.00000,4000,3990,0,2,8,0,0,0.000
0.434943,5.30300,0,0.00000,0.00000,4000,3990,0,2,8,0,0,0.000
0.463285,28.34120,0,0.00000,0.00000,4000,3990,0,2,8,0,0,0.000
0.489554,26.26930,1,20.27120,4.00280,4000,3990,0,2,8,0,0,0.000
0.503630,14.07650,0,0.00000,0.00000,4000,3990,0,2,8,0,0,0.000
0.509534,5.90360,0,0.00000,0.00000,4000,3990,0,2,8,0,0,0.000
0.538442,28.90800,0,0.00000,0.00000,4000,3989,3990,2,9,0,0,0.000
0.542178,3.73630,0,0.00000,0.00000,4000,3989,3990,2,9,0,0,0.000
0.570623,28.44510,0,0.00000,0.00000,4000,3989,3990,2,9,0,0,0.000
0.600724,30.10090,1,21.54620,4.14860,4000,3989,3990,2,9,0,0,0.000
0.616104,15.37990,0,0.00000,0.00000,4000,3989,3990,2,9,0,0,0.000
0.633327,17.22320,0,0.00000,0.00000,4000,3989,3990,2,9,0,0,0.000
0.638598,5.27100,0,0.00000,0.00000,4000,3989,3990,2,9,0,0,0.000
0.668795,30.19660,0,0.00000,0.00000,4000,3989,3990,2,9,0,0,0.000
0.694165,25.36960,1,20.75420,4.33190,4000,3989,3990,2,9,0,0,0.000
0.708664,14.49960,0,0.00000,0.00000,4000,3989,3990,2,9,0,0,0.000
0.713958,5.29390,0,0.00000,0.00000,4000,3989,3990,2,9,0,0,0.000
0.741325,27.36690,0,0.00000,0.00000,4000,3989,3990,2,9,0,0,0.000
0.746808,5.48300,0,0.00000,0.00000,4000,3989,3990,2,9,0,0,0.000
0.775095,28.28680,0,0.00000,0.00000,4000,3989,3990,2,9,0,0,0.000
0.800946,25.85150,1,21.39110,4.04670,4000,3989,3990,2,9,0,0,0.000
0.816466,15.51970,0,0.00000,0.00000,4000,3989,3990,2,9,0,0,0.000
0.833638,17.17150,0,0.00000,0.00000,4000,3989,3990,2,9,0,0,0.000
0.841135,7.49750,0,0.00000,0.00000,4000,3989,3990,2,9,0,0,0.000
0.867689,26.55410,0,0.00000,0.00000,4000,3989,3990,2,9,0,0,0.000
0.893572,25.88310,1,20.89020,4.05320,4000,3989,3990,2,9,0,0,0.000
0.907904,14.33180,0,0.00000,0.00000,4000,3989,3990,2,9,0,0,0.000
0.913512,5.60770,0,0.00000,0.00000,4000,3989,3990,2,9,0,0,0.000
0.941400,27.88850,0,0.00000,0.00000,4000,3989,3990,2,9,0,0,0.000
0.947102,5.70220,0,0.00000,0.00000,4000,3989,3990,2,9,0,0,0.000
0.976316,29.21330,0,0.00000,0.00000,4000,3989,3990,2,9,0,0,0.000
1.000182,23.86590,1,21.00580,4.05750,4000,3989,3990,2,9,0,0,0.000
1.016152,15.97000,0,0.00000,0.00000,4000,3989,3990,2,9,0,0,0.000
1.031940,15.78820,0,0.00000,0.00000,4000,3989,3990,2,9,0,0,0.000
1.036982,5.04220,0,0.00000,0.00000,4000,3989,3990,2,9,0,0,0.000
1.065262,28.27960,0,0.00000,0.00000,4000,3987,3988,2,11,0,0,0.000
1.091598,26.33640,1,20.37630,4.00510,4000,3987,3988,2,11,0,0,0.000
1.108818,17.22030,0,0.00000,0.00000,4000,3987,3988,2,11,0,0,0.000
1.111357,2.53920,0,0.00000,0.00000,4000,3987,3988,2,11,0,0,0.000
1.139479,28.12200,0,0.00000,0.00000,4000,3987,3988,2,11,0,0,0.000
1.144260,4.78060,0,0.00000,0.00000,4000,3987,3988,2,11,0,0,0.000
1.173178,28.91790,0,0.00000,0.00000,4000,3987,3988,2,11,0,0,0.000
1.201171,27.99320,1,21.47890,4.03960,4000,3987,3988,2,11,0,0,0.000
1.216710,15.53830,0,0.00000,0.00000,4000,3987,3988,2,11,0,0,0.000
1.232726,16.01620,0,0.00000,0.00000,4000,3987,3988,2,11,0,0,0.000
1.238736,6.01000,0,0.00000,0.00000,4000,3987,3988,2,11,0,0,0.000
1.266965,28.22910,0,0.00000,0.00000,4000,3987,3988,2,11,0,0,0.000
1.293304,26.33900,1,21.58910,4.14270,4000,3987,3988,2,11,0,0,0.000
