EVENTS,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/Pathfinding,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AIController,Ticks/PathFollowingComponent,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/GuLiCommanderGameMode,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,RHI/DrawCalls,RHI/PrimitivesDrawn,Exclusive/AllWorkers/MassProcessorTask,GuLiCommanderAuthority/GameThread/FixedStep,Ticks/GuLiCombatEffectReplicationComponent,Ticks/GuLiBuildingProductionComponent,Ticks/GuLiBuildingShieldComponent,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,FMsgLogf/FMsgLogfCount,Ticks/GameplayDebuggerPlayerManager
,0.066300,0.011500,0.1174,0.013500,0.027200,0.002000,0.006400,0.003300,0.020300,0.001300,0.005200,0.025000,0.3874,0.2568,0.8877,0.016500,13.5803,0.2929,0.021100,0.000900,0.003000,0.080700,0.1849,0.001700,0.000800,0.000100,0.008000,0.038300,0.000200,0.001900,0.033700,0.003400,0.002000,1.3971,0.052300,0.000200,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,45,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.2903,16047.5156,5466.9062,6225.9844,0,21514.4219,0,0,14.8941,0,0,0,0,0,0,0,0,0,0
,0.065400,0.012300,0.1145,0.012900,0.029700,0.002200,0.006800,0.003000,0.020800,0.001400,0.004400,0.028900,0.2954,0.2908,0.8975,0.015900,14.0595,0.3733,0.018800,0.001000,0.010900,23.7891,23.8370,0.002100,0.000700,0.000100,0.011200,0.046300,0.000300,0.002100,0.020500,0.001300,0.001700,0.060600,0.017700,0.000300,0.069000,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,46,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5697,16042.8477,5471.6758,6230.1094,0,21514.5234,0,0,15.5086,23.5265,1,0,0,78129,40123,0,2.7162,0,0
,0.061300,0.013900,0.097400,0.011400,0.029600,0.001700,0.006100,0.002300,0.018800,0.001400,0.002100,0.022300,13.6372,0.2879,0.9809,0.016500,0,0.5163,0.019800,0.000800,0.002200,0.2616,0.4383,0.001800,0.000700,0.000200,0.007900,0.036800,0.000200,0.001900,0.018600,0.001200,0.001800,0.049400,0.013700,0.000100,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,50,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5262,16042.9023,5471.6758,6230.1094,0,21514.5781,0,0,14.5639,0,1,2,2,0,0,0,0,0,0
,0.057500,0.011100,0.079400,0.011700,0.023900,0.001100,0.004700,0.002200,0.015400,0.001400,0.002100,0.017700,0.3053,0.2359,1.0530,0.018000,13.1251,0.4980,0.022200,0.000900,0.003200,1.3965,1.3434,0.001500,0.000700,0.000100,0.009200,0.040200,0.000200,0.002000,0.023100,0.001600,0.001900,0.059800,0.017300,0.000400,0.1641,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,45,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3549,16042.8008,5471.6758,6230.1094,0,21514.4766,0,0,14.5742,0,0,0,0,0,0,0,0,0,0
,0.047600,0.011000,0.060000,0.008900,0.025400,0.001200,0.005000,0.002300,0.016100,0.001200,0.002100,0.019500,0.2670,0.2096,0.8649,0.017700,0.1737,0.2297,0.018000,0.000600,0.002400,0.1085,0.1995,0.001000,0.000500,0.000100,0.006000,0.032800,0.000100,0.001300,0.014700,0.001200,0.001200,0.038200,0.011400,0.000100,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,45,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4870,16042.8008,5471.6758,6230.1094,0,21514.4766,0,0,0.2846,0,0,0,0,0,0,0,0,0,0
,0.077400,0.015800,0.1562,0.015900,0.033300,0.002300,0.007200,0.003100,0.026000,0.001300,0.004600,0.025100,0.3328,0.2591,0.9163,0.016900,14.8560,0.4163,0.025600,0.000800,0.013100,24.9942,25.0660,0.002100,0.000700,0.000100,0.009500,0.048700,0.000200,0.002400,0.021800,0.001500,0.001900,1.0338,0.016500,0.000100,0.058500,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,46,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.5226,16043.2148,5471.6758,6230.1094,0,21514.8906,0,0,16.2719,24.6957,1,0,0,560,413,0,0.1647,1,0
,0.060400,0.013000,0.078600,0.011800,0.029600,0.001800,0.006100,0.002900,0.019600,0.001300,0.002500,0.022800,13.3082,0.2621,0.8772,0.016700,1.1679,0.3947,0.019500,0.000700,0.002400,0.2609,0.3480,0.001300,0.000700,0.000100,0.007000,0.036700,0.000200,0.001900,0.023300,0.001500,0.001800,0.055800,0.015300,0.000200,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,46,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0361,16043.0117,5471.6758,6230.1094,0,21514.6875,0,0,15.3605,0,1,0,0,0,0,0,0,0,0
,0.051300,0.011200,0.089300,0.010100,0.027400,0.001700,0.005700,0.002700,0.017600,0.001300,0.002300,0.020400,0.2553,0.2620,0.8626,0.013800,0.1288,0.3121,0.014100,0.000500,0.001800,1.2512,1.2050,0.001000,0.000600,0.000100,0.095700,0.038200,0.000200,0.002200,0.019100,0.001400,0.001500,0.047200,0.014100,0.000100,0.1343,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,45,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8437,16043.0117,5471.6758,6230.1094,0,21514.6875,0,0,0.3080,0,0,0,0,0,0,0,0,0,0
,0.069200,0.013200,0.088600,0.013300,0.030100,0.001900,0.006500,0.003100,0.024200,0.001300,0.004400,0.022800,0.2978,0.2351,0.9156,0.015600,13.8018,0.2875,0.020000,0.000700,0.002900,0.1378,0.2409,0.001500,0.000800,0.000100,0.007300,0.041600,0.000200,0.002300,0.021800,0.001500,0.001900,0.054700,0.016000,0.000200,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,45,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5191,16043.2578,5471.6758,6230.1094,0,21514.9336,0,0,15.0947,0,0,0,0,394,302,0,0.087800,0,0
,0.047600,0.010800,0.061600,0.008800,0.025000,0.001200,0.009200,0.002700,0.021200,0.001500,0.001900,0.021900,0.2550,0.2343,0.8899,0.013400,0.093200,0.2964,0.015300,0.000600,0.009200,0.2086,0.2804,0.001000,0.000500,0.000100,0.005100,0.036100,0.000200,0.001500,0.015200,0.001300,0.001400,0.071100,0.012100,0.000100,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,46,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6586,16043.2578,5471.6758,6230.1094,0,21514.9336,0,0,0.3478,0,1,0,0,0,0,0,0,0,0
