EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/RenderThread/RayTracingGeometryManager_Tick,RayTracingGeometry/ReferencedSizeMB,RayTracingGeometry/RequestedSizeMB,RayTracingGeometry/TotalResidentSizeMB,RayTracingGeometry/TotalAlwaysResidentSizeMB,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,RHI/DrawCalls,RHI/PrimitivesDrawn,Exclusive/AllWorkers/Physics,Exclusive/GameThread/Input,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,Exclusive/GameThread/HandleRPC,Exclusive/GameThread/Generic_RepNotifies,Networking/GameThread/FastArray_Apply,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/Animation,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/Physics,Exclusive/GameThread/EventWait/EndPhysics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,Exclusive/GameThread/Tickables,Exclusive/GameThread/Landscape,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/UInstancedStaticMeshComponent_BatchUpdateInstancesTransforms,GuLiCommanderPresentation/GameThread/RebuildLocalInstances,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/ViewportMisc,Exclusive/GameThread/UpdateLevelStreaming,Slate/GameThread/TickPlatform,Exclusive/GameThread/UI,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,MassEntities/GameThread/BatchedCommand,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/RawPing,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/ChaosDebugDrawComponent,Ticks/SkeletalMeshActor,Ticks/CameraComponent,Ticks/LineBatchComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/PhysicsFieldComponent,Ticks/GuLiCommanderHUD,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderPresentationActor,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/FNiagaraWorldManagerTickFunction,Ticks/ParticleSystemManager,Ticks/StartPhysicsTick,Ticks/MassProcessingPhase,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/Actor,ActorCount/SkeletalMeshActor,ActorCount/GuLiTerritoryOutpostActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,AnimationParallelEvaluation/TotalTaskTime,AnimationParallelEvaluation/AverageTaskTime,AnimationParallelEvaluation/NumberOfTasks,AnimationParallelEvaluation/MinTaskTime,AnimationParallelEvaluation/MaxTaskTime,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,RenderThreadTime,GameThreadTime,GPUTime,RenderThreadTime_CriticalPath,GameThreadTime_CriticalPath,MaxFrameTime,CPUUsage_Process,CPUUsage_Idle,GuLiCommanderPresentation/InstanceAndMirrorCacheBytes,GuLiCommanderPresentation/RosterCacheBytes,MassEntitiesCounters/BatchedCommand,Scheduler/AllWorkers/SignalStandbyThread,Scheduler/Oversubscription,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,GuLiCommanderMiniMap/DataCacheBytes,GuLiCommanderHealthBars/DataCacheBytes,Ticks/GuLiStrongholdNetworkPresentationComponent,Exclusive/GameThread/EventWait/StartPhysics,Exclusive/GameThread/EventWait,FMsgLogf/FMsgLogfCount
,0.019300,0.009300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1522,0.009900,0.062800,0.006400,0.2737,0.020900,0.1638,0.070200,0.3609,0.044200,0.000600,0.004500,0.020200,0.3034,0.074500,0.074600,0.002200,0.076800,0.033000,0.1311,0.013000,0.000200,0.002700,0.1539,0.016800,0.023300,0.004500,0.026400,0.2103,0.038800,0.071400,0.002700,0.027000,0.001900,0.004900,0.001000,0.006800,0.024200,0.095200,0.013800,0.000300,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,1,1,2,4,12,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,61,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076300,0.019075,4,0.004900,0.029800,17.3501,10503.8398,2588.6484,2584.7773,0,13094.4297,0,0,0,0,0,16.6667,0.000001,0.073218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.025900,0.003400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089300,0.009000,0.059100,0.008900,0.2590,0.019500,0.075600,0.061700,0.2442,0,0.000800,0.002900,0.016600,0.2121,0.077800,0.081300,0.002200,0.051700,0.016900,0.078200,0.008500,0.000200,0.001300,0.044900,0.011200,0.017200,0.003900,0.020300,0.1789,0.028700,0.051100,0.002000,0.011900,0.000700,0.004000,0.000800,0.010100,0.022900,0.048700,0.003100,0.000100,0.027200,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,1,2,4,12,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,61,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097800,0.024450,4,0.016900,0.039500,16.0147,10503.5781,2591.9844,2585.8945,0,13095.8242,0,0,0,0,0,16.6667,0.3206,27.9930,334068,144788,1,0,0,0,0,0,0,0,0,0,0,0,0
,0.020900,0.003400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090200,0.008400,0.051500,0.007900,0.1885,0.016500,0.033600,0,0,0,0.000800,0.002200,0.016100,0.2037,0.067500,0.070800,0.002000,0.046400,0.016800,0.1100,0.007600,0.000200,0.001300,0.042600,0.010000,0.015200,0.004000,0.019400,0.1472,0.029800,0.049700,0.001400,0.013200,0.000800,0.003800,0.000800,0.008900,0.021300,0.048900,0.003500,0.000100,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,1,1,2,4,12,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,61,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092200,0.023050,4,0.018000,0.033300,16.2132,10503.4766,2591.9961,2585.8945,0,13095.5742,0,0,0,0,0,16.6667,0.3043,27.5983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.031600,0.004300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079700,0.014800,0.1360,0.011500,0.2484,0.021400,0.1261,0.080800,0,0,0.000700,0.003600,0.019300,0.2397,0.091800,0.087700,0.002700,0.060100,0.020100,0.064300,0.009900,0.000100,0.002100,0.060800,0.013600,0.022400,0.006100,0.024300,0.1816,0.036100,0.078200,0.002000,0.014800,0.000900,0.005300,0.001000,0.006100,0.020000,0.064400,0.003900,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,1,2,4,12,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,61,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1281,0.032025,4,0.021600,0.052100,17.1974,10500.5312,2592,2585.8945,0,13095.4766,0,0,0,0,0,16.6667,0.4259,26.6237,0,0,0,0,0,80529,40382,0,1.5510,0,0,0,0,0,0
,0.023900,0.003600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1140,0.008400,0.053200,0.008100,0.1900,0.016600,0.058000,0,0.1016,0,0.000700,0.002700,0.017300,0.2551,0.1561,0.068700,0.002000,0.047700,0.021300,0.072800,0.009400,0.000200,0.048400,0.1283,0.011100,0.017700,0.003400,0.019700,0.1470,0.027400,0.041600,0.001400,0.011000,0.000700,0.004000,0.001000,0.009000,0.021600,0.050000,0.003200,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,1,2,4,12,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,61,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1130,0.028250,4,0.004600,0.055100,16.5021,10500.1133,2595.2578,2590.6523,0,13095.7891,0,0,0,0,0,16.6667,0.2613,26.7703,0,0,0,0.003000,1,0,0,0,0,27384,64,0,0,0,0
,0.019300,0.004400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1092,0.008900,0.068300,0.007900,0.2501,0.018900,0.068600,0.065000,0,0,0.000800,0.002600,0.016700,0.2227,0.1407,0.096100,0.003000,0.059000,0.029000,0.091600,0.011500,0.000300,0.001700,0.061800,0.014700,0.023000,0.005100,0.022900,0.1963,0.036000,0.055500,0.002300,0.013600,0.001100,0.005800,0.001100,0.014000,0.030500,0.074900,0.004000,0.000100,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,1,2,4,12,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,61,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075300,0.018825,4,0.003900,0.033500,16.7314,10500.0586,2595.2617,2590.6523,0,13095.3750,0,0,0,0,0,16.6667,0.2964,26.4642,0,0,0,0.002100,1,0,0,0,0,0,0,0,0,0,0
,0.024900,0.003300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1036,0.017300,0.072000,0.018500,0.1992,0.019700,0.086600,0,0.012400,0,0.000700,0.003200,0.025300,0.2105,0.1719,0.067000,0.002200,0.057200,0.022000,0.083500,0.009300,0.000100,0.001700,0.047800,0.011800,0.017300,0.003900,0.019800,0.1483,0.029400,0.054800,0.001800,0.012100,0.000800,0.004700,0.000800,0.005700,0.019000,0.049800,0.003400,0.000100,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,1,2,4,12,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,61,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088400,0.022100,4,0.016000,0.031200,16.5110,10499.3359,2595.2617,2590.6523,0,13095.3203,0,0,0,0,0,16.6667,0.2820,26.4838,0,0,0,0,0,524,377,0,0.080700,0,0,0,0,0,0
,0.018400,0.003900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080600,0.008200,0.053600,0.006100,0.2364,0.015800,0.030000,0,0,0,0.000600,0.002600,0.015900,0.1746,0.1130,0.059900,0.002000,0.046400,0.021100,0.064000,0.009000,0.000300,0.001400,0.043400,0.010700,0.016500,0.004000,0.019900,0.1677,0.027000,0.050800,0.001400,0.011700,0.001000,0.004600,0.000900,0.010200,0.022900,0.050000,0.003000,0,0.026500,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,1,2,4,12,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,61,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084600,0.021150,4,0.018100,0.028900,16.4081,10499.1484,2595.2734,2590.6523,0,13094.6094,0,0,0,0,0,16.6667,0.3252,26.3690,334068,144788,1,0.002300,1,0,0,0,0,0,0,0,0,0,0
,0.017400,0.004000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1199,0.016400,0.070900,0.012000,0.2226,0.019700,0.1064,0.081100,0.1355,0,0.000700,0.004600,0.024100,0.2165,0.1343,0.075700,0.002900,0.062800,0.024500,0.1023,0.009600,0.000300,0.002200,0.053800,0.013800,0.021000,0.003900,0.024100,0.1767,0.025700,0.040000,0.001700,0.012400,0.000900,0.005900,0.001000,0.016000,0.034100,0.067000,0.004200,0.000100,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,1,2,4,12,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,61,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1647,0.041175,4,0.023000,0.057800,17.3018,10498.8633,2595.2734,2590.6523,0,13094.4219,0,0,0,0,0,16.6667,0.2608,25.8073,0,0,0,0.002200,1,0,0,0,0,0,0,0,0,0,0
,0.012600,0.003500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073800,0.008700,0.054300,0.006400,0.3051,0.018800,0.057000,0.060200,0,0,0.000600,0.002500,0.021500,0.2027,0.1364,0.077100,0.002700,0.058700,0.022400,0.053800,0.009000,0.000200,0.001400,0.045200,0.011900,0.018800,0.003400,0.022000,0.1715,0.028300,0.039600,0.001900,0.013700,0.000700,0.004400,0.000700,0.005700,0.019400,0.047500,0.003400,0.000100,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,1,2,4,12,1,1,1,1,1,1,1,2,4,4,1,1,7,7,1,6,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070100,0.017525,4,0.004100,0.026800,16.2639,10499.7070,2595.2734,2590.6523,0,13094.1367,0,0,0,0,0,16.6667,0.3028,25.5961,0,0,0,0,0,514,378,0,0.048900,0,0,1,0,0,0
