monotonic_seconds,send_ms,receive_ms,ack_ms,capture_ms,wire_read_ms,send_calls,receive_calls,ack_calls,capture_calls,wire_read_calls,decoded_samples,decode_failures,absolute_samples,delta_samples,payload_bytes,cache_bytes,peak_cache_bytes,sample_gap_count,sample_gap_ticks,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21
16822569.866985898,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,1019824,1019824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16822569.884598799,0.000000000,0.047005713,0.000000000,0.000000000,0.001497567,0,6,0,0,6,83,0,0,0,0,1022480,1022480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16822569.900668900,0.000000000,0.087108463,0.000000000,0.000000000,0.002902001,0,12,0,0,12,166,0,0,0,0,1025136,1025136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16822569.916880101,0.000000000,0.087108463,0.000000000,0.000000000,0.002902001,0,12,0,0,12,166,0,0,0,0,1025136,1025136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16822569.934064101,0.000000000,0.138811767,0.000000000,0.000000000,0.004403293,0,18,0,0,18,249,0,0,0,0,1026288,1026288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16822569.950578898,0.000000000,0.138811767,0.025499612,0.000000000,0.004403293,0,18,1,0,18,249,0,0,0,0,1026288,1026288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16822569.967296999,0.000000000,0.177711248,0.025499612,0.000000000,0.005505979,0,24,1,0,24,333,0,0,0,0,1028976,1028976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16822569.983821101,0.000000000,0.177711248,0.025499612,0.000000000,0.005505979,0,24,1,0,24,333,0,0,0,0,1028976,1028976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16822570.000231698,0.000000000,0.177711248,0.025499612,0.000000000,0.005505979,0,24,1,0,24,333,0,0,0,0,1028976,1028976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16822570.017526802,0.000000000,0.227816403,0.025499612,0.000000000,0.007811934,0,30,1,0,30,416,0,0,0,0,1030032,1030032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16822570.033794999,0.000000000,0.267811120,0.025499612,0.000000000,0.009112060,0,36,1,0,36,500,0,0,0,0,1032208,1032208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16822570.051279899,0.000000000,0.267811120,0.062599778,0.000000000,0.009112060,0,36,2,0,36,500,0,0,0,0,1032208,1032208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16822570.067520600,0.000000000,0.314712524,0.062599778,0.000000000,0.010713935,0,42,2,0,42,583,0,0,0,0,1034864,1034864,83,166,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16822570.083789598,0.000000000,0.314712524,0.062599778,0.000000000,0.010713935,0,42,2,0,42,583,0,0,0,0,1034864,1034864,83,166,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16822570.100716401,0.000000000,0.363014638,0.062599778,0.000000000,0.012412667,0,48,2,0,48,666,0,0,0,0,1034928,1034928,166,332,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16822570.116958302,0.000000000,0.363014638,0.062599778,0.000000000,0.012412667,0,48,2,0,48,666,0,0,0,0,1034928,1034928,166,332,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16822570.133958802,0.000000000,0.400107354,0.062599778,0.000000000,0.013813376,0,54,2,0,54,749,0,0,0,0,1035408,1035408,249,498,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16822570.150654100,0.000000000,0.400107354,0.091701746,0.000000000,0.013813376,0,54,3,0,54,749,0,0,0,0,1035408,1035408,249,498,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16822570.166891601,0.000000000,0.400107354,0.091701746,0.000000000,0.013813376,0,54,3,0,54,749,0,0,0,0,1035408,1035408,249,498,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16822570.184117898,0.000000000,0.444509089,0.091701746,0.000000000,0.015113503,0,60,3,0,60,833,0,0,0,0,1035792,1035792,333,666,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16822570.200367901,0.000000000,0.444509089,0.091701746,0.000000000,0.015113503,0,60,3,0,60,833,0,0,0,0,1035792,1035792,333,666,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
