EVENTS,Exclusive/GameThread/Input,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/Animation,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/Physics,Exclusive/GameThread/EventWait/EndPhysics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,Exclusive/GameThread/Tickables,Exclusive/GameThread/Landscape,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/UInstancedStaticMeshComponent_BatchUpdateInstancesTransforms,GuLiCommanderPresentation/GameThread/RebuildLocalInstances,MassEntities/GameThread/BatchedCommand,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/ViewportMisc,Exclusive/GameThread/UpdateLevelStreaming,Slate/GameThread/TickPlatform,Exclusive/GameThread/UI,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/HandleRPC,Exclusive/GameThread/Generic_RepNotifies,Exclusive/GameThread/LLM,Exclusive/GameThread/EventWait/PrePhysics,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,GuLiCommanderPresentation/InstanceAndMirrorCacheBytes,GuLiCommanderPresentation/RosterCacheBytes,MassEntitiesCounters/BatchedCommand,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/RawPing,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/ChaosDebugDrawComponent,Ticks/SkeletalMeshActor,Ticks/CameraComponent,Ticks/LineBatchComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/PhysicsFieldComponent,Ticks/GuLiCommanderHUD,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderPresentationActor,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/FNiagaraWorldManagerTickFunction,Ticks/ParticleSystemManager,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/Actor,ActorCount/SkeletalMeshActor,ActorCount/GuLiTerritoryOutpostActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,AnimationParallelEvaluation/TotalTaskTime,AnimationParallelEvaluation/AverageTaskTime,AnimationParallelEvaluation/NumberOfTasks,AnimationParallelEvaluation/MinTaskTime,AnimationParallelEvaluation/MaxTaskTime,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,RenderThreadTime,GameThreadTime,GPUTime,RenderThreadTime_CriticalPath,GameThreadTime_CriticalPath,MaxFrameTime,CPUUsage_Process,CPUUsage_Idle,Exclusive/AllWorkers/MassProcessorTask,Exclusive/RenderThread/RayTracingGeometryManager_Tick,RayTracingGeometry/ReferencedSizeMB,RayTracingGeometry/RequestedSizeMB,RayTracingGeometry/TotalResidentSizeMB,RayTracingGeometry/TotalAlwaysResidentSizeMB,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,RHI/DrawCalls,RHI/PrimitivesDrawn,Exclusive/AllWorkers/Physics,Scheduler/AllWorkers/SignalStandbyThread,Scheduler/Oversubscription,GuLiCommanderMiniMap/DataCacheBytes,GuLiCommanderHealthBars/DataCacheBytes,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Ticks/GuLiStrongholdNetworkPresentationComponent,Networking/GameThread/FastArray_Apply,Exclusive/GameThread/EventWait/StartPhysics,Exclusive/GameThread/EventWait,FMsgLogf/FMsgLogfCount
,0.010100,0.064000,0.009800,0.5485,0.022800,0.043300,0.001000,0.003600,0.018100,0.2707,0.1640,0.078400,0.001800,0.057400,0.027600,0.1250,0.010900,0.000200,0.001600,0.054800,0.011600,0.019700,0.003800,0.021300,0.1710,0.026900,0.028900,0.062700,0.001700,0.1852,0.001600,0.004200,0.001400,0.012600,0.027400,0.079700,0.014400,0,0,0,0,0,0,61,0,0,0,0,0,0,334692,144788,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,1,2,4,12,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,61,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1325,0.033125,4,0.019100,0.050300,7.6227,10521.1016,2581.2539,2552.7070,0,13103.7539,0,0,0,0,0,16.6667,0.000001,0.073210,0.027900,0.003700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1398,0.002100,1,0,0,0,0,0,0,0,0,0,0,0
,0.010100,0.085300,0.012200,0.3086,0.026600,0.1206,0.000900,0.004100,0.020700,0.3024,0.1340,0.068600,0.002400,0.071700,0.034500,0.1200,0.013400,0.000200,0.002900,0.078000,0.016500,0.031100,0.006900,0.030000,0.2404,0,0.041600,0.084900,0.002100,0.016800,0.000800,0.006100,0.001200,0.010200,0.030500,0.082700,0.004900,0.086900,0.1212,0.000100,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,1,2,4,12,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,61,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1507,0.037675,4,0.022400,0.056900,16.7060,10521.7148,2584.1133,2553.0898,0,13105.2148,0,0,0,0,0,16.6667,0.3029,26.6446,0.030300,0.005300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1373,0,1,0,0,0,0,0,0,0,0,0,0,0
,0.013300,0.067400,0.013900,0.2106,0.020800,0.1262,0.000900,0.004500,0.019000,0.2619,0.1640,0.067700,0.002200,0.057600,0.028900,0.1305,0.010900,0.000400,0.002200,0.052200,0.012800,0.021000,0.004500,0.027300,0.1516,0,0.033100,0.063100,0.005600,0.013300,0.000600,0.004600,0.001200,0.012300,0.026200,0.056300,0.003900,0,0,0,0.012000,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,1,2,4,12,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,61,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1376,0.034400,4,0.020600,0.050000,16.2136,10518.2109,2584.1172,2553.0898,0,13105.8320,0,0,0,0,0,16.6667,0.3031,27.7158,0.023100,0.003800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1458,0.001900,1,0,0,0,0,0,0,0,0,0,0,0
,0.010500,0.1024,0.009600,0.2064,0.021300,0.080300,0.000700,0.003000,0.017100,0.2667,0.1520,0.063500,0.002400,0.060900,0.033900,0.092500,0.011200,0.000200,0.002000,0.052400,0.012000,0.020100,0.004300,0.022900,0.1544,0,0.030600,0.068800,0.001700,0.012400,0.000700,0.004700,0.001100,0.013800,0.029300,0.058800,0.004000,0.095700,0,0.000100,0.009400,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,1,2,4,12,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,61,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1317,0.032925,4,0.020700,0.049100,16.6931,10519.9727,2584.1172,2553.0898,0,13102.3281,0,0,0,0,0,16.6667,0.3831,26.6247,0.026700,0.004300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1141,0.001900,1,0,0,72410,40385,0,1.4754,0,0,0,0,0
,0.013500,0.071800,0.014000,0.2126,0.027900,0.1132,0.001000,0.003600,0.021300,0.3407,0.2284,0.1000,0.003800,0.081800,0.036700,0.1100,0.012100,0.000200,0.057100,0.1372,0.014300,0.019600,0.004100,0.021500,0.1493,0,0.031500,0.061700,0.001600,0.013700,0.000900,0.004800,0.001200,0.007400,0.022800,0.057900,0.004000,0.088500,0,0.000100,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,1,2,4,12,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,61,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1870,0.046750,4,0.025700,0.074200,17.0514,10519.7500,2584.5781,2553.0898,0,13104.5508,0,0,0,0,0,16.6667,0.3288,27.1082,0.032600,0.003900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1698,0.002500,1,27384,64,0,0,0,0,0,0,0,0,0
,0.009800,0.066500,0.009400,0.2076,0.021500,0.080800,0.000600,0.003400,0.016700,0.2708,0.1078,0.062800,0.002100,0.058300,0.034300,0.1069,0.012200,0.000300,0.001900,0.054300,0.012400,0.020900,0.004200,0.020400,0.1463,0,0.029400,0.054000,0.001800,0.012100,0.000800,0.004500,0.001000,0.012600,0.026900,0.057000,0.003700,0,0.1025,0.000100,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,1,2,4,12,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,61,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1292,0.032300,4,0.020200,0.047300,16.1813,10519.4336,2584.5781,2553.0898,0,13104.3281,0,0,0,0,0,16.6667,0.3033,28.1517,0.022700,0.003800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1287,0.001900,1,0,0,0,0,0,0,0,0,0,0,0
,0.012600,0.096000,0.012600,0.3160,0.026300,0.1028,0.000900,0.003900,0.020500,0.3086,0.2096,0.075000,0.002800,0.068100,0.036500,0.1590,0.013900,0.000400,0.002400,0.079400,0.013400,0.028600,0.006400,0.025800,0.2176,0.028200,0.035500,0.082300,0.002300,0.018000,0.000900,0.007100,0.001200,0.016700,0.036100,0.079500,0.005900,0.018800,0,0.000100,0.009900,0,0,61,0,0,0,0,0,0,334692,144788,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,1,2,4,12,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,61,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1617,0.040425,4,0.023200,0.060400,17.1374,10524.3945,2584.5781,2553.0898,0,13104.0117,0,0,0,0,0,16.6667,0.3394,27.4825,0.033000,0.005700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1771,0.001700,1,0,0,526,378,0,0.094700,0,0,0,0,0
,0.010900,0.063000,0.010200,0.2026,0.021200,0.080800,0.000800,0.003000,0.017600,0.2605,0.1655,0.062500,0.002400,0.062900,0.030200,0.1109,0.011500,0.000200,0.001700,0.048900,0.011400,0.020000,0.004500,0.020500,0.1502,0,0.028400,0.063400,0.001700,0.010600,0.000700,0.004300,0.001000,0.006800,0.020800,0.055000,0.004000,0.074000,0,0.000100,0.025100,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,1,2,4,12,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1756,0.043900,4,0.033700,0.050700,16.2436,10520.4453,2584.5859,2553.2148,0,13108.9805,0,0,0,0,0,16.6667,0.2689,27.4174,0.023200,0.003800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1251,0.002100,1,0,0,0,0,0,0,1,0,0,0,0
,0.009800,0.063300,0.009300,0.2076,0.020700,0.070200,0.000900,0.003400,0.016900,0.2472,0.1527,0.060100,0.002100,0.057300,0.028200,0.1197,0.009800,0.000200,0.001700,0.055100,0.012600,0.019200,0.004400,0.020800,0.1449,0,0.032200,0.061900,0.002100,0.014600,0.000700,0.004500,0.000900,0.012000,0.027200,0.070800,0.003800,0,0.012500,0,0.011700,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,1,2,4,12,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,61,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1299,0.032475,4,0.019600,0.048600,16.5745,10516.7539,2584.5859,2553.2148,0,13105.0312,0,0,0,0,0,16.6667,0.3011,28.2079,0.022800,0.003700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1361,0.001800,1,0,0,0,0,0,0,0,0,0,0,0
,0.014300,0.080300,0.016200,0.2096,0.025000,0.1825,0.001200,0.003600,0.019900,0.2776,0.085700,0.071700,0.001800,0.069800,0.036800,0.1096,0.012500,0.000200,0.002200,0.051200,0.012400,0.020700,0.004000,0.020700,0.1555,0,0.027500,0.063200,0.001700,0.011300,0.000600,0.004500,0.001100,0.012700,0.026200,0.056400,0.004000,0.1263,0.4952,0,0.009800,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,2,2,4,12,1,1,1,1,1,1,1,2,4,4,1,1,7,7,6,1,1,62,6,6,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1310,0.032750,4,0.021100,0.049700,17.4223,10518.1250,2584.5859,2553.2148,0,13101.3398,0,0,0,0,0,16.6667,0.2998,27.5435,0.031300,0.003900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1283,0,1,0,0,522,380,0,0.066100,0,0,0,0,0
