seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.016668,16.66820,0,0.00000,0.00000,500,500,300,0,0,19945,3058,35.021
0.033394,16.72580,0,0.00000,0.00000,500,500,300,0,0,19945,3058,1.732
0.049622,16.22840,0,0.00000,0.00000,500,500,300,0,0,19945,3058,17.961
0.066315,16.69290,0,0.00000,0.00000,500,500,300,0,0,19945,3058,1.296
0.083367,17.05200,0,0.00000,0.00000,500,500,300,0,0,19945,3058,1.671
0.099549,16.18140,0,0.00000,0.00000,500,500,300,0,0,19945,3058,17.853
0.116667,17.11800,0,0.00000,0.00000,500,500,300,0,0,19945,3058,34.971
0.132931,16.26480,0,0.00000,0.00000,500,500,300,0,0,19945,3058,1.302
0.149502,16.57070,0,0.00000,0.00000,500,500,300,0,0,19945,3058,17.872
0.166930,17.42740,0,0.00000,0.00000,500,500,300,0,0,19945,3058,1.824
0.183415,16.48540,0,0.00000,0.00000,500,500,300,0,0,19945,3058,1.746
0.199777,16.36240,0,0.00000,0.00000,500,500,300,0,0,19945,3058,18.108
0.216317,16.53960,0,0.00000,0.00000,500,500,300,0,0,19945,3058,1.328
0.232772,16.45550,0,0.00000,0.00000,500,500,300,0,0,19945,3058,17.784
0.249800,17.02710,0,0.00000,0.00000,500,500,300,0,0,19945,3058,34.811
0.266139,16.33980,0,0.00000,0.00000,500,500,300,0,0,19945,3058,1.186
0.283466,17.32670,0,0.00000,0.00000,500,500,300,0,0,19945,3058,1.828
0.299490,16.02350,0,0.00000,0.00000,500,500,300,0,0,19945,3058,17.851
0.316276,16.78660,0,0.00000,0.00000,500,500,300,0,0,19945,3058,1.328
0.333165,16.88880,0,0.00000,0.00000,500,500,300,0,0,19945,3058,18.217
0.349513,16.34840,0,0.00000,0.00000,500,500,300,0,0,19945,3058,1.230
0.366396,16.88260,0,0.00000,0.00000,500,500,300,0,0,19945,3058,18.112
0.383672,17.27620,0,0.00000,0.00000,500,500,300,0,0,19945,3058,1.993
0.399423,15.75050,0,0.00000,0.00000,500,500,300,0,0,19945,3058,17.744
0.416854,17.43110,0,0.00000,0.00000,500,500,300,0,0,19945,3058,35.175
0.432802,15.94820,0,0.00000,0.00000,500,500,300,0,0,19945,3058,1.194
0.449709,16.90710,0,0.00000,0.00000,500,500,300,0,0,19945,3058,18.101
0.466216,16.50700,0,0.00000,0.00000,500,500,300,0,0,19945,3058,1.203
