EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/HandleRPC,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,GuLiCommanderPoseDispatch/AttemptedChunks,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,RHI/DrawCalls,RHI/PrimitivesDrawn,Ticks/GuLiCombatEffectReplicationComponent,Exclusive/GameThread/Pathfinding,FMsgLogf/FMsgLogfCount,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,GuLiCommanderAuthority/GameThread/FixedStep,Exclusive/GameThread/EventWait/PrePhysics,Ticks/GuLiBuildingShieldComponent,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,PackageMap/NetGuidExports,Exclusive/GameThread/EventWait
,0.3838,0.035600,0.006300,0.060000,0.006400,0.041300,0.001600,0.004400,0.3513,0.3634,0.000700,0.003900,0.019700,0.5554,0.095800,0.006900,0.073100,0.002000,0.091100,0.004900,0.000200,0.001300,0.051200,0.2003,0.001100,0.000600,0.001000,0.006700,0.057400,0.2578,0.044800,0.000600,0.016900,0.001300,0.000500,0.086700,0.012600,0.000200,0,0,0,5.8326,0,0,61,0,0,12,0,0,0,0,2,2,1,2,50,2,100,0,8,1,1,0,1,13,0,12,1,0,3,2,0,0,0,0,0,0,0,0.067506,0,22.5000,0,0,0.1879,0.2554,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6378,10484.1953,5625,6401.3984,0,16109.1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.065700,0.046400,0.007500,0.065500,0.008900,0.059100,0.001300,0.004100,0.3781,0.3902,0.000800,0.005900,0.023100,0.2344,0.098400,0.007300,0.080400,0.002100,0.088600,0.007300,0.001800,0.054000,0.1593,0.2773,0.001300,0.001200,0.002300,0.010500,0.085900,0.3564,0.067300,0.000700,0.015000,0.001500,0.000700,0.060800,0.007400,0.000100,0.024400,0,0,0,0,0,62,0,0,0,0,0,0,0,2,2,1,1,50,2,99,0,9,1,1,0,3,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0.1087,0,25.5000,0,0,0.2447,0.3534,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9189,10484.2773,5625,6401.3984,0,16109.2773,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.3703,0.035400,0.006200,0.046100,0.006100,0.062300,0.001100,0.004300,0.3467,0.3592,0.000700,0.003700,0.019300,0.3925,0.087800,0.006700,0.064800,0.001800,0.090600,0.004100,0.000400,0.001300,0.092100,0.1603,0.001000,0.000700,0.001000,0.007500,0.027100,0.2287,0.045400,0.000500,0.010100,0.000700,0.000500,0.053600,0.006400,0.000100,0.024000,0,0,0,0,0,61,0,0,12,0,0,0,0,2,2,1,1,49,3,97,0,7,1,1,0,0,13,0,13,0,0,2,2,0,0,0,0,0,0,0,0.068691,0,27,0,0,0.1576,0.2263,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1730,10484.3164,5625,6401.3984,0,16109.3164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.059800,0.079000,0.005600,0.050800,0.006800,0.036900,0.001300,0.004600,0.3326,0.3440,0.000800,0.003900,0.018100,0.1976,0.090200,0.007100,0.073800,0.001800,0.066400,0.004100,0.000400,0.001300,0.5585,0.5743,0.000800,0.000600,0.001600,0.009100,0.078500,0.2634,0.049600,0.000500,0.011100,0.000700,0.000700,0.066300,0.007300,0.000200,0,0,0,0,0,0,61,0,0,0,0,0,0,0,2,2,1,1,49,3,97,0,7,1,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0.073414,0,20.5000,0,0,0.1871,0.2605,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1990,10483.8789,5625.5859,6401.3984,0,16109.4648,0,0,0,0.067100,0,80433,40350,0,1.0268,0,0,0,0,0,0,0,0
,0.3787,0.047700,0.018400,0.061900,0.008900,0.058800,0.002500,0.006000,0.3806,0.3960,0.000800,0.003400,0.021500,0.4382,0.1117,0.007700,0.078500,0.002000,0.099400,0.005000,0.000400,0.001400,0.044800,0.1419,0.000700,0.000600,0.001200,0.006800,0.025800,0.2958,0.049300,0.000700,0.010400,0.000600,0.000500,0.069700,0.006400,0.000100,0,0,0,0,0,0,62,0,0,12,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,0,12,0,12,0,0,2,2,0,0,0,0,0,0,0,0.076190,0,30.5000,0,0,0.2173,0.2935,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5140,10483.9023,5625.5859,6401.3984,0,16109.4883,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.065700,0.041200,0.005800,0.074700,0.008300,0.039100,0.001300,0.003900,0.3331,0.3444,0.000700,0.003700,0.020100,0.1898,0.088400,0.006900,0.066400,0.001700,0.068700,0.004300,0.000400,0.001300,1.6326,1.7185,0.000900,0.000700,0.002000,0.011500,0.034800,0.2448,0.063700,0.001100,0.012600,0.000900,0.001000,0.3421,0.009600,0.000100,0,0,0,0,0,0,61,0,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.077296,0,19,0,0,0.1645,0.2418,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6501,10487.0664,5625.5859,6401.3984,0,16112.6523,0,0,0,0,1,393,243,0,0.085900,1.5302,0,0,0,0,0,0,0
,0.5034,0.045700,0.010400,0.067200,0.009600,0.048200,0.001800,0.004700,0.3599,0.3739,0.001000,0.005500,0.023400,0.5974,0.1295,0.008400,0.092100,0.001800,0.1147,0.005900,0.000600,0.001800,0.1222,0.2815,0.000900,0.000500,0.002400,0.009900,0.028000,0.4942,0.1457,0.000600,0.011100,0.000800,0.000800,0.054000,0.007800,0.000100,0,0,0,0,0,0,61,0,0,12,0,0,0,0,2,2,1,1,48,4,96,0,6,6,8,0,2,1012,0,12,0,0,2,12,0,0,0,0,0,0,0,0.086602,0,30,8.5830,0,0.5366,0.6232,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9889,10483.9023,5625.5859,6401.3984,0,16109.4883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.062800,0.043600,0.008400,0.061100,0.008900,0.065100,0.001300,0.004200,0.3410,0.3529,0.000800,0.004900,0.019600,0.2558,0.1224,0.009200,0.095300,0.002300,0.1046,0.006300,0.000500,0.045700,0.5357,0.5627,0.000900,0.000800,0.001600,0.009600,0.030500,0.1953,0.056500,0.000600,0.012200,0.000700,0.000900,0.061800,0.007600,0.000100,0.027400,0,0,0,0,0,62,0,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,0,1,0,1,1,0,2,2,0,0,0,0,0,0,0,0.063311,0,20,0,0,0.1294,0.1927,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9392,10484.2422,5625.5859,6401.3984,0,16109.8281,0,0,1,0.066900,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.3954,0.043000,0.006300,0.058000,0.010700,0.039900,0.001300,0.004000,0.3455,0.3577,0.001000,0.004500,0.022600,0.3407,0.1017,0.007100,0.079000,0.001900,0.1180,0.007300,0.000400,0.001900,0.099100,0.4777,0.001400,0.000900,0.002000,0.011200,0.032700,0.4157,0.063600,0.000800,0.012900,0.000900,0.001100,0.073000,0.009000,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,14,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.099119,0,33,0,0,0.3126,0.4117,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0033,10484.5898,5625.5859,6401.3984,0,16110.1758,0,0,0,0,0,452,335,0,0.061000,0,0.058200,0,0,0,0,0,0
,0.063000,0.042400,0.008000,0.052300,0.008400,0.064000,0.001500,0.003900,0.4014,0.4340,0.000600,0.004300,0.019200,0.4055,0.1051,0.008700,0.082400,0.001900,0.074300,0.004500,0.000400,0.001500,0.089100,0.1601,0.000700,0.000400,0.001300,0.006900,0.026400,0.2311,0.040600,0.000600,0.011500,0.000900,0.000600,0.061200,0.005700,0.000100,0.028300,0,0,0,0,0,61,0,0,12,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,0,13,0,13,0,0,2,2,0,0,0,0,0,0,0,0.097010,0,18,0,0,0.1313,0.2283,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3854,10483.9258,5625.5859,6401.3984,0,16109.5117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
