seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.017546,17.54620,0,0.00000,0.00000,500,500,299,0,0,19880,3096,1.709
0.033370,15.82360,0,0.00000,0.00000,500,500,299,0,0,19880,3096,17.533
0.050321,16.95100,0,0.00000,0.00000,500,500,299,0,0,19880,3096,1.112
0.066786,16.46480,0,0.00000,0.00000,500,500,299,0,0,20792,3109,17.577
0.083593,16.80790,0,0.00000,0.00000,500,500,299,0,0,20792,3109,34.385
0.100229,16.63510,0,0.00000,0.00000,500,500,299,0,0,20792,3109,1.032
0.117408,17.17900,0,0.00000,0.00000,500,500,299,0,0,20792,3109,18.211
0.133778,16.37090,0,0.00000,0.00000,500,500,299,0,0,20792,3109,34.582
0.151060,17.28140,0,0.00000,0.00000,500,500,299,0,0,20792,3109,1.749
0.168170,17.11040,0,0.00000,0.00000,500,500,299,0,0,20792,3109,18.860
0.184624,16.45410,0,0.00000,0.00000,500,500,299,0,0,20792,3109,2.027
0.200296,15.67130,0,0.00000,0.00000,500,500,299,0,0,20792,3109,1.070
0.216830,16.53470,0,0.00000,0.00000,500,500,299,0,0,20792,3109,17.605
0.233353,16.52270,0,0.00000,0.00000,500,500,299,0,0,20792,3109,0.845
0.249982,16.62900,0,0.00000,0.00000,500,500,299,0,0,20792,3109,17.474
0.266775,16.79300,0,0.00000,0.00000,500,500,299,0,0,20792,3109,0.925
0.283554,16.77930,0,0.00000,0.00000,500,500,299,0,0,20792,3109,17.705
0.300634,17.07950,0,0.00000,0.00000,500,500,299,0,0,20792,3109,1.362
0.317119,16.48490,0,0.00000,0.00000,500,500,299,0,0,20792,3109,17.847
0.333997,16.87800,0,0.00000,0.00000,500,500,299,0,0,20792,3109,1.378
0.350956,16.95880,0,0.00000,0.00000,500,500,299,0,0,20792,3109,18.337
0.368036,17.08090,0,0.00000,0.00000,500,500,299,0,0,20792,3109,35.417
0.384571,16.53420,0,0.00000,0.00000,500,500,299,0,0,20792,3109,1.504
0.401041,16.47010,0,0.00000,0.00000,500,500,299,0,0,20792,3109,1.728
0.416761,15.72020,0,0.00000,0.00000,500,500,299,0,0,20792,3109,17.448
0.433464,16.70320,0,0.00000,0.00000,500,500,299,0,0,20792,3109,0.953
0.450122,16.65820,0,0.00000,0.00000,500,500,299,0,0,20792,3109,17.611
0.466747,16.62440,0,0.00000,0.00000,500,500,299,0,0,20792,3109,0.903
0.483387,16.64010,0,0.00000,0.00000,500,500,299,0,0,20792,3109,0.865
0.499977,16.59020,0,0.00000,0.00000,500,500,299,0,0,20792,3109,17.455
0.516806,16.82900,0,0.00000,0.00000,500,500,299,0,0,20792,3109,34.284
0.533436,16.62970,0,0.00000,0.00000,500,500,500,0,0,20792,3109,0.932
0.549915,16.47930,0,0.00000,0.00000,500,500,500,0,0,20792,3109,17.412
0.566708,16.79280,0,0.00000,0.00000,500,500,500,0,0,20792,3109,0.869
0.583303,16.59520,0,0.00000,0.00000,500,500,500,0,0,20792,3109,0.799
0.599856,16.55330,0,0.00000,0.00000,500,500,500,0,0,20792,3109,17.353
0.616746,16.88980,0,0.00000,0.00000,500,500,500,0,0,20792,3109,34.242
