monotonic_seconds,send_ms,receive_ms,ack_ms,capture_ms,wire_read_ms,send_calls,receive_calls,ack_calls,capture_calls,wire_read_calls,decoded_samples,decode_failures,absolute_samples,delta_samples,payload_bytes,cache_bytes,peak_cache_bytes,sample_gap_count,sample_gap_ticks,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21
16794351.794484101,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,986192,986192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794351.812030300,0.000000000,0.018801540,0.000000000,0.000000000,0.000998378,0,6,0,0,6,84,0,0,0,0,986608,986608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794351.827853899,0.000000000,0.018801540,0.000000000,0.000000000,0.000998378,0,6,0,0,6,84,0,0,0,0,986608,986608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794351.844804902,0.000000000,0.046398491,0.000000000,0.000000000,0.002503395,0,12,0,0,12,167,0,0,0,0,987088,987088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794351.861269701,0.000000000,0.046398491,0.000000000,0.000000000,0.002503395,0,12,0,0,12,167,0,0,0,0,987088,987088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794351.878077600,0.000000000,0.046398491,0.000000000,0.000000000,0.002503395,0,12,0,0,12,167,0,0,0,0,987088,987088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794351.894712701,0.000000000,0.069599599,0.019200146,0.000000000,0.003907830,0,18,1,0,18,251,0,0,0,0,987504,987504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794351.911891699,0.000000000,0.069599599,0.019200146,0.000000000,0.003907830,0,18,1,0,18,251,0,0,0,0,987504,987504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794351.928262599,0.000000000,0.069599599,0.019200146,0.000000000,0.003907830,0,18,1,0,18,251,0,0,0,0,987504,987504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794351.945544001,0.000000000,0.108297914,0.019200146,0.000000000,0.006310642,0,24,1,0,24,334,0,0,0,0,987952,987952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794351.962654401,0.000000000,0.108297914,0.019200146,0.000000000,0.006310642,0,24,1,0,24,334,0,0,0,0,987952,987952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794351.979108501,0.000000000,0.132296234,0.052899122,0.000000000,0.008013099,0,30,2,0,30,417,0,0,0,0,988400,988400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794351.994779799,0.000000000,0.153098255,0.052899122,0.000000000,0.009607524,0,36,2,0,36,500,0,0,0,0,988912,988912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.011314500,0.000000000,0.153098255,0.052899122,0.000000000,0.009607524,0,36,2,0,36,500,0,0,0,0,988912,988912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.027837198,0.000000000,0.175990164,0.052899122,0.000000000,0.010807067,0,42,2,0,42,584,0,0,0,0,989360,989360,84,168,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.044466201,0.000000000,0.175990164,0.052899122,0.000000000,0.010807067,0,42,2,0,42,584,0,0,0,0,989360,989360,84,168,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.061259199,0.000000000,0.197693706,0.052899122,0.000000000,0.012293458,0,48,2,0,48,667,0,0,0,0,989840,989840,167,334,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.078038499,0.000000000,0.197693706,0.052899122,0.000000000,0.012293458,0,48,2,0,48,667,0,0,0,0,989840,989840,167,334,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.095118001,0.000000000,0.225193799,0.112697482,0.000000000,0.014089048,0,54,3,0,54,751,0,0,0,0,990288,990288,251,502,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.111602899,0.000000000,0.225193799,0.112697482,0.000000000,0.014089048,0,54,3,0,54,751,0,0,0,0,990288,990288,251,502,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.128480900,0.000000000,0.256691128,0.112697482,0.000000000,0.016491860,0,60,3,0,60,834,0,0,0,0,990736,990736,334,668,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.145439699,0.000000000,0.256691128,0.112697482,0.000000000,0.016491860,0,60,3,0,60,834,0,0,0,0,990736,990736,334,668,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.162520599,0.000000000,0.256691128,0.112697482,0.000000000,0.016491860,0,60,3,0,60,834,0,0,0,0,990736,990736,334,668,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.179054800,0.000000000,0.293996185,0.142898411,0.000000000,0.018794090,0,66,4,0,66,917,0,0,0,0,991184,991184,417,834,0,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.195524901,0.000000000,0.329289585,0.142898411,0.000000000,0.021189451,0,72,4,0,72,1000,0,0,0,0,991696,991696,500,1000,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.211245101,0.000000000,0.329289585,0.142898411,0.000000000,0.021189451,0,72,4,0,72,1000,0,0,0,0,991696,991696,500,1000,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.227948301,0.000000000,0.345788896,0.142898411,0.000000000,0.022392720,0,78,4,0,78,1084,0,0,0,0,994384,994384,584,1168,0,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.244606499,0.000000000,0.345788896,0.142898411,0.000000000,0.022392720,0,78,4,0,78,1084,0,0,0,0,994384,994384,584,1168,0,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.261230901,0.000000000,0.363092870,0.142898411,0.000000000,0.023398548,0,84,4,0,84,1167,0,0,0,0,997040,997040,667,1334,0,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.277871002,0.000000000,0.378392637,0.142898411,0.000000000,0.024694949,0,90,4,0,90,1251,0,0,0,0,999728,999728,751,1502,0,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.294461198,0.000000000,0.378392637,0.166099519,0.000000000,0.024694949,0,90,5,0,90,1251,0,0,0,0,999728,999728,751,1502,0,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.311290201,0.000000000,0.378392637,0.166099519,0.000000000,0.024694949,0,90,5,0,90,1251,0,0,0,0,999728,999728,751,1502,0,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.327919900,0.000000000,0.393692404,0.166099519,0.000000000,0.025793910,0,96,5,0,96,1334,0,0,0,0,1002384,1002384,834,1668,0,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.344399199,0.000000000,0.393692404,0.166099519,0.000000000,0.025793910,0,96,5,0,96,1334,0,0,0,0,1002384,1002384,834,1668,0,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.361191999,0.000000000,0.409197062,0.166099519,0.000000000,0.026896596,0,102,5,0,102,1417,0,0,0,0,1005040,1005040,917,1834,0,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.377787199,0.000000000,0.423196703,0.166099519,0.000000000,0.028099865,0,108,5,0,108,1500,0,0,0,0,1007696,1007696,1000,2000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.394340500,0.000000000,0.423196703,0.187300146,0.000000000,0.028099865,0,108,6,0,108,1500,0,0,0,0,1007696,1007696,1000,2000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.411230300,0.000000000,0.423196703,0.187300146,0.000000000,0.028099865,0,108,6,0,108,1500,0,0,0,0,1007696,1007696,1000,2000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794352.427778199,0.000000000,0.442199409,0.187300146,0.000000000,0.029195100,0,114,6,0,114,1584,0,0,0,0,1010384,1010384,1084,2168,0,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
