"Seconds","QpcSeconds","Role","Pid","CpuCoreEquivalents","WorkingSetMiB","PrivateMiB"
"0.0007657","17116.4306709","server","4020","0","5625.86328125","6409.12890625"
"0.0007657","17116.4306709","client1","38776","0","61.15625","51.296875"
"0.0007657","17116.4306709","client2","35320","0","61.52734375","51.36328125"
"1.046518","17117.475679","server","4020","0.11953117387358364","5626.0078125","6409.12890625"
"1.046518","17117.475679","client1","38776","1.060839168128055","696.46875","677.28125"
"1.046518","17117.475679","client2","35320","1.2102531354700343","673.359375","674.73828125"
"2.0736804","17118.5028837","server","4020","0.28902440354125114","5626.1328125","6409.12890625"
"2.0736804","17118.5028837","client1","38776","0.015211810712697428","672.57421875","678.9140625"
"2.0736804","17118.5028837","client2","35320","0","673.72265625","675.98828125"
"3.1268376","17119.5559766","server","4020","0.28189049080232276","5626.3203125","6409.12890625"
"3.1268376","17119.5559766","client1","38776","0.029672683242349764","672.78125","678.9296875"
"3.1268376","17119.5559766","client2","35320","1.5726522118445376","779.4453125","775.6796875"
"4.1435698","17120.5727151","server","4020","0.13831075675581042","5626.3828125","6409.12890625"
"4.1435698","17120.5727151","client1","38776","1.874879147134319","779.62890625","785.203125"
"4.1435698","17120.5727151","client2","35320","4.195426288259583","1130.58203125","1055.16015625"
"5.1733644","17121.6025022","server","4020","0.1365563579377868","5626.5703125","6409.12890625"
"5.1733644","17121.6025022","client1","38776","3.990480237515326","1312.859375","1079.296875"
"5.1733644","17121.6025022","client2","35320","0.8648569336059831","1336.6484375","1311.8828125"
"6.199055","17122.6281739","server","4020","0.13710274813866874","5626.69921875","6409.12890625"
"6.199055","17122.6281739","client1","38776","1.09682198510935","1441.328125","1420.015625"
"6.199055","17122.6281739","client2","35320","2.041307583397957","1727.1953125","1681.78125"
"7.2168166","17123.6459352","server","4020","0.12281854611138797","5627.51171875","6409.12890625"
"7.2168166","17123.6459352","client1","38776","1.3510040072252676","1754.60546875","1741.0234375"
"7.2168166","17123.6459352","client2","35320","0.8136728679879452","1858.27734375","1820.7421875"
"9.0189512","17125.4480707","server","4020","0.10404328289351972","5628.9453125","6409.12890625"
"9.0189512","17125.4480707","client1","38776","1.2138383004243967","2453.4296875","2460.91015625"
"9.0189512","17125.4480707","client2","35320","1.109795017530877","2606.00390625","2601.8828125"
"11.3330356","17127.7622694","server","4020","0.12829048067564","5628.546875","6408.25390625"
"11.3330356","17127.7622694","client1","38776","0.28358948359878317","2565.19921875","2568.08984375"
"11.3330356","17127.7622694","client2","35320","0.12829048067564","2611.07421875","2598.46875"
"13.3791156","17129.8082353","server","4020","0.25964282921488896","5630.84765625","6408.62890625"
"13.3791156","17129.8082353","client1","38776","0.23673316781357523","2566.546875","2568.58984375"
"13.3791156","17129.8082353","client2","35320","0.2672793830153269","2612.70703125","2602.2265625"
"14.4128617","17130.8419787","server","4020","0.226723950881169","5631.1640625","6408.62890625"
"14.4128617","17130.8419787","client1","38776","0.21160902082242442","2567.4765625","2568.58984375"
"14.4128617","17130.8419787","client2","35320","0.302298601174892","2614.60546875","2602.2265625"
"15.4403602","17131.8694792","server","4020","0.1824820182219244","5592.8828125","6368.62890625"
"15.4403602","17131.8694792","client1","38776","0.25851619248105956","2568.04296875","2568.58984375"
"15.4403602","17131.8694792","client2","35320","0.2889298621847136","2615.046875","2602.2265625"
"16.4696936","17132.8988131","server","4020","0.12143781596905336","5564.66015625","6336.62890625"
"16.4696936","17132.8988131","client1","38776","0.19733645094971172","2568.359375","2568.71484375"
"16.4696936","17132.8988131","client2","35320","0.2580553589342384","2615.49609375","2602.3515625"
"17.4961629","17133.9252871","server","4020","0.2739974785412481","5564.921875","6336.62890625"
"17.4961629","17133.9252871","client1","38776","0.21310914997652633","2568.79296875","2568.71484375"
"17.4961629","17133.9252871","client2","35320","0.304441642823609","2616.046875","2602.3515625"
"18.5187653","17134.9478806","server","4020","0.15279643388280723","5565.359375","6336.90625"
"18.5187653","17134.9478806","client1","38776","0.16807607727108795","2568.9921875","2568.71484375"
"18.5187653","17134.9478806","client2","35320","0.29031322437733376","2616.25390625","2602.3515625"
"19.5464157","17135.975582","server","4020","0.1520458708525779","5565.50390625","6336.90625"
"19.5464157","17135.975582","client1","38776","0.21286421919360904","2569.2109375","2568.71484375"
"19.5464157","17135.975582","client2","35320","0.288887154619898","2620.1015625","2602.890625"
"20.5744257","17137.003568","server","4020","0.3343839067713349","5565.671875","6336.86328125"
"20.5744257","17137.003568","client1","38776","0.2887861013025165","2572.80859375","2569.2734375"
"20.5744257","17137.003568","client2","35320","0.3039853697921226","2620.26171875","2602.890625"
