EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/HandleRPC,Exclusive/GameThread/Pathfinding,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,GuLiCommanderPoseDispatch/AttemptedChunks,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,RHI/DrawCalls,RHI/PrimitivesDrawn,Ticks/GuLiCombatEffectReplicationComponent,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Exclusive/GameThread/EventWait/PrePhysics,Ticks/GuLiBuildingShieldComponent,Ticks/GameplayDebuggerPlayerManager
,0.059400,0.026100,0.004400,0.074700,0.004900,0.032700,0.001100,0.004000,0.3273,0.3377,0.000400,0.002400,0.014900,0.4787,0.093700,0.067300,0.006300,0.001200,0.062000,0.004000,0.000200,0.000900,0.045600,0.099600,0.000600,0.000400,0.000700,0.005600,0.018900,0.1801,0.040800,0.000500,0.014800,0.001200,0.000600,0.079300,0.012200,0.000100,0,0,0,0,4.1097,0,0,61,0,0,12,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,0,12,0,12,0,0,2,2,0,0,0,0,0,0,0,0.051994,0,23.5000,0,0,0.1265,0.1785,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5513,8222.7266,5566.8789,6336.9727,0,13789.6055,0,0,0,0,0,0,0,0,0,0,0,0
,0.3588,0.023500,0.004700,0.030800,0.004500,0.039900,0.000700,0.002800,0.2967,0.3052,0.000500,0.002200,0.011200,0.3673,0.094100,0.070100,0.006500,0.001100,0.1064,0.005500,0.000200,0.025900,0.1044,0.1631,0.000400,0.000400,0.001000,0.006700,0.020700,0.2385,0.042600,0.000500,0.007800,0.000700,0.000500,0.059000,0.005300,0.000100,0.026400,0.039900,0,0,0,0,0,62,0,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,9,8,0,2,1,0,2,2,0,0,0,0,0,0,0,0.056207,0,25.5000,0,0,0.1805,0.2367,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1373,8222.5625,5566.8789,6336.9727,0,13789.4414,0,0,1,0,0,0,0,0,0,0,0,0
,0.076100,0.045200,0.010100,0.059000,0.008900,0.056500,0.001700,0.004100,0.3624,0.3755,0.001000,0.004100,0.035800,0.3706,0.1498,0.097400,0.007600,0.001900,0.1154,0.008900,0.000600,0.001900,0.087100,0.1821,0.000500,0.000600,0.001700,0.008200,0.035600,0.2771,0.077500,0.000700,0.011500,0.000700,0.001000,0.063500,0.008700,0,0,0.034900,0,0,0,0,0,61,0,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.075482,0,28,0,0,0.1975,0.2730,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4318,8222.5312,5566.8789,6336.9727,0,13789.4102,0,0,0,0,0,0,0,0,0,0,0,0
,0.3953,0.094600,0.010200,0.057300,0.008300,0.053400,0.001600,0.004600,0.3719,0.3858,0.001100,0.004100,0.021800,0.4249,0.1346,0.1554,0.007300,0.002200,0.1949,0.010300,0.000700,0.001800,0.5249,0.5548,0.000700,0.000500,0.001100,0.008500,0.027300,0.1608,0.074700,0.000700,0.009600,0.000700,0.000800,0.055300,0.007700,0.000100,0,0.054100,0,0,0,0,0,61,0,0,12,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,0,12,0,12,0,0,2,2,0,0,0,0,0,0,0,0.047885,0,18,0,0,0.1107,0.1586,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0054,8225.3633,5566.8984,6336.9727,0,13792.2617,0,0,0,0,0,80467,40338,0,0.9508,0,0,0
,0.059500,0.031400,0.005000,0.032900,0.004800,0.028100,0.000900,0.003000,0.3411,0.3500,0.000300,0.002300,0.012500,0.1625,0.089400,0.1150,0.006200,0.001100,0.1035,0.006300,0.000200,0.000900,0.043200,0.1075,0.000500,0.000400,0.000900,0.006800,0.020800,0.2587,0.040800,0.000400,0.007500,0.000700,0.000500,0.043600,0.005500,0.000100,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.068005,0,27,0,0,0.1882,0.2562,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0192,8225.3633,5566.8984,6336.9727,0,13792.2617,0,0,1,0,0,0,0,0,0,0,0,0
,0.3686,0.023600,0.003900,0.040000,0.003900,0.022400,0.000600,0.002300,0.3403,0.3478,0.000300,0.001700,0.011200,0.2505,0.075500,0.099400,0.005600,0.001200,0.1071,0.005500,0.000300,0.000600,1.5712,1.6263,0.000600,0.000500,0.001000,0.006000,0.018700,0.2159,0.038300,0.000500,0.007000,0.000700,0.000600,0.2467,0.005000,0.000100,0,0,0,0,0,0,0,61,0,0,12,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,2,12,0,12,0,0,2,2,0,0,0,0,0,0,0,0.056591,0,26.5000,0,0,0.1574,0.2140,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8673,8225.3633,5566.8984,6336.9727,0,13792.2617,0,0,0,1.4907,1,0,0,0,0,0,0,0
,0.080100,0.027900,0.004800,0.034300,0.004400,0.028900,0.000900,0.003300,0.3276,0.3367,0.000500,0.002300,0.013600,0.4491,0.091200,0.1134,0.006300,0.001700,0.088100,0.006000,0.000300,0.001000,0.082300,0.1668,0.000700,0.000400,0.001000,0.006300,0.019400,0.3964,0.1146,0.000400,0.008300,0.000600,0.000700,0.042400,0.005800,0.000100,0,0,0,0,0,0,0,61,0,0,12,0,0,0,0,2,2,1,1,48,4,96,0,6,6,8,0,2,1012,0,12,0,0,2,12,0,0,0,0,0,0,0,0.062697,0,24,8.5498,0,0.4333,0.4960,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2205,8225.2969,5566.8984,6336.9727,0,13792.1953,0,0,0,0,0,436,348,0,0.075800,0,0,0
,0.4991,0.028000,0.004800,0.040400,0.005300,0.049100,0.001100,0.003800,0.3514,0.3621,0.000500,0.002900,0.014500,0.1873,0.089300,0.1116,0.007300,0.001600,0.1272,0.006000,0.000400,0.029700,0.5183,0.5228,0.000600,0.000500,0.001100,0.007400,0.022000,0.1963,0.042600,0.000500,0.008400,0.000800,0.000600,0.045200,0.005800,0,0.028900,0.062000,0,0,0,0,0,62,0,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,0,2,0,2,1,0,2,2,0,0,0,0,0,0,0,0.057206,0,25,0,0,0.1370,0.1942,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5670,8227.0312,5566.8984,6336.9727,0,13793.9297,0,0,1,0,0,0,0,0,0,0.1251,0,0
,0.040300,0.024600,0.004600,0.032000,0.004300,0.024900,0.000500,0.002600,0.3271,0.3355,0.000400,0.001800,0.011500,0.3120,0.083600,0.094000,0.006300,0.001100,0.081400,0.005400,0.000300,0.000800,0.065900,0.3249,0.000500,0.000400,0.000800,0.005600,0.018300,0.2375,0.039800,0.000500,0.007200,0.000500,0.000600,0.059100,0.004800,0.000100,0,0,0,0,0,0,0,61,0,0,12,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,12,12,0,12,0,0,2,2,0,0,0,0,0,0,0,0.057504,0,33.5000,0,0,0.1781,0.2356,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5777,8226.9648,5566.9609,6336.9727,0,13793.9258,0,0,0,0,0,0,0,0,0,0,0,0
,0.3413,0.022800,0.004200,0.029300,0.004200,0.022900,0.000700,0.002700,0.3196,0.3279,0.000500,0.002500,0.010600,0.1629,0.081500,0.096800,0.006200,0.001200,0.1328,0.007100,0.000300,0.000600,0.1021,0.1652,0.000400,0.000400,0.001000,0.007100,0.018600,0.1775,0.038000,0.000600,0.007100,0.000500,0.000600,0.037900,0.004900,0.000100,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.048820,0,21,0,0,0.1266,0.1754,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2164,8226.9648,5566.9609,6336.9727,0,13793.9258,0,0,0,0,0,460,347,0,0.068400,0.076600,0,0
