monotonic_seconds,send_ms,receive_ms,ack_ms,capture_ms,wire_read_ms,send_calls,receive_calls,ack_calls,capture_calls,wire_read_calls,decoded_samples,decode_failures,absolute_samples,delta_samples,payload_bytes,cache_bytes,peak_cache_bytes,sample_gap_count,sample_gap_ticks,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21
16794354.272773299,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,2237576,2237576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794354.289148599,0.090308487,0.000000000,0.000000000,0.062398612,0.000000000,12,0,0,1,0,0,0,0,168,1022,2237832,2237832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794354.305313200,0.090308487,0.000000000,0.015601516,0.062398612,0.000000000,12,0,2,1,0,0,0,0,168,1022,2237832,2237832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794354.321749400,0.090308487,0.000000000,0.015601516,0.062398612,0.000000000,12,0,2,1,0,0,0,0,168,1022,2237832,2237832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794354.338760398,0.180698931,0.000000000,0.015601516,0.062398612,0.000000000,24,0,2,1,0,0,0,0,334,2040,2237832,2237832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794354.353787702,0.180698931,0.000000000,0.015601516,0.062398612,0.000000000,24,0,2,1,0,0,0,0,334,2040,2237832,2237832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794354.372448899,0.268194824,0.000000000,0.015601516,0.062398612,0.000000000,36,0,2,1,0,0,0,0,500,3058,2238600,2238600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794354.387876298,0.347487628,0.000000000,0.015601516,0.121496618,0.000000000,48,0,2,2,0,0,0,0,666,4188,2238664,2238664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794354.404439598,0.347487628,0.000000000,0.033002347,0.121496618,0.000000000,48,0,4,2,0,0,0,0,666,4188,2238664,2238664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16794354.421020702,0.422582030,0.000000000,0.033002347,0.121496618,0.000000000,60,0,4,2,0,0,0,0,834,5332,2239304,2239304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
