monotonic_seconds,engine_seconds,connection,in_total_bytes,out_total_bytes,packet_overhead
16800299.341328699,40.037481397,127.0.0.1:18061,2430471,31110,28
16800299.360848300,40.057000998,127.0.0.1:18061,2436549,31148,28
16800299.375339702,40.071492400,127.0.0.1:18061,2436612,31186,28
16800299.393466800,40.089619499,127.0.0.1:18061,2442465,31224,28
16800299.410737298,40.106889997,127.0.0.1:18061,2447799,31262,28
16800299.426691301,40.122843999,127.0.0.1:18061,2450879,31300,28
16800299.444477499,40.140630197,127.0.0.1:18061,2456037,31338,28
16800299.461675499,40.157828197,127.0.0.1:18061,2460406,31376,28
16800299.479216602,40.175369300,127.0.0.1:18061,2464922,31414,28
16800299.496684998,40.192837697,127.0.0.1:18061,2465574,31452,28
16800299.514087401,40.210240100,127.0.0.1:18061,2474117,31490,28
16800299.532995999,40.229148697,127.0.0.1:18061,2474168,31528,28
16800299.548449799,40.244602498,127.0.0.1:18061,2474230,31566,28
16800299.566545799,40.262698498,127.0.0.1:18061,2480246,31604,28
16800299.582670599,40.278823297,127.0.0.1:18061,2486285,31642,28
16800299.600751199,40.296903897,127.0.0.1:18061,2486323,31680,28
16800299.617552001,40.313704699,127.0.0.1:18061,2495827,31718,28
16800299.635655701,40.331808399,127.0.0.1:18061,2498036,31756,28
16800299.654658802,40.350811500,127.0.0.1:18061,2503194,31794,28
16800299.670406502,40.366559200,127.0.0.1:18061,2503232,31832,28
16800299.687552799,40.383705497,127.0.0.1:18061,2509295,31870,28
16800299.704942599,40.401095297,127.0.0.1:18061,2509357,31908,28
16800299.721396901,40.417549599,127.0.0.1:18061,2517509,31946,28
16800299.738903102,40.435055800,127.0.0.1:18061,2517836,31984,28
16800299.755487598,40.451640297,127.0.0.1:18061,2523869,32022,28
16800299.771883000,40.468035698,127.0.0.1:18061,2523971,32060,28
16800299.790190201,40.486342900,127.0.0.1:18061,2529973,32098,28
16800299.807110202,40.503262900,127.0.0.1:18061,2530018,32136,28
16800299.824283101,40.520435799,127.0.0.1:18061,2539508,32174,28
16800299.841621801,40.537774500,127.0.0.1:18061,2541723,32212,28
16800299.859483901,40.555636600,127.0.0.1:18061,2541776,32250,28
16800299.876350101,40.572502799,127.0.0.1:18061,2547769,32288,28
16800299.893185001,40.589337699,127.0.0.1:18061,2547840,32326,28
16800299.911033899,40.607186597,127.0.0.1:18061,2553856,32364,28
16800299.929208301,40.625360999,127.0.0.1:18061,2562084,32402,28
16800299.946017802,40.642170500,127.0.0.1:18061,2567225,32440,28
16800299.963465799,40.659618497,127.0.0.1:18061,2568200,32478,28
16800299.980157699,40.676310398,127.0.0.1:18061,2573358,32516,28
16800299.997552101,40.693704799,127.0.0.1:18061,2574512,32554,28
16800300.013347201,40.709499899,127.0.0.1:18061,2580583,32592,28
16800300.031984299,40.728136998,127.0.0.1:18061,2580651,32630,28
16800300.048377901,40.744530600,127.0.0.1:18061,2580696,32668,28
16800300.066230100,40.762382798,127.0.0.1:18061,2586725,32706,28
16800300.082769699,40.778922398,127.0.0.1:18061,2592765,32744,28
16800300.100887001,40.797039699,127.0.0.1:18061,2592765,32744,28
16800300.117312599,40.813465297,127.0.0.1:18061,2602353,32782,28
16800300.133537602,40.829690300,127.0.0.1:18061,2604515,32820,28
16800300.151192799,40.847345497,127.0.0.1:18061,2609309,32858,28
16800300.167860001,40.864012700,127.0.0.1:18061,2609394,32896,28
16800300.186872900,40.883025598,127.0.0.1:18061,2615396,32934,28
16800300.204781100,40.900933798,127.0.0.1:18061,2615449,32972,28
16800300.221428201,40.917580899,127.0.0.1:18061,2623625,33010,28
16800300.239213999,40.935366698,127.0.0.1:18061,2623968,33048,28
16800300.255826999,40.951979697,127.0.0.1:18061,2630005,33086,28
16800300.272126801,40.968279500,127.0.0.1:18061,2630052,33124,28
16800300.289750300,40.985902999,127.0.0.1:18061,2636090,33162,28
16800300.306891602,41.003044300,127.0.0.1:18061,2636152,33200,28
