"Seconds","QpcSeconds","Role","Pid","CpuCoreEquivalents","WorkingSetMiB","PrivateMiB"
"0.0012563","23043.2379874","server","23012","0","5476.59375","6255.1875"
"0.0012563","23043.2379874","client1","37576","0","52.52734375","37.82421875"
"0.0012563","23043.2379874","client2","21676","0","55.71484375","43.546875"
"1.0668283","23044.3008432","server","23012","0.16129834492648082","5476.92578125","6255.1875"
"1.0668283","23044.3008432","client1","37576","1.700964364679252","574.48046875","555.59765625"
"1.0668283","23044.3008432","client2","21676","1.2170693298998096","579.41015625","544.7890625"
"2.0929052","23045.3268897","server","23012","0.10659532438553095","5477.23828125","6255.1875"
"2.0929052","23045.3268897","client1","37576","0.7004835602477748","604.90234375","580.78125"
"2.0929052","23045.3268897","client2","21676","0.8527625950842476","617.125","604.55859375"
"3.1114663","23046.3454496","server","23012","0.12272214204921039","5477.49609375","6255.1875"
"3.1114663","23046.3454496","client1","37576","0.9204160653690779","610.54296875","592.13671875"
"3.1114663","23046.3454496","client2","21676","0.874395262100624","631.6875","634.02734375"
"4.137516","23047.371499","server","23012","0.2131963003351592","5478.00390625","6255.1875"
"4.137516","23047.371499","client1","37576","0.9593833515082164","698.63671875","704.83203125"
"4.137516","23047.371499","client2","21676","0.9746116586750135","937.3125","899.70703125"
"5.1592364","23048.3932255","server","23012","0.24468533661459632","5478.25390625","6255.1875"
"5.1592364","23048.3932255","client1","37576","0.6422990086133153","961.95703125","1095.546875"
"5.1592364","23048.3932255","client2","21676","0.3211495043066577","1085.5390625","1090.41015625"
"6.1793614","23049.4133887","server","23012","0.19911775517706165","5478.56640625","6255.1875"
"6.1793614","23049.4133887","client1","37576","0","961.95703125","1095.546875"
"6.1793614","23049.4133887","client2","21676","0","1085.54296875","1090.41015625"
"7.2019641","23050.4359542","server","23012","0.183355666868472","5478.81640625","6255.1875"
"7.2019641","23050.4359542","client1","37576","0","962.0390625","1095.6171875"
"7.2019641","23050.4359542","client2","21676","3.147605614575436","1192.609375","1200.90234375"
"8.242254","23051.4762395","server","23012","0.1501985167788325","5479.12890625","6255.1875"
"8.242254","23051.4762395","client1","37576","0","962.05078125","1095.6171875"
"8.242254","23051.4762395","client2","21676","4.430856244975558","1197.06640625","1203.55859375"
"9.2916889","23052.5256806","server","23012","0.20844551672523945","5479.5234375","6255.1875"
"9.2916889","23052.5256806","client1","37576","5.479139296777722","1070.57421875","1196.81640625"
