monotonic_seconds,engine_seconds,connection,in_total_bytes,out_total_bytes,packet_overhead
16800299.298265401,86.983417902,127.0.0.1:63913,31072,2462261,28
16800299.298265401,86.983417902,127.0.0.1:63920,28261,2394275,28
16800299.327113900,87.012266401,127.0.0.1:63913,31110,2462323,28
16800299.327113900,87.012266401,127.0.0.1:63920,28299,2394337,28
16800299.342171099,87.027323600,127.0.0.1:63913,31110,2468339,28
16800299.342171099,87.027323600,127.0.0.1:63920,28337,2400366,28
16800299.359915599,87.045068100,127.0.0.1:63913,31110,2468402,28
16800299.359915599,87.045068100,127.0.0.1:63920,28337,2400430,28
16800299.385829002,87.070981503,127.0.0.1:63913,31186,2474431,28
16800299.385829002,87.070981503,127.0.0.1:63920,28375,2406472,28
16800299.395447399,87.080599900,127.0.0.1:63913,31224,2482607,28
16800299.395447399,87.080599900,127.0.0.1:63920,28413,2414661,28
16800299.408477299,87.093629800,127.0.0.1:63913,31262,2482669,28
16800299.408477299,87.093629800,127.0.0.1:63920,28451,2414723,28
16800299.429513101,87.114665601,127.0.0.1:63913,31300,2492158,28
16800299.429513101,87.114665601,127.0.0.1:63920,28489,2420728,28
16800299.443727899,87.128880400,127.0.0.1:63913,31338,2492196,28
16800299.443727899,87.128880400,127.0.0.1:63920,28527,2420766,28
16800299.463006500,87.148159001,127.0.0.1:63913,31376,2497364,28
16800299.463006500,87.148159001,127.0.0.1:63920,28565,2427134,28
16800299.483799402,87.168951903,127.0.0.1:63913,31414,2497755,28
16800299.483799402,87.168951903,127.0.0.1:63920,28603,2427251,28
16800299.493510600,87.178663101,127.0.0.1:63913,31452,2505907,28
16800299.493510600,87.178663101,127.0.0.1:63920,28641,2435416,28
16800299.507015798,87.192168299,127.0.0.1:63913,31490,2505958,28
16800299.507015798,87.192168299,127.0.0.1:63920,28679,2435471,28
16800299.529722702,87.214875203,127.0.0.1:63913,31528,2506020,28
16800299.529722702,87.214875203,127.0.0.1:63920,28717,2439007,28
16800299.541458301,87.226610802,127.0.0.1:63913,31566,2512036,28
16800299.541458301,87.226610802,127.0.0.1:63920,28755,2445036,28
16800299.561400101,87.246552601,127.0.0.1:63913,31604,2518075,28
16800299.561400101,87.246552601,127.0.0.1:63920,28793,2451089,28
16800299.582934700,87.268087201,127.0.0.1:63913,31642,2518113,28
16800299.582934700,87.268087201,127.0.0.1:63920,28831,2451127,28
16800299.596510299,87.281662799,127.0.0.1:63913,31680,2527617,28
16800299.596510299,87.281662799,127.0.0.1:63920,28869,2459330,28
16800299.609138500,87.294291001,127.0.0.1:63913,31680,2529826,28
16800299.609138500,87.294291001,127.0.0.1:63920,28869,2459415,28
16800299.630425502,87.315578002,127.0.0.1:63913,31718,2534984,28
16800299.630425502,87.315578002,127.0.0.1:63920,28907,2465420,28
16800299.643590402,87.328742903,127.0.0.1:63913,31756,2535022,28
16800299.643590402,87.328742903,127.0.0.1:63920,28945,2465458,28
16800299.664925899,87.350078400,127.0.0.1:63913,31794,2541085,28
16800299.664925899,87.350078400,127.0.0.1:63920,28983,2471535,28
16800299.683863498,87.369015999,127.0.0.1:63913,31832,2541147,28
16800299.683863498,87.369015999,127.0.0.1:63920,29021,2471597,28
16800299.698979501,87.384132002,127.0.0.1:63913,31870,2549299,28
16800299.698979501,87.384132002,127.0.0.1:63920,29059,2481100,28
16800299.713045798,87.398198299,127.0.0.1:63913,31908,2549626,28
16800299.713045798,87.398198299,127.0.0.1:63920,29097,2483587,28
16800299.731051199,87.416203700,127.0.0.1:63913,31946,2555659,28
16800299.731051199,87.416203700,127.0.0.1:63920,29135,2488408,28
16800299.747090299,87.432242800,127.0.0.1:63913,31984,2555761,28
16800299.747090299,87.432242800,127.0.0.1:63920,29173,2488506,28
16800299.766129602,87.451282103,127.0.0.1:63913,32022,2561763,28
16800299.766129602,87.451282103,127.0.0.1:63920,29211,2494522,28
16800299.787262600,87.472415101,127.0.0.1:63913,32060,2561808,28
16800299.787262600,87.472415101,127.0.0.1:63920,29249,2494560,28
16800299.798881300,87.484033801,127.0.0.1:63913,32098,2571298,28
16800299.798881300,87.484033801,127.0.0.1:63920,29287,2502749,28
16800299.812842701,87.497995201,127.0.0.1:63913,32136,2573513,28
16800299.812842701,87.497995201,127.0.0.1:63920,29325,2502834,28
16800299.830700200,87.515852701,127.0.0.1:63913,32174,2573566,28
16800299.830700200,87.515852701,127.0.0.1:63920,29363,2502887,28
16800299.848005001,87.533157501,127.0.0.1:63913,32212,2579559,28
16800299.848005001,87.533157501,127.0.0.1:63920,29363,2508893,28
16800299.863858301,87.549010802,127.0.0.1:63913,32250,2579630,28
16800299.863858301,87.549010802,127.0.0.1:63920,29401,2508965,28
16800299.889325500,87.574478000,127.0.0.1:63913,32288,2585646,28
16800299.889325500,87.574478000,127.0.0.1:63920,29439,2514994,28
16800299.899677299,87.584829800,127.0.0.1:63913,32326,2593836,28
16800299.899677299,87.584829800,127.0.0.1:63920,29477,2523197,28
16800299.912590001,87.597742502,127.0.0.1:63913,32364,2593874,28
16800299.912590001,87.597742502,127.0.0.1:63920,29515,2523235,28
16800299.931524400,87.616676901,127.0.0.1:63913,32402,2599890,28
16800299.931524400,87.616676901,127.0.0.1:63920,29553,2532738,28
16800299.946306702,87.631459203,127.0.0.1:63913,32440,2599990,28
16800299.946306702,87.631459203,127.0.0.1:63920,29591,2532838,28
16800299.967920300,87.653072800,127.0.0.1:63913,32478,2606302,28
16800299.967920300,87.653072800,127.0.0.1:63920,29629,2538313,28
16800299.985736702,87.670889203,127.0.0.1:63913,32516,2606340,28
16800299.985736702,87.670889203,127.0.0.1:63920,29629,2538633,28
16800299.998771202,87.683923703,127.0.0.1:63913,32554,2612373,28
16800299.998771202,87.683923703,127.0.0.1:63920,29705,2544675,28
16800300.013402201,87.698554702,127.0.0.1:63913,32592,2612441,28
16800300.013402201,87.698554702,127.0.0.1:63920,29705,2544737,28
16800300.030777499,87.715930000,127.0.0.1:63913,32630,2612486,28
16800300.030777499,87.715930000,127.0.0.1:63920,29743,2544775,28
16800300.046957400,87.732109901,127.0.0.1:63913,32668,2618515,28
16800300.046957400,87.732109901,127.0.0.1:63920,29781,2550817,28
16800300.066708699,87.751861200,127.0.0.1:63913,32706,2624555,28
16800300.066708699,87.751861200,127.0.0.1:63920,29819,2556871,28
16800300.087480899,87.772633400,127.0.0.1:63913,32744,2624617,28
16800300.087480899,87.772633400,127.0.0.1:63920,29857,2556933,28
16800300.098771699,87.783924200,127.0.0.1:63913,32744,2634143,28
16800300.098771699,87.783924200,127.0.0.1:63920,29895,2565135,28
16800300.113016199,87.798168700,127.0.0.1:63913,32782,2636305,28
16800300.113016199,87.798168700,127.0.0.1:63920,29933,2565173,28
16800300.132271800,87.817424301,127.0.0.1:63913,32820,2641099,28
16800300.132271800,87.817424301,127.0.0.1:63920,29971,2571202,28
16800300.146047901,87.831200402,127.0.0.1:63913,32858,2641184,28
16800300.146047901,87.831200402,127.0.0.1:63920,30009,2571287,28
16800300.166136499,87.851289000,127.0.0.1:63913,32896,2647186,28
16800300.166136499,87.851289000,127.0.0.1:63920,30047,2577303,28
16800300.187014699,87.872167200,127.0.0.1:63913,32934,2647239,28
16800300.187014699,87.872167200,127.0.0.1:63920,30085,2577356,28
16800300.200410001,87.885562502,127.0.0.1:63913,32972,2655415,28
16800300.200410001,87.885562502,127.0.0.1:63920,30123,2585545,28
16800300.218597099,87.903749600,127.0.0.1:63913,32972,2655758,28
16800300.218597099,87.903749600,127.0.0.1:63920,30161,2589342,28
16800300.231436700,87.916589200,127.0.0.1:63913,33048,2661795,28
16800300.231436700,87.916589200,127.0.0.1:63920,30161,2594217,28
16800300.250492800,87.935645301,127.0.0.1:63913,33048,2661842,28
16800300.250492800,87.935645301,127.0.0.1:63920,30199,2594268,28
16800300.265735701,87.950888202,127.0.0.1:63913,33124,2667880,28
16800300.265735701,87.950888202,127.0.0.1:63920,30237,2600307,28
16800300.288177200,87.973329701,127.0.0.1:63913,33124,2667942,28
16800300.288177200,87.973329701,127.0.0.1:63920,30275,2600369,28
16800300.301024701,87.986177202,127.0.0.1:63913,33162,2677446,28
16800300.301024701,87.986177202,127.0.0.1:63920,30275,2608549,28
16800300.313165300,87.998317800,127.0.0.1:63913,33200,2679608,28
16800300.313165300,87.998317800,127.0.0.1:63920,30275,2608549,28
16800300.332366500,88.017519001,127.0.0.1:63913,33238,2684420,28
16800300.332366500,88.017519001,127.0.0.1:63920,30313,2614578,28
16800300.346217599,88.031370100,127.0.0.1:63913,33276,2684505,28
16800300.346217599,88.031370100,127.0.0.1:63920,30313,2614663,28
16800300.367221799,88.052374300,127.0.0.1:63913,33314,2690507,28
16800300.367221799,88.052374300,127.0.0.1:63920,30351,2620679,28
16800300.385645200,88.070797700,127.0.0.1:63913,33352,2690545,28
16800300.385645200,88.070797700,127.0.0.1:63920,30389,2620717,28
16800300.401630498,88.086782999,127.0.0.1:63913,33390,2696561,28
16800300.401630498,88.086782999,127.0.0.1:63920,30427,2626746,28
16800300.417166300,88.102318801,127.0.0.1:63913,33428,2696637,28
16800300.417166300,88.102318801,127.0.0.1:63920,30465,2626822,28
16800300.432691500,88.117844000,127.0.0.1:63913,33466,2702632,28
16800300.432691500,88.117844000,127.0.0.1:63920,30503,2632830,28
16800300.448586501,88.133739002,127.0.0.1:63913,33504,2702670,28
16800300.448586501,88.133739002,127.0.0.1:63920,30541,2632868,28
16800300.475280900,88.160433400,127.0.0.1:63913,33542,2709006,28
16800300.475280900,88.160433400,127.0.0.1:63920,30579,2639218,28
16800300.483778998,88.168931499,127.0.0.1:63913,33580,2714998,28
16800300.483778998,88.168931499,127.0.0.1:63920,30617,2645223,28
16800300.500330299,88.185482800,127.0.0.1:63913,33618,2717200,28
16800300.500330299,88.185482800,127.0.0.1:63920,30655,2650906,28
16800300.518176898,88.203329399,127.0.0.1:63913,33656,2723192,28
16800300.518176898,88.203329399,127.0.0.1:63920,30693,2653423,28
16800300.532538701,88.217691202,127.0.0.1:63913,33694,2723281,28
16800300.532538701,88.217691202,127.0.0.1:63920,30731,2653512,28
16800300.552090600,88.237243101,127.0.0.1:63913,33732,2723343,28
16800300.552090600,88.237243101,127.0.0.1:63920,30769,2653574,28
16800300.575438499,88.260591000,127.0.0.1:63913,33732,2729345,28
16800300.575438499,88.260591000,127.0.0.1:63920,30769,2659590,28
16800300.585505199,88.270657700,127.0.0.1:63913,33770,2738834,28
16800300.585505199,88.270657700,127.0.0.1:63920,30807,2667755,28
16800300.597333498,88.282485999,127.0.0.1:63913,33808,2740996,28
16800300.597333498,88.282485999,127.0.0.1:63920,30845,2667793,28
16800300.617424499,88.302577000,127.0.0.1:63913,33846,2741058,28
16800300.617424499,88.302577000,127.0.0.1:63920,30883,2667855,28
16800300.631903902,88.317056403,127.0.0.1:63913,33884,2747077,28
16800300.631903902,88.317056403,127.0.0.1:63920,30921,2673887,28
16800300.650651298,88.335803799,127.0.0.1:63913,33922,2752218,28
16800300.650651298,88.335803799,127.0.0.1:63920,30921,2679907,28
16800300.670466200,88.355618700,127.0.0.1:63913,33960,2752281,28
16800300.670466200,88.355618700,127.0.0.1:63920,30959,2679971,28
16800300.684323799,88.369476300,127.0.0.1:63913,33998,2758333,28
16800300.684323799,88.369476300,127.0.0.1:63920,31035,2686036,28
16800300.698792301,88.383944802,127.0.0.1:63913,33998,2758395,28
16800300.698792301,88.383944802,127.0.0.1:63920,31035,2686098,28
16800300.721723299,88.406875800,127.0.0.1:63913,34036,2764697,28
16800300.721723299,88.406875800,127.0.0.1:63920,31073,2692413,28
16800300.731090799,88.416243300,127.0.0.1:63913,34074,2764744,28
16800300.731090799,88.416243300,127.0.0.1:63920,31111,2692451,28
16800300.750813901,88.435966402,127.0.0.1:63913,34112,2770777,28
16800300.750813901,88.435966402,127.0.0.1:63920,31149,2698493,28
16800300.772430900,88.457583401,127.0.0.1:63913,34150,2770863,28
16800300.772430900,88.457583401,127.0.0.1:63920,31187,2698580,28
16800300.786665499,88.471818000,127.0.0.1:63913,34188,2779021,28
16800300.786665499,88.471818000,127.0.0.1:63920,31225,2708083,28
16800300.799236901,88.484389402,127.0.0.1:63913,34226,2779066,28
16800300.799236901,88.484389402,127.0.0.1:63920,31263,2710245,28
16800300.818917099,88.504069600,127.0.0.1:63913,34264,2785082,28
16800300.818917099,88.504069600,127.0.0.1:63920,31301,2715431,28
16800300.834187999,88.519340500,127.0.0.1:63913,34302,2785167,28
16800300.834187999,88.519340500,127.0.0.1:63920,31339,2715516,28
16800300.851926800,88.537079301,127.0.0.1:63913,34340,2791159,28
16800300.851926800,88.537079301,127.0.0.1:63920,31377,2721521,28
16800300.872627500,88.557780001,127.0.0.1:63913,34378,2791207,28
16800300.872627500,88.557780001,127.0.0.1:63920,31415,2721570,28
16800300.887451801,88.572604302,127.0.0.1:63913,34416,2797274,28
16800300.887451801,88.572604302,127.0.0.1:63920,31453,2727650,28
16800300.900743600,88.585896101,127.0.0.1:63913,34454,2797336,28
16800300.900743600,88.585896101,127.0.0.1:63920,31491,2727712,28
16800300.921977699,88.607130200,127.0.0.1:63913,34492,2803327,28
16800300.921977699,88.607130200,127.0.0.1:63920,31529,2733716,28
16800300.935344901,88.620497402,127.0.0.1:63913,34530,2803365,28
16800300.935344901,88.620497402,127.0.0.1:63920,31567,2733754,28
16800300.954685502,88.639838003,127.0.0.1:63913,34568,2809417,28
16800300.954685502,88.639838003,127.0.0.1:63920,31605,2739819,28
16800300.979452100,88.664604601,127.0.0.1:63913,34606,2809762,28
16800300.979452100,88.664604601,127.0.0.1:63920,31643,2740165,28
16800300.988030400,88.673182901,127.0.0.1:63913,34644,2815762,28
16800300.988030400,88.673182901,127.0.0.1:63920,31643,2746177,28
16800301.002335999,88.687488500,127.0.0.1:63913,34682,2815832,28
16800301.002335999,88.687488500,127.0.0.1:63920,31681,2746243,28
16800301.022089999,88.707242500,127.0.0.1:63913,34720,2821854,28
16800301.022089999,88.707242500,127.0.0.1:63920,31719,2752271,28
16800301.036378998,88.721531499,127.0.0.1:63913,34758,2821922,28
16800301.036378998,88.721531499,127.0.0.1:63920,31757,2752333,28
16800301.054815099,88.739967600,127.0.0.1:63913,34796,2827914,28
16800301.054815099,88.739967600,127.0.0.1:63920,31795,2758338,28
16800301.074235301,88.759387802,127.0.0.1:63913,34834,2827962,28
16800301.074235301,88.759387802,127.0.0.1:63920,31833,2758387,28
16800301.087776002,88.772928502,127.0.0.1:63913,34834,2834014,28
16800301.087776002,88.772928502,127.0.0.1:63920,31833,2764452,28
16800301.100921601,88.786074102,127.0.0.1:63913,34872,2834076,28
16800301.100921601,88.786074102,127.0.0.1:63920,31871,2764514,28
16800301.121789701,88.806942202,127.0.0.1:63913,34910,2840082,28
16800301.121789701,88.806942202,127.0.0.1:63920,31909,2770533,28
16800301.134401701,88.819554202,127.0.0.1:63913,34948,2840120,28
16800301.134401701,88.819554202,127.0.0.1:63920,31947,2770571,28
16800301.154812399,88.839964900,127.0.0.1:63913,34986,2846172,28
16800301.154812399,88.839964900,127.0.0.1:63920,31985,2776636,28
16800301.175420400,88.860572901,127.0.0.1:63913,35024,2846243,28
16800301.175420400,88.860572901,127.0.0.1:63920,32023,2776708,28
16800301.188916799,88.874069300,127.0.0.1:63913,35062,2852235,28
16800301.188916799,88.874069300,127.0.0.1:63920,32061,2782713,28
16800301.201797102,88.886949603,127.0.0.1:63913,35100,2852273,28
16800301.201797102,88.886949603,127.0.0.1:63920,32099,2782751,28
16800301.221392799,88.906545300,127.0.0.1:63913,35100,2852608,28
16800301.221392799,88.906545300,127.0.0.1:63920,32137,2783086,28
16800301.234995902,88.920148402,127.0.0.1:63913,35138,2858647,28
16800301.234995902,88.920148402,127.0.0.1:63920,32175,2789136,28
16800301.254109800,88.939262301,127.0.0.1:63913,35176,2858694,28
16800301.254109800,88.939262301,127.0.0.1:63920,32213,2789181,28
16800301.276808400,88.961960901,127.0.0.1:63913,35214,2864705,28
16800301.276808400,88.961960901,127.0.0.1:63920,32251,2795197,28
16800301.286955599,88.972108100,127.0.0.1:63913,35252,2870764,28
16800301.286955599,88.972108100,127.0.0.1:63920,32289,2801262,28
16800301.300779302,88.985931803,127.0.0.1:63913,35290,2870832,28
16800301.300779302,88.985931803,127.0.0.1:63920,32327,2801324,28
16800301.320670601,89.005823102,127.0.0.1:63913,35328,2870870,28
16800301.320670601,89.005823102,127.0.0.1:63920,32365,2801362,28
16800301.334450599,89.019603100,127.0.0.1:63913,35366,2876862,28
16800301.334450599,89.019603100,127.0.0.1:63920,32403,2807367,28
16800301.354488902,89.039641403,127.0.0.1:63913,35404,2876938,28
16800301.354488902,89.039641403,127.0.0.1:63920,32441,2807443,28
16800301.373928901,89.059081402,127.0.0.1:63913,35442,2882964,28
16800301.373928901,89.059081402,127.0.0.1:63920,32479,2813483,28
16800301.386672098,89.071824599,127.0.0.1:63913,35480,2888956,28
16800301.386672098,89.071824599,127.0.0.1:63920,32479,2819488,28
16800301.399245601,89.084398102,127.0.0.1:63913,35518,2888994,28
16800301.399245601,89.084398102,127.0.0.1:63920,32517,2819526,28
16800301.420807000,89.105959501,127.0.0.1:63913,35556,2889056,28
16800301.420807000,89.105959501,127.0.0.1:63920,32555,2819588,28
16800301.434977598,89.120130099,127.0.0.1:63913,35556,2895109,28
