monotonic_seconds,send_ms,receive_ms,ack_ms,capture_ms,wire_read_ms,send_calls,receive_calls,ack_calls,capture_calls,wire_read_calls,decoded_samples,decode_failures,absolute_samples,delta_samples,payload_bytes,cache_bytes,peak_cache_bytes
16800299.298265401,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
16800299.327113900,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
16800299.342171099,0.840809196,0.000000000,0.000000000,0.000000000,0.000000000,26,0,0,0,0,0,0,0,0,0,0,0
16800299.359915599,0.840809196,0.000000000,0.000000000,0.000000000,0.000000000,26,0,0,0,0,0,0,0,0,0,0,0
16800299.385829002,1.726709306,0.000000000,0.000000000,0.000000000,0.000000000,52,0,0,0,0,0,0,0,0,0,0,0
16800299.395447399,2.768605947,0.000000000,0.000000000,0.554800034,0.000000000,78,0,0,1,0,0,0,0,0,0,0,0
16800299.408477299,2.768605947,0.000000000,0.000000000,0.554800034,0.000000000,78,0,0,1,0,0,0,0,0,0,0,0
16800299.429513101,3.809403628,0.000000000,0.000000000,0.554800034,0.000000000,104,0,0,1,0,0,0,0,0,0,0,0
16800299.443727899,3.809403628,0.000000000,0.000000000,0.554800034,0.000000000,104,0,0,1,0,0,0,0,0,0,0,0
16800299.463006500,4.597801715,0.000000000,0.000000000,0.554800034,0.000000000,130,0,0,1,0,0,0,0,0,0,0,0
16800299.483799402,4.597801715,0.000000000,0.000000000,0.554800034,0.000000000,130,0,0,1,0,0,0,0,0,0,0,0
16800299.493510600,5.411293358,0.000000000,0.000000000,1.100100577,0.000000000,156,0,0,2,0,0,0,0,0,0,0,0
16800299.507015798,5.411293358,0.000000000,0.000000000,1.100100577,0.000000000,156,0,0,2,0,0,0,0,0,0,0,0
16800299.529722702,5.411293358,0.000000000,0.000000000,1.100100577,0.000000000,156,0,0,2,0,0,0,0,0,0,0,0
