monotonic_seconds,engine_seconds,connection,in_total_bytes,out_total_bytes,packet_overhead
16802883.377138302,41.890503000,127.0.0.1:18071,2292746,23215,28
16802883.396974798,41.910339497,127.0.0.1:18071,2298824,23253,28
16802883.410848599,41.924213298,127.0.0.1:18071,2298824,23253,28
16802883.428240702,41.941605400,127.0.0.1:18071,2303982,23291,28
16802883.446626600,41.959991299,127.0.0.1:18071,2307000,23329,28
16802883.463577799,41.976942498,127.0.0.1:18071,2312244,23367,28
16802883.481805600,41.995170299,127.0.0.1:18071,2313078,23405,28
16802883.499174200,42.012538899,127.0.0.1:18071,2318284,23443,28
16802883.518197499,42.031562198,127.0.0.1:18071,2324314,23481,28
16802883.536043800,42.049408499,127.0.0.1:18071,2327661,23519,28
16802883.553419702,42.066784400,127.0.0.1:18071,2331168,23557,28
16802883.569573998,42.082938697,127.0.0.1:18071,2337199,23595,28
16802883.588878099,42.102242798,127.0.0.1:18071,2337277,23633,28
16802883.604484599,42.117849298,127.0.0.1:18071,2343269,23671,28
16802883.623671900,42.137036599,127.0.0.1:18071,2351436,23709,28
16802883.640059002,42.153423700,127.0.0.1:18071,2351498,23747,28
16802883.658722501,42.172087200,127.0.0.1:18071,2351560,23785,28
16802883.676596701,42.189961400,127.0.0.1:18071,2357553,23823,28
16802883.693380799,42.206745498,127.0.0.1:18071,2357601,23861,28
16802883.710822899,42.224187598,127.0.0.1:18071,2363654,23899,28
16802883.728517801,42.241882499,127.0.0.1:18071,2371920,23937,28
16802883.747714601,42.261079300,127.0.0.1:18071,2371920,23937,28
16802883.763683300,42.277047999,127.0.0.1:18071,2381472,23975,28
16802883.781534899,42.294899598,127.0.0.1:18071,2381472,23975,28
16802883.798081100,42.311445799,127.0.0.1:18071,2387816,24013,28
16802883.815004800,42.328369498,127.0.0.1:18071,2387816,24013,28
16802883.832328200,42.345692899,127.0.0.1:18071,2396047,24051,28
16802883.850136802,42.363501500,127.0.0.1:18071,2396153,24089,28
16802883.866997700,42.380362399,127.0.0.1:18071,2402152,24127,28
16802883.884232100,42.397596799,127.0.0.1:18071,2402200,24165,28
16802883.902445000,42.415809698,127.0.0.1:18071,2407358,24203,28
16802883.920965999,42.434330698,127.0.0.1:18071,2416392,24241,28
16802883.938514199,42.451878898,127.0.0.1:18071,2419891,24279,28
16802883.957696900,42.471061599,127.0.0.1:18071,2423660,24317,28
16802883.973324001,42.486688700,127.0.0.1:18071,2423736,24355,28
16802883.991506401,42.504871100,127.0.0.1:18071,2429798,24393,28
16802884.010155398,42.523520097,127.0.0.1:18071,2429836,24431,28
16802884.027301200,42.540665898,127.0.0.1:18071,2435828,24469,28
16802884.044861998,42.558226697,127.0.0.1:18071,2436138,24507,28
16802884.062262200,42.575626899,127.0.0.1:18071,2436224,24545,28
16802884.080679599,42.594044298,127.0.0.1:18071,2442243,24583,28
16802884.096929502,42.610294200,127.0.0.1:18071,2448250,24621,28
16802884.114946801,42.628311500,127.0.0.1:18071,2454143,24659,28
16802884.131662600,42.645027298,127.0.0.1:18071,2456575,24697,28
16802884.149240300,42.662604999,127.0.0.1:18071,2461716,24735,28
16802884.167031799,42.680396497,127.0.0.1:18071,2462638,24773,28
16802884.185104501,42.698469199,127.0.0.1:18071,2468654,24811,28
16802884.201631200,42.714995898,127.0.0.1:18071,2468654,24811,28
16802884.218982499,42.732347198,127.0.0.1:18071,2476859,24849,28
16802884.238054201,42.751418900,127.0.0.1:18071,2476921,24887,28
16802884.254594199,42.767958898,127.0.0.1:18071,2486447,24925,28
16802884.271026898,42.784391597,127.0.0.1:18071,2486766,24963,28
16802884.288916800,42.802281499,127.0.0.1:18071,2486804,25001,28
16802884.305224098,42.818588797,127.0.0.1:18071,2491962,25039,28
16802884.324615199,42.837979898,127.0.0.1:18071,2501087,25077,28
16802884.339610498,42.852975197,127.0.0.1:18071,2501087,25077,28
16802884.358947299,42.872311998,127.0.0.1:18071,2501125,25115,28
16802884.377113398,42.890478097,127.0.0.1:18071,2507154,25153,28
16802884.393909000,42.907273699,127.0.0.1:18071,2507225,25191,28
16802884.410827499,42.924192198,127.0.0.1:18071,2513217,25229,28
16802884.428502999,42.941867698,127.0.0.1:18071,2519209,25267,28
16802884.446622498,42.959987197,127.0.0.1:18071,2524793,25305,28
16802884.464137498,42.977502197,127.0.0.1:18071,2525375,25343,28
16802884.481687199,42.995051898,127.0.0.1:18071,2525375,25343,28
16802884.499260299,43.012624998,127.0.0.1:18071,2530564,25381,28
16802884.516281500,43.029646199,127.0.0.1:18071,2540928,25419,28
16802884.533474602,43.046839301,127.0.0.1:18071,2543398,25457,28
16802884.552727599,43.066092297,127.0.0.1:18071,2546539,25495,28
16802884.569295999,43.082660697,127.0.0.1:18071,2546657,25533,28
16802884.587656699,43.101021398,127.0.0.1:18071,2552682,25571,28
16802884.604181301,43.117546000,127.0.0.1:18071,2552733,25609,28
16802884.622357000,43.135721698,127.0.0.1:18071,2560885,25647,28
16802884.639539301,43.152904000,127.0.0.1:18071,2560947,25685,28
16802884.657603599,43.170968298,127.0.0.1:18071,2566980,25723,28
16802884.675106999,43.188471697,127.0.0.1:18071,2567066,25761,28
16802884.692300100,43.205664799,127.0.0.1:18071,2573058,25799,28
16802884.709298801,43.222663499,127.0.0.1:18071,2573120,25837,28
16802884.726599298,43.239963997,127.0.0.1:18071,2579135,25875,28
16802884.743839201,43.257203899,127.0.0.1:18071,2579173,25913,28
16802884.761555299,43.274919998,127.0.0.1:18071,2585165,25951,28
16802884.778361000,43.291725699,127.0.0.1:18071,2585499,25989,28
16802884.795231000,43.308595698,127.0.0.1:18071,2591524,26027,28
16802884.813110799,43.326475497,127.0.0.1:18071,2591571,26065,28
16802884.831414200,43.344778899,127.0.0.1:18071,2601060,26103,28
16802884.848942999,43.362307698,127.0.0.1:18071,2603285,26141,28
16802884.866349000,43.379713699,127.0.0.1:18071,2608523,26179,28
16802884.883976500,43.397341199,127.0.0.1:18071,2609349,26217,28
16802884.901526298,43.414890997,127.0.0.1:18071,2614549,26255,28
16802884.920433499,43.433798198,127.0.0.1:18071,2621259,26293,28
16802884.937751900,43.451116599,127.0.0.1:18071,2621514,26331,28
16802884.955859099,43.469223797,127.0.0.1:18071,2627505,26369,28
16802884.972524900,43.485889599,127.0.0.1:18071,2627576,26407,28
16802884.990774401,43.504139099,127.0.0.1:18071,2633628,26445,28
16802885.008357700,43.521722399,127.0.0.1:18071,2633681,26483,28
16802885.025324900,43.538689598,127.0.0.1:18071,2639958,26521,28
16802885.043161601,43.556526300,127.0.0.1:18071,2640028,26559,28
16802885.060619399,43.573984098,127.0.0.1:18071,2646095,26597,28
16802885.078546900,43.591911599,127.0.0.1:18071,2646168,26635,28
16802885.096368700,43.609733399,127.0.0.1:18071,2652167,26673,28
16802885.114075098,43.627439797,127.0.0.1:18071,2652229,26711,28
16802885.131295100,43.644659799,127.0.0.1:18071,2658296,26749,28
16802885.149216902,43.662581600,127.0.0.1:18071,2658334,26787,28
16802885.167353500,43.680718198,127.0.0.1:18071,2664325,26825,28
16802885.186083298,43.699447997,127.0.0.1:18071,2664396,26863,28
16802885.203772001,43.717136700,127.0.0.1:18071,2670276,26901,28
16802885.220973101,43.734337799,127.0.0.1:18071,2676487,26939,28
16802885.240021698,43.753386397,127.0.0.1:18071,2676563,26977,28
16802885.257591300,43.770955998,127.0.0.1:18071,2682614,27015,28
16802885.275513399,43.788878098,127.0.0.1:18071,2682910,27053,28
16802885.292066500,43.805431198,127.0.0.1:18071,2688911,27091,28
16802885.310046799,43.823411498,127.0.0.1:18071,2688981,27129,28
16802885.320332300,43.833696999,127.0.0.1:18071,2695064,27167,28
16802885.339826901,43.853191599,127.0.0.1:18071,2695109,27205,28
16802885.357575301,43.870940000,127.0.0.1:18071,2701116,27243,28
16802885.374399699,43.887764398,127.0.0.1:18071,2701187,27281,28
16802885.393344700,43.906709399,127.0.0.1:18071,2707203,27319,28
16802885.410111301,43.923475999,127.0.0.1:18071,2707241,27357,28
16802885.427382499,43.940747198,127.0.0.1:18071,2713233,27395,28
16802885.444502700,43.957867399,127.0.0.1:18071,2713295,27433,28
16802885.461549301,43.974913999,127.0.0.1:18071,2713357,27471,28
16802885.478759300,43.992123999,127.0.0.1:18071,2719411,27509,28
16802885.496435098,44.009799797,127.0.0.1:18071,2725404,27547,28
16802885.513437498,44.026802197,127.0.0.1:18071,2725466,27585,28
16802885.529415499,44.042780198,127.0.0.1:18071,2731766,27623,28
16802885.542532999,44.055897698,127.0.0.1:18071,2731813,27661,28
16802885.560762301,44.074127000,127.0.0.1:18071,2737822,27699,28
16802885.576865599,44.090230297,127.0.0.1:18071,2737918,27737,28
16802885.596734900,44.110099599,127.0.0.1:18071,2743962,27775,28
16802885.613683902,44.127048600,127.0.0.1:18071,2744000,27813,28
16802885.630820502,44.144185200,127.0.0.1:18071,2749993,27851,28
16802885.648056999,44.161421698,127.0.0.1:18071,2750055,27889,28
16802885.665875498,44.179240197,127.0.0.1:18071,2756108,27927,28
16802885.683439001,44.196803700,127.0.0.1:18071,2756156,27965,28
16802885.700270399,44.213635098,127.0.0.1:18071,2762149,28003,28
16802885.718641400,44.232006099,127.0.0.1:18071,2762225,28041,28
16802885.735058501,44.248423200,127.0.0.1:18071,2768241,28079,28
16802885.754146598,44.267511297,127.0.0.1:18071,2768279,28117,28
16802885.771289900,44.284654599,127.0.0.1:18071,2774272,28155,28
16802885.790761400,44.304126099,127.0.0.1:18071,2774591,28193,28
16802885.808254901,44.321619600,127.0.0.1:18071,2780607,28231,28
16802885.825877000,44.339241698,127.0.0.1:18071,2785838,28269,28
16802885.841844700,44.355209399,127.0.0.1:18071,2786762,28307,28
16802885.859501399,44.372866098,127.0.0.1:18071,2791903,28345,28
16802885.876036800,44.389401499,127.0.0.1:18071,2792832,28383,28
16802885.894173801,44.407538500,127.0.0.1:18071,2797956,28421,28
16802885.911787398,44.425152097,127.0.0.1:18071,2798825,28459,28
16802885.929141201,44.442505900,127.0.0.1:18071,2804903,28497,28
16802885.946880300,44.460244998,127.0.0.1:18071,2804956,28535,28
16802885.964580100,44.477944799,127.0.0.1:18071,2804994,28573,28
16802885.981966801,44.495331500,127.0.0.1:18071,2811019,28611,28
16802885.999305598,44.512670297,127.0.0.1:18071,2811081,28649,28
16802886.016603898,44.529968597,127.0.0.1:18071,2817073,28687,28
16802886.033312298,44.546676997,127.0.0.1:18071,2823351,28725,28
16802886.050891701,44.564256400,127.0.0.1:18071,2823413,28763,28
16802886.068991400,44.582356099,127.0.0.1:18071,2829483,28801,28
16802886.087497599,44.600862298,127.0.0.1:18071,2829570,28839,28
16802886.104686800,44.618051499,127.0.0.1:18071,2835575,28877,28
16802886.123159301,44.636523999,127.0.0.1:18071,2835637,28915,28
